Majority protein IDs,Protein ID,logFC,PValue,FDR,Fold_change,Gene names,C1,C2,C3,C4,C5,average_C_lfq,R1,R2,R3,R4,R5,average_R_lfq,MS/MS count C1,MS/MS count C2,MS/MS count C3,MS/MS count C4,MS/MS count C5,MS_C_average,MS/MS count R1,MS/MS count R2,MS/MS count R3,MS/MS count R4,MS/MS count R5,MS_R_average
P02696,P02696,10.00844289,6.55E-08,0.000154979,1030.010187,Rbp1,3557000,3239900,0,0,0,1359380,1663500000,1138400000,1219900000,1419400000,1489300000,1386100000,2,2,2,0,2,1.6,57,58,58,42,63,55.6
Q5PQW8;Q63663,Q5PQW8,8.944276622,4.84E-07,0.000572525,492.601299,Gbp2,0,8886000,6899000,0,0,3157000,1987400000,1546300000,1375900000,1194900000,1554100000,1531720000,0,3,2,0,0,1,60,61,61,62,56,60
P29534;A0A0G2K127,P29534,8.237734302,1.83E-06,0.001443402,301.8596897,Vcam1,8586200,6584300,3801700,13463000,3569500,7200940,1925600000,1950900000,2.02E+09,2810100000,2016300000,2145180000,3,2,2,5,2,2.8,58,55,61,63,57,58.8
D4AEG2,D4AEG2,6.273122867,7.40E-05,0.035235214,77.33892826,Rab32,0,0,0,21528000,0,4305600,405700000,344820000,253260000,295250000,329580000,325722000,0,0,0,2,0,0.4,25,29,23,23,19,23.8
F1LS79;Q00657,F1LS79,6.269469057,7.45E-05,0.035235214,77.14330534,Cspg4,0,0,0,0,10041000,2008200,97173000,102980000,191800000,227940000,149310000,153840600,0,0,0,0,0,0,16,17,25,29,12,19.8
G3V8K7;Q62771;Q62771-2,G3V8K7,5.625394569,0.000248743,0.098046026,49.36424541,Stat5a,0,18783000,16802000,0,0,7117000,292040000,343040000,332520000,416130000,348980000,346542000,0,3,3,2,0,1.6,22,29,26,31,21,25.8
D4A3D4,D4A3D4,-5.206858488,0.000541647,0.164454657,0.027075682,Abhd3,123700000,111460000,118210000,112260000,97920000,112710000,0,15100000,0,0,0,3020000,16,14,16,9,9,12.8,2,2,0,2,0,1.2
Q31257;Q31266;O19446;Q31274;Q31258,Q31257,5.192452561,0.000556295,0.164454657,36.56654871,RT1.A1(f);RT1.Al,0,0,0,15680000,0,3136000,119490000,129170000,122300000,90737000,98998000,112139000,0,0,0,2,0,0.4,12,14,9,12,11,11.6
Q5XIE8,Q5XIE8,-4.799815544,0.001147366,0.301502292,0.035901413,Itm2b,204360000,155030000,141080000,146780000,138870000,157224000,0,15541000,0,12590000,0,5626200,27,19,18,16,13,18.6,0,3,0,4,0,1.4
Q6MG19;A0A0G2JVT5;Q63474;A0A0G2K7S7;B2GVB6,Q6MG19,-4.326723822,0.002714928,0.642080525,0.049834069,Ddr1,150340000,139800000,118030000,226840000,209930000,168988000,0,0,19418000,22415000,0,8366600,12,15,14,20,16,15.4,0,0,2,3,0,1
A0A068FP44;Q4AE70-3;Q4AE70-4;Q4AE70-2;Q4AE70,A0A068FP44,-0.254274832,0.839974797,0.999991107,0.838408453,CARM1;Carm1,33002000,50394000,28331000,19901000,34022000,33130000,46127000,30917000,0,28876000,31392000,27462400,3,7,2,2,3,3.4,6,5,3,4,4,4.4
A0A096MIV5;A2VD14;F1M8H5,A0A096MIV5,0.085832079,0.945626198,0.999991107,1.061299673,Abcf2,25092000,27968000,28965000,27857000,31050000,28186400,29258000,40151000,28907000,21147000,28103000,29513200,2,7,5,3,3,4,4,6,4,3,4,4.2
A0A096MJ04;Q6AXR6;B6DYQ5;Q9Z339,A0A096MJ04,0.224487177,0.858490615,0.999991107,1.168361867,Gsto1,35431000,35364000,29646000,35413000,31469000,33464600,39531000,41682000,33284000,38635000,39879000,38602200,6,5,4,6,6,5.4,6,4,4,5,4,4.6
A0A096MJA9;A0A096MKE0;A0A0G2K2B5;A0A096MIY8;A0A096MK70,A0A096MJA9,-0.172044353,0.891289844,0.999991107,0.88758405,Asph,36436000,28427000,22589000,32739000,26071000,29252400,28294000,24067000,29273000,23104000,23410000,25629600,3,4,3,3,4,3.4,3,4,4,5,4,4
A0A096MJJ6;B1H213;A0FKI7-2;A0FKI7;A0FKI7-3;M0R9S4;A0A0G2K3Z5,A0A096MJJ6,-0.357841924,0.776416867,0.999991107,0.780330976,Acbd5;LOC100910957,14961000,15925000,6962700,10681000,11217000,11949340,0,15655000,9212900,12526000,8730800,9224940,2,3,5,5,5,4,0,0,3,3,2,1.6
A0A096MJM1;Q32PX6;A0A096MK75,A0A096MJM1,0.546754272,0.664883026,0.999991107,1.460795546,Rhog,65121000,58695000,72141000,52276000,65840000,62814600,103910000,104910000,78486000,83910000,82055000,90654200,11,10,7,4,5,7.4,12,15,10,8,7,10.4
A0A096MJM8;F7FJR8,A0A096MJM8,-0.796049631,0.529593826,0.999991107,0.575924008,Las1l,13440000,13150000,13474000,15326000,14249000,13927800,0,15458000,0,12717000,11506000,7936200,2,2,3,3,3,2.6,0,2,0,4,2,1.6
