Majority protein IDs,Protein ID,logFC,PValue,FDR,Fold_change,Gene names,C1,C2,C3,C4,C5,average_C_lfq,R1,R2,R3,R4,R5,average_R_lfq,MS/MS count C1,MS/MS count C2,MS/MS count C3,MS/MS count C4,MS/MS count C5,MS_C_average,MS/MS count R1,MS/MS count R2,MS/MS count R3,MS/MS count R4,MS/MS count R5,MS_R_average
A0A096MJY1,A0A096MJY1,-0.169022506,0.893186623,0.999991107,0.889445118,Gpc6,68275000,63327000,53326000,62641000,56087000,60731200,57923000,61625000,46157000,51979000,49080000,53352800,7,14,8,6,8,8.6,8,9,6,6,4,6.6
A0A096MJY6,A0A096MJY6,-0.139695033,0.911628145,0.999991107,0.907711013,Gbe1,22575000,21971000,25895000,21839000,23191000,23094200,16582000,19894000,15402000,21849000,29683000,20682000,3,2,2,3,2,2.4,2,2,2,2,2,2
A0A096MJZ2,A0A096MJZ2,-1.665825784,0.197229022,0.999991107,0.315163904,Tbl2,23055000,30236000,26013000,29506000,25457000,26853400,14991000,0,0,27238000,0,8445800,10,8,7,3,4,6.4,2,0,0,2,0,0.8
A0A096MK73;P13668,A0A096MK73,-1.417941158,0.269060415,0.999991107,0.37424601,Stmn1,45879000,42137000,63603000,0,38074000,37938600,0,44851000,0,25933000,0,14156800,4,5,6,3,3,4.2,2,2,0,2,0,1.2
A0A096MKE2;D4A719;A0A096MKG7,A0A096MKE2,-1.408544655,0.272128795,0.999991107,0.37669149,Snx12,29327000,29920000,28668000,28931000,32151000,29799400,37203000,18263000,0,0,0,11093200,3,4,7,4,5,4.6,2,2,0,0,0,0.8
A0A096MKE9;Q5U2M4,A0A096MKE9,-0.628696305,0.618745113,0.999991107,0.646760598,Lig3,22546000,29402000,34342000,40232000,45301000,34364600,23394000,0,24466000,34123000,27744000,21945400,2,6,5,9,8,6,3,0,2,7,4,3.2
A0A096MKG2;A0A0G2QC27;B0BNB6,A0A096MKG2,-0.586598976,0.64225909,0.999991107,0.665910883,Nol6,28681000,35494000,27302000,38808000,24036000,30864200,21050000,0,29223000,31211000,19985000,20293800,4,7,6,7,6,6,2,2,4,6,3,3.4
A0A096MKG5;Q1HCL7,A0A096MKG5,-0.698363312,0.5807626,0.999991107,0.616270948,Nadk2,111910000,142590000,84762000,112750000,117910000,113984400,58495000,78733000,45704000,52335000,110730000,69199400,17,18,10,10,11,13.2,6,9,4,5,8,6.4
A0A096MKH2;Q4KM55,A0A096MKH2,0.019546407,0.98760757,0.999991107,1.013640734,Vta1,47087000,44839000,47121000,43986000,53420000,47290600,41544000,48335000,44355000,54311000,48276000,47364200,7,6,6,4,6,5.8,6,6,5,4,4,5
A0A097BVJ5;P13233,A0A097BVJ5,-0.539803676,0.668864844,0.999991107,0.687864508,Cnp,1438300000,1.41E+09,1383800000,1.44E+09,1400400000,1414700000,878730000,936970000,1.04E+09,950490000,997360000,960510000,78,73,67,61,62,68.2,50,39,50,35,40,42.8
A0A0A0MXW3;D4AEC0;P0C0S7,A0A0A0MXW3,-0.337412563,0.788841115,0.999991107,0.791459502,H2afz;H2afv,979200000,889930000,1465400000,863170000,1111800000,1061900000,1005100000,675260000,711950000,852790000,904760000,829972000,21,14,13,13,14,15,10,10,12,13,9,10.8
A0A0A0MXX5;D4A1J4,A0A0A0MXX5,-1.089731553,0.392016346,0.999991107,0.469848793,Bdh2,21475000,19064000,19782000,19845000,21887000,20410600,16845000,18172000,0,12596000,0,9522600,5,4,4,5,5,4.6,2,2,0,2,0,1.2
A0A0A0MY00;P70584,A0A0A0MY00,-0.570127429,0.651569253,0.999991107,0.673557292,Acadsb,21407000,24346000,17290000,35555000,18858000,23491200,18811000,0,17592000,19874000,21674000,15590200,9,6,4,3,5,5.4,4,2,2,3,2,2.6
A0A0A0MY09;Q66HD0;A0A0G2K4I4;Q66HD0-2,A0A0A0MY09,0.726076051,0.565991678,0.999991107,1.654133931,Hsp90b1,2819100000,3.63E+09,3528200000,3769500000,3501200000,3450000000,4.93E+09,5431600000,5908100000,6133400000,5762600000,5632540000,77,95,108,123,114,103.4,146,128,132,183,135,144.8
A0A0F7RQJ6;P80254,A0A0F7RQJ6,-0.163961837,0.896364641,0.999991107,0.892570582,Ddt,626340000,612170000,671670000,514460000,461550000,577238000,625160000,391520000,522550000,503620000,500520000,508674000,38,31,41,24,30,32.8,29,28,26,27,29,27.8
A0A0F7RQL3;P30904;D3ZE63,A0A0F7RQL3,-0.16576333,0.89523312,0.999991107,0.891456725,Mif;LOC679748,269300000,250860000,275720000,226120000,217910000,247982000,270880000,207680000,195240000,202060000,215480000,218268000,33,9,32,10,35,23.8,20,5,6,10,11,10.4
A0A0G2JSG6;P29410-2;P29410,A0A0G2JSG6,0.030041055,0.980955101,0.999991107,1.021041181,Ak2,148170000,167750000,155320000,147860000,131030000,150026000,141400000,155470000,148180000,160400000,150790000,151248000,17,13,20,11,16,15.4,13,15,13,9,12,12.4
A0A0G2JSH2;P29147,A0A0G2JSH2,-0.523639188,0.678164411,0.999991107,0.695614934,Bdh1,39279000,49708000,31924000,26977000,43522000,38282000,25871000,34408000,24978000,24856000,21485000,26319600,11,11,6,6,9,8.6,4,6,3,4,3,4
A0A0G2JSH4;P18266;A0A0G2KB98,A0A0G2JSH4,0.145183395,0.908172686,0.999991107,1.105871222,Gsk3b,40548000,25583000,37875000,39316000,29201000,34504600,36272000,44615000,35171000,40553000,31917000,37705600,8,4,8,5,5,6,5,5,4,8,5,5.4
A0A0G2JSH9;P35704,A0A0G2JSH9,0.145185158,0.908171576,0.999991107,1.105872574,Prdx2,2746400000,2.65E+09,2738300000,2601100000,2585400000,2665040000,3234500000,2784700000,2689100000,2808500000,3030400000,2909440000,103,86,93,80,81,88.6,92,94,69,62,88,81
A0A0G2JSI1;Q9JLJ3,A0A0G2JSI1,-0.145016924,0.908277467,0.999991107,0.904368769,Aldh9a1,711300000,568200000,577590000,579610000,562930000,599926000,494250000,538310000,574380000,582010000,491450000,536080000,35,42,37,43,38,39,38,30,43,36,27,34.8
A0A0G2JSJ8;P17164,A0A0G2JSJ8,-0.6319684,0.616934893,0.999991107,0.645295379,Fuca1,102820000,98521000,81869000,74786000,84133000,88425800,57867000,60978000,51944000,52592000,58362000,56348600,11,18,12,8,12,12.2,5,10,6,3,7,6.2
A0A0G2JSK5,A0A0G2JSK5,0.27853911,0.824963289,0.999991107,1.212965999,NA,433730000,517320000,512140000,538030000,481140000,496472000,566790000,537960000,547100000,684640000,636160000,594530000,21,35,30,27,28,28.2,19,25,23,29,28,24.8
A0A0G2JSL0;P28073,A0A0G2JSL0,-0.28874558,0.81866935,0.999991107,0.818613532,Psmb6,289030000,241840000,284180000,227790000,235620000,255692000,224130000,227120000,168080000,226410000,188750000,206898000,21,15,16,13,11,15.2,13,9,6,6,12,9.2
A0A0G2JSL2;A0A0G2JX69;Q69BT7,A0A0G2JSL2,-1.076187369,0.397795609,0.999991107,0.474280557,Trappc4,15072000,12053000,18149000,12198000,11984000,13891200,14539000,0,0,0,17743000,6456400,4,2,3,2,2,2.6,5,3,0,2,2,2.4
A0A0G2JSL8;Q64640;A0A0G2K6X9,A0A0G2JSL8,-0.013822645,0.991236244,0.999991107,0.990464625,Adk,145710000,178470000,163850000,176290000,175520000,167968000,137680000,172470000,182110000,168110000,160690000,164212000,22,26,22,20,15,21,16,16,20,14,14,16
A0A0G2JSM7;Q63028-2;Q63028;D3ZZ99,A0A0G2JSM7,-0.079514345,0.949622362,0.999991107,0.946376172,Add1,380610000,405740000,423410000,434260000,406490000,410102000,357130000,384580000,385770000,424720000,364240000,383288000,19,26,22,27,22,23.2,12,16,14,23,21,17.2
A0A0G2JSP3;B5DF89,A0A0G2JSP3,0.266803114,0.832215662,0.999991107,1.203138821,Cul3,90621000,113950000,111020000,119190000,113120000,109580200,106970000,128290000,138170000,141660000,135530000,130124000,7,16,11,17,12,12.6,7,13,13,18,12,12.6
A0A0G2JSP8;P00564,A0A0G2JSP8,-3.906312084,0.005755408,0.999991107,0.066693405,Ckm,401920000,248310000,349960000,886720000,179330000,413248000,0,0,0,0,133820000,26764000,9,9,11,11,6,9.2,0,2,4,0,2,1.6
A0A0G2JSQ9;Q56B11,A0A0G2JSQ9,-0.636413666,0.614479447,0.999991107,0.64331014,Pelp1,36099000,51072000,46203000,53070000,56833000,48655400,0,39044000,34965000,40487000,39978000,30894800,5,8,5,9,8,7,2,2,2,3,6,3
A0A0G2JSR0;Q9R1Z0;Q9R1Z0-2,A0A0G2JSR0,-0.335841681,0.789798919,0.999991107,0.792321754,Vdac3,1089800000,996540000,943060000,1021100000,1025600000,1015220000,849070000,822620000,7.17E+08,873300000,712350000,794868000,50,36,43,37,36,40.4,36,37,30,35,32,34
A0A0G2JSR1;Q7TP14;A0JPQ9,A0A0G2JSR1,0.306185691,0.807944482,0.999991107,1.236434394,Chid1,23754000,28991000,29115000,27908000,34125000,28778600,27438000,31370000,41193000,42399000,33352000,35150400,6,5,4,6,5,5.2,3,3,4,5,2,3.4
A0A0G2JSR7;P43244;B5DEM0;Q6P6H1,A0A0G2JSR7,-0.043796325,0.972238027,0.999991107,0.970098856,Matr3,1.13E+09,1234400000,1370400000,1.37E+09,1332700000,1287500000,1159100000,1289200000,1173400000,1384800000,1161700000,1233640000,40,60,61,70,72,60.6,51,41,49,52,37,46
A0A0G2JSS8;Q9R063-2;Q9R063,A0A0G2JSS8,0.57011317,0.651577523,0.999991107,1.484640026,Prdx5,244860000,244250000,262880000,254900000,219160000,245210000,376170000,3.58E+08,276210000,418240000,369510000,359626000,25,18,19,16,11,17.8,40,26,20,27,18,26.2
A0A0G2JSU4;Q8VBU2-2;A0A0G2JSV0;Q8VBU2,A0A0G2JSU4,-0.95198927,0.453383375,0.999991107,0.516919213,Ndrg2,1548900000,1636300000,1323100000,1398800000,1410300000,1463480000,713400000,833280000,869160000,633290000,684080000,746642000,70,65,56,54,55,60,35,40,30,30,31,33.2
A0A0G2JSW0;P18666;Q63781,A0A0G2JSW0,0.204425171,0.871009878,0.999991107,1.152227161,Myl12b,231890000,250570000,288280000,234440000,257320000,252500000,344810000,304130000,227580000,274610000,285280000,287282000,21,20,22,17,16,19.2,26,20,19,13,22,20
A0A0G2JSW1;Q6QI25,A0A0G2JSW1,-0.642283638,0.611244063,0.999991107,0.640697987,Ormdl3,17286000,17030000,23196000,14849000,0,14472200,14329000,18734000,0,12942000,0,9201000,2,3,2,2,0,1.8,2,3,0,2,0,1.4
A0A0G2JSZ1;Q6GQP4,A0A0G2JSZ1,-0.635125312,0.615190681,0.999991107,0.643884885,Rab31,248630000,253630000,256190000,231140000,240300000,245978000,188890000,142720000,148060000,151220000,151030000,156384000,27,18,31,19,23,23.6,16,16,15,12,12,14.2
A0A0G2JSZ5;Q63081,A0A0G2JSZ5,0.852275531,0.501316504,0.999991107,1.805346213,Pdia6,720890000,758340000,696980000,821770000,723260000,744248000,1192900000,1248100000,1567300000,1.37E+09,1257800000,1326220000,51,56,49,57,37,50,36,43,43,44,60,45.2
A0A0G2JSZ9;E9PSS2;B9TSW3;Q9JK72,A0A0G2JSZ9,-0.028053174,0.982215106,0.999991107,0.980742856,Ccs;CCS,14961000,14681000,14004000,15870000,15130000,14929200,12413000,15578000,16889000,13244000,14121000,14449000,6,3,4,2,3,3.6,3,2,2,2,2,2.2
A0A0G2JT00;G3V616;Q6MGD0,A0A0G2JT00,-2.548421749,0.055812118,0.999991107,0.170941934,Cuta,38304000,39255000,54849000,39294000,49154000,44171200,0,37365000,0,0,0,7473000,6,7,4,2,5,4.8,2,4,0,0,0,1.2
A0A0G2JT23;D3ZA69,A0A0G2JT23,-0.191181413,0.879294018,0.999991107,0.875888169,Nrbp2,36352000,26598000,26936000,2.50E+07,27155000,28408200,22212000,32731000,26370000,14774000,26635000,24544400,5,7,3,5,5,5,2,2,3,3,2,2.4
A0A0G2JT93;Q9WU82,A0A0G2JT93,-0.038010272,0.975904423,0.999991107,0.973997334,Ctnnb1,1263800000,1604900000,1577500000,1622600000,1540400000,1521840000,1458900000,1461200000,1474500000,1549300000,1.37E+09,1463380000,49,74,67,73,71,66.8,54,46,53,58,50,52.2
A0A0G2JTA0;Q5BK32,A0A0G2JTA0,0.241623289,0.847827824,0.999991107,1.182322236,Faf2,86198000,71181000,69707000,75610000,63974000,73334000,88304000,83375000,86684000,83002000,86631000,85599200,12,18,12,10,8,12,14,14,9,8,10,11
A0A0G2JTB2;Q5EB55;A0A096MIX1,A0A0G2JTB2,-0.193099175,0.878093349,0.999991107,0.874724632,Gbe1,24775000,23075000,22191000,24673000,21534000,23249600,25062000,25254000,25737000,24680000,0,20146600,0,3,5,4,3,3,5,5,3,5,0,3.6
A0A0G2JTG7;Q8VHV7;Q8VHV7-2;G3V9Q3;Q8VHV7-3,A0A0G2JTG7,-0.169726089,0.892744932,0.999991107,0.889011453,Hnrnph1,1125700000,1.25E+09,1342800000,1434500000,1463100000,1323420000,1045400000,1138500000,1252300000,1181100000,1188500000,1161160000,64,63,64,56,66,62.6,56,61,64,56,54,58.2
A0A0G2JTH4;P97829;P97829-2,A0A0G2JTH4,1.35839857,0.288947128,0.999991107,2.564004102,Cd47,0,0,19279000,14683000,19609000,10714200,27316000,27520000,27930000,23735000,28888000,27077800,2,2,3,3,3,2.6,4,4,4,3,3,3.6
A0A0G2JTI3;D3ZFM1,A0A0G2JTI3,-1.034339588,0.416006306,0.999991107,0.488239327,Asf1a,20453000,17837000,26219000,18052000,21824000,20877000,22409000,0,27776000,0,0,10037000,4,3,3,4,4,3.6,0,0,2,2,0,0.8
A0A0G2JTI7;D3ZI99,A0A0G2JTI7,0.225268662,0.858003533,0.999991107,1.168994921,Prpf3,0,21930000,25389000,23189000,21273000,18356200,18385000,19051000,25688000,24940000,17733000,21159400,0,3,5,6,4,3.6,2,3,3,5,3,3.2
A0A0G2JTL5;P52873,A0A0G2JTL5,-0.685503824,0.58768326,0.999991107,0.621788645,Pc,1037700000,1.19E+09,1190900000,1285400000,1243300000,1189260000,648910000,7.03E+08,729320000,861940000,708590000,730352000,58,70,60,71,61,64,33,38,46,46,40,40.6
A0A0G2JTN4;D4AB17,A0A0G2JTN4,-0.108128717,0.931535585,0.999991107,0.927790695,LOC100912917,561650000,639670000,650720000,746730000,681420000,656038000,556310000,533020000,631810000,678510000,604680000,600866000,42,49,44,52,43,46,25,32,33,34,30,30.8
A0A0G2JU01;A0A0G2K4L2;E9PTJ8;A0A0G2K446;Q5BK37;Q9Z1I6,A0A0G2JU01,1.01687541,0.423763201,0.999991107,2.023531644,Arhgef1,0,0,30941000,27959000,25634000,16906800,31062000,30656000,34413000,33831000,38540000,33700400,0,2,3,6,4,3,4,4,3,4,8,4.6
A0A0G2JU25;B5DF50;D3ZFD2,A0A0G2JU25,0.214267309,0.864863459,0.999991107,1.160114586,Galnt2,56855000,48434000,39052000,35994000,32006000,42468200,56706000,48200000,47072000,49611000,41868000,48691400,7,8,10,8,5,7.6,8,6,5,3,6,5.6
A0A0G2JU73;F1LP64;A0A0A0MXY4;A0A1W2Q676;F1LP64-2,A0A0G2JU73,0.4935671,0.69560772,0.999991107,1.407921698,Trip12,21272000,31591000,18969000,34029000,42773000,29726800,36777000,32261000,38920000,60045000,38886000,41377800,4,7,2,8,9,6,4,4,4,10,6,5.6
A0A0G2JU77,A0A0G2JU77,0.154668401,0.902205473,0.999991107,1.113165731,NA,103930000,97614000,95805000,84867000,90831000,94609400,124850000,112650000,83133000,95725000,103680000,104007600,11,10,7,7,10,9,12,7,5,5,5,6.8
A0A0G2JU89;F1LQI5;Q2TL32,A0A0G2JU89,0.422646564,0.737434367,0.999991107,1.34038418,Ubr4,105340000,96123000,62174000,117560000,103010000,96841400,130610000,97849000,150360000,159240000,103310000,128273800,17,22,10,23,21,18.6,19,14,24,29,12,19.6
A0A0G2JUA5;A0A0G2JU96,A0A0G2JUA5,1.173478254,0.357523969,0.999991107,2.255548416,NA,211110000,214600000,131260000,286130000,282960000,225212000,531870000,411570000,503120000,615760000,447060000,501876000,14,12,6,18,18,13.6,37,19,28,37,24,29
A0A0G2JUC7;Q6AYH5,A0A0G2JUC7,0.338724835,0.78804126,0.999991107,1.264638315,Dctn2,1.55E+08,198330000,173690000,219990000,187470000,186896000,213240000,265640000,234150000,223250000,229710000,233198000,23,26,21,18,22,22,23,24,22,15,14,19.6
A0A0G2JUJ9;D4A2Z6,A0A0G2JUJ9,-0.336052189,0.789670547,0.999991107,0.792206153,Sec63,100300000,92434000,106570000,118290000,118020000,107122800,110480000,88871000,86007000,108120000,26633000,84022200,11,10,10,14,14,11.8,13,7,9,12,2,8.6
A0A0G2JUL7;B3GNI6-3;B3GNI6;B3GNI6-2,A0A0G2JUL7,-0.042571491,0.973014106,0.999991107,0.97092281,11-Sep,1174800000,962300000,960630000,837200000,810080000,949002000,906480000,930540000,935340000,848410000,928350000,909824000,51,46,46,50,47,48,46,53,52,42,37,46
A0A0G2JUX5;Q68A21,A0A0G2JUX5,0.063183155,0.959958513,0.999991107,1.044768391,Purb,173960000,181120000,178840000,194880000,194690000,184698000,182010000,197120000,200560000,196100000,176910000,190540000,16,17,13,14,10,14,9,6,13,9,9,9.2
A0A0G2JUZ5,A0A0G2JUZ5,-0.152406466,0.903627967,0.999991107,0.899748398,NA,404670000,484610000,466150000,505890000,445240000,461312000,389090000,365890000,438700000,462570000,392720000,409794000,29,42,33,40,37,36.2,23,23,21,29,25,24.2
A0A0G2JV31;O54975,A0A0G2JV31,0.241504271,0.847901779,0.999991107,1.182224702,Xpnpep1,285270000,344790000,355150000,260530000,326650000,314478000,455320000,428890000,340170000,289920000,320890000,367038000,16,28,21,27,24,23.2,21,28,27,18,24,23.6
A0A0G2JV65;P63102,A0A0G2JV65,-0.132499759,0.916161034,0.999991107,0.912249425,Ywhaz,4625500000,4292300000,3908600000,3536700000,3819100000,4036440000,3872800000,3580400000,3635200000,3434500000,3657300000,3636040000,170,122,146,125,133,139.2,134,146,130,96,94,120
A0A0G2JV81;A0A0G2K9H8;P84079;P61206;A0A0G2K4Q4,A0A0G2JV81,-0.004951878,0.996860378,0.999991107,0.996573504,Arf1;Arf3,274540000,259820000,390720000,344120000,318500000,317540000,422520000,290740000,275160000,310040000,264080000,312508000,18,17,24,17,21,19.4,28,20,23,20,16,21.4
A0A0G2JV84;Q7TP13,A0A0G2JV84,-2.669664807,0.046180602,0.999991107,0.157163183,Gpt2,394970000,350530000,375120000,307340000,323720000,350336000,36420000,59258000,82498000,52905000,40838000,54383800,32,37,36,29,35,33.8,6,8,9,7,2,6.4
A0A0G2JVC8;P48450,A0A0G2JVC8,0.691176501,0.58462522,0.999991107,1.614599669,Lss,118800000,149460000,149210000,140660000,153330000,142292000,257020000,236060000,224830000,203990000,211860000,226752000,7,17,11,12,14,12.2,20,23,21,19,21,20.8
A0A0G2JVH4;A0A140TAG5;Q3KR86,A0A0G2JVH4,-0.188552809,0.880939999,0.999991107,0.8774855,Immt,890500000,1.05E+09,1078500000,1071900000,1011800000,1019540000,832680000,856030000,865520000,992660000,870140000,883406000,36,43,47,46,47,43.8,33,35,40,42,44,38.8
A0A0G2JVK4;A0A0G2JSY3;P42676,A0A0G2JVK4,0.338766766,0.788015706,0.999991107,1.264675072,Nln,150800000,186420000,188140000,188220000,183560000,179428000,196080000,241810000,250260000,210280000,221060000,223898000,11,14,14,22,15,15.2,17,19,21,18,14,17.8
A0A0G2JVL6;Q7TP78;F7EXQ7,A0A0G2JVL6,-0.452818759,0.719526306,0.999991107,0.730613968,Ndufa8,138040000,120880000,138090000,113210000,125940000,127232000,108740000,99927000,70534000,89883000,90086000,91834000,12,12,11,13,15,12.6,6,10,4,5,8,6.6
A0A0G2JVL8;F1LS86,A0A0G2JVL8,0.242012849,0.847585769,0.999991107,1.182641533,Iars,294130000,305460000,318650000,359140000,347880000,325052000,357030000,343910000,380350000,423260000,393140000,379538000,19,30,29,33,38,29.8,23,22,31,34,28,27.6
A0A0G2JVT8;A0A0G2JT86;Q4G053,A0A0G2JVT8,-0.260224088,0.836288133,0.999991107,0.834958219,Samd9l,141060000,140500000,132150000,191520000,185720000,158190000,100720000,135950000,133500000,142740000,138980000,130378000,17,22,17,35,32,24.6,11,10,8,19,14,12.4
A0A0G2JVU1;D3ZP06,A0A0G2JVU1,-0.186624664,0.882147724,0.999991107,0.878659033,Itgb8,1.49E+08,168840000,171670000,173620000,160740000,164774000,140580000,136420000,145580000,157280000,134970000,142966000,16,19,21,19,18,18.6,13,7,11,16,14,12.2
A0A0G2JVV5;Q5U2N2,A0A0G2JVV5,0.031941799,0.979750376,0.999991107,1.022387285,Usp14,194950000,150980000,154180000,114610000,127470000,148438000,178400000,155230000,148640000,139400000,128220000,149978000,7,19,17,14,15,14.4,15,13,15,16,12,14.2
A0A0G2JVW5,A0A0G2JVW5,0.278347135,0.825081793,0.999991107,1.212804604,NA,61790000,62946000,21482000,79556000,75834000,60321600,62827000,60310000,81986000,104840000,51846000,72361800,7,12,3,15,10,9.4,12,5,11,15,8,10.2
A0A0G2JW80;A0A0G2JT06;P97834,A0A0G2JW80,-0.115259344,0.927034027,0.999991107,0.923216335,Gps1,161280000,113280000,123910000,93589000,99828000,118377400,116980000,91852000,119090000,111140000,100940000,108000400,13,18,13,17,13,14.8,11,11,12,9,8,10.2
A0A0G2JW88,A0A0G2JW88,0.24705521,0.84445411,0.999991107,1.186782213,NA,889020000,897130000,873300000,1095700000,997180000,950466000,1066800000,1055300000,1081800000,1178500000,1184400000,1113360000,36,45,37,48,45,42.2,42,48,40,44,45,43.8
A0A0G2JWA3;F1LQM9,A0A0G2JWA3,-0.11633074,0.926357872,0.999991107,0.922530977,Xpo7,130410000,144670000,153850000,156630000,152090000,147530000,137230000,144530000,138060000,157800000,95033000,134530600,14,21,20,21,19,19,11,15,11,19,12,13.6
A0A0G2JWD2;A0A3G2LW22;Q5XI81,A0A0G2JWD2,-0.118788756,0.924806848,0.999991107,0.920960537,Fxr1,147600000,160890000,171240000,146620000,150750000,155420000,151110000,145010000,125900000,139010000,145530000,141312000,11,16,14,18,14,14.6,17,14,9,18,13,14.2
A0A0G2JWD6;D3ZIF5,A0A0G2JWD6,0.870482572,0.492349947,0.999991107,1.828274344,Ap3b1,0,21997000,25048000,19654000,26816000,18703000,37855000,32757000,28366000,33346000,36227000,33710200,0,4,3,6,6,3.8,5,7,6,8,7,6.6
A0A0G2JWK2;Q00566;Q00566-2,A0A0G2JWK2,-0.782063302,0.53676406,0.999991107,0.581534504,Mecp2,33960000,27549000,26192000,27803000,29900000,29080800,0,0,29653000,22225000,31413000,16658200,3,5,6,5,3,4.4,0,0,2,2,4,1.6
