Majority protein IDs,logFC,PValue,FDR,Fold_change,average_C_lfq,average_R_lfq,MS_C_average,MS_R_average,Gene names
P02696,10.00844289,6.55E-08,0.000154979,1030.010187,1359380,1386100000,1.6,55.6,Rbp1
Q5PQW8;Q63663,8.944276622,4.84E-07,0.000572525,492.601299,3157000,1531720000,1,60,Gbp2
P29534;A0A0G2K127,8.237734302,1.83E-06,0.001443402,301.8596897,7200940,2145180000,2.8,58.8,Vcam1
D4AEG2,6.273122867,7.40E-05,0.035235214,77.33892826,4305600,325722000,0.4,23.8,Rab32
F1LS79;Q00657,6.269469057,7.45E-05,0.035235214,77.14330534,2008200,153840600,0,19.8,Cspg4
G3V8K7;Q62771;Q62771-2,5.625394569,0.000248743,0.098046026,49.36424541,7117000,346542000,1.6,25.8,Stat5a
D4A3D4,-5.206858488,0.000541647,0.164454657,0.027075682,112710000,3020000,12.8,1.2,Abhd3
Q31257;Q31266;O19446;Q31274;Q31258,5.192452561,0.000556295,0.164454657,36.56654871,3136000,112139000,0.4,11.6,RT1.A1(f);RT1.Al
Q5XIE8,-4.799815544,0.001147366,0.301502292,0.035901413,157224000,5626200,18.6,1.4,Itm2b
Q6MG19;A0A0G2JVT5;Q63474;A0A0G2K7S7;B2GVB6,-4.326723822,0.002714928,0.642080525,0.049834069,168988000,8366600,15.4,1,Ddr1
A0A068FP44;Q4AE70-3;Q4AE70-4;Q4AE70-2;Q4AE70,-0.254274832,0.839974797,0.999991107,0.838408453,33130000,27462400,3.4,4.4,CARM1;Carm1
A0A096MIV5;A2VD14;F1M8H5,0.085832079,0.945626198,0.999991107,1.061299673,28186400,29513200,4,4.2,Abcf2
A0A096MJ04;Q6AXR6;B6DYQ5;Q9Z339,0.224487177,0.858490615,0.999991107,1.168361867,33464600,38602200,5.4,4.6,Gsto1
A0A096MJA9;A0A096MKE0;A0A0G2K2B5;A0A096MIY8;A0A096MK70,-0.172044353,0.891289844,0.999991107,0.88758405,29252400,25629600,3.4,4,Asph
A0A096MJJ6;B1H213;A0FKI7-2;A0FKI7;A0FKI7-3;M0R9S4;A0A0G2K3Z5,-0.357841924,0.776416867,0.999991107,0.780330976,11949340,9224940,4,1.6,Acbd5;LOC100910957
A0A096MJM1;Q32PX6;A0A096MK75,0.546754272,0.664883026,0.999991107,1.460795546,62814600,90654200,7.4,10.4,Rhog
A0A096MJM8;F7FJR8,-0.796049631,0.529593826,0.999991107,0.575924008,13927800,7936200,2.6,1.6,Las1l
A0A096MJY1,-0.169022506,0.893186623,0.999991107,0.889445118,60731200,53352800,8.6,6.6,Gpc6
A0A096MJY6,-0.139695033,0.911628145,0.999991107,0.907711013,23094200,20682000,2.4,2,Gbe1
A0A096MJZ2,-1.665825784,0.197229022,0.999991107,0.315163904,26853400,8445800,6.4,0.8,Tbl2
A0A096MK73;P13668,-1.417941158,0.269060415,0.999991107,0.37424601,37938600,14156800,4.2,1.2,Stmn1
A0A096MKE2;D4A719;A0A096MKG7,-1.408544655,0.272128795,0.999991107,0.37669149,29799400,11093200,4.6,0.8,Snx12
A0A096MKE9;Q5U2M4,-0.628696305,0.618745113,0.999991107,0.646760598,34364600,21945400,6,3.2,Lig3
A0A096MKG2;A0A0G2QC27;B0BNB6,-0.586598976,0.64225909,0.999991107,0.665910883,30864200,20293800,6,3.4,Nol6
A0A096MKG5;Q1HCL7,-0.698363312,0.5807626,0.999991107,0.616270948,113984400,69199400,13.2,6.4,Nadk2
A0A096MKH2;Q4KM55,0.019546407,0.98760757,0.999991107,1.013640734,47290600,47364200,5.8,5,Vta1
A0A097BVJ5;P13233,-0.539803676,0.668864844,0.999991107,0.687864508,1414700000,960510000,68.2,42.8,Cnp
A0A0A0MXW3;D4AEC0;P0C0S7,-0.337412563,0.788841115,0.999991107,0.791459502,1061900000,829972000,15,10.8,H2afz;H2afv
A0A0A0MXX5;D4A1J4,-1.089731553,0.392016346,0.999991107,0.469848793,20410600,9522600,4.6,1.2,Bdh2
A0A0A0MY00;P70584,-0.570127429,0.651569253,0.999991107,0.673557292,23491200,15590200,5.4,2.6,Acadsb
A0A0A0MY09;Q66HD0;A0A0G2K4I4;Q66HD0-2,0.726076051,0.565991678,0.999991107,1.654133931,3450000000,5632540000,103.4,144.8,Hsp90b1
A0A0F7RQJ6;P80254,-0.163961837,0.896364641,0.999991107,0.892570582,577238000,508674000,32.8,27.8,Ddt
A0A0F7RQL3;P30904;D3ZE63,-0.16576333,0.89523312,0.999991107,0.891456725,247982000,218268000,23.8,10.4,Mif;LOC679748
A0A0G2JSG6;P29410-2;P29410,0.030041055,0.980955101,0.999991107,1.021041181,150026000,151248000,15.4,12.4,Ak2
A0A0G2JSH2;P29147,-0.523639188,0.678164411,0.999991107,0.695614934,38282000,26319600,8.6,4,Bdh1
A0A0G2JSH4;P18266;A0A0G2KB98,0.145183395,0.908172686,0.999991107,1.105871222,34504600,37705600,6,5.4,Gsk3b
A0A0G2JSH9;P35704,0.145185158,0.908171576,0.999991107,1.105872574,2665040000,2909440000,88.6,81,Prdx2
A0A0G2JSI1;Q9JLJ3,-0.145016924,0.908277467,0.999991107,0.904368769,599926000,536080000,39,34.8,Aldh9a1
A0A0G2JSJ8;P17164,-0.6319684,0.616934893,0.999991107,0.645295379,88425800,56348600,12.2,6.2,Fuca1
A0A0G2JSK5,0.27853911,0.824963289,0.999991107,1.212965999,496472000,594530000,28.2,24.8,NA
A0A0G2JSL0;P28073,-0.28874558,0.81866935,0.999991107,0.818613532,255692000,206898000,15.2,9.2,Psmb6
A0A0G2JSL2;A0A0G2JX69;Q69BT7,-1.076187369,0.397795609,0.999991107,0.474280557,13891200,6456400,2.6,2.4,Trappc4
A0A0G2JSL8;Q64640;A0A0G2K6X9,-0.013822645,0.991236244,0.999991107,0.990464625,167968000,164212000,21,16,Adk
A0A0G2JSM7;Q63028-2;Q63028;D3ZZ99,-0.079514345,0.949622362,0.999991107,0.946376172,410102000,383288000,23.2,17.2,Add1
A0A0G2JSP3;B5DF89,0.266803114,0.832215662,0.999991107,1.203138821,109580200,130124000,12.6,12.6,Cul3
A0A0G2JSP8;P00564,-3.906312084,0.005755408,0.999991107,0.066693405,413248000,26764000,9.2,1.6,Ckm
A0A0G2JSQ9;Q56B11,-0.636413666,0.614479447,0.999991107,0.64331014,48655400,30894800,7,3,Pelp1
A0A0G2JSR0;Q9R1Z0;Q9R1Z0-2,-0.335841681,0.789798919,0.999991107,0.792321754,1015220000,794868000,40.4,34,Vdac3
A0A0G2JSR1;Q7TP14;A0JPQ9,0.306185691,0.807944482,0.999991107,1.236434394,28778600,35150400,5.2,3.4,Chid1
A0A0G2JSR7;P43244;B5DEM0;Q6P6H1,-0.043796325,0.972238027,0.999991107,0.970098856,1287500000,1233640000,60.6,46,Matr3
A0A0G2JSS8;Q9R063-2;Q9R063,0.57011317,0.651577523,0.999991107,1.484640026,245210000,359626000,17.8,26.2,Prdx5
A0A0G2JSU4;Q8VBU2-2;A0A0G2JSV0;Q8VBU2,-0.95198927,0.453383375,0.999991107,0.516919213,1463480000,746642000,60,33.2,Ndrg2
A0A0G2JSW0;P18666;Q63781,0.204425171,0.871009878,0.999991107,1.152227161,252500000,287282000,19.2,20,Myl12b
