Majority protein IDs,logFC,PValue,FDR,Fold_change,average_C_lfq,average_R_lfq,MS_C_average,MS_R_average,Gene names
A0A0G2JSW1;Q6QI25,-0.642283638,0.611244063,0.999991107,0.640697987,14472200,9201000,1.8,1.4,Ormdl3
A0A0G2JSZ1;Q6GQP4,-0.635125312,0.615190681,0.999991107,0.643884885,245978000,156384000,23.6,14.2,Rab31
A0A0G2JSZ5;Q63081,0.852275531,0.501316504,0.999991107,1.805346213,744248000,1326220000,50,45.2,Pdia6
A0A0G2JSZ9;E9PSS2;B9TSW3;Q9JK72,-0.028053174,0.982215106,0.999991107,0.980742856,14929200,14449000,3.6,2.2,Ccs;CCS
A0A0G2JT00;G3V616;Q6MGD0,-2.548421749,0.055812118,0.999991107,0.170941934,44171200,7473000,4.8,1.2,Cuta
A0A0G2JT23;D3ZA69,-0.191181413,0.879294018,0.999991107,0.875888169,28408200,24544400,5,2.4,Nrbp2
A0A0G2JT93;Q9WU82,-0.038010272,0.975904423,0.999991107,0.973997334,1521840000,1463380000,66.8,52.2,Ctnnb1
A0A0G2JTA0;Q5BK32,0.241623289,0.847827824,0.999991107,1.182322236,73334000,85599200,12,11,Faf2
A0A0G2JTB2;Q5EB55;A0A096MIX1,-0.193099175,0.878093349,0.999991107,0.874724632,23249600,20146600,3,3.6,Gbe1
A0A0G2JTG7;Q8VHV7;Q8VHV7-2;G3V9Q3;Q8VHV7-3,-0.169726089,0.892744932,0.999991107,0.889011453,1323420000,1161160000,62.6,58.2,Hnrnph1
A0A0G2JTH4;P97829;P97829-2,1.35839857,0.288947128,0.999991107,2.564004102,10714200,27077800,2.6,3.6,Cd47
A0A0G2JTI3;D3ZFM1,-1.034339588,0.416006306,0.999991107,0.488239327,20877000,10037000,3.6,0.8,Asf1a
A0A0G2JTI7;D3ZI99,0.225268662,0.858003533,0.999991107,1.168994921,18356200,21159400,3.6,3.2,Prpf3
A0A0G2JTL5;P52873,-0.685503824,0.58768326,0.999991107,0.621788645,1189260000,730352000,64,40.6,Pc
A0A0G2JTN4;D4AB17,-0.108128717,0.931535585,0.999991107,0.927790695,656038000,600866000,46,30.8,LOC100912917
A0A0G2JU01;A0A0G2K4L2;E9PTJ8;A0A0G2K446;Q5BK37;Q9Z1I6,1.01687541,0.423763201,0.999991107,2.023531644,16906800,33700400,3,4.6,Arhgef1
A0A0G2JU25;B5DF50;D3ZFD2,0.214267309,0.864863459,0.999991107,1.160114586,42468200,48691400,7.6,5.6,Galnt2
A0A0G2JU73;F1LP64;A0A0A0MXY4;A0A1W2Q676;F1LP64-2,0.4935671,0.69560772,0.999991107,1.407921698,29726800,41377800,6,5.6,Trip12
A0A0G2JU77,0.154668401,0.902205473,0.999991107,1.113165731,94609400,104007600,9,6.8,NA
A0A0G2JU89;F1LQI5;Q2TL32,0.422646564,0.737434367,0.999991107,1.34038418,96841400,128273800,18.6,19.6,Ubr4
A0A0G2JUA5;A0A0G2JU96,1.173478254,0.357523969,0.999991107,2.255548416,225212000,501876000,13.6,29,NA
A0A0G2JUC7;Q6AYH5,0.338724835,0.78804126,0.999991107,1.264638315,186896000,233198000,22,19.6,Dctn2
A0A0G2JUJ9;D4A2Z6,-0.336052189,0.789670547,0.999991107,0.792206153,107122800,84022200,11.8,8.6,Sec63
A0A0G2JUL7;B3GNI6-3;B3GNI6;B3GNI6-2,-0.042571491,0.973014106,0.999991107,0.97092281,949002000,909824000,48,46,11-Sep
A0A0G2JUX5;Q68A21,0.063183155,0.959958513,0.999991107,1.044768391,184698000,190540000,14,9.2,Purb
A0A0G2JUZ5,-0.152406466,0.903627967,0.999991107,0.899748398,461312000,409794000,36.2,24.2,NA
A0A0G2JV31;O54975,0.241504271,0.847901779,0.999991107,1.182224702,314478000,367038000,23.2,23.6,Xpnpep1
A0A0G2JV65;P63102,-0.132499759,0.916161034,0.999991107,0.912249425,4036440000,3636040000,139.2,120,Ywhaz
A0A0G2JV81;A0A0G2K9H8;P84079;P61206;A0A0G2K4Q4,-0.004951878,0.996860378,0.999991107,0.996573504,317540000,312508000,19.4,21.4,Arf1;Arf3
A0A0G2JV84;Q7TP13,-2.669664807,0.046180602,0.999991107,0.157163183,350336000,54383800,33.8,6.4,Gpt2
A0A0G2JVC8;P48450,0.691176501,0.58462522,0.999991107,1.614599669,142292000,226752000,12.2,20.8,Lss
A0A0G2JVH4;A0A140TAG5;Q3KR86,-0.188552809,0.880939999,0.999991107,0.8774855,1019540000,883406000,43.8,38.8,Immt
A0A0G2JVK4;A0A0G2JSY3;P42676,0.338766766,0.788015706,0.999991107,1.264675072,179428000,223898000,15.2,17.8,Nln
A0A0G2JVL6;Q7TP78;F7EXQ7,-0.452818759,0.719526306,0.999991107,0.730613968,127232000,91834000,12.6,6.6,Ndufa8
A0A0G2JVL8;F1LS86,0.242012849,0.847585769,0.999991107,1.182641533,325052000,379538000,29.8,27.6,Iars
A0A0G2JVT8;A0A0G2JT86;Q4G053,-0.260224088,0.836288133,0.999991107,0.834958219,158190000,130378000,24.6,12.4,Samd9l
A0A0G2JVU1;D3ZP06,-0.186624664,0.882147724,0.999991107,0.878659033,164774000,142966000,18.6,12.2,Itgb8
A0A0G2JVV5;Q5U2N2,0.031941799,0.979750376,0.999991107,1.022387285,148438000,149978000,14.4,14.2,Usp14
A0A0G2JVW5,0.278347135,0.825081793,0.999991107,1.212804604,60321600,72361800,9.4,10.2,NA
A0A0G2JW80;A0A0G2JT06;P97834,-0.115259344,0.927034027,0.999991107,0.923216335,118377400,108000400,14.8,10.2,Gps1
A0A0G2JW88,0.24705521,0.84445411,0.999991107,1.186782213,950466000,1113360000,42.2,43.8,NA
A0A0G2JWA3;F1LQM9,-0.11633074,0.926357872,0.999991107,0.922530977,147530000,134530600,19,13.6,Xpo7
A0A0G2JWD2;A0A3G2LW22;Q5XI81,-0.118788756,0.924806848,0.999991107,0.920960537,155420000,141312000,14.6,14.2,Fxr1
A0A0G2JWD6;D3ZIF5,0.870482572,0.492349947,0.999991107,1.828274344,18703000,33710200,3.8,6.6,Ap3b1
A0A0G2JWK2;Q00566;Q00566-2,-0.782063302,0.53676406,0.999991107,0.581534504,29080800,16658200,4.4,1.6,Mecp2
A0A0G2JWK7;P31232,-0.467768547,0.710714455,0.999991107,0.723082143,1613460000,1151940000,74.6,56,Tagln
A0A0G2JWL3;F1LM28;P97526,-0.197601353,0.875276081,0.999991107,0.871999158,13755000,11918000,3,2,Nf1
A0A0G2JWM2;Q5RJQ4,0.4836319,0.701410211,0.999991107,1.398259275,164674000,227428000,19.4,21.6,Sirt2
A0A0G2JX74;P42346,-0.236061016,0.851285664,0.999991107,0.849060336,51386400,43114000,8.6,6.2,Mtor
A0A0G2JXC3;P05765;D3ZSE0,0.304498015,0.808980638,0.999991107,1.234988849,34186200,41688200,7.2,6.4,Rps21;LOC100363012
A0A0G2JXD0;Q6P9U5;P17077;M0RBD4;M0R6B4;F1M7A9,-0.316958472,0.801339255,0.999991107,0.802760496,498116000,395422000,33.2,21.8,Rpl9;LOC100911472;LOC100910002;RGD1561928
A0A0G2JXM5;D4A2B0,-0.276835615,0.826014819,0.999991107,0.825399452,23848400,19449200,6.6,2.8,Poldip3
A0A0G2JXN8,-0.749609488,0.553604482,0.999991107,0.594764528,18443200,10840600,3,1.6,NA
A0A0G2JXT0;Q6AY86,0.199388527,0.874158594,0.999991107,1.148211593,63997200,72553200,12.4,7.4,Vps26a
A0A0G2JXV4;Q6AYS6,-1.641415753,0.203547889,0.999991107,0.320541764,19403200,6121600,3,1,Snx17
A0A0G2JXW2;A0A0G2K970;O70437,-0.033334275,0.97886781,0.999991107,0.977159331,14819800,14385400,2.6,2,Smad4
A0A0G2JY08;D3ZFD0,0.534413147,0.671959982,0.999991107,1.44835288,59456600,85082400,9.2,11.2,Myo18a
A0A0G2JY69;G3V907;Q9QYU1,0.010576999,0.993293969,0.999991107,1.007358358,35718200,35514200,8.2,7.8,LOC100911356;Pex19
A0A0G2JYA2;Q9JHU5,0.566706811,0.653510419,0.999991107,1.481138766,60568600,88612800,9,8.8,Arfip1
A0A0G2JYA4;P63331,0.061977433,0.960721941,0.999991107,1.043895598,777144000,801090000,45.4,35.8,Ppp2ca
A0A0G2JYC7;Q925G1-2;Q925G1,0.332185456,0.792029552,0.999991107,1.258918995,51988200,64473800,6.8,5.8,Hdgfrp2
A0A0G2JYN0;Q5U2M6,0.090091136,0.94293305,0.999991107,1.064437422,389870000,409606000,6.4,5.8,Dcaf8
A0A0G2JYN3;A0A0G2JUW8;P97629;A0A0H2UHK5,-0.764997838,0.545584598,0.999991107,0.58845425,44233400,25730200,7.2,3.2,Lnpep
A0A0G2JYT1,1.099463094,0.387898427,0.999991107,2.142749342,19477800,41095600,2.6,6.2,NA
A0A0G2JYU2;Q5XIE3,-1.364633262,0.286814843,0.999991107,0.388333141,16352200,6275200,4.2,1.2,Mrpl11
A0A0G2JZA2;P97576,-1.570448331,0.222833195,0.999991107,0.336703744,31815000,10594000,4.4,1.4,Grpel1
A0A0G2JZF0;B5DEG8,0.088424777,0.943986662,0.999991107,1.063208672,261490000,274616000,21.6,20.6,Sec24c
A0A0G2JZG7;Q6P799,0.021689045,0.986249277,0.999991107,1.015147275,149212000,149582000,19.2,17.8,Sars
A0A0G2JZH0;D3ZJ77,0.037396719,0.976293242,0.999991107,1.026260312,65942600,66794800,11,9.8,Cab39
A0A0G2JZH8;Q5BJX2;Q7TQ85,-0.182959178,0.884444487,0.999991107,0.880894299,29424200,25576200,6.4,3.4,Pdhx
A0A0G2JZI2;Q6TXE9,-0.011730124,0.992562887,0.999991107,0.991902262,1782780000,1746580000,102.8,88,Eprs
A0A0G2JZM2;B5DFC3,0.336704494,0.789272799,0.999991107,1.262868563,259426000,323256000,21.8,19.6,Sec23a
A0A0G2JZM8;Q99JD4,-0.72766109,0.565152846,0.999991107,0.60388214,165286000,98632200,20.4,10,Clasp2
A0A0G2JZZ7;A0A4X0W8E9;A0A0G2JTR4,0.749894717,0.553455634,0.999991107,1.681670103,25248400,41802800,3,5,NA
A0A0G2K013;Q9QXQ0;Q62744,0.463865362,0.713011091,0.999991107,1.3792322,3144400000,4281560000,132.6,148.6,Actn4
A0A0G2K038;Q5U1X1,-0.49761706,0.693247608,0.999991107,0.708275694,27821400,19457800,4,1.4,Rexo2
A0A0G2K079;Q3ZB98-5;Q3ZB98-4;Q3ZB98-3;Q3ZB98-6;Q3ZB98;Q3ZB98-2,-0.513423021,0.684069774,0.999991107,0.70055828,159264000,110222000,15.2,10.4,Bcas1
A0A0G2K093;O35162,-0.852809093,0.501052269,0.999991107,0.553705557,34217400,18647600,4.8,3.2,Hspa13
A0A0G2K0B4;A0A0G2K8P3;Q62940,0.344078916,0.784780385,0.999991107,1.269340318,415310000,520364000,34.6,35.8,Nedd4
A0A0G2K0I3;Q80Z29,1.313378183,0.304687056,0.999991107,2.485227947,15818800,38778400,1.6,7.2,Nampt
A0A0G2K0L0;F1LX70;A0A0G2KB21,-0.310652122,0.805204081,0.999991107,0.806277226,157350000,125240600,17.2,11.6,Papss1
A0A0G2K0P2;P84025;O70436;G3V603;O54835,0.443731128,0.724902934,0.999991107,1.360117347,35378200,47570800,3.8,4.8,Smad3;Smad2;Smad9
A0A0G2K0W9;P48004-2;P48004;A0JPK2,-0.010532295,0.993322312,0.999991107,0.992726153,484136000,474528000,27.2,22.8,Psma7
A0A0G2K0X9;G3V699;Q9Z2Q1;Q9Z2Q1-2,0.362437755,0.77363076,0.999991107,1.285596365,539328000,684562000,37.2,38.4,Sec31a
A0A0G2K0Y2,-0.838311807,0.508256532,0.999991107,0.559297657,26975200,14881600,3.2,1.8,NA
A0A0G2K110;Q3KRD8,0.494594945,0.695008528,0.999991107,1.408925126,156252000,217484000,14.4,13,Eif6
A0A0G2K121;Q5FVQ4,0.230497269,0.854747555,0.999991107,1.173239272,135076000,156426000,17.2,14.8,Mlec
A0A0G2K191;Q5FVQ9,-1.087016568,0.393170321,0.999991107,0.470733826,20153600,9367200,3,2.8,Tbce
A0A0G2K1C0;Q4V7C7,0.247928847,0.843911792,0.999991107,1.187501098,859698000,1007736000,55.2,52.4,Actr3
A0A0G2K1D2;F1M7Y3,0.789956035,0.532711719,0.999991107,1.729021771,215398000,367878000,20.4,29,Rap1gds1
A0A0G2K1I6;A0A0G2JY82;P56603;Q5D009,-0.279355475,0.824459409,0.999991107,0.823959039,44148800,35888800,8.4,5.2,Scamp1
A0A0G2K1S6;P13697;F1LQQ1,-0.404228066,0.748444277,0.999991107,0.755640501,284786000,212704000,23.4,15,Me1
A0A0G2K1Z2;D3ZDI5,0.117170598,0.925827882,0.999991107,1.084605655,26299600,28158200,4.2,3.6,Arhgap12
A0A0G2K214,0.479856946,0.703619751,0.999991107,1.394605374,15895400,21852800,3.4,4.6,NA
A0A0G2K261;A0A0G2K150,0.016158391,0.989755431,0.999991107,1.0112631,299268000,298916000,26.8,19,NA
A0A0G2K2L8;Q62915,-0.041688992,0.973573292,0.999991107,0.971516907,151582000,145364000,17.4,11,Cask
A0A0G2K2M2;A0A0G2KAL9;A0A0H2UHM6;Q4KM98,-0.884326838,0.485595126,0.999991107,0.54174024,25708400,13715600,5,2.8,Mff
A0A0G2K2M9;B2GUY6,0.231254327,0.854276315,0.999991107,1.173855094,78052000,90447800,10,10.4,Srrm2
A0A0G2K2P5;F1M4A0,-0.317546795,0.800978973,0.999991107,0.802433201,683268000,541158000,53.6,37.4,Tjp1
A0A0G2K2P6;Q6AXM7,-1.332900828,0.297786538,0.999991107,0.396969253,31010000,12255200,5.4,3,Hbs1l
A0A0G2K2U7;G3V9J8;P97564,2.119734301,0.105947036,0.999991107,4.346138954,14068200,60538000,1.4,7.6,Gpam
A0A0G2K2V2;G3V9N8;P52303-2;P52303,0.210480883,0.867227047,0.999991107,1.157073799,283122000,323406000,23.8,17.2,Ap1b1
A0A0G2K398;F8WFK6;P36970-2;P36970;P36970-3,0.596367667,0.636766413,0.999991107,1.511905184,14479200,21678000,3.4,4.2,Gpx4
A0A0G2K3A0;Q9JIH7;Q9JIH7-3;Q9JIH7-2,0.314411964,0.80289924,0.999991107,1.243504703,37854400,46516600,5.2,6.6,Wnk1
A0A0G2K3L8,-0.915168011,0.470746727,0.999991107,0.530282112,19029600,9992200,6,2.2,NA
A0A0G2K3N1;F1M8X9,0.396413839,0.753132418,0.999991107,1.316232034,30787000,40039800,4.8,5.4,Gbf1
A0A0G2K3S6;P70501,0.264938382,0.833369153,0.999991107,1.201584728,12211600,14523800,1.2,2.4,Rbm10
A0A0G2K3U1;Q02356,-0.138420133,0.912431083,0.999991107,0.908513506,68166600,61132400,9,6.6,Ampd2
A0A0G2K3V4,0.44285867,0.725419904,0.999991107,1.359295075,96202600,129050000,8.8,15.6,NA
A0A0G2K3W1,-1.322618946,0.301406451,0.999991107,0.399808501,26013800,10299600,3.8,1.2,NA
A0A0G2K3Z9;Q63716,-0.307579546,0.807088996,0.999991107,0.807996223,3097020000,2471140000,87.6,63.8,Prdx1
A0A0G2K401;A0A0G2K5P9;P14882,-0.130214948,0.917601055,0.999991107,0.913695308,218320000,196774000,19.6,18.4,Pcca
A0A0G2K428;D4A8U7;P28023,0.268211268,0.831344639,0.999991107,1.204313728,534302000,635378000,40.2,44.2,Dctn1
A0A0G2K4B0;B2RZ13;D4A3F5,0.317915605,0.8007531,0.999991107,1.246528273,12050800,14887400,2.2,4.2,Gprc5b
A0A0G2K4M6;B0BMT0;P62738;P63269,0.593432224,0.638414658,0.999991107,1.508832047,33636000,50097000,3.8,3.6,Acta2;Actg2
A0A0G2K4R5;D4AE75,-0.271848962,0.829095415,0.999991107,0.828257368,8400400,6872000,1.4,1.2,Pop1
A0A0G2K4T3;Q5FVC7,0.607574607,0.630491832,0.999991107,1.523695487,54427200,81974600,5.4,8,Acap2
A0A0G2K4T7;Q5U2Y1;Q5U2Y1-2,-0.311446337,0.80471706,0.999991107,0.805833486,345370000,274834000,31,23.8,Gtf2i
A0A0G2K4T8;F1LPX0;Q01992,-2.313449995,0.079774591,0.999991107,0.201178774,48470400,9646400,5.8,0.6,Mipep
A0A0G2K4U8;A0A0G2JVB6;G3V7P1,-0.277852876,0.82538678,0.999991107,0.824817658,29404200,23849400,5,3.4,Stx12
A0A0G2K4X8;Q6PEC4,-0.163342091,0.896753958,0.999991107,0.89295409,150564000,132618000,11,7.8,Skp1
A0A0G2K583;Q7TP15,0.50487436,0.689027575,0.999991107,1.418999774,151902000,212866000,15.4,16.4,Mtap
A0A0G2K5K3;D3ZDB9;P86172,-0.904570949,0.47581792,0.999991107,0.534191547,44486600,23362800,7.6,3,Nmral1
A0A0G2K5X6;Q63604-3;Q63604-2;Q63604,-0.511006444,0.685469709,0.999991107,0.701732729,72875400,50660400,4.4,1.8,Ntrk2
A0A0G2K613;Q9EPH2,0.788229683,0.533596696,0.999991107,1.726954033,47300800,80445200,4.8,6.2,Marcksl1
A0A0G2K648;Q4V7A0,-0.250422488,0.84236429,0.999991107,0.840650198,34455600,28649400,7.8,4.4,Wdr61
A0A0G2K654,-0.607756251,0.630390369,0.999991107,0.656216488,8199520000,5312000000,69.4,39.4,NA
A0A0G2K6A2;Q641Z2,0.427722963,0.734409821,0.999991107,1.345108886,13449800,17923800,2,4,Ptpn9
A0A0G2K6A9;Q5FVJ0;Q5FVJ0-2,-0.788236968,0.53359232,0.999991107,0.579051284,14300060,8232000,2.4,1.4,Rufy3
A0A0G2K6E2;F1M6X5;Q9Z0J5-2;Q9Z0J5,-2.34989787,0.075542499,0.999991107,0.19615991,21936800,4260200,3.8,0.6,Txnrd2
A0A0G2K6G2;Q7TP48;Q5EB60;Q7TP48-2,0.086828757,0.944995902,0.999991107,1.062033119,57387200,60160400,8.8,4.8,Apmap
A0A0G2K6H2;P57113,-0.399427342,0.751323179,0.999991107,0.758159164,25950600,19446600,5.6,3.2,Gstz1
A0A0G2K6H5;Q75UQ2,-0.689173408,0.58570327,0.999991107,0.620209097,12535000,7734200,3.4,1.4,Cfdp1
A0A0G2K6J5;B2GV99;Q64119;A0A0G2JWE1,0.323012556,0.79763403,0.999991107,1.250939967,409248000,505166000,21.2,20.2,Myl6
A0A0G2K6Q5;Q6MG06;Q5XI09;A0A0G2K444,0.337772225,0.78862187,0.999991107,1.263803551,95009400,118512000,9.4,12.2,Gnl1
A0A0G2K719;D3ZN21;D4ADE8,0.086153346,0.945423026,0.999991107,1.061536035,866944000,908128000,46.8,43.8,Ddx3y;Ddx3x
A0A0G2K724;Q4G009,-0.078503801,0.95026168,0.999991107,0.947039299,17951800,16855000,3.6,3.4,Mcts1
A0A0G2K736;F1MA31;B3STT9,0.168212958,0.893694881,0.999991107,1.123665756,36973800,41025400,5.2,6.6,Kdm1a
A0A0G2K737;Q920J4,0.240915911,0.848267396,0.999991107,1.181742666,195294000,227910000,17.4,18.6,Txnl1
A0A0G2K751;Q642C0,-0.650314564,0.606831449,0.999991107,0.637141377,19360200,12112000,3.8,2.2,Dnajc8
A0A0G2K757;P25235,-0.140622585,0.91104403,0.999991107,0.907127606,865492000,775078000,42.4,36.4,Rpn2
A0A0G2K761;D4A0H4,0.102514556,0.935081497,0.999991107,1.073643147,51908200,55017400,7,8,Cul2
A0A0G2K7B3;G3V9R8;A0A140TAI3,0.029337811,0.981400842,0.999991107,1.020543594,1045516000,1053106000,42.8,35.8,Hnrnpc
A0A0G2K7B6;D4A6X1,-1.691711331,0.19070049,0.999991107,0.309559506,72114200,22108000,12.6,3.4,Dysf
A0A0G2K7F7;P04692,0.465566607,0.712009726,0.999991107,1.380859569,65068000,88728600,5.6,6.2,Tpm1
A0A0G2K7K2;Q9JM53;Q924M6,-0.47947469,0.703843855,0.999991107,0.717238735,216458000,153270000,16.2,14.6,Aifm1
A0A0G2K7N9;Q6TUE6,-2.914487338,0.031201562,0.999991107,0.13263309,81120000,10805200,9.2,1,Arhgap5
A0A0G2K7Q6;P39069;M0RC66,0.157359126,0.900513744,0.999991107,1.115243799,12865600,14132800,2.2,2.6,Ak1
A0A0G2K7Q7;P35559,0.2295481,0.855338458,0.999991107,1.172467636,309022000,357656000,26.8,23.4,Ide
A0A0G2K7R8;A0A0G2K0P8;Q8VII6-2;Q8VII6,0.379400003,0.763374499,0.999991107,1.300800758,85218200,109416400,6.8,9.4,Slc44a1
A0A0G2K7W4;F1M754,-0.328849301,0.794066539,0.999991107,0.79617126,251596000,197818000,18.8,14.6,Map4k4
