lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,EKO_average,WT_average,EKO-R1-Media_r1,EKO-R1-Media_r3,EKO-R2-Media_r1,EKO-R2-Media_r2,EKO-R2-Media_r3,EKO-R3-Media_r1,EKO-R3-Media_r2,EKO-R3-Media_r3,WT-R1-Media_r1,WT-R1-Media_r3,WT-R2-Media_r1,WT-R2-Media_r2,WT-R2-Media_r3,WT-R3-Media_r1,WT-R3-Media_r2,WT-R3-Media_r3,blank
PC (40:0),0.817357117,8.245506598,152.3147546,5.41E-35,1.16E-32,846.7 -> 184.1,PC,4282.997782,2321.06266,3582.760204,4279.840244,4418.740307,3236.720215,3428.560215,5355.780346,4947.900341,5013.680382,3236.920231,2687.820156,1880.840145,1874.980129,2297.600143,1911.180126,2646.580196,2032.580151,1443.940094
C24:6,-0.675787591,13.07658495,108.5667101,2.02E-25,2.16E-23,355.3 -> 355.3,FFA,73772.52021,112940.6355,99805.08681,97530.00701,69527.94507,68416.2845,67194.88508,64808.58492,60933.88423,61963.48405,126612.9691,127581.6092,107903.5878,105740.6468,105358.7073,116484.5681,108761.2079,105081.7877,33288.40233
C20:3,-0.659258908,12.76466673,103.3329358,2.83E-24,2.02E-22,305.3 -> 305.3,FFA,60163.6493,91068.34387,86605.5863,94101.26651,54909.78371,54648.96397,55595.22413,44640.58322,45241.48325,45566.30334,84706.36594,99818.92686,76551.66556,86832.68611,85767.50609,88467.42635,103902.3271,102499.847,18531.94138
SM (d18:2/24:1),0.472907928,8.230246531,51.33537527,7.79E-13,4.17E-11,811.7 -> 184.1,PC,3605.425262,2484.25018,3044.080219,3186.660236,3845.240265,3645.820263,3954.680279,4334.440285,3215.100254,3617.380299,2600.800186,2393.860165,2473.700195,2719.380211,2427.880157,2494.5602,2136.680157,2627.140167,5050.74036
C16:1,-0.441349781,12.49394762,46.5168395,9.08E-12,3.89E-10,253.3 -> 253.3,FFA,54575.95385,70957.48998,56365.20382,56036.00406,53915.22352,51631.70378,51308.88373,58684.28416,55645.68392,53020.6438,64987.4644,66456.90489,78692.28522,78897.02614,78206.88559,69331.88477,67039.9048,64047.56407,17972.82134
C15:1,-0.432759477,13.93701895,44.78690479,2.20E-11,7.84E-10,239.3 -> 239.3,FFA,149263.2756,192678.1959,144628.3304,200842.7347,105934.7674,117084.3683,151430.4706,113732.3277,165947.6323,194505.5736,151155.79,190416.5543,172547.1319,180616.912,198708.4124,165488.2914,215802.1957,266690.2792,37924.22267
SM (d18:0/22:0),0.433849277,8.199858993,43.16939877,5.02E-11,1.53E-09,789.7 -> 184.1,PC,3422.04274,2425.182671,3060.020191,3326.520298,3537.100243,3327.300209,3180.000225,3303.380276,3706.180241,3935.84024,3028.680206,2236.000172,2423.400196,2222.720161,2700.040192,2621.100166,2068.940128,2100.580147,5912.820438
SM (d18:1/16:0),0.416209149,10.04324064,40.92543246,1.58E-10,4.23E-09,703.6 -> 184.1,PC,11136.20077,7984.348112,10010.9407,9280.380611,11637.42087,10438.72055,12171.72089,11162.76078,12319.74092,12067.92084,8040.180592,8350.680675,8582.140667,8441.600655,7543.740547,7917.620602,7455.420563,7543.400597,37158.80325
SM (d18:1/24:1)15Z)),0.389134076,9.092207498,35.39370296,2.69E-09,6.40E-08,813.7 -> 184.1,PC,5949.820428,4346.42279,5396.340351,4973.700329,6144.620396,6067.000401,5553.700462,6697.520535,6375.98053,6389.70042,4305.580318,4651.780293,4789.920391,4569.660255,4911.840332,4121.940231,3212.820248,4207.840252,15759.32128
Lyso_PC(20:3),-0.383612915,9.482744611,34.68913102,3.87E-09,8.28E-08,546.3481 -> 184.1,PC,6935.073005,8665.203136,6568.740475,5668.380436,6685.300461,7396.240597,7438.420452,7154.420547,6965.820518,7603.260555,10156.44079,11005.04082,9208.580677,10456.40084,9026.960602,6629.900513,7059.220474,5779.080364,2050.540115
