lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,EKO_average,WT_average,EKO-R1-Media_r1,EKO-R1-Media_r3,EKO-R2-Media_r1,EKO-R2-Media_r2,EKO-R2-Media_r3,EKO-R3-Media_r1,EKO-R3-Media_r2,EKO-R3-Media_r3,WT-R1-Media_r1,WT-R1-Media_r3,WT-R2-Media_r1,WT-R2-Media_r2,WT-R2-Media_r3,WT-R3-Media_r1,WT-R3-Media_r2,WT-R3-Media_r3,blank
PC (38:3),0.37816888,8.301500922,32.96012474,9.41E-09,1.83E-07,812.6 -> 184.1,PC,3712.200263,2730.820192,3742.040264,3221.960236,3864.340286,3522.660244,3595.740246,3938.080269,3487.220253,4325.560303,3032.040192,2506.580166,2754.420223,2755.08017,2754.340218,2373.800167,2662.100163,3008.200241,4873.680355
SM (d18:1/18:0),0.364308453,9.211716618,31.12519524,2.42E-08,4.31E-07,731.6 -> 184.1,PC,6724.295485,4998.120344,6526.700569,6374.960464,6449.220478,7055.620518,6853.600403,7132.660496,7135.920464,6265.680485,5211.380363,4969.520264,4857.880352,4326.940319,5653.380379,5409.700367,4662.54034,4893.620365,12491.04087
Lyso_PC(12:0),-0.369768195,7.547240004,30.8109995,2.84E-08,4.68E-07,440.2699 -> 184.1,PC,1773.487631,2193.775149,1613.520119,1649.420124,1901.44014,2013.640121,1647.180134,1869.340145,1667.000122,1826.360146,1932.640125,2108.360138,2486.58017,2246.36018,2505.760155,2112.220146,1995.380127,2162.900154,1451.920101
PC (38:7),0.336056874,9.154853492,26.5308487,2.59E-07,3.96E-06,804.6 -> 184.1,PC,7106.180498,5387.687899,7465.760513,7298.080502,6899.000439,6873.96048,6922.020557,7035.980473,6417.940475,7936.700542,4852.180382,4389.6203,5450.760391,5307.280388,5423.06041,5626.200363,6626.6805,5425.720459,1529.960098
PC (36:1),0.326922078,9.164430772,25.04786703,5.59E-07,7.98E-06,788.6 -> 184.1,PC,6279.977944,4794.605336,5688.14043,6281.740444,6134.300453,6786.860504,6769.020466,6104.020386,6024.54044,6451.200428,4677.420368,4774.100449,4641.940277,4990.100307,5288.900383,5008.580338,4641.440327,4334.360241,14336.30089
PC (32:2),0.326057194,9.051213649,24.91378374,6.00E-07,8.02E-06,730.5 -> 184.1,PC,6261.83046,4775.010352,5147.460377,5907.360432,5757.500416,6251.460445,5669.620422,6724.260529,7252.620502,7384.360558,4927.760323,4634.4403,4520.760357,4647.960381,4595.480347,4672.380329,5613.540451,4587.76033,6489.460491
PC (34:0),0.310713098,8.678302411,22.45062314,2.16E-06,2.57E-05,762.6 -> 184.1,PC,4594.900329,3546.347764,4345.420296,3965.420315,5183.080357,4684.800289,4687.120304,4295.520321,4709.820358,4888.020393,3798.160267,2902.46019,3716.460293,3612.300301,3707.080265,3878.460304,3377.920269,3377.94022,8230.92049
PC (38:1),0.315950814,7.589340674,22.44261071,2.17E-06,2.57E-05,816.6 -> 184.1,PC,2151.097651,1651.812616,1770.860138,1733.280125,1947.820126,2713.060196,2268.820156,2409.540161,2178.160164,2187.240139,1465.860077,1742.160141,1646.260109,1474.500107,1778.040134,1702.820122,1431.10009,1973.760151,4048.800293
C12:0,-0.293230442,11.9935909,20.56040937,5.78E-06,6.18E-05,199.2 -> 199.2,FFA,40271.68289,47239.23338,40536.56309,41059.42296,38495.78281,37109.7825,39008.56298,42564.44303,41999.48298,41399.42279,45373.30339,46377.24335,51088.38348,50379.96336,53576.16396,42389.48295,45555.34342,43173.98311,23986.28185
SM (d18:1/18:1)9Z)),0.301499773,7.746193608,20.62915282,5.57E-06,6.18E-05,729.6 -> 184.1,PC,2507.762686,1947.677639,2696.220222,2103.320118,2727.420216,2450.600166,2266.800156,2404.14019,2540.340179,2873.260242,1577.020107,2073.780148,2197.720161,2134.540142,2131.820168,1686.120113,1983.460133,1796.960144,2693.760216
C32:0,-0.289540605,11.86324352,20.04197742,7.58E-06,7.72E-05,479.4 -> 479.4,FFA,37004.20515,43312.87053,41482.84313,39877.38292,38216.08291,38426.62261,34466.10236,35751.76251,34260.7424,33552.10238,38894.16285,41917.94283,45560.7834,45267.14307,45231.42303,42682.20308,44625.38309,42323.92292,18435.88129
C12:1,-0.285995416,11.11665939,19.51320013,9.99E-06,9.30E-05,197.2 -> 197.2,FFA,21916.59407,25588.73931,22220.12162,23966.96161,21202.64152,21312.70158,20869.88146,20727.82146,23693.82174,21338.80154,25097.26168,24729.68174,27628.52198,26966.50198,26700.88182,24687.54185,25074.00184,23825.5216,14202.78101
C24:5,-0.285756874,13.43004377,19.56288598,9.73E-06,9.30E-05,353.3 -> 353.3,FFA,111251.6202,129900.7617,125326.6486,125632.889,110856.4674,105720.5473,105323.5474,109953.4078,107091.7268,100107.7271,126043.7295,128392.7889,134478.7294,135400.8695,139833.35,130270.3291,124665.9481,120120.3489,27545.16193
SM (d18:1/24:0),0.282018147,8.158585926,18.2116714,1.98E-05,1.76E-04,815.7 -> 184.1,PC,2972.860207,2340.585163,2597.46019,2647.600178,2993.200184,2737.880219,3366.14027,2926.960163,3342.760242,3170.880207,2382.700153,2468.380177,2550.200172,2394.760143,2288.64019,2724.160194,1725.560131,2190.28014,8831.220638
C17:1,-0.275109889,11.69658626,18.0904,2.11E-05,1.80E-04,267.3 -> 267.3,FFA,33316.09738,38621.96275,32805.58241,33024.58228,33973.40252,34404.78258,32062.40219,34395.78242,32797.46222,33064.78238,37102.54273,36785.70261,43740.12305,44880.363,43379.64328,36911.44271,33744.36232,32431.52231,13673.14096
PC (34:1),0.27233279,11.38021957,17.7062426,2.58E-05,2.12E-04,760.6 -> 184.1,PC,30022.11699,23785.96432,24531.22189,25908.78201,28759.80167,29472.86217,32976.98225,30961.90226,32905.64165,34659.742,23031.28176,23984.42203,24367.54162,26387.34209,25333.38184,23218.52195,22018.46154,21946.76174,46707.24345
C15:0,-0.267901866,13.76092671,17.20158826,3.36E-05,2.66E-04,241.3 -> 241.3,FFA,140732.3147,162267.4439,138377.2298,138045.2296,136350.7093,135940.1082,136468.2295,144123.2898,144442.1904,152111.531,158076.4729,153753.1103,180966.4718,188164.2923,182597.0133,144527.7898,148226.2108,141828.1902,39058.58279
SM (d18:0/20:0),0.268343332,10.12815605,17.08264843,3.58E-05,2.74E-04,761.6 -> 184.1,PC,12630.32589,10026.85569,10151.82064,9372.040825,12568.7809,14120.24095,13917.76098,13783.46098,14115.16087,13013.34094,10185.30071,10102.84067,8869.820633,10604.24057,10870.94077,10147.12073,9965.280708,9469.300747,19020.1812
PCo(34:1),0.269565858,8.713841154,16.93248356,3.87E-05,2.86E-04,746.6 -> 184.1,PC,4775.437848,3792.085264,4018.440285,3983.400265,5202.320389,4313.860249,5288.720364,5322.64045,4692.9804,5381.140381,4166.120296,3258.200172,4748.960304,4121.920326,3778.300285,3469.020233,3618.820263,3175.340233,6560.400505
PC (32:1),0.259476232,10.93130013,16.05009997,6.17E-05,4.40E-04,732.6 -> 184.1,PC,22179.9116,17718.05883,18647.22152,18080.2013,21763.60147,22525.96157,22857.76133,22908.62188,25442.36166,25213.5621,17616.10129,17108.36132,18915.30145,18626.3615,16488.40125,17360.72126,18054.12132,17575.10124,30069.94217
Lyso_PC(16:0),0.257404995,10.17409604,15.73439906,7.29E-05,5.03E-04,496.3325 -> 184.1,PC,13704.69592,10969.24078,11215.40075,12023.32074,13432.66107,13419.50081,13213.50087,14392.00073,15758.78135,16182.40103,10084.30065,9676.800682,11751.74078,12486.64088,11967.00095,11007.32092,10260.74069,10519.3807,8730.300579
PC (38:2),0.255419096,8.295108014,15.01929189,1.06E-04,7.12E-04,814.6 -> 184.1,PC,3321.532741,2661.10018,2744.460224,3144.600216,3729.260338,2938.880196,2778.100193,3521.500217,4159.860325,3555.600216,2477.740177,2609.360157,2867.120216,2914.740204,2908.2602,2448.040173,2389.220158,2674.320152,8506.700684
Lyso_PC(10:0),-0.240806699,7.02002319,12.73701183,3.58E-04,0.002324753,412.2386 -> 184.1,PC,1267.620088,1434.627603,1388.380085,1356.260101,1394.560097,1302.360092,1281.140095,1212.960083,1136.880077,1068.420074,1310.3801,1107.440075,1836.660137,1170.460075,1599.440094,1506.920124,1337.220097,1608.500122,1438.100101
PC (40:5),0.232210507,7.464390984,12.12339894,4.98E-04,0.003134034,836.6 -> 184.1,PC,2057.78264,1677.882622,2206.800144,1981.560127,1584.960106,2217.540161,2389.440166,1995.700138,1854.900116,2231.360165,1587.240101,1875.420132,1696.800121,1990.360161,1658.740116,1571.040119,1573.540119,1469.920109,1580.840115
Lyso_PC(20:2),-0.229734888,7.402655913,11.84360198,5.79E-04,0.003537713,548.3638 -> 184.1,PC,1696.695121,1902.572636,1546.980095,1428.740093,1907.720154,1823.440147,1592.020103,1780.50013,1707.860119,1786.300125,2356.000179,2121.800156,1687.980118,1774.280148,2048.320133,1607.800114,1833.580128,1790.820114,1244.600082
Lyso_PC(16:1),0.222128569,8.940135891,11.56707512,6.71E-04,0.003990501,494.3168 -> 184.1,PC,5835.00542,4784.30033,4396.560291,5248.340321,5727.520496,6204.660427,6352.900517,5960.360355,6645.440468,6144.260483,5598.280346,5649.200417,4501.180279,4492.00034,4664.820282,4666.780346,4121.620331,4580.520298,2524.020203
PCo(32:1),0.22373519,8.046062186,11.48052072,7.03E-04,0.004067702,718.6 -> 184.1,PC,2982.442707,2440.092671,2817.98019,2196.060165,3189.280235,2998.780205,2600.600174,3409.520256,3292.760201,3354.56023,2345.500175,2662.5602,2412.000175,2918.740185,2248.060146,1969.400158,2399.580177,2564.90015,3835.020279
SM (d18:0/16:0),0.212609572,8.776799511,10.53721775,0.001169944,0.006588632,705.6 -> 184.1,PC,4657.610323,3842.677769,4287.480366,4454.420277,3813.360249,4242.440289,4697.040352,5048.460312,5388.340328,5329.340412,3848.780243,3446.920238,3661.980293,4255.860245,3747.560238,4006.780331,3558.300274,4215.240288,10604.10068
SM (d18:2/22:1),0.212175003,7.475063562,10.09534339,0.001486445,0.008156388,783.6 -> 184.1,PC,1959.362629,1616.350117,1744.320103,1632.260101,1926.800102,1835.580128,1799.340115,2116.30014,2214.440155,2405.860188,1723.920109,1706.320133,1715.36013,1421.300098,1586.840126,1460.100113,1571.460087,1745.500141,3191.400211
SM (d18:0/18:0),0.205333423,9.664011031,9.96886028,0.0015921,0.008517736,733.6 -> 184.1,PC,9093.205688,7542.370523,7726.320602,7606.32053,10602.72095,8327.440529,9095.200653,9229.060707,9551.620644,10606.96089,7337.82045,7668.280582,7510.66058,7139.500538,7238.760414,8222.720535,7635.980511,7585.240578,11872.86077
PC (38:5),0.200363528,7.488227644,9.021062238,0.002668863,0.01393016,808.6 -> 184.1,PC,2009.072641,1673.635122,1855.660133,1993.380146,1915.440151,1747.280125,2390.720146,2236.740181,2233.02013,1700.340118,1866.400146,1470.900112,1663.160099,1769.040134,1958.300144,1727.820141,1386.600098,1546.8601,2593.560188
C19:0,-0.18412371,14.59637524,8.13434328,0.004343458,0.021124998,297.3 -> 297.3,FFA,259024.516,281834.5146,276461.3183,290116.3023,247335.3376,250230.417,258319.3189,242407.3777,252782.679,254543.3771,255445.4781,268173.6184,294222.1201,303917.2229,301253.4391,271967.2991,277724.7197,281972.2193,67751.44473
Lyso_PC(8:0),0.192432414,7.139028369,8.195078792,0.004200417,0.021124998,384.2073 -> 184.1,PC,1613.380114,1351.025099,1634.940113,1716.340126,1595.680115,1394.260105,1587.980114,1690.280117,1663.240105,1624.320118,1245.800079,1264.680096,1354.30011,1260.240097,1492.98011,1396.760098,1433.300106,1360.140095,1392.8801
PC (32:0),0.185478808,10.13487072,8.167809343,0.004264038,0.021124998,734.6 -> 184.1,PC,12310.83838,10349.08326,10515.4808,10523.98077,12786.00094,12146.70091,11740.36077,13632.18098,12889.18087,14252.82101,9350.520641,10192.90086,10511.62077,11041.26087,11201.18071,9292.080643,9935.940754,11267.1608,19829.74146
C18:3,0.174987726,10.62645961,7.296894884,0.006907388,0.032566416,277.3 -> 277.3,FFA,18295.93381,15516.34858,19019.8014,17167.5013,19984.10147,17476.98124,17198.72116,19069.0813,18094.78129,18356.5013,17341.40117,17613.80124,17171.18122,15977.48107,15251.54107,14293.64103,14050.26098,12431.48083,11279.7808
SM (d16:1/18:1),0.180801006,7.283317102,7.272902845,0.007000258,0.032566416,701.6 -> 184.1,PC,1721.515127,1453.907608,1755.080132,2010.940132,1638.30014,1683.320129,1734.800125,1568.260105,1765.36013,1616.06012,1693.240128,1257.660099,1401.060101,1353.980103,1593.540108,1371.620117,1454.840096,1505.32011,2382.440159
PCo(32:0),0.170871407,7.72800216,6.616337069,0.010104745,0.046008837,720.6 -> 184.1,PC,2281.245159,1938.270134,1981.020138,1972.100132,2129.580147,2041.680138,2479.680164,2302.260139,2633.580189,2710.060226,2104.040138,1784.820114,1835.840126,2520.720154,1593.160118,2027.900146,1785.74012,1853.940159,4154.520264
PC (36:8),0.171093932,7.403495046,6.551594236,0.010479022,0.046718975,774.5 -> 184.1,PC,1864.895133,1584.73511,1908.140141,1792.800117,1895.760132,1955.80014,1965.96014,1912.360142,1785.320129,1703.020123,1693.940113,1371.660088,1544.960121,1397.400093,1655.66011,1716.660122,1609.480118,1688.120117,2613.340179
PC (40:6),0.170146597,7.17720145,6.417907049,0.011297523,0.048491831,834.6 -> 184.1,PC,1633.815118,1388.925097,1428.620083,1610.480133,1529.680111,1661.86013,1746.300144,1765.380108,1689.520115,1638.680119,1320.040085,1451.060104,1288.300083,1369.260094,1411.2201,1377.5401,1542.320122,1351.660088,1606.340122
PCo(34:2),0.168323219,7.651487779,6.412830438,0.011329867,0.048491831,744.6 -> 184.1,PC,2231.110152,1899.002633,1777.360123,2052.920135,2496.12019,2163.640152,2268.800156,2560.880161,2418.120163,2111.040138,1723.100128,1815.920124,1838.300129,1933.34013,1778.96011,2168.880169,2289.700172,1643.820099,2849.940193
PCo(38:3),0.162494377,7.146821059,5.838270651,0.015681232,0.065799679,798.6 -> 184.1,PC,1574.365109,1345.462596,1389.560097,1567.740105,1580.12011,1522.560112,1692.960102,1606.160114,1636.840126,1598.980106,1302.700092,1386.400105,1328.000095,1224.680084,1421.780106,1289.740082,1346.440094,1463.96011,1904.840141
PC (38:9),0.161694435,7.219188275,5.802383622,0.016004464,0.065864524,800.5 -> 184.1,PC,1650.320116,1412.332601,1581.3601,1646.940125,1545.76012,1475.800102,1704.700104,1629.360123,1811.600121,1807.040134,1373.960094,1591.600109,1738.980129,1570.660118,1364.000103,1186.860077,1101.040081,1371.560097,2079.120136
C20:1,-0.15409218,12.10864067,5.686249603,0.017098359,0.069038656,309.3 -> 309.3,FFA,46475.13331,49533.35598,47815.98343,46270.06312,47064.94344,46161.42326,45600.88325,48700.52367,45444.34299,44742.90329,48023.94291,48309.04365,55958.28371,56694.44386,56321.84424,44483.50326,43764.9432,42710.84302,16399.52112
PC (38:4),0.156085199,8.355795192,5.637587591,0.017579379,0.069478913,810.6 -> 184.1,PC,3588.745258,3081.46772,3460.000256,3428.580223,3787.480293,3794.820282,3769.700222,3582.060268,3476.160213,3411.160305,2590.660198,3610.040241,3005.460232,3052.62022,3362.180199,2797.020214,2868.600178,3365.160278,5126.90036
SM (d18:1/20:0),0.154718889,9.02286856,5.610150438,0.01785673,0.069478913,759.6 -> 184.1,PC,5506.775386,4731.060322,5269.200367,4136.040295,6542.160507,4740.560337,4799.240334,5576.900387,6020.320442,6969.780418,4799.360317,4183.860317,5051.900333,4527.360294,5099.56031,5055.080364,4532.120293,4599.240349,11250.00076
PCo(42:6),0.157099347,7.021750344,5.427322271,0.019824054,0.075756206,848.6 -> 184.1,PC,1469.242605,1259.880092,1448.000099,1333.700108,1359.740101,1492.060089,1284.58009,1465.100105,1660.580135,1710.180115,1377.920105,1349.100098,1266.400097,1137.040085,1212.08009,1254.560097,1128.980068,1352.960098,1308.84008
C24:0,-0.147325286,13.76444879,5.20723679,0.022493056,0.084447613,367.3 -> 367.3,FFA,147357.8729,156367.916,154458.3102,148995.6907,154263.6913,149216.2305,145958.4905,146115.2701,142656.75,137198.5501,154722.251,149923.2706,177777.5921,178770.5121,174660.2722,144832.491,135881.1094,134375.8295,41301.70284
Lyso_PC(20:5),-0.150841376,6.864077868,4.953620203,0.026036094,0.096064209,542.3168 -> 184.1,PC,1175.260081,1249.230088,1221.120079,1250.76009,1150.260075,1137.600079,1131.500069,1176.220089,1193.660088,1140.960079,1197.320095,1157.240078,1320.0201,1453.760094,1288.340084,1197.760075,1163.500084,1215.900093,1313.340096
C14:1,-0.142497643,12.88447481,4.868231756,0.027355517,0.099221705,225.2 -> 225.2,FFA,79187.06069,83439.68095,63146.38434,93327.9268,55413.484,60951.56439,83910.84578,67525.6651,94068.40697,115152.2082,62776.08458,84074.52596,70718.085,74361.94575,82233.88567,65915.08459,95874.56682,131563.2692,40406.66295
C22:4,-0.140049927,11.42361309,4.689683349,0.030344239,0.108227785,331.3 -> 331.3,FFA,28439.52198,29996.47966,28691.24193,29682.86208,27221.88188,28169.06194,27991.74193,27912.44193,30913.26218,26933.68196,30872.7422,29906.58211,31374.94228,30662.32223,29785.2021,30093.76211,27808.00211,29468.28217,20940.64142
C30:0,-0.137364903,12.70964471,4.52319934,0.033438246,0.117307946,451.4 -> 451.4,FFA,71246.21503,75064.2028,80264.40551,81013.74575,73013.16542,71999.48523,70530.58482,69200.02457,61207.46426,62740.84469,72766.36515,73196.66555,75514.88529,81102.50613,80483.84557,70661.96462,74644.42516,72142.96496,18169.7812
C24:1,-0.13390078,13.12891247,4.299881326,0.038115033,0.131558338,365.3 -> 365.3,FFA,95659.95668,100522.6421,94611.96623,97711.88725,100815.9464,97457.26736,92064.98618,95475.847,95505.74692,91636.00608,96703.94675,95283.54668,110247.7475,110996.8081,111013.6281,94965.34666,92252.44631,92717.66634,20766.1415
PC (36:3),0.135953684,8.274280842,4.266398672,0.038873235,0.132045591,784.6 -> 184.1,PC,3321.827744,2892.277704,2904.500225,3126.140209,3689.560307,3176.74025,3223.420261,3276.780212,3423.500256,3753.980228,3306.560272,3208.240242,3108.260212,2537.380157,2890.800179,2681.840195,2541.900169,2863.240204,5613.92038
Lyso_PC(3:0),-0.137607822,7.125604021,4.19099667,0.040639199,0.13588732,314.129 -> 184.1,PC,1430.887603,1505.220104,1427.580109,1504.860111,1415.800098,1361.100101,1259.680088,1559.40012,1488.400105,1430.28009,1484.600098,1338.740089,1643.000103,1364.62009,1327.840088,1601.180111,1588.280132,1693.500122,1325.320107
C28:0,-0.1295701,12.64011765,4.024217508,0.044851421,0.145427336,423.4 -> 423.4,FFA,67739.1524,70989.97501,72857.24531,71727.94521,68631.80516,68991.70509,66317.72482,68605.70486,63882.5044,60898.58435,68883.30466,66707.96484,79170.62579,77738.4455,75641.00531,69719.04509,66758.44465,63300.96428,23953.08174
Lyso_PC(14:0),-0.130942839,8.987825065,4.025732273,0.044811163,0.145427336,468.3012 -> 184.1,PC,5355.655392,5609.040376,4767.720417,4898.100357,4688.980396,5727.620392,5001.020359,6202.500412,5373.200352,6186.100449,5580.900436,5763.400368,5970.700359,6170.460434,5834.940403,5050.620358,4854.32029,5646.980362,2486.440147
Lyso_Sphingosine-1-phosphocholine,-0.13458318,6.809625626,3.925992027,0.047545131,0.151860568,465.3379 -> 184.1,PC,1127.41758,1185.145087,1171.700085,1099.820076,1221.040077,1080.34008,1036.600079,1121.400078,1151.820084,1136.620083,1115.32008,1159.420086,1477.500111,1252.600094,1258.300087,1037.320072,1095.620079,1085.080086,1459.200108
Lyso_C17 sphingosine-1-phosphocholine,-0.133024447,6.846040211,3.850831281,0.049721342,0.155285254,451.3223 -> 184.1,PC,1176.105082,1234.345081,1127.360081,1119.700081,1181.920082,1246.760086,1293.960087,1068.600063,1219.320087,1151.220085,1099.040073,1229.300072,1218.100082,1276.960087,1147.600082,1398.62009,1178.400082,1326.740082,1155.92009
SM (d16:1/24:0),0.127870457,9.175396419,3.839159642,0.05006861,0.155285254,787.7 -> 184.1,PC,5873.252926,5142.665393,4867.940395,4938.820351,6509.64048,5738.120407,6205.880505,6090.500416,6110.320412,6524.800446,5041.760361,4988.540291,5400.000427,5394.880493,5629.000484,4781.440327,5007.280403,4898.420357,15561.84098
PC (30:2),0.127737188,7.436029257,3.66396668,0.055601111,0.167586446,702.5 -> 184.1,PC,1922.285141,1684.732617,1908.520142,2507.560181,1582.980114,2220.980156,1423.320107,1914.260151,1996.340149,1824.320126,1529.280117,1836.340149,1763.320107,1656.620117,1720.46011,1714.840111,1575.040112,1681.960114,1994.960133
PC (34:3),-0.127115137,7.721604444,3.667419544,0.055486026,0.167586446,756.6 -> 184.1,PC,2102.922656,2195.597653,1826.160145,1698.980129,2110.900166,2110.540165,2220.760139,2161.700161,2587.840202,2106.500137,2242.280178,2486.440178,1813.520119,2103.340145,2064.120129,2561.140194,2204.660156,2089.280128,3224.540268
PC (40:9),-0.127842075,6.846017449,3.549519784,0.059562686,0.177033538,828.6 -> 184.1,PC,1153.162583,1206.155084,1295.840103,1081.860077,1227.000092,1137.520088,1072.780067,1114.600071,1062.340076,1233.360088,1190.800079,1064.940075,1361.100079,1228.240093,1182.420086,1203.920086,1211.580097,1206.240078,1595.480129
PC (36:0); PCp(38:6),0.122025883,7.352007714,3.32263877,0.06833207,0.197608959,790.6 -> 184.1,PC,1747.782629,1537.090106,1411.240097,1506.580112,2137.280148,1631.08012,1702.040123,1775.94014,2068.020149,1750.080147,1562.100113,1308.580082,1541.540104,1815.840111,1557.300121,1864.600121,1250.200085,1396.560108,2908.000191
SM (d18:1/26:0),-0.124241852,6.726200797,3.326417008,0.068175242,0.197608959,843.7 -> 184.1,PC,1067.352574,1113.202576,1030.180073,1087.760078,1010.700069,1070.500069,1059.100079,1094.400078,1125.720078,1060.460072,1345.44009,1109.420078,1106.120075,1044.760067,1116.340076,1060.600079,1090.380074,1032.56007,1387.600094
C34:0,-0.115346456,11.50598968,3.182483991,0.074431499,0.210055799,507.5 -> 507.5,FFA,30770.7247,31915.50973,31309.94229,31495.96226,29745.84195,31292.72238,31229.1423,32590.46236,28443.00203,30058.72201,31466.04224,32417.22229,31884.44214,35716.38246,35374.22245,29457.32206,30249.6222,28758.82202,15378.28117
Lyso_PC(22:1),-0.120689718,6.895406514,3.178805288,0.074599256,0.210055799,578.4107 -> 184.1,PC,1217.165086,1266.680088,1300.260086,1200.060081,1160.62009,1346.10009,1175.680092,1135.82008,1226.820091,1191.960075,1299.100094,1132.800087,1218.440079,1370.880093,1198.040089,1301.500099,1389.10009,1223.580074,1289.440098
PC (30:1),0.114671428,9.629029328,3.107495853,0.077932695,0.216592167,704.5 -> 184.1,PC,8201.725595,7238.890514,6580.64048,6804.020447,7546.000557,8395.040562,7134.860508,9226.420719,10787.88076,9138.940727,7898.9006,7578.200615,7235.680557,6955.960419,7158.020512,7050.920467,7332.320488,6701.120453,18346.84108
Lyso_PC(18:0),0.116695326,7.658930496,3.082768511,0.079125732,0.217088548,524.3638 -> 184.1,PC,2184.445148,1929.362642,2212.880177,2113.66016,2140.140114,2583.460163,2222.760155,2162.000137,1983.980141,2056.680141,1827.400143,2135.480164,1788.180141,2154.98016,1973.500118,1988.800159,1893.900143,1672.660107,3154.540203
SM (d16:1/24:1),0.113604765,8.209116207,2.974004099,0.084612188,0.229202636,785.6 -> 184.1,PC,3150.382729,2784.53519,2709.840176,3060.460239,2752.840195,3634.140259,3229.360245,3527.180264,2851.840191,3437.400261,2731.020176,2861.880211,2691.820194,2633.500164,3328.000256,2074.84013,2940.700191,3014.520199,5384.400352
PC (36:2),0.103779366,9.679797805,2.545262077,0.110625553,0.295923355,786.6 -> 184.1,PC,8158.318068,7254.685543,7081.820599,6666.380421,7502.080528,8220.460548,7004.380474,9990.3806,9673.520737,9127.520634,6658.640575,7246.860535,7511.86047,7733.52063,7114.240547,7420.520508,7061.360577,7290.480499,23948.56193
