Majority protein IDs,logFC,PValue,FDR,Fold_change,average_C_lfq,average_R_lfq,MS_C_average,MS_R_average,Gene names
A0A0G2K6J0;Q7TP88;Q4V8K1,31.2064404,1.13E-21,5.15E-19,2477847756,0,307648000,0,20.4,Steap4
D3ZYQ3,31.28148744,1.05E-21,5.15E-19,2610153388,0,323986000,0,19.4,Tnfaip2
F1LW83;M0R672,31.48821082,8.80E-22,5.15E-19,3012284360,0,374124000,0,24.2,Mpa2l;LOC498435
M0RBJ7;M0RBF1;P01026,33.26976458,1.85E-22,5.15E-19,10356120318,0,1285940000,0,69,C3
P09034,32.32646154,4.22E-22,5.15E-19,5385606000,0,668458000,0,36.6,Ass1
Q5U2Z4,32.03768252,5.44E-22,5.15E-19,4408627738,0,547596000,0,29.4,Nfkb2
Q6AYB0,-31.45013245,9.25E-22,5.15E-19,3.41E-10,369520000,0,0.8,0,Zc3h8
Q9JKB7;Q9WTT6,31.59605429,8.01E-22,5.15E-19,3246086481,0,403024000,0,30.6,Gda
Q5XIU1,30.93990841,1.42E-21,5.78E-19,2059873230,0,252180000,0.8,1.4,Abtb1
D3ZV82,30.17423487,2.78E-21,5.95E-19,1211573576,0,150240000,0,14.2,LOC685067
E9PT22,30.08185294,3.02E-21,5.95E-19,1136423121,0,141106000,0,14.6,NA
F1M9F6;B5DF73,29.96289032,3.35E-21,5.95E-19,1046474722,0,129850000,0,12.6,Gbp5
G3V826,-30.08789384,3.05E-21,5.95E-19,8.76E-10,142780000,0,11.4,7.8,Tkt
M0R3N4,30.10371515,2.96E-21,5.95E-19,1153775309,0,143292000,0,12.6,Vat1l
M0RC17,30.00981383,3.21E-21,5.95E-19,1081070774,0,134212000,0,11.8,Chl1
P63259,30.14391325,2.86E-21,5.95E-19,1186375239,0,145242000,61.2,35.2,Actg1
Q00238,30.43805727,2.21E-21,5.95E-19,1454682610,0,180636000,0,9.6,Icam1
Q68FU7,-29.96048976,3.41E-21,5.95E-19,9.57E-10,131714000,0,3.2,0.4,Coq6
