Majority protein IDs,logFC,PValue,FDR,Fold_change,average_C_lfq,average_R_lfq,MS_C_average,MS_R_average,Gene names
Q6P734,30.361238,2.36E-21,5.95E-19,1379251111,0,171364000,0,15,Serping1
Q8R427;G3V9J6;D4A0Y9;P43245;Q9JK64;Q6PSM0;Q3B7L2,30.21388563,2.69E-21,5.95E-19,1245334045,0,154674000,0,15.4,Abcb1b;Abcb1;Abcb1a;Mdr1a
Q9WTV1,30.23349077,2.64E-21,5.95E-19,1262372704,0,156604000,0,15.8,Chi3l1
F1LQH2,29.84737269,3.70E-21,6.04E-19,965949611.6,0,119948000,0,16.8,Nfkb1
G3V8G4;P55068;P55068-2;A0A0G2JYH8,-29.83843688,3.80E-21,6.04E-19,1.04E-09,120758000,0,16.6,0,Bcan
A0A0G2K327;Q8K4M9,-29.77962408,4.00E-21,6.10E-19,1.09E-09,115925400,0,8.8,0.4,Osbpl1a
G3V6L4;A0A0G2K070,29.70142709,4.21E-21,6.16E-19,873012512.7,0,108398400,0,13.6,Kif5c
P30152,29.60673697,4.57E-21,6.20E-19,817552973.5,0,101173800,0,4.8,Lcn2
P84039,-29.65622348,4.45E-21,6.20E-19,1.18E-09,106425200,0,8.2,0,Enpp5
D3ZA22,29.56360512,4.75E-21,6.21E-19,793472576.7,0,98460800,0,11.4,Trim47
Q9WVJ6;Q6P6R6,29.5043842,5.00E-21,6.31E-19,761560914,0,94542800,0,8.8,Tgm2
D4ACN7;A0A0G2K695,29.34026327,5.77E-21,7.05E-19,679671914.6,0,84450600,0,11.6,Myof
P85108,-29.22516382,6.50E-21,7.67E-19,1.59E-09,78500000,0,5,4.4,Tubb2a
D3ZEZ9;F1M155,29.1678707,6.72E-21,7.68E-19,603120362.3,0,74906200,0,12.4,Svil
Q05030;Q003I6,29.09288179,7.17E-21,7.72E-19,572571962.4,0,71174000,0.4,2,Pdgfrb
Q05096;Q05096-3;Q05096-2,29.09873163,7.14E-21,7.72E-19,574898343.6,0,71383800,0,9.2,Myo1b
A0A096MJT3;A0JN02;Q5I0G8;Q6XUZ7;E9PST0;A0A096MJN4;A0A0G2JVC7;Q6XUZ6;A0A096MJW0,28.92558616,8.30E-21,7.91E-19,509881290.3,0,63306600,0,8,4-Sep
A0A0G2K872;Q1WIM3,-28.96731792,8.14E-21,7.91E-19,1.91E-09,66095000,0,10.6,0,Cadm3
F1LZ05,28.85710789,8.82E-21,7.91E-19,486244905.2,0,60425200,0,8,Parp14
P02793;Q7TP54;M0R6L9;M0R5T8;F1M5T1;M0R597;M0RCS3,-29.01082854,7.84E-21,7.91E-19,1.85E-09,68057800,0,10.2,0,Ftl1;Fam65b;RGD1560687;RGD1566189;LOC100359668;LOC100362384;Ftl1l1
P23978,-28.79963409,9.43E-21,7.91E-19,2.14E-09,58790000,0,4.2,0,Slc6a1
P97706;F1LQQ7,28.79937791,9.28E-21,7.91E-19,467171786.7,0,58031800,0,4.4,Scn7a
Q6P762,-28.85475795,8.99E-21,7.91E-19,2.06E-09,61056800,0,6.6,0,Man2b1
Q6P7B3;D4A9N5,28.85072253,8.87E-21,7.91E-19,484097542.3,0,60036600,0.4,7.6,Trim25
Q9ESN0,28.96514387,8.02E-21,7.91E-19,524055320.7,0,65049200,0,8.8,Fam129a
Q9JHZ9,-28.78989492,9.51E-21,7.91E-19,2.15E-09,58409400,0,6.8,0,Slc38a3
D3ZVG3;P70581-3;P70581-4;P70581-2;P70581,-28.76256417,9.74E-21,7.92E-19,2.20E-09,57172400,0,2.6,0.4,Nupl1
A0A0G2K4X5;Q80Z36,-28.72855459,1.00E-20,7.93E-19,2.25E-09,55975200,0,8.6,0,Zhx3
Q498T9,28.69238594,1.02E-20,7.93E-19,433779292.9,0,53901800,0,7.2,Lrrc8c
A0A0G2JW85;Q9QYJ2,28.48106013,1.23E-20,8.13E-19,374673871.9,0,46591000,0.4,7,Rasa3
A0A0G2JXT9,28.54451485,1.16E-20,8.13E-19,391521107.9,0,48575200,0,4.6,NA
A0A0G2JZ69;A0A0G2K1Y8;P16086;A0A0G2K1E7;C9EH87,-28.6109686,1.11E-20,8.13E-19,2.44E-09,51564000,0,2,0.4,Sptan1
A0A0G2K847;G3V9U1;B0BND8,28.46404787,1.24E-20,8.13E-19,370281665.1,0,45966200,0,6.8,Agap1;Centg2
A9CMC8;Q02401,28.47673047,1.23E-20,8.13E-19,373551125.2,0,45732000,5.2,7.6,Lct
B1WBY5,-28.51675658,1.21E-20,8.13E-19,2.60E-09,48301800,0,7.4,1.4,Dnajc11
B4F773;P0C5X8,-28.48872475,1.24E-20,8.13E-19,2.65E-09,47385400,0,5.6,0,Ttyh1
F2Z3T7;Q6I7R3,-28.51025299,1.22E-20,8.13E-19,2.62E-09,48068200,0,6.4,0.8,Isoc1
M0R7B4,28.49347883,1.21E-20,8.13E-19,377912979.1,0,46266000,6.6,5,LOC684828
D3ZUM2,-28.46150957,1.27E-20,8.14E-19,2.71E-09,46489600,0,7.8,0.4,Sarm1
Q6IRF7;O55145,28.42200532,1.29E-20,8.15E-19,359646747.6,0,44650000,0,4,Cx3cl1
G3V8V3;B1WBU9;P09812,-28.41464238,1.32E-20,8.20E-19,2.79E-09,45268000,0,1.8,0,Pygm
B2LYI9;A0A0G2K1L0,28.31654359,1.42E-20,8.37E-19,334294316.7,0,41524000,0,5.2,Tnc
D3ZRX9,28.32030359,1.41E-20,8.37E-19,335166702.2,0,41623800,0,6.4,Cnn2
O70595;A0A0G2K4U1;Q9Z1S2,-28.31660544,1.44E-20,8.37E-19,2.99E-09,41784000,0,1,0,Abcb6
P48303,-28.32729952,1.43E-20,8.37E-19,2.97E-09,42354400,0,6.4,0,S1pr1
B2RYP0;A0A0G2K6E0,-28.28498204,1.48E-20,8.44E-19,3.06E-09,41099200,0,3.4,1.4,Rhoc
D3ZII1,-28.13618203,1.69E-20,8.44E-19,3.39E-09,37096800,0,5.8,0,Rftn2
D4A6T1;A0A0G2K0I1;F1M5A4,-28.1693475,1.64E-20,8.44E-19,3.31E-09,37796000,0,2,2.2,Spata5;Katnal2
G3V7Q4;Q63745,28.13349349,1.66E-20,8.44E-19,294459399.5,0,36541400,0.4,4.8,Ptpn12
P06762,-28.10594764,1.73E-20,8.44E-19,3.46E-09,36362200,0,8.4,0.4,Hmox1
P07171,-28.16398268,1.65E-20,8.44E-19,3.33E-09,37837000,0,4.4,0,Calb1
P22791,-28.11533827,1.72E-20,8.44E-19,3.44E-09,36588600,0,6.2,0,Hmgcs2
Q3MHC0;F1M065,-28.1057917,1.73E-20,8.44E-19,3.46E-09,36339600,0,6.2,0,Jam2
Q496Z2,-28.09249603,1.75E-20,8.44E-19,3.49E-09,36012000,0,5.6,0,Tril
Q4KM35,28.19920325,1.57E-20,8.44E-19,308181122.5,0,38262000,0,3.4,Psmb10
Q6TMA8,28.16195523,1.62E-20,8.44E-19,300326228.5,0,37294400,0,7,Angptl4
Q810D0;A0A096MK54;G3V9G5,-28.09390026,1.75E-20,8.44E-19,3.49E-09,36110600,0,5,0,Synm
Q8K4C0;A0A0G2JSQ2,28.1652976,1.62E-20,8.44E-19,301022816.8,0,37388200,0,4.6,Fmo5
A0A0G2K2M8;D3ZM62;D3ZQG6,-27.97012943,1.95E-20,8.60E-19,3.80E-09,33090600,0,4.2,0,Trim2
A0JPM7;Q66HI5;Q6AYV6;Q2TA66;Q5FVS1;P19132,-27.97482734,1.94E-20,8.60E-19,3.79E-09,33189600,0,5.6,0.8,Fth1
D3ZUC2,28.02835443,1.82E-20,8.60E-19,273763417.2,0,34025600,0,5,Mov10
F2Z3T8;P63219;Q45QK8,-28.02460986,1.86E-20,8.60E-19,3.66E-09,34342600,0,2.2,0.4,LOC100360499;Gng5
G3V9S9;A0A0G2QC63,27.95694982,1.94E-20,8.60E-19,260543644.7,0,32365400,0,3.4,Sec24d
P10688;A6Y857,-28.01481713,1.88E-20,8.60E-19,3.69E-09,34124600,0,2.4,0.6,Plcd1
P84087,-28.0107248,1.88E-20,8.60E-19,3.70E-09,34016800,0,4.8,0,Cplx2
A0A0G2K2T4;Q76LU2;Q9QYP1,-27.82126385,2.22E-20,8.73E-19,4.22E-09,29832000,0,4.2,0.4,Lrp4
B2GUX7,-27.81412322,2.24E-20,8.73E-19,4.24E-09,29685200,0,3.2,0,Creg1
D3Z9E6,-27.78831411,2.29E-20,8.73E-19,4.31E-09,28972000,0,0.8,0.8,Cpsf2
D3ZBM3,-27.91828228,2.04E-20,8.73E-19,3.94E-09,31915600,0,6.2,0,Fech
D3ZQD3,-27.82979045,2.21E-20,8.73E-19,4.19E-09,30019000,0,4.8,0,Ogdhl
D3ZZL3,-27.8106845,2.24E-20,8.73E-19,4.25E-09,29625400,0,4.6,1.2,Naglu
D4A5Q2,-27.83420555,2.20E-20,8.73E-19,4.18E-09,30125200,0,4.4,0,Smc2
F1MAD9,-27.84414062,2.18E-20,8.73E-19,4.15E-09,30318200,0,5,0.4,Smc4
F2W8B2;P21451,-27.9061132,2.06E-20,8.73E-19,3.98E-09,31649000,0,4.2,0,Ednrb
P32215-5;P32215-3;P32215-4;P32215-2;P32215,-27.83925916,2.19E-20,8.73E-19,4.16E-09,30212000,0,3.6,0,Adcyap1r1
Q5PQL7,-27.80456554,2.26E-20,8.73E-19,4.27E-09,29503800,0,4,0.8,Itm2c
Q5XI86,-27.85523333,2.16E-20,8.73E-19,4.12E-09,30616800,0,3.8,1,Ptrh2
Q66HG9,-27.78676078,2.29E-20,8.73E-19,4.32E-09,29112400,0,4.8,0,Mavs
F1LST1;A0A096P6L8;P04937-4;P04937-2;P04937-3;P04937,27.75197719,2.32E-20,8.76E-19,226035978.6,0,28152200,0,4.4,Fn1
P20417,27.72402661,2.38E-20,8.77E-19,221698936,0,27543000,0,5.2,Ptpn1
Q499V1,27.71681449,2.40E-20,8.77E-19,220593415.2,0,27392800,0,5.2,Upp1
Q6AYS8,-27.75137365,2.36E-20,8.77E-19,4.43E-09,28696000,0,0.8,0.4,Hsd17b11
D3Z9V1;D4A8H1,27.68733901,2.46E-20,8.85E-19,216132234.4,0,26836400,0,5.6,Relb
D4ADS6,-27.70203755,2.47E-20,8.85E-19,4.58E-09,27464800,0,2.2,0,Ints7
Q95938;Q8SEZ6;Q8HIC9;Q06QK0;Q06QA9;A0A0A1FZ34;P05503,-27.67411327,2.53E-20,8.99E-19,4.67E-09,26987400,0,5,0.4,Mt-co1;COI;CO1;COX1;Mtco1
D3Z8E0,27.63301335,2.58E-20,9.07E-19,208144955,0,25942800,1.4,4.2,Rps6ka3
A0A0H2UHF5;P49655,-27.63502893,2.62E-20,9.12E-19,4.80E-09,26211600,0,4.4,0,Kcnj10
D3ZAS1,27.58605023,2.69E-20,9.27E-19,201478441.2,0,24666000,10.2,8,RGD1562399
Q66H06,-27.5927101,2.72E-20,9.29E-19,4.94E-09,25499400,0,2,0,Tspan3
D3ZW56;D3ZNW5;P97685-3;P97685-2;P97685,27.50150548,2.89E-20,9.34E-19,190010707.1,0,23598000,0,4.6,Nfasc
F1LNV4;A0A0G2K866;Q704E8;A0A0G2KAC7,-27.49369155,2.96E-20,9.34E-19,5.29E-09,23807800,0,3.4,0.4,Abcb7
G3V6N2;B5DEM3;A0A0G2K8M5,-27.53360726,2.86E-20,9.34E-19,5.15E-09,24406200,0,3.6,1.2,Tmed4
G3V7N9;P31721,27.48026406,2.95E-20,9.34E-19,187233592.1,0,23052600,0,3.4,C1qb
G3V913;P42930,27.54241656,2.79E-20,9.34E-19,195476042.4,0,24159800,0,3.2,Hspb1
M0R3Z8,-27.48965961,2.97E-20,9.34E-19,5.31E-09,23748200,0,4.2,1.4,Rbm15
P17955,-27.46583179,3.04E-20,9.34E-19,5.39E-09,23343400,0,3,0.4,Nup62
P27881;O54892,27.45271393,3.02E-20,9.34E-19,183692047.8,0,22907800,0,3.8,Hk2
Q5D006;Q6IE71,27.47726397,2.95E-20,9.34E-19,186844643.8,0,23188800,0,3.8,Usp11
Q63688;A0A0G2K4N5;G3V787,27.44980745,3.03E-20,9.34E-19,183322351.4,0,22772600,0,4.8,Cyp7b1
Q792I0,-27.56606622,2.78E-20,9.34E-19,5.03E-09,25017200,0,4.2,2.2,Lin7c
Q91XV6-2;Q91XV6;A0A0G2K1I7,-27.48122386,2.99E-20,9.34E-19,5.34E-09,23514200,0,2.8,0.8,Fxyd6
G3V7K5,-27.45192617,3.07E-20,9.37E-19,5.45E-09,23125600,0,3.4,0,Npc1
A0A0G2JSS9;Q0ZHH6-2;Q0ZHH6,27.29469524,3.47E-20,9.39E-19,164634932.7,0,20520600,0.8,3.4,Atl3
A0A0G2K0B0;Q5XIM5,27.31763356,3.40E-20,9.39E-19,167273488,0,20834600,0,3.2,Cdv3
A0A0G2K728,27.28683449,3.49E-20,9.39E-19,163740332.6,0,20411800,0,3,NA
B1H268;Q2TA67,-27.40740825,3.19E-20,9.39E-19,5.62E-09,22388800,0,4,1.8,Mcmbp
B1WC70,-27.37298852,3.29E-20,9.39E-19,5.75E-09,21845600,0,3.4,0.4,Ppp1r8
D3Z9N3;A0A0G2K9E5,-27.30201638,3.50E-20,9.39E-19,6.04E-09,20858200,0,3.6,0,Lars2
D3ZYR1,-27.36987708,3.30E-20,9.39E-19,5.77E-09,21829400,0,3.6,0.8,Fcho2
E9PT24;Q7TP68;F8WG35;Q62947-2;Q62947,-27.38679741,3.25E-20,9.39E-19,5.70E-09,22120600,0,4,0.4,Zeb1
F1LMV9,-27.42226376,3.15E-20,9.39E-19,5.56E-09,22630000,0,4.2,1.6,Coro2b
F1LQZ9;Q63560-2;Q63560,27.32245979,3.38E-20,9.39E-19,167834003,0,20841600,0,3,Map6
F1M8L9;Q9QYV3,27.38776169,3.20E-20,9.39E-19,175605366.4,0,21811600,0.6,2.4,Rapgef1
P07483,-27.42704173,3.14E-20,9.39E-19,5.54E-09,22700600,0,4.2,0,Fabp3
P08635,27.28880878,3.49E-20,9.39E-19,163964560.1,0,20272000,0,0.8,Olah
Q5RJP4;F1M7N2;O35795;O35795-2,-27.40252838,3.21E-20,9.39E-19,5.64E-09,22340800,0,2.8,0.4,Entpd2
Q6P6T4-2;Q6P6T4,27.27900945,3.52E-20,9.39E-19,162854624.6,0,20133200,0,3.4,Eml2
Q7M079,27.33858325,3.34E-20,9.39E-19,169720224.4,0,20778000,5.2,5.2,Hsp90b1
Q9R175,27.34245004,3.33E-20,9.39E-19,170175727.5,0,21123400,0,4,Ifitm2
B2RZ08,-27.2766295,3.58E-20,9.41E-19,6.15E-09,20488000,0,0.4,0,Tmem263
D3ZRC4;A0A0G2K621,-27.24214856,3.69E-20,9.41E-19,6.30E-09,20006800,0,3.2,0.4,Pnpla8
D3ZZQ0;A0A0G2K490,-27.24032438,3.70E-20,9.41E-19,6.31E-09,19986600,0,3.2,0,Tnik
D4AAT4,-27.26759729,3.61E-20,9.41E-19,6.19E-09,20349200,0,3.2,3.4,Snrpf
M0R8C6;P97689;P97689-2,-27.23936013,3.70E-20,9.41E-19,6.31E-09,19934800,0,4,0,Slc14a1
P23606,27.24290699,3.63E-20,9.41E-19,158829867.3,0,19737800,0,3.8,Tgm1
P37805;A0A0G2K6I5,-27.25848521,3.64E-20,9.41E-19,6.23E-09,20203800,0,4,0,Tagln3
B5DEH4,-27.1767456,3.91E-20,9.67E-19,6.59E-09,19037000,0,3.4,2.4,Uap1l1
F1LPQ4;P70498,-27.19035368,3.86E-20,9.67E-19,6.53E-09,19275400,0,3.2,0,Pld2
F1M2K3;P61959;Q5XIF4,27.15885045,3.91E-20,9.67E-19,149840299.5,0,18344200,3.6,2.8,Sumo2;Sumo3
P97531;A0A0G2K7Y5,27.17841715,3.84E-20,9.67E-19,151886367.7,0,18851200,0,4.6,Trip10
P30919,-27.16278725,3.96E-20,9.72E-19,6.66E-09,18919000,0,3.2,0.8,Aga
Q5RKH7,-27.15450124,3.99E-20,9.72E-19,6.69E-09,18737400,0,2.6,0,Slc35f6
Q9P290,-27.14756961,4.01E-20,9.72E-19,6.73E-09,18662400,0,2.6,0,Slc22a17
A0A0G2JXM6;Q6AXT7,-27.1387695,4.04E-20,9.73E-19,6.77E-09,18611800,0,0.4,0.4,Rbm42
A0A0A0MY22;P82450,-27.10451168,4.17E-20,9.86E-19,6.93E-09,18168600,0,4.6,0,Siae
A0A140TA95;G3V9F3;A0A0G2JUR5;Q9ERE6-2;Q9ERE6,27.04969977,4.30E-20,9.86E-19,138921992.4,0,17245000,0,3,Mprip
B0K024;G3V7V2,27.04160935,4.33E-20,9.86E-19,138145119.2,0,17236600,0,3.2,Aamp
D3Z9E1,-27.11200068,4.14E-20,9.86E-19,6.89E-09,18422600,0,0.4,0,Emilin1
D3ZD80,-27.06993631,4.29E-20,9.86E-19,7.10E-09,17737200,0,2.8,0,Gtf3c4
D4A383;A0A0G2K0W3,-27.04391774,4.39E-20,9.86E-19,7.23E-09,17412600,0,2.6,0,Ttyh3
G3V7M6;P20294,27.02628474,4.39E-20,9.86E-19,136685478.4,0,17071400,0,2.6,Cntf
M0R9Y3;B0BNB5,-27.0708287,4.29E-20,9.86E-19,7.09E-09,17762000,0,3.8,1.4,Nup43
Q4V7D9,-27.04437471,4.39E-20,9.86E-19,7.22E-09,17378200,0,3,0,Smpdl3b
Q5XIW0;O35093,-27.07853385,4.26E-20,9.86E-19,7.06E-09,17870200,0,2.4,0.4,Timm23
Q812B0;Q6PCT8,-27.07795547,4.26E-20,9.86E-19,7.06E-09,17817800,0,2,0,Lrrp1;Sdhd
D3ZKG5;B2RYL9,-27.01851116,4.49E-20,9.91E-19,7.36E-09,17067000,0,2.8,0,Parvb
F1LV89,-27.02925453,4.45E-20,9.91E-19,7.30E-09,17260400,0,2.8,0,Rap1gap
Q3MHT2;Q99P39-2;Q99P39;Q5FWU2,-27.01068826,4.52E-20,9.91E-19,7.40E-09,16969600,0,2.8,0.4,LOC100911034;Nfs1
Q63002;G3V824,-27.01145175,4.52E-20,9.91E-19,7.39E-09,17064400,0,1.4,0,Igf2r
A0A0G2JVQ1;Q5BJT9;B0BNC0;P25809;P09605,26.92488752,4.79E-20,9.99E-19,127408608.4,0,15598000,4.4,9.6,Ckmt1b;Ckmt2;Ckmt1
A1A5Q1,26.9517722,4.68E-20,9.99E-19,129805133.8,0,16131600,0,3.2,Parp9
D3ZN76,26.95645144,4.66E-20,9.99E-19,130226827.3,0,16079400,1.4,2.6,Sec16a
D3ZS58,-26.93571768,4.83E-20,9.99E-19,7.79E-09,16130200,0,2.2,0,Ndufa2
D4A4Y0,-26.97812369,4.65E-20,9.99E-19,7.56E-09,16633600,0,4,0,Exosc4
D4AD05;F1M6Q2,-26.9600781,4.73E-20,9.99E-19,7.66E-09,16443600,0,0.8,0,Crocc
D4ADD7,-26.9670355,4.70E-20,9.99E-19,7.62E-09,16528600,0,2,1.4,Glrx5
E9PU42;B1H223,-26.94379878,4.80E-20,9.99E-19,7.75E-09,16261000,0,2.2,1.6,Dscr3
Q3MHS8;G3V7F6,-26.98346426,4.63E-20,9.99E-19,7.54E-09,16584200,0,1.8,0,Sap18;RGD1561590
Q6AXT8,-26.93828441,4.82E-20,9.99E-19,7.78E-09,16159400,0,2.6,0,Sf3a2
A0A096MJR6,26.85772477,5.09E-20,1.01E-18,121613215.4,0,15117400,0,2.8,Parp4
A0A0G2JVG4;Q9WVK3;A0A0G2JUF1;A0A0G2K6H4,-26.8870354,5.04E-20,1.01E-18,8.06E-09,15614000,0,3.8,0,Pecr
B2RYA4,26.86301559,5.06E-20,1.01E-18,122060028.1,0,14943200,5,4.6,Sytl3
D3ZA31,-26.88998316,5.03E-20,1.01E-18,8.04E-09,15634600,0,3,0,Mtmr2
M0R5H1,26.8722012,5.02E-20,1.01E-18,122839661.4,0,15240400,0,1,Etl4
Q03348,26.89037222,4.94E-20,1.01E-18,124396635.3,0,15454200,0.8,2,Ptpra
Q5PPP1;P08081-2;A0A0G2JYW3;P08081,-26.90592445,4.96E-20,1.01E-18,7.95E-09,15970400,0,0.4,0,Clta
Q76EQ0,-26.92071189,4.89E-20,1.01E-18,7.87E-09,15926000,0,3.6,0.4,Srr
D4A131,-26.867516,5.13E-20,1.01E-18,8.17E-09,15367600,0,4.8,0.4,Mrpl4
A0A0G2JXZ3,26.82736188,5.22E-20,1.01E-18,119080495,0,14812000,0,1.8,NA
G3V7A5;P35952,26.83134297,5.20E-20,1.01E-18,119409549.1,0,14732200,0,2.4,Ldlr
Q08013,26.82979124,5.21E-20,1.01E-18,119281184.1,0,14603000,3.8,4,Ssr3
A0A0H2UHY3;A0A0H2UHW7;Q5M960;Q62813;Q62813-2,-26.83593885,5.27E-20,1.01E-18,8.35E-09,15084000,0,2.4,0,Lsamp
F1LUM5,26.81208556,5.29E-20,1.01E-18,117826234.8,0,14647200,3.2,2.4,Tubal3
Q5M7W5;Q5M7W5-2,26.78661055,5.41E-20,1.03E-18,115763928.9,0,14172400,0.4,0,Map4
D3ZIL9;A0A0G2K6W6,-26.78331114,5.52E-20,1.04E-18,8.66E-09,14535400,0,3.2,2.2,Dis3l2
F1LXF5,-26.78574525,5.51E-20,1.04E-18,8.64E-09,14579400,0,2,0.4,Get4
D3ZX69;P0C2C4,-26.7673881,5.60E-20,1.04E-18,8.75E-09,14344000,0,2.6,0,Mrpl10
P27139,-26.7636374,5.62E-20,1.04E-18,8.78E-09,14316800,0,2.2,0,Ca2
Q80VX4,-26.77270755,5.57E-20,1.04E-18,8.72E-09,14422400,0,3.4,0,Zhx2
B5DFF4,26.73855242,5.65E-20,1.04E-18,111971196.3,0,13947000,0,2.2,Vps37c
A0A0G2KAB2;Q9Z2A6,-26.73963794,5.74E-20,1.05E-18,8.92E-09,14113600,0,3.2,3.2,Mapk15
D4A188,-26.70848674,5.89E-20,1.06E-18,9.12E-09,13806200,0,3.4,0,Rgma
I6L9G5;A0A0G2K022,26.69116862,5.88E-20,1.06E-18,108353357.6,0,13495600,0,3.6,Rcn3
M0RAQ6,26.68978695,5.89E-20,1.06E-18,108249636.9,0,13682200,0.8,1,Hk1
Q4FZT8,-26.70947353,5.89E-20,1.06E-18,9.11E-09,13770800,0,3,0.4,Spryd4
Q9JIX3,-26.70508069,5.91E-20,1.06E-18,9.14E-09,13761600,0,2.6,0,Fhit
D3ZVP6,-26.67229225,6.08E-20,1.08E-18,9.35E-09,13479200,0,1.8,0,Ppwd1
F1LU71,-26.67128195,6.09E-20,1.08E-18,9.36E-09,13411400,0,2.6,0,Auh
M0R4G8;B0BN34,26.65998476,6.05E-20,1.08E-18,106036430,0,13034000,0,2.2,Tnfaip6
P08289;A0A0G2K0X8,-26.65258076,6.19E-20,1.09E-18,9.48E-09,13299200,0,3,0,Alpl
D3ZD72,-26.63821619,6.27E-20,1.10E-18,9.57E-09,13168600,0,2.4,0,Ncapg
M0RDR2;F1LP80;P20156,26.61399938,6.30E-20,1.10E-18,102709855.7,0,12982000,0,0.6,LOC100909521;Vgf
D4A197,-26.62489357,6.34E-20,1.10E-18,9.66E-09,12998400,0,2,0,Mcee
A0A0G2JY03,-26.60758026,6.44E-20,1.10E-18,9.78E-09,12881400,0,2.2,0,NA
Q64548-2,-26.6053284,6.45E-20,1.10E-18,9.79E-09,12760400,0,1.2,1,Rtn1
Q6F6B2;Q5BK33,26.58537731,6.46E-20,1.10E-18,100692243.2,0,12442400,0.8,2.8,LOC652956
D4A040,-26.58837879,6.55E-20,1.11E-18,9.91E-09,12692200,0,2.8,0,Mrps11
Q498U1;Q5U314,26.57221648,6.53E-20,1.11E-18,99777866.16,0,12409200,0,2.2,Abcg3l4;Abcg3l2
B1WBS6,-26.58158175,6.59E-20,1.11E-18,9.96E-09,12624600,0,0.8,0,Glb1l
D3ZHI8;A0A0G2K1K5,-26.57141434,6.65E-20,1.11E-18,1.00E-08,12576600,0,2.4,0.4,Trappc11
M0R835,-26.56716229,6.67E-20,1.11E-18,1.01E-08,12494800,0,1,0.4,Sf3b6
Q569C0,-26.57272617,6.64E-20,1.11E-18,1.00E-08,12533200,0,3,0.4,Tmem100
D3ZWC6,-26.56149921,6.71E-20,1.11E-18,1.01E-08,12474200,0,1.8,0.4,Sntb1
D3ZZ19;A0A0G2JZA7,26.51143802,6.89E-20,1.12E-18,95661695.35,0,11883400,0,2.4,Tmem2
F1LQQ8;P06760;Q7TPJ3,-26.52906413,6.90E-20,1.12E-18,1.03E-08,12214600,0,2.4,0,Gusb
G3V914;F1LNE4;G3V6Z5;P19493-2;A0A0G2JU28;P19491-2;P19491;P19491-3,-26.53973206,6.83E-20,1.12E-18,1.03E-08,12295600,0,1.6,0,Gria2;Gria3
P45352,-26.52432103,6.93E-20,1.12E-18,1.04E-08,12140000,0,4,0.4,Tyms
Q66HA7,-26.54467605,6.81E-20,1.12E-18,1.02E-08,12300600,0,1.6,0.4,Cbfb
Q99J86-2;Q99J86,-26.53831043,6.84E-20,1.12E-18,1.03E-08,12267200,0,3.2,0,Atrn
D3ZUV3,-26.50728667,7.03E-20,1.13E-18,1.05E-08,11966600,0,2.6,1.2,Eif2a
Q66HP7;G3V886;Q925S8,26.48468548,7.05E-20,1.13E-18,93904143.62,0,11673400,1,0.8,Yme1l1
P26817;F1LMA4;A0A0G2JZ82;A0A0G2K145;A0A0G2K9S3;P26819,26.46338464,7.19E-20,1.14E-18,92527869.59,0,11494800,0,2.6,Adrbk1;Adrbk2
P52481,-26.48725428,7.16E-20,1.14E-18,1.06E-08,11860720,0,3.6,0,Cap2
Q9R1T3,-26.47172287,7.25E-20,1.14E-18,1.07E-08,11710800,0,2.8,0,Ctsz
F1LN91;C5NTX8,-26.46300814,7.31E-20,1.15E-18,1.08E-08,11653200,0,1.6,0,Tns3;TSN3
