lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,C1-Media_r1,C1-Media_r2,C1-Media_r3,C2-Media_r1,C2-Media_r2,C2-Media_r3,C3-Media_r1,C3-Media_r2,C3-Media_r3,R1-Media_r1,R1-Media_r2,R1-Media_r3,R2-Media_r1,R2-Media_r2,R2-Media_r3,R3-Media_r1,R3-Media_r2,R3-Media_r3,blank
C20:3,-0.8152824459216841,12.642489537059511,156.10404452904027,8.033994633442796e-36,1.7192748515567584e-33,305.3 -> 305.3,FFA,45279.0429954569,44541.6430931017,42147.2830123906,50002.9033622611,54964.9240799166,51368.2235756063,65858.5248412868,75047.2851562339,75783.7851333373,84706.3659439036,95668.4066848675,99818.926857031,76551.6655578451,86832.686111413,85767.506088252,88467.4263458255,103902.327102672,102499.846961965,18531.941375734
C24:6,-0.5831863521636218,13.052280765784097,80.41611703887543,3.033111655106262e-19,3.2454294709637e-17,355.3 -> 355.3,FFA,71560.244888294,69007.2846832491,67930.624649039,82459.545783995,79349.5457916539,80373.8855895685,98926.886901832,93648.5867538529,94933.0066070344,126612.969070435,123748.308982832,127581.609184242,107903.587776189,105740.646774279,105358.707313529,116484.568084706,108761.207870452,105081.787696843,33288.402328494
PC (40:0),0.5599207671336996,8.038042513594835,71.58391218332086,2.6571432391182762e-17,1.8954288439043703e-15,846.7 -> 184.1,PC,3203.0602340698,3270.340255737,3776.8202514647,4192.9802856445,4477.6803169243,5007.8203582767,3162.3802375784,3215.0402412408,3505.7002639774,3236.9202308652,2663.1001777661,2687.8201560985,1880.8401451113,1874.9801292417,2297.6001434324,1911.1801261892,2646.5801963816,2032.5801506036,1443.9400939939
Lyso_PC(18:1),-0.45427180578367693,8.24470225508711,47.43252787662944,5.693011758127773e-12,3.0457612905983585e-10,522.3481 -> 184.1,PC,2579.6802024843,3714.18025589,3298.4602661142,3067.2002410886,3209.4202041612,3107.9402503962,2836.320201873,2658.2201728833,2321.1601791373,4125.2002410872,3310.1202087415,3995.1002502432,4219.3802719117,3487.2002830495,4499.1602973934,3535.5802307129,3325.4002532955,3644.6002578742,3729.0402374264
C15:1,-0.39604805293981293,13.857611889335377,37.240339206029915,1.0443105518484493e-9,4.199200619723636e-8,239.3 -> 239.3,FFA,123377.369812015,138751.969985951,178808.132728595,146236.38983154,147458.190551735,159212.031272907,161169.430694566,165556.071807879,179538.591079715,151155.789962757,166166.811462392,190416.554336562,172547.131896955,180616.911972062,198708.412429805,165488.291351286,215802.195724511,266690.27923584,37924.2226715055
PC (32:2),0.3985425785275495,8.991282269105996,37.00652495943639,1.1773459681468138e-9,4.199200619723636e-8,730.5 -> 184.1,PC,7562.5405807485,7534.1605567915,7321.9804878234,6816.1404953,7134.6204566877,7220.4204483036,5770.1604194656,5796.4604797376,5318.8203849799,4927.7603225706,4326.5003852847,4634.4402999874,4520.7603569034,4647.9603805554,4595.4803466792,4672.3803291325,5613.5404510497,4587.7603301996,6489.4604911808
C22:1,0.34508304833589154,12.378952335071581,28.26128008833075,1.0599513869265564e-7,3.2404228114611868e-6,337.3 -> 337.3,FFA,71803.4052505351,66900.304405205,70559.5050506423,78338.0059890926,76199.6651840395,75694.2855987807,69673.565116851,69354.8446960725,71246.8648757976,54902.9039230174,53683.803600307,55638.6439857693,56041.4234466573,56769.223945611,58151.8039932399,47720.3033027708,46072.9432601966,47084.603363047,16971.0611953724
SM (d18:1/18:0),0.3367078857259401,9.093319040231856,26.452039664325177,2.701630607056354e-7,7.226861873875748e-6,731.6 -> 184.1,PC,7591.6405296313,8482.9604415861,7938.5606117218,6722.1403923038,6620.6204185533,7238.8204917938,5127.0603332516,5469.260364531,5593.0803375242,5211.3803634644,4680.0603790279,4969.5202636706,4857.8803520196,4326.9403190612,5653.3803787243,5409.7003669739,4662.5403404224,4893.620365144,12491.0408744635
PC (38:7),-0.33444149554683245,8.714081250793482,26.009408827122805,3.397575024975061e-7,8.078678392718479e-6,804.6 -> 184.1,PC,4030.9402580246,3163.0002212524,3569.4602699277,6073.9204483036,5280.6003112796,5723.5003776543,4718.2603263848,3941.8003082281,3936.3003005951,4852.1803817761,4162.4402809151,4389.6203002916,5450.7603912375,5307.2803878789,5423.0604095467,5626.2003631593,6626.68050003,5425.7204589813,1529.9600982671
SM (d18:1/16:0),0.3281879517230599,9.880705183882757,25.30952031913975,4.882927180416625e-7,1.0449464166091576e-5,703.6 -> 184.1,PC,13569.7209510619,13008.4208068823,13587.2210349873,10411.9006843593,10843.3405876117,10877.0407486004,7402.9406662011,8094.1605758665,8631.0406188934,8040.180591581,7449.9804306,8350.6806754991,8582.1406669686,8441.6006545985,7543.740547186,7917.6206016595,7455.42056274,7543.400596615,37158.8032455607
