lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,EKO-C1-Cells_r1,EKO-C1-Cells_r2,EKO-C1-Cells_r3,EKO-C2-Cells_r1,EKO-C2-Cells_r2,EKO-C2-Cells_r3,EKO-C3-Cells_r1,EKO-C3-Cells_r2,EKO-C3-Cells_r3,WT-C1-Cells_r1,WT-C1-Cells_r2,WT-C1-Cells_r3,WT-C2-Cells_r1,WT-C2-Cells_r2,WT-C2-Cells_r3,WT-C3-Cells_r1,WT-C3-Cells_r2,WT-C3-Cells_r3,blank
C15:0,0.40792802320965943,12.750751567651417,21.373802766114068,3.778996635925054e-6,6.739210667399679e-5,241.3 -> 241.3,FFA,56948.323883062,89376.787048338,100584.247161867,50702.663253779,50078.583587654,54909.643661484,40262.46295166,41818.402908329,47115.9832916343,48069.023208637,52688.843521127,53777.563705455,42091.302848811,43323.042846679,44754.4634361145,38836.562683105,42836.042922983,42237.922912598,39058.582794191
PCo(32:3),0.4117383641986374,8.84728955699144,21.43011225966741,3.669625004067617e-6,6.739210667399679e-5,714.5 -> 184.1,PC,3528.0002403264,3213.5002517702,2316.1401672361,5001.2603378272,6021.8804092396,5265.8204040529,3369.3402404774,3748.3402366647,3180.4002380362,2804.600212096,3423.2802658084,2568.9201698305,3206.4402275104,3430.360256193,2595.9401893613,3160.0602302571,2682.5601692198,3301.0202255242,2886.2202224731
PC (34:4),-0.4072148412988754,10.076635366247668,21.176723081141155,4.188203762558297e-6,6.89442773221135e-5,754.5 -> 184.1,PC,7893.7206192028,7458.5204391476,6530.640487671,8063.4206543002,7554.7004890405,7530.7604446401,7162.32057953,6759.620407104,7415.9605522164,10351.1608276411,9468.9007110553,8653.1406898444,11428.6206283424,11612.0808296192,10349.5607795657,9480.2407226533,9359.7605514588,9173.9006767269,1440.2400932316
Lyso_PC(14:0),-0.3501672280259249,8.808362221884648,15.509584871152754,8.208796104392027e-5,0.0011933306745952168,468.3012 -> 184.1,PC,3431.7202644364,2511.3402023314,3009.4402313246,3079.7202072139,2236.4801559455,3478.8802642822,3300.7402534495,2677.7601890566,3091.9202384947,3630.0402603149,2989.7402229321,3152.9002571097,3879.8602790849,4623.8203163161,4394.7403335562,4799.180358888,3713.1402130129,3779.9802856428,2486.4401474011
PCo(38:4),0.3477677818698693,10.291908096329864,15.474074821719693,8.364467345293575e-5,0.0011933306745952168,796.6 -> 184.1,PC,11017.640792848,10023.0007782049,10637.5208396941,11573.2608032264,11385.3408088574,10772.4406204186,12018.8607864178,11315.7807044972,11442.6208953801,8111.4405555702,7333.1205062864,8633.1205978336,10723.220642088,10598.7208099252,8135.0805969238,9023.0607566752,8859.1405181841,9098.400642402,1672.9201049786
SM (d18:1/14:0),-0.34371693517448154,9.630963095944432,15.061568553815926,1.0406049805046415e-4,0.001391809161424958,675.5 -> 184.1,PC,5509.1604652408,6019.3004341113,5772.9403915403,4986.3003387448,5054.3003463747,5991.7604293837,5301.6403694145,5082.6403732289,5176.9803886424,6735.6205101023,6421.3604774478,5701.1604766844,8525.2805557306,7085.7405014042,7697.4605140672,7809.5604591386,6876.4004821762,6628.7005386334,2427.7601699828
PCo(36:2),0.3384831381817033,10.867322378292506,14.68904344400454,1.2678118757027476e-4,0.0015959514200022823,772.6 -> 184.1,PC,18662.5412750189,15504.7809257403,14701.900863643,16889.3209457417,17565.7813606222,17626.1211090061,15424.2210464651,15790.5209579452,16042.3810386631,12765.9008674528,11639.6207771289,12075.1408653152,15341.1611137505,15014.3011741739,15558.3812332215,12445.1207351748,13313.5408821024,11551.5207748359,3678.7202796963
PCo(34:0),0.3258680403327431,9.80372366711731,13.55538077234706,2.3162643706683443e-4,0.0027537809740168094,748.6 -> 184.1,PC,7424.6806716964,7787.920558925,7735.6405334485,8129.9805831854,7671.0606079112,7629.2206039431,7455.9205780045,7585.7404937734,7767.2405319251,5440.0404129016,6173.3204536448,6640.7404251113,6852.360507965,6679.1004409792,7514.3804855336,5658.7803688033,5949.9004669189,5480.0803680411,3159.2202148442
PC (36:5),-0.32383374303216284,10.192352345852674,13.415873808951686,2.4950391155767563e-4,0.0028102019512285573,780.6 -> 184.1,PC,7224.0804939273,7345.9805870041,7854.6405830356,9325.1605720552,8508.6406631476,7974.3805847165,8272.6805763257,8252.780647273,9321.6005973862,9863.7206115776,10257.520709989,9304.1807022043,11312.8207397431,11425.9806442229,12230.9609298707,10480.7005310034,10047.4207534776,9940.1408157315,1590.3801193226
SM (d18:0/14:0),-0.3231662491977732,9.613040960866327,13.31777084491344,2.6290253870836077e-4,0.00281305716417946,677.6 -> 184.1,PC,5438.2603340156,4494.0403251649,5205.5803756704,6181.720485686,4964.3203163139,5533.6203842165,6021.9403114314,5937.3003883365,5382.9403800948,6925.9404411305,7309.0404510452,5934.5803718552,8126.0405120848,8021.9206008956,7463.5205078102,6425.1403884881,6695.3005409238,6006.6404151911,1732.1401100164
PCo(34:1),0.3190220459452418,12.498009056870695,13.087443674932246,2.972817646168232e-4,0.003029442744190484,746.6 -> 184.1,PC,54084.443634031,50568.763519283,45504.482803353,54800.284255963,50680.963226303,51335.923446646,53465.243804935,48993.543762201,50557.604095475,40163.702957153,40641.8830413691,38208.3822479336,46984.522750843,47165.04264832,45938.343124383,38090.762374874,38735.0427551432,40592.282470694,6560.4005050659
PC (30:2),-0.3148489724129906,11.675595716836767,12.735521835319503,3.587757070120569e-4,0.0034899091500263713,702.5 -> 184.1,PC,24757.5418472251,23263.3416671874,21752.121887203,25934.62162018,23020.8413925136,24364.3819580155,22074.0216293326,23206.7817001246,21782.501434304,26624.3417510879,26450.6815261712,25805.7217636237,32874.5623245237,34031.7424392511,32335.7825851359,31234.7022285593,27630.281723004,29990.422058106,1994.9601326001
Lyso_PC(6:0),-0.30650053318602716,7.763576245304809,11.669183195816146,6.354390242120418e-4,0.005912345703538128,356.176 -> 184.1,PC,1825.5401382447,1440.6201019284,1577.320106506,1341.4800834653,1426.8801193229,1432.5600967407,1214.8000793455,1423.1200904854,1331.4200935361,1568.3401222228,1460.0601043705,1532.7601165766,1846.1401252743,1678.760112762,1702.8801231382,2689.9801864629,2032.6401481638,1866.1201286304,1510.2200965888
PC (32:5),-0.29703789487211735,7.9898932655736035,11.023969380038174,8.994126995121793e-4,0.007875053436116032,724.5 -> 184.1,PC,1614.5001144408,1647.1401290891,1719.0001182565,1604.3000946048,1546.1601142882,1572.4401206962,1742.7201118469,2121.0201416011,1965.9801559445,1858.3601264952,2181.1201705931,1912.8601188658,2282.8001632695,2488.9801635755,1909.6201248185,2250.8801651005,2298.5001449602,2329.7401504516,1323.16009903
PC (34:5),-0.2957981046859381,8.212654370993793,10.98205644118501,9.199828780509382e-4,0.007875053436116032,752.5 -> 184.1,PC,1862.2401390075,2000.2801589966,1681.7401161185,1766.4601211544,2157.3401489257,2223.7201347351,2448.8602027892,2108.9001579288,2076.9201469404,2242.7601280204,2737.9001503003,2093.3001441943,3012.2002220166,2559.8402137758,2379.6801872244,2743.5602073669,2784.2801895134,2422.9001426708,1316.820083618
Lyso_PC(18:1),-0.2791820164590226,10.574744153405025,9.990968148098517,0.0015730987641934518,0.012947812905284564,522.3481 -> 184.1,PC,12711.0008964583,11486.080886842,10367.7607803385,11688.6208648597,10781.5609016391,11361.3608360232,9302.2005691464,10068.1407203756,9635.6805496225,12481.0408401634,12572.0208587632,11463.8807296734,14445.1809463456,13757.4610519467,13891.5410614011,15043.980876924,14236.8009681619,12486.780864702,3729.0402374264
C20:3,0.2755901734348699,13.173432307824584,9.776206669391598,0.0017678466128002465,0.014011821301453805,305.3 -> 305.3,FFA,90266.9068679609,64562.8839988577,63687.6244239783,95236.6267738414,86161.3260955438,87265.5067519899,76568.6655578304,81151.1256179596,74571.6855468618,70492.5649299505,63470.5247116312,61477.8041267063,72070.8850173864,72108.2054252418,71240.7452659651,64443.5445289542,64180.2246284291,65277.2249527047,18531.941375734
PCo(36:3),0.27075887606425736,10.145849982373488,9.382883827515172,0.0021902073381691407,0.01673944179886415,770.6 -> 184.1,PC,10898.920787807,9856.5608253544,9705.0606574958,9326.3405342090009,9926.5806007363,9525.7006340008,10443.8406486475,9477.7807159412,9262.3007049522,8929.3406715369,7736.6605491632,7219.5605506894,9906.0207939011,9535.6807556208,8104.3205337539,7097.6805953981,8108.0006294245,8259.640502929,1579.2001075741
PCo(36:4),0.2668479765224117,9.254794141601042,9.06229977513148,0.002609335803268619,0.01925509868618912,768.6 -> 184.1,PC,5310.4603385911,4368.0602989205,5105.1203918462,5666.9403381364,6603.9205284106,4906.6803970329,5008.9403343207,4818.2602996838,5304.3203773515,4163.9402809144,3933.2202835089,3854.0002822876,4898.8603706366,4578.3202476496,4968.960308076,4623.0602874762,4437.4203186024,4501.5403022782,1459.1601066597
C20:1,0.25731000959041883,12.372411244975758,8.51870034142729,0.0035151543677292866,0.024699892644021722,309.3 -> 309.3,FFA,62182.544368737,52090.6032104606,49370.1237983603,52038.2436676043,47733.223594643,47199.4633789102,30188.2620506233,33361.6024208116,32061.9021530143,41812.0630722103,36399.9425582836,36541.8025054942,55749.6039504821,41149.8429260205,39141.1427230853,30525.7221717779,31471.7622528086,33348.3025283818,16399.5211181652
PC (38:9),0.25889749742594637,8.777539994234196,8.486445471411228,0.003578021831610623,0.024699892644021722,800.5 -> 184.1,PC,3950.7402305585,4344.9803009042,3100.260215758,3931.7002563487,3326.5202178957,3620.0202293398,3775.5202713007,3251.2801933275,3554.3202552789,3372.9402427677,3251.9802398697,3074.0401878353,3324.9402389533,3385.3802566526,3178.3402404791,2877.8402328493,2559.7201957707,2942.5402069094,2079.1201362614
PC (36:4),-0.25188363947736403,11.919282022021694,8.159629369949087,0.004283312374747452,0.028644651506123584,782.6 -> 184.1,PC,30463.08232119,27140.301994324,26392.8820037776,30028.8222579963,28585.441871654,27195.581924431,28091.2419204606,26397.8816680877,28929.041999814,30593.602447513,28959.1817626828,30894.5619353973,38282.582748409,38288.4228363112,36495.0827789358,35630.9429778829,33965.922126769,34907.1430435301,4421.960300445
SM (d18:2/20:1),-0.24796899633838806,9.429439203000035,7.838334456364891,0.005114971275716493,0.03316981372737362,755.6 -> 184.1,PC,5038.7602882402,4771.2203826898,4635.6802825937,5382.4404258715,5443.5004005424,5279.3803176881,4741.0403747562,4521.9802932747,4991.7203407266,6231.0405082709,5144.6403732281,5097.5403175365,7366.5604782112,6167.5404281622,7047.2605056744,5447.7803726188,6283.9604682927,5612.4203643798,1233.0800857543
C16:1,0.23757134121163942,12.341488225591984,7.262986043028835,0.007039015789448608,0.042799774926760695,253.3 -> 253.3,FFA,57902.864391337,38191.1428642282,39353.9631385849,55656.8040237418,47998.9833106887,50084.4837722766,33187.002346037,37812.1428222719,33645.2824096635,49484.8435592591,40315.8029479873,40015.9229812307,37640.382446287,37084.502552032,36667.6426849322,30901.2023582421,33075.302474974,32569.6222763125,17972.8213386525
PC (30:0),-0.23791703077161658,14.218277134498926,7.291978732478356,0.006926314773889377,0.042799774926760695,706.5 -> 184.1,PC,143696.472442567,132853.369567854,128342.929809662,150728.851440576,141539.049926784,142770.888794009,143980.230651975,139775.68859877,134235.049621407,154859.169784672,149310.03192133,150148.708770855,192784.472747906,184099.015319823,186882.154113673,169143.609756603,166595.749664229,162043.632476631,14715.5011749146
PC (34:3),-0.23685790954530733,12.757644353313019,7.222393970839845,0.007199962137212079,0.042799774926760695,756.6 -> 184.1,PC,56517.263885512,48126.3429412846,43996.3633346748,56065.163909902,52131.363967899,53040.603706373,50237.66377259,51333.6638564994,47935.363571174,57300.98304749,54679.583755498,53161.8237304576,69851.585205071,68722.685287472,69147.34443665,60538.164215097,61241.664962787,58052.424217211,3224.5402679439
PC (30:1),-0.23412462606304224,14.19682827239829,7.061568925828851,0.007875499651808622,0.04435149803913277,704.5 -> 184.1,PC,142151.010284388,134430.469222942,126561.009460489,148202.189147945,141113.429778928,141830.770751857,138319.629669301,134498.949096517,131408.9489746,153254.331054573,149234.292510983,147425.551879977,192208.153839076,184410.990173352,186196.593811003,161064.532592877,161025.050521883,154094.809722836,18346.8410759066
PCo(40:5),0.2369625080928433,8.653701062497026,7.101351915143734,0.0077025832932979595,0.04435149803913277,822.6 -> 184.1,PC,3729.920310975,3796.8602409376,3373.7202415471,3152.2802009572,3003.2602043147,3157.3802261359,3267.0002365108,3699.900276186,3054.160213472,2631.4601936341,3079.9602203374,2633.3401832591,2841.9002037049,3314.820251465,3148.3202018718,2779.3001708977,3222.2402114854,2531.5401916506,1533.1401023864
PC (38:6),-0.23273557547292242,9.77790604560479,6.921923555097166,0.008514534054744092,0.046720776608082965,806.6 -> 184.1,PC,6213.3203849804,5977.420413972,5929.0003776544,6618.8204994229,7018.8603935218,6593.6604194642,6393.8603897096,7296.1605758661,5374.6803550736,7572.8406295818,6871.680603027,6335.8405265803,8005.4006004319,9197.1806221037,9454.760559077,7102.3805160546,8226.6006317128,6284.9404869087,1498.7001228325
PCo(34:2),0.22842887594753725,11.3343329877018,6.705921798780332,0.009609324184510014,0.05140988438712857,744.6 -> 184.1,PC,23941.0017166223,22206.9614486496,19862.5014991452,23802.5017166175,22595.7217712358,23529.8418235633,21794.3416671698,21571.2413902336,20471.9611740364,17886.6214141806,16420.0410919277,18112.5412483092,22387.0615386881,21201.8215332098,22105.4416122464,18294.801368699,19157.1414299123,18553.4414977979,2849.9401931778
SM (d16:1/22:1),-0.219312904276006,11.75100105799029,6.186348582388661,0.012873955276140095,0.06719576656326781,757.6 -> 184.1,PC,26473.5416793779,25147.2217636062,21953.9215240423,27750.7020492501,28212.5420532331,24980.5819167999,26158.62210083,24893.0617294356,23609.8417129456,27971.181968685,26440.881752016,27015.8220100381,34582.1625633217,32297.7419814966,36035.862861633,30172.2020950396,30237.6019744835,27802.1622390728,2675.6801986686
C18:1,0.21539978810776206,13.684048343046241,5.977163401387202,0.014492292572997391,0.07048524115048731,281.3 -> 281.3,FFA,150598.250350958,96483.386856072,95580.426475501,136095.089294432,124256.929702749,126444.748336787,90916.826820364,92959.946578973,94337.1260795375,118587.128044132,98590.7070693747,99621.1267395037,112322.827949554,104846.627227785,96891.626632699,79973.3456191913,86536.4666213894,82751.6060561829,27126.7419319159
PC (38:5),-0.21700410645909315,10.915440620896138,6.046591287688301,0.013933169717131488,0.07048524115048731,808.6 -> 184.1,PC,14773.3210372924,14473.10104751,13720.6209754819,15382.981174452,13986.5210571265,13708.5409469505,13552.8408699078,13981.5611267095,14008.800968164,15237.2013244574,15054.7810974005,14891.3810997047,20354.2215309152,18752.9013137781,19019.5614929129,15668.5013847433,15497.7209815977,17212.1011314388,2593.5601882937
SM (d18:0/16:0),-0.2161460434360125,12.845297154616768,6.015944648737047,0.01417718746528637,0.07048524115048731,705.6 -> 184.1,PC,58609.043930054,50256.203155521,49011.483581548,59322.943634026,54477.903839109,53640.96427916,52265.3039474526,55415.144042973,53259.323959362,59832.4245376497,57414.1835784874,59141.623931892,76043.125518805,73181.085433989,67121.1642990113,63417.964157103,59702.7843246511,61063.703567508,10604.1006813067
PC (40:3),0.20880371571238918,8.99958728753467,5.538110273348149,0.01860666441344939,0.08735756096874883,840.6 -> 184.1,PC,4025.8402557372,3981.8202705373,3919.4202728256,4051.040279387,4359.8403129565,4436.1002616888,4799.3403816214995,4207.9403076152,4627.9203109738,3380.9202423095,3293.5202560418,3989.7003059387,3864.3802490225,4496.5603141798,3796.6403160108,3534.8402366644,4033.240299225,3566.9202346808,1521.8601112359
PCp(40:6),0.2084253308600812,8.5280084473321,5.484792442046954,0.019182597321197304,0.08735756096874883,818.6 -> 184.1,PC,3088.6002311702,2698.4601974486,2418.3801841723,2913.100181579,3056.3202133178,3126.2202262893,3259.7402534486,3385.6802101125,3156.2202301001,2514.9201698286,2345.2801551803,2380.5801734926,3049.5201873772,3730.8002548211,2506.920154572,2311.5601501457,2841.600215912,2335.4801444991,1836.9801177975
SM (d16:1/24:1),-0.20646491128676459,11.907213151904275,5.484481791359954,0.019186006380986893,0.08735756096874883,785.6 -> 184.1,PC,29397.962055206,26295.0419311469,27418.0020141589,29287.1821289276,30446.161895747,28262.421768197,27710.981796264,30015.3018875122,25826.2819404607,30897.74275969,31587.9226379469,29170.8422317563,38950.582504278,38444.1430130006,36875.022491441,32025.8422622671,30920.8022308255,31541.6222915683,5384.400352477
SM (d18:2/22:1),-0.20574603862383156,10.851852111828954,5.4350036132671855,0.019737049849797118,0.08799434724701215,783.6 -> 184.1,PC,15359.6810989374,13190.2809829681,11888.3608017018,14628.3211212127,14480.3411102066,13377.8010635418,13618.9810905417,14097.180961596,11646.7008285581,14443.3809890737,13402.9209518401,13792.4410247818,18239.9610290458,19795.8813972563,19030.361503598,15969.0010299694,15449.7009620648,14109.0210647418,3191.4002113351
PCo(38:5),0.2013242595669963,9.629982835427686,5.176277938838737,0.02289732298900159,0.10000055346217021,794.6 -> 184.1,PC,8027.7805404676,7031.3205375648,6597.260456083,7559.4005775457,6579.8404846186,6105.3804893502,6546.2205352779,5663.640457154,6160.5604095455,5417.7403755186,5854.8603897082,5536.9803848251,6568.8404312132,6875.4604644761,6428.6604614248,6197.4204559332,5149.4803733825,5440.9403610231,1447.9601135259
PC (36:8),0.20056224014522853,9.54153649188097,5.133162294980415,0.02347292429125273,0.10046411596656168,774.5 -> 184.1,PC,6448.8003730755,6173.9604606629,5398.2603492727,7230.5204734799,6413.2205505367,5946.5804367053,6559.8204536441,5936.5403747555,5468.2203674318,5482.0603752145,5444.2004470829,4640.6403312661,6073.2803459163,6302.1204681379,5286.1603355411,4627.3003501885,5451.9203948966,6018.780345919,2613.340179443
PCo(32:2),0.19398972041655455,10.235667682803443,4.821848751141719,0.028101189331445134,0.11791479444959331,716.6 -> 184.1,PC,10832.1807861247,9578.1607704164,9521.8406410176,11262.4807128879,10365.8207473795,9850.2005882235,10390.8208274812,10275.5207939128,9712.5406990148,8443.2406692492,8466.9405860914,7745.5005226141,10722.6807861291,10249.7807579121,9925.2407684282,9000.680614476,9171.2005081165,8304.4605255103,1774.3001251216
C24:0,0.189487511252824,13.282848442571614,4.625615553334,0.03149795729151933,0.12718043132802145,367.3 -> 367.3,FFA,100064.346984866,81768.225891107,80779.685630773,88662.806060773,81081.185539231,85176.586090074,71670.325225835,76549.705444318,70748.264816276,83176.086196898,71396.88513182,70426.924728378,81616.785812343,76278.965560889,74025.645416247,63872.944343568,69540.96510318,66747.384658801,41301.702835082
C24:5,0.19000807578295406,12.747792660167878,4.649451702422368,0.03106346804898391,0.12718043132802145,353.3 -> 353.3,FFA,68190.605010983,61001.2443656922,61924.8842697135,63491.9444885008,60220.564254777,59925.384109505,43869.0831146268,46180.163085943,44475.023101805,54190.2038726868,48760.503478999,50120.0236282293,62642.304306028,50219.4433517455,52118.363990787,46779.28321075,44426.4630355783,45126.283027652,27545.1619339023
Lyso_PC(24:0),0.18793608439808895,9.266036410946862,4.498622856375974,0.03392216236293398,0.13443227306792355,608.4577 -> 184.1,PC,5367.9404144275,5413.6604194659,5300.480392455,4308.9402618429,4967.4603157058,5037.9803543063,5297.440330504,5495.3404579163,4901.980350497,4488.2203369144,4256.6203002939,4267.9802856455,4966.5603675853,5607.2803916943,5569.5603942883,3979.6602897631,3818.9002761828,4478.8002815223,1608.9201240539
C24:6,0.1794027948309176,12.414553527530611,4.143895248628837,0.04178491278885506,0.1625812970329997,355.3 -> 355.3,FFA,50543.483459474,45923.42303467,43575.543144226,45837.883193972,43079.843017581,45715.023277276,38443.842483516,39970.022651676,39592.703010557,40685.7029647825,39539.62258148,37285.462753296,40993.7028503428,38472.042724605,40430.7227706855,38154.342521665,39156.802894594,37984.002716061,33288.402328494
PC (32:4),-0.1799815245605503,8.927413273401788,4.113042001551645,0.04255375643202409,0.1626161406509492,726.5 -> 184.1,PC,3943.480285646,3289.8802413929,3268.5202713029,3317.7602386483,4183.0202827439,3483.1402511591,3845.8402671818,3726.3402442931,3161.9602241497,4183.2603263869,3929.6402626029,3642.4602355959,5056.0203437774,4672.4402847275,4249.9802627559,3650.6203117358,4101.8003387432,3799.4202117915,1178.9600753785
SM (d18:0/22:0),0.17804615832657159,10.567549410773264,4.066863265429838,0.04373241260143457,0.1641883560825789,789.7 -> 184.1,PC,12126.4206542977,12298.9407310498,11703.7007675057,12822.5607872061,13535.5407867516,13185.0007286012,11690.7006454549,11114.3607864474,13275.6011047281,11052.7808418223,9690.5006904614,10598.3006515558,12557.6606674156,11243.7607803337,12784.8809242227,11287.8208122215,11167.7408714278,10482.9206352193,5912.8204383852
PC (34:2),-0.1738087654851246,14.905043988838122,3.894314519643274,0.04844980688057892,0.175733197838032,758.6 -> 184.1,PC,239412.317749054,215467.836364699,214071.755371042,250534.754821655,244794.701049766,240871.158508387,229904.694396937,225497.297363276,218027.656249882,249606.802123906,240411.934570162,234082.195312378,302714.105163561,301957.043090763,303088.026489331,259210.256469538,252724.700988811,252372.177978436,18247.5612678524
SM (d18:1/20:0),-0.17422879623164655,13.657595123498377,3.9118508900649833,0.0479467644286355,0.175733197838032,759.6 -> 184.1,PC,105061.126678451,88959.585723875,88336.326507602,105869.766449049,100728.186614948,99164.826110712,97871.288177522,92971.66677853,93936.627410944,101814.266830413,101984.246597234,97729.14675905,131921.987823546,128722.187622034,127463.569335889,105946.446960595,106914.94802863,104337.847015328,11250.0007553173
PC (40:0),-0.1746409352057134,8.56943187096733,3.854783022045961,0.049604342465978425,0.17692215479532306,846.7 -> 184.1,PC,2949.4802169802,2713.4802093504,2714.2801971435,1973.2001228336,2399.1201820368,2669.46019745,3230.1601982122,3007.3802146915,3061.1402091979,2846.9401969922,3504.8002433775,3023.6402244579,3882.2403297439,3252.8202209464,3091.0802116399,3253.7002372742,2872.5401802081,2791.1202125557,1443.9400939939
C28:0,-0.17158627530892845,12.529995011183717,3.7914043599423044,0.051516408221615545,0.1807296944168152,423.4 -> 423.4,FFA,47249.1233596682,36983.9026527419,39056.8226394673,44266.2428512474,41569.7828292953,42806.0032577473,44379.2831802346,44632.0031661914,44507.6429443303,53832.023757931,50204.7636566253,48253.6232147278,52079.1236724728,48232.1633987363,51834.1838378751,45345.3030090254,44862.5632019035,47381.283782961,23953.0817413311
C18:2,0.16960859670034584,12.181407781919702,3.7033379463150595,0.05430372944893406,0.18157809534487326,279.3 -> 279.3,FFA,50664.8039931942,37683.2627372671,36511.0426673879,45918.3832473571,41741.8426666408,43692.1233520363,30672.1824340834,30217.6420974726,29178.0821304294,39591.1228256193,35601.4425582903,36536.2223930381,38322.7824745319,36562.5226860011,35721.3826065014,29836.1621856709,29688.782127376,30335.5820808422,14117.1009483347
PCo(34:3),0.17063680580371463,9.749884419108326,3.7220866668343735,0.05369722553002615,0.18157809534487326,742.6 -> 184.1,PC,6899.5804061882,6221.860397338,6850.1204032915,8728.9606208769,7863.2805824288,7968.020507811,7269.4004821768,6676.3005752567,6179.5405349742005,5984.7404937747,5959.3404884352,6245.8203468321,7827.6205940209,7169.7405281086,6815.2604751584,6700.3604431153,5600.420417785,6332.5204505925,1751.7801246654
