lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,EKO-C1-Cells_r1,EKO-C1-Cells_r2,EKO-C1-Cells_r3,EKO-C2-Cells_r1,EKO-C2-Cells_r2,EKO-C2-Cells_r3,EKO-C3-Cells_r1,EKO-C3-Cells_r2,EKO-C3-Cells_r3,WT-C1-Cells_r1,WT-C1-Cells_r2,WT-C1-Cells_r3,WT-C2-Cells_r1,WT-C2-Cells_r2,WT-C2-Cells_r3,WT-C3-Cells_r1,WT-C3-Cells_r2,WT-C3-Cells_r3,blank
C20:0,2.118152558562955,15.372459628394099,533.1729878025258,5.763044570401668e-118,1.233291538065957e-115,311.3 -> 311.3,FFA,867555.280272966,749756.813659617,737588.867645508,768445.074065974,739520.674865739,737859.294219943,122765.648742677,127628.868438724,119722.909149181,141445.848815932,123420.88827513,127033.088531476,130263.149353027,123100.448883058,122666.968200701,129795.929595941,127952.26861571,127282.149108886,62300.204498283
C15:1,1.277288770679661,13.960116446532997,203.8478583634933,3.0212175669615018e-46,3.232702796648807e-44,239.3 -> 239.3,FFA,75882.385353102,474003.574943653,554938.257934737,44395.223236086,92523.326042208,124026.048492414,35767.9826354992,61346.404190061,100702.947326664,52238.623840321,134877.308929426,134852.969757074,51722.8039627057,56026.064224261,70817.945327742,46189.5233001679,49673.583671551,63448.564514146,37924.2226715055
C14:1,1.047028345004642,13.452684281966132,138.3390070183068,6.143975892252662e-32,3.476478554634322e-30,225.2 -> 225.2,FFA,59332.224243168,295430.180511524,333237.221542316,40635.26283264,67423.804565404,85446.866119381,34818.182472235,49316.423492441,69376.025001527,44102.483261104,88977.906402564,96383.9664764391,42312.743087768,44406.243026733,55556.324058521,43304.8229904192,43448.6030197153,53916.703674302,40406.66294861
C19:0,1.046358368698729,14.779304194989766,138.2277278340889,6.498090756325835e-32,3.476478554634322e-30,297.3 -> 297.3,FFA,392171.906585811,401198.986801039,417857.230804474,349088.784912111,353767.443908596,354315.98464968,135951.029418942,138012.489761326,144595.770202653,149099.589401269,158456.19128417,165565.090621969,144349.730987539,147243.589721718,143613.890350364,133697.86891173,133554.949127182,140693.890686035,67751.444732647
C22:0,0.8177227387732404,14.064947228102344,85.10172538178301,2.834031403177667e-20,1.2129654405600414e-18,339.3 -> 339.3,FFA,236036.036605862,197625.994934092,199667.393524143,215035.696121231,205666.094558697,200592.753997821,96928.067016604,96782.086791985,94777.926483151,110293.847717272,94022.427215591,95223.346405002,103995.026992792,95359.846679653,98069.2070465111,96993.846847518,97312.066818226,94820.986526459,51079.543594373
C22:6,0.79075710962666,12.775298411713784,79.59491358786613,4.596072043739891e-19,1.639265695600561e-17,327.3 -> 327.3,FFA,91329.106231679,80821.145782451,79373.7054595891,82230.225654589,81673.185790991,81537.265518193,39893.98279571,39691.3428344659,39603.062713623,42518.78308105,37688.04258728,38698.002700801,41417.682907094,40520.662849421,41434.522949212,41764.382949825,38607.6826438922,38250.2627525353,31051.162117009
Lyso_PC(20:3),0.6588484243926978,9.287213365373919,54.843828482604124,1.3049790264098658e-13,3.9895073093101614e-12,546.3481 -> 184.1,PC,4475.5203437788,3573.94021988,3260.3002891528,10081.3206596369,10063.1006469664,10632.1807632443,3738.3202552802,3775.5402717582,4265.6203422538,3656.0802688604,4291.9603271475,3155.6402282703,3598.9802055365,3794.0203285228,3850.9802513118,3839.7602958688,5078.100395203,3204.200218201,2050.5401153562
PCo(40:4),0.49224207451493374,9.367935316734831,30.757457029567504,2.9237809635478388e-8,7.821114077490469e-7,824.6 -> 184.1,PC,6819.5604400629,6050.7804527273,5873.6403770447,6413.5405273436,6452.2405014034,4879.4603576645,5655.0204315178,6254.5604438791,6240.4004669197,3938.2602615362,4435.4003067028,4470.08026123,5220.5403099053,4787.5203475952,3906.8002738956,4716.3603210444,4143.8403244022,3980.3002929696,1438.5000877385
PCo(38:3),0.45934373300206405,9.881868957671708,26.892814796484565,2.1505691729622892e-7,5.113575589043665e-6,798.6 -> 184.1,PC,8899.5006256111,8619.7605781603,8275.7407188393,8793.8806495666,8825.1607017559,8423.5006179809,8195.4605102531,8921.8205986062,8454.9804801971,6399.5604553270005,6173.8604202276,6291.2404823285,7029.1604537953,7184.0605583182,7356.5805015605,5703.7403411873,6060.4404983507,5314.8003425596,1904.8401412966
Lyso_PC(19:3),0.43260587852796867,7.674645479314754,23.155197703573755,1.4943872271179413e-6,3.197988666032394e-5,532.3325 -> 184.1,PC,1209.6600799562,1325.7800941464,1573.8601150505,2459.9801864617,2941.3002357488,2310.7201461807,1286.0201072696,1329.7400970459,1401.620105744,1249.6000938416,1223.9800872808,1241.600093842,1533.8200950636,1367.5601005548,1351.0800933837,1225.4600868225,1273.6800842289,1475.6200981147,1310.0600967409
