lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,EKO-R1-Media_r1,EKO-R1-Media_r3,EKO-R2-Media_r1,EKO-R2-Media_r2,EKO-R2-Media_r3,EKO-R3-Media_r1,EKO-R3-Media_r2,EKO-R3-Media_r3,WT-R1-Media_r1,WT-R1-Media_r3,WT-R2-Media_r1,WT-R2-Media_r2,WT-R2-Media_r3,WT-R3-Media_r1,WT-R3-Media_r2,WT-R3-Media_r3,blank
SM (d18:1/18:0),0.36430845339107054,9.211716617770943,31.125195241816048,2.419109435960347e-8,4.314078494129285e-7,731.6 -> 184.1,PC,6526.7005691528,6374.9604644807,6449.2204780568,7055.6205177291,6853.6004028307,7132.6604957601,7135.9204635582,6265.6804847737,5211.3803634644,4969.5202636706,4857.8803520196,4326.9403190612,5653.3803787243,5409.7003669739,4662.5403404224,4893.620365144,12491.0408744635
Lyso_PC(12:0),-0.3697681951985759,7.547240004396097,30.81099949659884,2.844211225387468e-8,4.6820092479455236e-7,440.2699 -> 184.1,PC,1613.5201187139,1649.4201240544,1901.4401397704,2013.6401214596,1647.1801338196,1869.3401451109,1667.0001220703,1826.3601455671,1932.6401252742,2108.3601379394,2486.5801696776,2246.3601799008,2505.7601547246,2112.2201461808,1995.380126952,2162.9001541136,1451.9201011664
PC (38:7),0.3360568735136947,9.15485349218989,26.530848697846956,2.5936316464943705e-7,3.9645512310699665e-6,804.6 -> 184.1,PC,7465.760513304,7298.0805015568,6899.000438689,6873.9604797359,6922.0205574015,7035.9804725633,6417.9404754651,7936.7005424506,4852.1803817761,4389.6203002916,5450.7603912375,5307.2803878789,5423.0604095467,5626.2003631593,6626.68050003,5425.7204589813,1529.9600982671
PC (36:1),0.32692207753971575,9.164430772171869,25.047867030432297,5.592458446574143e-7,7.978574050445778e-6,788.6 -> 184.1,PC,5688.1404304511,6281.7404441834,6134.3004531867,6786.8605041516,6769.0204658463,6104.0203857438,6024.5404396072,6451.2004280081,4677.4203681965,4774.1004486097,4641.9402771002,4990.1003074634,5288.9003829964,5008.5803375235,4641.4403266908,4334.3602409354,14336.3008880579
PC (32:2),0.32605719448163945,9.051213648639628,24.913783737441804,5.995223947511857e-7,8.018612029797109e-6,730.5 -> 184.1,PC,5147.460376738,5907.3604316745,5757.5004158027,6251.4604454047,5669.6204223624,6724.2605285664,7252.620502472,7384.3605575565,4927.7603225706,4634.4402999874,4520.7603569034,4647.9603805554,4595.4803466792,4672.3803291325,5613.5404510497,4587.7603301996,6489.4604911808
PC (34:0),0.31071309807454844,8.678302410980084,22.450623138955564,2.156155297565224e-6,2.574144755614731e-5,762.6 -> 184.1,PC,4345.420295715,3965.4203147892,5183.080356598,4684.8002891519,4687.120304108,4295.5203208924,4709.8203582776,4888.0203933702,3798.1602668742,2902.4601898203,3716.4602928169,3612.3003005967,3707.0802650455,3878.4603042599,3377.9202690122,3377.9402198802,8230.9204902642
PC (38:1),0.3159508138618166,7.589340673944601,22.44261070525063,2.165168486031082e-6,2.574144755614731e-5,816.6 -> 184.1,PC,1770.8601379398,1733.2801246644,1947.8201255795,2713.0601959219,2268.8201560969,2409.5401611312,2178.1601638798,2187.2401390066,1465.8600769052,1742.1601409904,1646.260108948,1474.5001068123,1778.0401344288,1702.8201217653,1431.1000900269,1973.7601509088,4048.800292968
C12:0,-0.29323044167057377,11.993590903473942,20.560409370241018,5.777874946008053e-6,6.182326192228617e-5,199.2 -> 199.2,FFA,40536.5630874566,41059.422958375,38495.782806394,37109.7825012184,39008.562980652,42564.443031313,41999.482978817,41399.4227905259,45373.303390507,46377.243354793,51088.3834838789,50379.963363652,53576.1639633108,42389.482948297,45555.343421915,43173.983108516,23986.2818527216
SM (d18:1/18:1)9Z)),0.30149977300193304,7.746193608376388,20.629152817667432,5.574083243941644e-6,6.182326192228617e-5,729.6 -> 184.1,PC,2696.2202224727,2103.3201179505,2727.4202156056,2450.6001663212,2266.8001556401,2404.1401901234,2540.3401794422,2873.2602424597,1577.0201072695,2073.7801475539,2197.7201614373,2134.5401420597,2131.8201675418,1686.1201133734,1983.4601325981,1796.9601440423,2693.7602157585
C32:0,-0.2895406051865841,11.86324351726786,20.041977419268164,7.576069320550714e-6,7.720375402846917e-5,479.4 -> 479.4,FFA,41482.8431320205,39877.3829231389,38216.0829124449,38426.6226119985,34466.1023635874,35751.7625122069,34260.7424049324,33552.1023788455,38894.1628494291,41917.9428291354,45560.7833976679,45267.1430664057,45231.4230308541,42682.2030830427,44625.3830947899,42323.9229240503,18435.8812904344
C12:1,-0.28599541649741855,11.116659390237176,19.513200127731523,9.990690484299871e-6,9.295685928870315e-5,197.2 -> 197.2,FFA,22220.1216201797,23966.9616088822,21202.6415176364,21312.7015838611,20869.8814621008,20727.8214607228,23693.8217391969,21338.80153656,25097.2616806019,24729.6817398076,27628.5219764687,26966.5019836389,26700.8818168668,24687.5418472281,25074.001838681,23825.5215988213,14202.7810058631
C24:5,-0.2857568740604333,13.430043772633814,19.562885977903193,9.734193350449609e-6,9.295685928870315e-5,353.3 -> 353.3,FFA,125326.648639677,125632.888977044,110856.467361429,105720.547317469,105323.547370899,109953.407836909,107091.726840983,100107.727111817,126043.729469318,128392.788917528,134478.729419699,135400.869514482,139833.349960308,130270.329086277,124665.948112471,120120.348892238,27545.1619339023
SM (d18:1/24:0),0.2820181469746851,8.158585926056311,18.211671402440015,1.9766382006734934e-5,1.7625023956005314e-4,815.7 -> 184.1,PC,2597.4601898182,2647.6001777649,2993.2001838688,2737.8802185069,3366.1402702339,2926.9601631169,3342.760242462,3170.8802070614,2382.7001533511,2468.3801765438,2550.200172426,2394.7601432804,2288.6401901236,2724.1601943959,1725.5601310736,2190.2801399238,8831.2206382744
C17:1,-0.27510988922335433,11.696586261983546,18.09040000237019,2.106608732131218e-5,1.8032570747043226e-4,267.3 -> 267.3,FFA,32805.5824127182,33024.5822753926,33973.4025230405,34404.7825775135,32062.4021873454,34395.7824211071,32797.4622230521,33064.782382968,37102.5427284254,36785.702606198996,43740.1230468683,44880.3629951339,43379.6432762023,36911.4427146916,33744.3623161311,32431.5223083517,13673.1409568842
PC (34:1),0.2723327896557849,11.380219567458099,17.706242602172452,2.577792435072457e-5,2.1217214657904068e-4,760.6 -> 184.1,PC,24531.2218894889,25908.7820129385,28759.8016700667,29472.8621673474,32976.9822464077,30961.90225983,32905.641647353,34659.7420043992,23031.2817611678,23984.4220314188,24367.5416221423,26387.3420944193,25333.381835929,23218.5219497678,22018.4615402098,21946.7617378232,46707.243446354
C15:0,-0.26790186556377354,13.760926706036384,17.201588261514303,3.361551940524614e-5,2.6643411676750643e-4,241.3 -> 241.3,FFA,138377.22977451,138045.229614271,136350.709259068,135940.108154269,136468.229492214,144123.289810186,144442.190414418,152111.530975322,158076.472885158,153753.110290538,180966.471778884,188164.292274453,182597.013313336,144527.789817768,148226.2107849,141828.190231311,39058.582794191
SM (d18:0/20:0),0.26834333165593727,10.128156048259148,17.0826484336733,3.578778808062693e-5,2.7352095175907723e-4,761.6 -> 184.1,PC,10151.8206443734,9372.040824886,12568.7808990453,14120.2409477184,13917.7609786968,13783.4609832794,14115.1608657715,13013.3409385749,10185.300708771,10102.840671536,8869.8206329263,10604.2405662428,10870.9407691995,10147.1207313486,9965.2807083175,9469.3007469136,19020.1812019292
PCo(34:1),0.2695658578906494,8.713841153751302,16.932483558641266,3.87330666061332e-5,2.858233190935347e-4,746.6 -> 184.1,PC,4018.4402847273,3983.400264741,5202.320388795,4313.8602485653,5288.7203636142,5322.6404495226,4692.9804000857,5381.1403808595,4166.1202964787,3258.2001724248,4748.9603042599,4121.9203262341,3778.3002853398,3469.020233155,3618.8202629098,3175.3402328478,6560.4005050659
PC (32:1),0.25947623178146656,10.931300126265198,16.050099967744785,6.168837007412229e-5,4.4004370652873904e-4,732.6 -> 184.1,PC,18647.2215194742,18080.2013015688,21763.6014709586,22525.9615669238,22857.7613258204,22908.6218795639,25442.3616600067,25213.5620956374,17616.1012878345,17108.3613205103,18915.3014488135,18626.3614959813,16488.4012451178,17360.7212562508,18054.121322629,17575.1012382423,30069.9421653802
Lyso_PC(16:0),0.25740499466487315,10.174096038005278,15.734399058580465,7.288656296541199e-5,5.031524024063925e-4,496.3325 -> 184.1,PC,11215.4007530242,12023.3207359183,13432.6610717659,13419.5008125391,13213.500869748,14392.0007324056,15758.7813491912,16182.4010276749,10084.3006515496,9676.8006820623,11751.7407798804,12486.6408767695,11967.000953675,11007.3209190349,10260.7406883232,10519.3807029825,8730.3005790731
PC (38:2),0.25541909589793027,8.295108014089571,15.01929189402286,1.0641772797378258e-4,7.116685558246711e-4,814.6 -> 184.1,PC,2744.460224151,3144.6002159118,3729.2603378281,2938.8801956179,2778.1001930223,3521.5002174374,4159.8603248606,3555.6002159116,2477.7401771547,2609.3601570116,2867.12021637,2914.7402038561,2908.2602004993,2448.0401725771,2389.2201576234,2674.3201522838,8506.7006835846
Lyso_PC(10:0),-0.24080669928789925,7.0200231897958,12.737011828175067,3.584899953375679e-4,0.0023247533030981674,412.2386 -> 184.1,PC,1388.3800849918,1356.2601013177,1394.5600967412,1302.3600921624,1281.1400947565,1212.9600830079,1136.8800773623,1068.4200744631,1310.3801002503,1107.4400749206,1836.6601371763,1170.4600753778,1599.4400939942,1506.920124054,1337.2200965878,1608.5001220704,1438.1001014708
PC (40:5),0.23221050654863826,7.46439098391468,12.12339894040219,4.9793063491979e-4,0.0031340339962598546,836.6 -> 184.1,PC,2206.8001441948,1981.560127258,1584.9601058962,2217.5401611343,2389.4401664738,1995.7001380927,1854.9001159667,2231.3601646431,1587.240100861,1875.4201316838,1696.8001213092,1990.3601608273,1658.740116119,1571.04011917,1573.5401191713,1469.9201087955,1580.840114593
Lyso_PC(20:2),-0.2297348880486308,7.402655912956482,11.843601983707092,5.785979744531746e-4,0.0035377133295136963,548.3638 -> 184.1,PC,1546.9800949095,1428.7400932312,1907.7201538087,1823.4401473991,1592.0201034545,1780.5001296993,1707.8601188667,1786.3001251207,2356.0001792913,2121.8001556385,1687.9801177977,1774.2801475524,2048.3201332083,1607.8001136782,1833.580127717,1790.8201141344,1244.6000823971
Lyso_PC(16:1),0.22212856856356358,8.940135891498851,11.567075117150473,6.71299307130539e-4,0.0039905014368315376,494.3168 -> 184.1,PC,4396.5602912908,5248.3403205873,5727.5204963722,6204.6604270923,6352.9005165097,5960.3603553793,6645.4404678353,6144.2604827878,5598.2803459181,5649.2004165663,4501.1802787775,4492.00033951,4664.8202819834,4666.7803459169,4121.6203308101,4580.5202980051,2524.0202026366
PCo(32:1),0.22373519004073691,8.046062185820839,11.480520724826548,7.032942231939187e-4,0.0040677017233378,718.6 -> 184.1,PC,2817.9801902776,2196.0601654048,3189.2802352905,2998.7802047725,2600.6001739501,3409.520256042,3292.7602005016,3354.5602302541,2345.5001754755,2662.5601997369,2412.0001754769,2918.7401847834,2248.0601463335,1969.4001579275,2399.5801773066,2564.9001502997,3835.0202789303
SM (d18:0/16:0),0.2126095724852236,8.776799511315266,10.537217749243425,0.0011699440861452479,0.006588632485133764,705.6 -> 184.1,PC,4287.4803657523,4454.4202766403,3813.3602485661,4242.4402885429,4697.0403518682,5048.4603118886,5388.3403282162,5329.3404121415,3848.7802429185,3446.9202384955,3661.9802932736,4255.8602447511,3747.5602378833,4006.7803306578,3558.3002738951,4215.2402877803,10604.1006813067
SM (d18:2/22:1),0.21217500258636246,7.475063562338834,10.095343390156014,0.001486444595637349,0.008156388294010069,783.6 -> 184.1,PC,1744.3201026916,1632.2601013183,1926.800102236,1835.5801277159,1799.3401145929,2116.3001403808,2214.4401550292,2405.8601875315,1723.9201087961,1706.3201332089,1715.36013031,1421.3000984187,1586.8401260371,1460.1001129151,1571.4600868228,1745.5001411428,3191.4002113351
SM (d18:0/18:0),0.20533342252374454,9.664011030680918,9.968860280425744,0.0015921001555298303,0.00851773583208459,733.6 -> 184.1,PC,7726.3206024167,7606.3205299362,10602.7209510741,8327.4405288669,9095.2006530717,9229.0607070771,9551.6206436184,10606.9608879069,7337.8204498296,7668.2805824332,7510.6605796819,7139.5005378714995,7238.7604141217,8222.7205352771,7635.9805107148,7585.2405776965,11872.8607711758
PC (38:5),0.2003635281956754,7.488227643797531,9.021062238205197,0.002668862500327755,0.01393016036756438,808.6 -> 184.1,PC,1855.6601333618,1993.3801460274,1915.4401512143,1747.2801246645,2390.7201461777,2236.7401809698,2233.0201301563,1700.3401184075,1866.4001464844,1470.9001121525,1663.1600990306,1769.0401344302,1958.3001441951,1727.8201408393,1386.6000976567,1546.8600997922,2593.5601882937
C19:0,-0.18412371042619896,14.596375240909996,8.134343279870336,0.004343457631572645,0.02112499848083059,297.3 -> 297.3,FFA,276461.318267829,290116.302307125,247335.337577788,250230.416992173,258319.318908692,242407.377746602,252782.678955071,254543.377105681,255445.478134169,268173.618423451,294222.120147711,303917.22288511,301253.439132647,271967.299102754,277724.719711349,281972.219345135,67751.444732647
Lyso_PC(8:0),0.19243241408935152,7.139028369358694,8.19507879246607,0.004200417003200872,0.02112499848083059,384.2073 -> 184.1,PC,1634.9401130673,1716.3401260379,1595.6801147461,1394.2601051339,1587.9801139832,1690.2801170341,1663.2401046753,1624.3201179499,1245.8000793458,1264.6800956727,1354.3001098631,1260.2400970466,1492.9801101675,1396.7600975036,1433.3001060491,1360.1400947568,1392.8801002503
