lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,EKO-C1-Media_r1,EKO-C1-Media_r2,EKO-C1-Media_r3,EKO-C2-Media_r1,EKO-C2-Media_r2,EKO-C2-Media_r3,EKO-C3-Media_r1,EKO-C3-Media_r2,EKO-C3-Media_r3,WT-C1-Media_r1,WT-C1-Media_r2,WT-C1-Media_r3,WT-C2-Media_r1,WT-C2-Media_r2,WT-C2-Media_r3,WT-C3-Media_r1,WT-C3-Media_r2,WT-C3-Media_r3,blank
PC (40:5),0.24777120797687208,7.320158468399328,12.61195034948897,3.832883673807941e-4,0.005468247374632662,836.6 -> 184.1,PC,1865.120147705,1752.6201248172,1942.8201255791,1729.9801368721,1833.6401100156,2404.4601783746,1903.6601448052,1863.6001396183,1912.2801551825,1576.2201194762,1969.8001441953,1790.9401397707,1776.0001182558,1757.0801200868,1623.9800949087,1642.060111998,1852.4801330573,1518.2601165768,1580.840114593
C22:0,-0.2361777966378981,13.65224383586099,12.083425241121859,5.087205127243013e-4,0.00680413685768753,339.3 -> 339.3,FFA,145573.429931634,130350.48927305,126222.929458612,119068.028396598,118820.128311129,119821.689224253,156384.950958284,147451.170745852,144506.909927356,164797.431686413,159085.911331148,147442.70970154,185419.713119485,183027.493743899,180376.451889049,171635.972351097,163455.812065114,164018.891113264,51079.543594373
C14:1,0.2319953189818152,12.819588954207509,11.653578540852692,6.407914897506167e-4,0.00806643404744894,225.2 -> 225.2,FFA,68023.76470945,118044.588363623,142675.85008241,58771.943908703,68959.544723504,77907.505355811,70668.165130627,85631.505981431,99091.5074005,71713.365341153,81420.485672003,106574.007255545,67495.424835199,74504.94524381,77874.58575438,76713.925300579,78569.085998552,84776.3663329799,40406.66294861
C17:1,-0.22348743112090297,11.786894527182437,10.801997107702846,0.0010139065559313784,0.011125815610254587,267.3 -> 267.3,FFA,37021.0424346808,36741.2225837618,32941.5422515877,35050.5425338744,33841.9625129709,34063.9823608387,42812.5630836529,40822.3028259287,39814.1028633127,45900.3036308281,44319.5630798424,40593.6429519655,48624.8035354704,49458.4232406574,46288.9432029828,47237.8434791444,45332.1630935516,47611.0235214289,13673.1409568842
C24:0,-0.22185697221949646,13.904892665288525,10.66505569592664,0.0010917856439969455,0.011125815610254587,367.3 -> 367.3,FFA,169773.81263728,154387.671028138,145540.850234971,137042.609085079,136502.609390238,139829.350166308,200522.593719454,192692.953598023,180103.71261596,204488.335159308,183272.832366957,174348.972839346,225013.395431519,222387.754745507,216904.435043365,199599.413742066,193589.934219381,192387.893447872,41301.702835082
Lyso_PC(20:5),0.23053650392590916,6.7907784141899095,10.666438483942741,0.001090969752345098,0.011125815610254587,542.3168 -> 184.1,PC,1204.2600860593,1231.8800926205,1480.9001083378,1172.9600715638,1397.7801017763,1370.0801048276,1253.260093689,1353.360103608,1284.5600967406,1107.700077057,1153.5600776669,1210.2000694278,1269.7000885011,1165.3400878904,1270.4800910944,1151.7600822449,1135.6400756836,1252.0200920103,1313.3400955198
PC (38:7),0.22632666614245947,8.650115447230618,10.873677839308698,9.754063723742722e-4,0.011125815610254587,804.6 -> 184.1,PC,5222.3003578168,5201.6603775028,5348.8204307571,3921.3003158563,3964.0802955624,4464.1203117358,5584.0004615778,5297.0203247069,5270.7003936788,4030.9402580246,3163.0002212524,3569.4602699277,6073.9204483036,5280.6003112796,5723.5003776543,4718.2603263848,3941.8003082281,3936.3003005951,1529.9600982671
PC (36:1),0.19710350295249157,8.874436530411444,8.254277771303084,0.004065607956578953,0.03954727739581345,788.6 -> 184.1,PC,6052.360412598,5337.1003570551,5212.6003456113,5245.6603584299,5047.4803924557,4856.220321655,4695.1003723142,4598.7603302004,4136.2602996832,6116.4804229747,4839.6203613275,5035.4603233346,4897.7003288256,4856.9603500364,5013.3204078674,4035.0202636711,3471.6402587888,3938.2003173827,14336.3008880579
PC (38:8),0.1944464953105293,6.855116350659809,7.604691891005491,0.005821661121094744,0.05416675999627284,802.5 -> 184.1,PC,1348.320095062,1526.8800811765,1328.8801078791,1382.3000946036,1262.9000854493,1199.160076141,1293.4600830079,1242.9600830082,1326.9000968941,1188.3800849915,1361.7601013194,1361.3201065066,1273.0200767518,1126.2800674441,1119.9600677491,1232.9600906373,1265.0800933837,1201.4400749209,1868.3601455672
Lyso_PC(18:1),-0.18823562768317587,7.923415042184386,7.407944008097626,0.006493649103963008,0.05790170451033682,522.3481 -> 184.1,PC,2311.620155335,2643.9601898192,2716.8601913453,2281.2401695259,2404.4601898186,2147.300167083,2117.7001495356,2404.5201416029,2942.8402023316,2579.6802024843,3714.18025589,3298.4602661142,3067.2002410886,3209.4202041612,3107.9402503962,2836.320201873,2658.2201728833,2321.1601791373,3729.0402374264
C14:0,-0.1766386494627327,13.45188520610458,6.761649746377999,0.00931376149031501,0.07665942149720814,227.3 -> 227.3,FFA,125056.50965117,118166.968154882,108763.348052975,120137.809120207,110473.14788818,115745.908004731,126726.509010328,123725.189422593,120474.40945434,151063.990203864,137294.169860836,130372.909332302,157432.471282927,155604.131973237,149318.670211772,138796.909271242,134870.509551982,137417.409896847,54649.503845207
Lyso_PC(20:2),-0.18216382661600206,7.303239186789415,6.818713502620085,0.009020752767637821,0.07665942149720814,548.3638 -> 184.1,PC,1659.3201179512,1520.5200996397,1848.920139313,1848.2201194751,1644.8401107793,1644.580131531,1508.7801094069,1573.340122222,1552.2201080322,1899.620140076,2099.400150299,2124.0001640324,2198.7801589971,1987.3801574703,1903.980125427,1987.8801345829,2073.6801567082,1698.8401298526,1244.6000823971
PC (38:4),0.17643741790035605,8.067419631226276,6.528441706026221,0.01061629234895572,0.08414394676579719,810.6 -> 184.1,PC,3273.8002319322,2834.0402145388,2658.2801818833,2979.5002326972,3533.5802879342,3575.7002487178,2973.0801925682,2623.3801765431,2616.1401710518,3422.1402587878,2947.3402137749,2794.1601829534,2934.4001922631,2915.4202117901,2787.7002143866,2616.280212402,2792.5601768497,2437.520179748,5126.9003601079
PC (30:1),-0.1718222835057474,9.567263671378042,6.324580086835908,0.01190756799380043,0.09100784109547472,704.5 -> 184.1,PC,9574.3806533819,7678.4005508447,6960.9804725623,7934.3205986005,8343.1605415312,7683.7405967727,6407.6805114707,5871.7403144845,5827.0604171738,10571.1008224474,10982.6008186339,10666.2807006798,9119.020591737,9353.1407470697,9297.2806854177,6113.3403816183,7511.1204910295,6397.9604187006,18346.8410759066
Lyso_PC(22:4),0.16761928501996212,6.849614814857972,5.661413777607379,0.017342138454439947,0.12606656731935287,572.3638 -> 184.1,PC,1501.8001098636,1355.4001007079,1286.040088654,1323.6600952152,1438.9000930786,1094.0600814819,1315.2800865168,1443.140098572,1327.4800834652,1184.0400848388,1181.180080414,1112.380088806,1063.0600776673,1162.0200767517,1456.5801010121,1498.5201110844,1522.600097656,1309.9400939952,1206.4200859068
PC (40:9),0.1680825034742554,6.668844651773329,5.628288019689368,0.017672883269068157,0.12606656731935287,828.6 -> 184.1,PC,1118.7000846861,1099.5600738525,1065.9800834652,1257.2400894166,1181.9200973512,1229.1800842288,1260.2600975041,1076.5400733948,1107.4400749205,1042.3800811766,1162.8800888059,1099.4000816343,1105.2800827026,1135.100082397,1136.080078125,1058.1400718688,1085.9200782775,1077.0200805663,1595.4801292429
PC (38:5),0.1626534937707385,7.401961135467079,5.4483053825780345,0.019587317751462798,0.13521567738106577,808.6 -> 184.1,PC,1995.8401641847,1764.4401283254,1763.0601081839,1963.3001403815,2003.54014206,2091.0401496902,2042.8601379396,1841.3201446536,1831.0001106263,2181.1601753235,1948.1601333601,1859.4801483152,2155.5201644903,1577.7801094051,1907.3201293942,1646.0401153553,1491.5601043701,1768.5601043711,2593.5601882937
C16:0,-0.15298318899607447,18.54945992296643,5.076455377477032,0.02425290368937089,0.1597778567722324,255.3 -> 255.3,FFA,4608625.02044634,4088183.76702527,3748546.17278977,3992470.72924694,4027900.18414331,4224559.2202161,4571357.33651762,4304683.14761237,4069766.13015796,5026124.477416,4614262.49853573,4313228.3381343,5280515.0842293,5375351.19604489,5276615.58371024,4896478.74600105,4958107.38940386,4984575.59908978,212711.674194336
PC (38:9),0.15782913328346437,7.010490681943709,5.049106439767315,0.024638641464876963,0.1597778567722324,800.5 -> 184.1,PC,1367.5800933836,1480.3001022337,1367.5200958249,1434.6800880436,1566.0601005553,1546.1801033023,1486.5201034541,1448.2201004025,1411.1800994865,1474.5001068113,1347.1401062014,1440.6601066591,1535.4601058955,1450.3801078799,1352.7400970465,1441.2600936896,1179.2200813293,1353.4401092533,2079.1201362614
C32:0,0.15150372829276584,11.88738355733408,4.967652465845795,0.025825676509722714,0.16254984626707825,479.4 -> 479.4,FFA,45360.6032714739,43352.3229598936,44341.183155062,38776.1825866703,41703.7027740527,42479.0430221569,51468.6435775526,51512.703533172,46656.083419817,40550.4429473951,39164.1227188083,37844.2626266493,42012.9828491242,46398.723106376,45975.7030181743,45471.3229827906,45355.7632751365,47171.583511348,18435.8812904344
PC (34:0),0.15127477508639003,8.436311351757501,4.83332637261509,0.027914722975398956,0.16775480402272683,762.6 -> 184.1,PC,4954.1603393553,3707.0802497866,3711.4602661119,3849.1602630603,4403.8802757238,3441.440246581,3037.1402130128,3669.7003288271,3179.1402168284,4374.5203208909,4161.9003219606,4026.6803169252,4154.1603126527,3696.2602653505,3688.7202491757,2509.9602012635,3278.2401962269,2835.4402236936,8230.9204902642
PCo(32:0),-0.15267982478896683,7.5371889110236205,4.814550297944827,0.028220434321580213,0.16775480402272683,720.6 -> 184.1,PC,1819.8601226809,1867.300121306,1902.740139007,1728.1801109319,1788.1201210018,1946.2001342774,1568.5000953669,1859.0401268013,1993.6601333626,1828.6201438902,1764.7801094055,2134.8801460257,2529.7601928714,2975.3602485647,2711.7802085873,1780.8001403803,1911.7601203925,1987.5601501464,4154.520263672
SM (d18:2/22:1),-0.1504302004974786,7.274121839459731,4.631740731496267,0.03138570482854746,0.18152813062997722,783.6 -> 184.1,PC,1735.9201164235,1619.7401046751,1430.3600997922,1531.9001121526,1488.6601142889,1325.4200973512,1713.2401199339,1431.3401031493,1596.0801162711,2279.2201538086,1863.4801292416,1884.7401428233,1860.6201133719,1668.6001205433,1994.8801460261,1755.6801147472,1425.3000946044,1726.700134277,3191.4002113351
C18:0,-0.13413173150108842,18.507997661942373,3.9028598349686945,0.04820398663418348,0.2645039266593658,283.3 -> 283.3,FFA,4536019.09103502,4019007.22436384,3685855.42312721,3854277.8825687,3810730.44928046,3988481.33572411,4585602.97229007,4285257.40811236,4057518.11157289,4707847.67617906,4347261.2802136,3979889.77865345,5139337.90579325,5199455.63000383,5110384.54614382,4868906.12866166,4952942.1990357,4862965.45593305,238026.458847061
SM (d18:0/16:0),-0.1360570063608207,8.610382846971856,3.919964615896639,0.047715884535968214,0.2645039266593658,705.6 -> 184.1,PC,4210.9202995313,4018.8602943402,4318.94033432,4187.5402679456,3750.000255584,4472.600337983,3311.6602401713,2721.080196379,3057.8002243032,4858.9203491209,5661.5803832997,5167.2003364569,5075.9004020704,4215.320343016,4714.9003181436,3586.5802421575,3545.9002494818,3316.4002151496,10604.1006813067
Lyso_PC(5:0),0.1351293946026114,6.84479523128424,3.6776034531022415,0.05514806398654438,0.28975300451914293,342.1603 -> 184.1,PC,1227.0600814817,1111.9800796507,1368.0201072694,1121.44008255,1434.4800987245,1300.5401000972,1563.8801231379,1422.2000923153,1287.4600830077,1144.2000885005,1114.4600830078,1289.2801017757,1439.0801010138,1362.3401031494,1366.3200950617,1169.8000907902,1396.6201019288,1234.9600906373,1374.2000923164
PCo(36:3),0.13443451885898988,7.0023118587392155,3.666596778151323,0.05551342609946196,0.28975300451914293,770.6 -> 184.1,PC,1487.8001098628,1371.7801170349,1414.9400901796,1490.4601097109,1477.5600967401,1462.2001037592,1368.2401008607,1509.3201026922,1584.2801132203,1568.1001281732,1218.9800872805,1552.9401206964,1369.4001007085,1460.700099945,1601.2000961309,1246.0600929259,1480.4800949105,1334.7201004032,1579.2001075741
C18:4,-0.12878864591733694,10.956334878549265,3.582699207290215,0.05838421267910327,0.29056329100763023,275.3 -> 275.3,FFA,19986.5213966408,20225.9214630124,20120.6013603203,20813.6015701277,20136.3614768959,21177.1214294438,24433.4616889957,22542.2815933198,22470.9214706395,25852.1618614198,25298.7416801441,23923.781841278,25477.2217712376,26182.6216812088,24906.321804044,24585.9217910709,23390.7818298329,24682.1015968278,12110.1808624252
PC (36:7),0.13430490423007158,6.742177865415752,3.6105547321899367,0.057413965548224595,0.29056329100763023,776.5 -> 184.1,PC,1116.2400779725,1268.9200859073,1390.3000831607,1210.5000915527,1232.8800888058,1080.5600738525,1259.9800872805,1156.3000793456,1168.3800811773,1258.8400955197,1254.1400756835,1051.1800880434,1153.560092926,1249.2000846858,1158.8600921629,1120.6400833131,1118.5200805669,1247.7800712587,1541.4600982657
Lyso_PC(6:0),0.13219676384073994,6.961215353298865,3.5391754222225984,0.05993525002818362,0.2915032615007112,356.176 -> 184.1,PC,1544.0801124576,1593.8401298528,1461.4801025384,1340.9001045224,1329.3600883482,1270.8600959778,1490.5800895688,1367.7000999456,1409.0600929264,1198.6800880426,1292.5600967408,1564.7201271054,1298.2001037597,1448.5000991827,1313.240081787,1348.9801101682,1515.6801071163,1503.8801002495,1510.2200965888
C24:1,-0.1198149447554648,13.182693143769173,3.1116205922932068,0.0777355778619629,0.3029898958048548,365.3 -> 365.3,FFA,107999.566993695,98948.5872420992,97153.366973875,86657.5056533671,90175.746147169,92475.7062683226,121078.367950432,114994.427764916,108202.627647404,111007.667587297,114329.36829375,112511.188095114,122391.948707608,129839.169097894,132481.589462284,112738.247947667,114840.9482231,114426.088375095,20766.141502381
C26:0,-0.11834735015848334,12.801880643231161,3.035016508542184,0.08148572071120275,0.3029898958048548,395.3 -> 395.3,FFA,78708.2660445934,75125.3856506407,73209.4855079801,69269.2247238123,69418.125076294,70223.184974644,92688.546524053,86459.8263702267,84682.7259063691,89701.4459914908,85482.5258865414,81624.4461212128,95647.3269271568,95532.526557911,93575.3467483445,92340.9668273673,89033.1660690272,87980.7064704929,28102.9420165958
Lyso_PC(12:0),0.12556231659380931,7.583580150884352,3.2722811118121555,0.07045958709822722,0.3029898958048548,440.2699 -> 184.1,PC,2561.6601867684,2289.9401626589,1580.9001159657,1900.7401313777,2097.4401588442,1950.5001296986,2747.4402160645,2959.3802490248,2054.1201324462,1901.9201431267,2024.7201194764,2026.8601493834,2098.7801513671,2158.5001487728,2453.7601623542,2403.0601692199,2603.1601982128,2000.7601470946,1451.9201011664
Lyso_PC(17:1),0.12620427122209435,6.7997472476193055,3.201695140178156,0.07356198708005728,0.3029898958048548,508.3325 -> 184.1,PC,1280.4200935363,1092.1600875854,1235.4400939942,1275.9800834657,1241.560077667,1180.0600738526,1505.20009613,1331.2400856022,1343.2401046753,1214.9200935364,1225.6200866697,1092.2800865172,1275.9600830086,1172.6600914006,1553.5600852966,1175.9200782775,1331.6800880436,1202.9800834648,1236.9400978088
Lyso_PC(20:4),0.12746577442590895,6.788807572949288,3.2644190787221454,0.07079809434577962,0.3029898958048548,544.3325 -> 184.1,PC,1193.2800941464,1386.8001022344,1059.1200790404,1239.3000907894,1148.2600936887,1309.9200935367,1307.1000976561,1521.3801040664,1249.5800971981,1333.2800979615,1252.0000839234,1310.3200759892,1294.5400848388,1195.4601020811,1172.000076294,1343.6800994872,1147.5600852966,1117.8800697327,1189.5200843815
Lyso_PC(22:1),0.12546886366816812,6.739505163306943,3.1532941940988923,0.07577384750850377,0.3029898958048548,578.4107 -> 184.1,PC,1233.8400917057,1251.4400863647,1169.0400962829,1165.4200935363,1261.0400848389,1314.4401054389,1280.640090943,1181.8200798035,1091.9000740053,1156.7800903318,1205.2000885007,1183.680084229,1195.3000793452,1052.1000785828,1171.3200759892,1223.1200942993,1303.6201019282,1240.3200912467,1289.4400978087
Lyso_PC(24:1),0.12356612648059125,6.691011536575518,3.0493201158973102,0.08077094891904453,0.3029898958048548,606.442 -> 184.1,PC,1143.0800895696,1136.700088501,1105.5000801084,1079.6400833127,1186.2600860592,1053.4200782775,1148.8400764465,1293.360092163,1390.3201065062,1154.6800880431001,1079.2400741579,1119.8600769046,1120.0800781249,1207.8600921632,1076.4400749206,1304.3000946045,1135.1200790403,1135.3400917049,1362.3801078793
PC (30:0),-0.11915387587160284,9.515882266224065,3.0418995066000747,0.08114091952958545,0.3029898958048548,706.5 -> 184.1,PC,9530.1807022002,8644.9205322252,7994.4206466618,6676.220512391,7968.2405471863,7119.2005920449,6201.3005294805,6477.2205505383,5901.2604751566,9942.8807945275,10882.8408393874,10157.920738218,7651.2806014972,9284.7005729585,8863.3605728073,7437.0806236267,6101.8004837046,7042.5605621384,14715.5011749146
PC (32:2),-0.12059653885338147,9.10528294204594,3.105195091191348,0.07804288047180649,0.3029898958048548,730.5 -> 184.1,PC,6661.6204795825,6735.8604774486,5180.7803802482,6018.7804107666,6009.5204200694,5174.4603614802,5704.2604141253,5492.0004386911,5002.3403930657,7562.5405807485,7534.1605567915,7321.9804878234,6816.1404953,7134.6204566877,7220.4204483036,5770.1604194656,5796.4604797376,5318.8203849799,6489.4604911808
PC (34:5),0.12690532081238662,6.695354057797877,3.217537484312291,0.07285315103075889,0.3029898958048548,752.5 -> 184.1,PC,1088.4000854491,1128.7800750734,1148.3400688172,1169.340084076,1218.100078583,1245.8200950629,1246.900089264,1265.2400932315,1082.7400741579,1131.8600845337,1143.6400833128,1082.840084076,1145.5400886535,1285.800090789,1082.1200752256,1156.2600708007,1175.0200881955,1174.3400917049,1316.820083618
PC (36:4),-0.12626606386027672,7.664623351501067,3.306999735490894,0.06898533318329059,0.3029898958048548,782.6 -> 184.1,PC,2216.4601516723,2191.6401481626,2187.3801574708,1829.4201240548,2170.8001441947,2362.3402061458,1761.600120544,1807.7201156616,1680.4801139828,2289.080165863,2193.0001449593,2992.7602195735,2487.0801506053,2239.7801818833,2406.520179749,2112.3201522823,2609.4401855463,1941.9401206972,4421.960300445
PC (42:4),0.12419068087399945,6.763437088347536,3.0931751196385067,0.07862125816167678,0.3029898958048548,866.7 -> 184.1,PC,1320.88010025,1237.6800880432,1231.1800880432,1175.8600807186,1124.280078888,1183.4000892642,1381.860103607,1392.2601127636,1079.3200798035,1200.1800880433,1186.2000808715,1244.3000946046,1165.90007782,1290.3200988773,1211.240089416,1203.2400856016,1209.7600784301,1194.7200737001,1346.8200988768
PC (44:5),0.12662724451094168,6.645273547367435,3.194975870042804,0.07386486026108982,0.3029898958048548,892.7 -> 184.1,PC,1141.4400787355,1145.7800979615,1150.8600807192,1106.3400802608,1120.3600730895,1087.2200737,1168.4000816346,1248.9000778202,1083.2000808715,1118.8200798036,1172.8400917055,1131.7600860596,1067.680076599,1072.7200851438,1070.0400772094,1116.260082245,1102.2200775145,1185.1600875851,1237.7800827023
SM (d18:2/14:0),0.12304352924033601,6.666325442007218,3.0224611193451247,0.08211875680692327,0.3029898958048548,673.5 -> 184.1,PC,1129.9200782774,1265.6200790404,1110.1400718693,1147.8200874327,1149.8000755308,1111.7600822451,1125.3400840759,1221.0800819398,1220.9000778199,1153.1800804138,1093.5200805664,1238.8600921631,1085.5200805666,1155.5800895693,1013.1400718686,1141.2400779724,1150.180091858,1258.8200874326,1051.0400695802
PC (38:3),0.1176267948833922,8.125270904175183,2.9071875430002336,0.088185534912776,0.3193410035535714,812.6 -> 184.1,PC,3337.3402328486,3616.0002861024,2926.3201980603,3078.3802452077002,3176.2402038575,3189.1402015699,2880.5802001955,2789.8801612867,2863.8802299494,3290.6002426151,3707.9002571115,3190.8202209479,3211.1402206421,3319.5601844785,3149.5202178937,2628.4201965314,2382.7401962285,2625.4402046212,4873.6803550732
PC (42:3),0.11994514263840653,6.737908167635453,2.882716483872742,0.08953486080941254,0.3193410035535714,868.7 -> 184.1,PC,1303.1200942988,1290.4800987251,1185.3800697328,1194.1800918577,1192.1600875852,1303.9001007083,1146.5600776673,1134.360080719,1217.1400794982,1201.5600852973,1121.0000839232,1085.8400802615,1328.5600967405,1167.1600799563,1357.8000831611,1133.5200805663,1198.1400947571,1207.4000892636,1175.7200889584
PCo(38:3),0.1176877378985693,6.982358782964901,2.805271521207139,0.0939549367432122,0.3296124010335641,798.6 -> 184.1,PC,1353.9401016233,1552.1600990291,1421.4600753786,1585.1601066594,1360.9800910952,1477.8201141353,1275.7600936894,1315.8600921625,1393.4601097101,1564.7200965879,1451.2800941468,1613.5801124565,1358.4801063541,1318.300106048,1566.3001060493,1339.4000816348,1189.160079956,1174.9600753787,1904.8401412966
C12:1,0.11287704141800188,11.103004271832472,2.753494828273859,0.09704210527301203,0.3340537686652591,197.2 -> 197.2,FFA,25895.4018478388,27720.7019500714,26197.4817810079,21579.0415191658,23740.4616928091,25217.4018859811,27785.6818580659,25875.3217697076,26706.3018646222,23492.1816482511,23298.2617492661,23944.5617561286,24732.4017639156,26943.0218620284,27005.3218536396,25150.4818115258,26808.2817230217,26622.1418495168,14202.7810058631
