lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,EKO-C1-Media_r1,EKO-C1-Media_r2,EKO-C1-Media_r3,EKO-C2-Media_r1,EKO-C2-Media_r2,EKO-C2-Media_r3,EKO-C3-Media_r1,EKO-C3-Media_r2,EKO-C3-Media_r3,WT-C1-Media_r1,WT-C1-Media_r2,WT-C1-Media_r3,WT-C2-Media_r1,WT-C2-Media_r2,WT-C2-Media_r3,WT-C3-Media_r1,WT-C3-Media_r2,WT-C3-Media_r3,blank
C20:3,0.9501526245100093,12.723163477387319,192.22289424595056,1.0402451546023725e-43,2.2261246308490774e-41,305.3 -> 305.3,FFA,96339.8262939398,107636.987670933,110251.427871703,92736.1267165969,107289.926902733,109029.30731202,91882.7467727673,99504.886886582,97912.907035812,45279.0429954569,44541.6430931017,42147.2830123906,50002.9033622611,54964.9240799166,51368.2235756063,65858.5248412868,75047.2851562339,75783.7851333373,18531.941375734
C24:6,0.7007342187655465,13.11702836028465,105.4247622872291,9.857037670624126e-25,1.0547030307567815e-22,355.3 -> 355.3,FFA,139199.54959107,126450.62862398,120977.228576671,120985.48847579,120615.268386802,117019.087982179,128676.589279155,125304.148437493,124427.308303848,71560.244888294,69007.2846832491,67930.624649039,82459.545783995,79349.5457916539,80373.8855895685,98926.886901832,93648.5867538529,94933.0066070344,33288.402328494
Lyso_PC(16:0),-0.6237887328839089,9.739963047139469,82.9144556742308,8.56822873721654e-20,6.1120031658811315e-18,496.3325 -> 184.1,PC,7391.7805290282,6615.4804916407,6970.6005287128,7068.5404243464,8495.0005912698,7298.7004776011,6869.6004295338,8704.2206840528,7352.9005203216,14417.321170811,15462.1009178012,14404.2809639004,13391.5008964606,13054.9810066185,12990.9008979702,9012.0805549579,8731.3607253974,8695.0005798482,8730.3005790731
Lyso_PC(14:0),-0.509239355479798,8.636650758851308,54.77356381355979,1.3524784521282282e-13,7.23575971888602e-12,468.3012 -> 184.1,PC,3785.3002738963,3693.5203247049,3370.7002143879,3562.9802169808,3550.7602691649,3302.1202278144,3771.9602355949,4612.6403083798,3540.2402496328,6001.2805023178,5599.8603172307,6730.6604919419,6505.70042038,5808.3604011531,6243.4004516598,5098.5403442389,4141.1803092953,4368.8602867131,2486.4401474011
C15:1,0.4541832512476034,13.884856236738273,44.557125219329464,2.4704279315113845e-11,1.0573431546868725e-9,239.3 -> 239.3,FFA,168290.491043064,255361.018356314,292647.958930959,138762.090118407,167007.871978761,182220.313415533,175959.471496581,193395.73410033,219955.635253897,123377.369812015,138751.969985951,178808.132728595,146236.38983154,147458.190551735,159212.031272907,161169.430694566,165556.071807879,179538.591079715,37924.2226715055
Lyso_PC(20:3),-0.3828203894309474,9.492209223168793,31.334744906523675,2.171583120587677e-8,7.745313130096048e-7,546.3481 -> 184.1,PC,6400.120456696,6702.2604103088,6633.3004150392,8291.94059372,9204.4207115149,8668.9605674717,6509.0404357898,5876.1004638671,5562.8603439301,11777.9408836357,12294.2008743322,10612.720848075,9123.6405563339,9220.5806465109,9196.1205711341,9661.2007713267,8632.5005607578,8805.4406166065,2050.5401153562
C20:1,-0.30914053647532397,12.228609638923496,20.662894204743566,5.476711391442e-6,1.4650202972107352e-4,309.3 -> 309.3,FFA,50624.8637390056,46043.9635009721,43694.6028327877,44374.5230789284,44655.5830764621,45526.4630813524,56921.9240722378,53582.8836593636,53574.5837860048,59931.8441924863,57630.4040374589,58890.9241791005,74962.0853271239,75313.3451232927,68339.7647171138,61759.904472345,62567.5246200684,61521.9645309319,16399.5211181652
PCo(32:3),-0.31156839409681986,9.977201728404296,20.847905097801224,4.972358074399416e-6,1.4650202972107352e-4,714.5 -> 184.1,PC,12077.00080109,12231.4208373986,10743.140640255,9783.840728761,9835.880706788,11161.500869752,9311.820655822,8350.7405319201,8573.0205574033,14475.861007693,16181.800964356,16556.180892938,12590.860961916,14225.180984486,13517.320999138,11378.980827335,11722.5407791129,11726.8808288563,2886.2202224731
Lyso_PC(19:3),-0.31124878256914634,7.689837434674434,20.130729277919407,7.232527027781666e-6,1.7197342043836407e-4,532.3325 -> 184.1,PC,1876.5401191716,1928.1001434326,2086.9601287863,2472.6201629641,2093.0001564026,2240.4801673885,2158.600128175,1801.6201019293,1894.480129241,2703.9602050773,3337.9002532962,3188.9202270507,2640.9001655601,2612.1401824948,2503.4801597594,2210.9401550305,2959.9202156061,2494.1001892069,1310.0600967409
C17:0,-0.2970976137675883,14.006811833388179,19.111408069555125,1.233056386154859e-5,2.638740666371398e-4,269.3 -> 269.3,FFA,185010.773574829,164642.132232661,158988.49133298,149668.489593507,149528.230483999,154937.331367487,195020.793548569,184115.89366148,177245.071655288,219423.555435126,206880.37605283,199108.973983766,241709.358078034,240758.896553047,241984.056472752,213819.856262214,216374.035736095,213070.594894424,40828.862838747
C15:0,-0.26890093951802185,13.863751846314903,15.660079636503712,7.580746512178545e-5,0.001474799776005644,241.3 -> 241.3,FFA,159097.030914313,154084.130210875,148259.9099884,132373.349334737,130579.528717004,135749.569335915,185256.593719518,174362.533554086,170440.951278676,198229.773132313,183067.973060645,182522.312744145,219440.576637244,223894.194656371,219104.096115131,186283.43374633,184655.51191705,191244.792739828,39058.582794191
C16:1,-0.25255816827323246,12.63202805600831,13.806080788063017,2.0267919171136801e-4,0.003593670669954237,253.3 -> 253.3,FFA,69478.4054260184,62917.5843811045,60608.2440376261,53482.3038063018,52577.3035278108,53864.1835784746,84558.1460342575,82493.965900398,75871.8853149285,88226.045940386,84027.9058990413,79748.3657073654,79951.3252181807,83150.9056549048,81234.5262565391,85180.4059905889,87683.3461265563,87044.6661376782,17972.8213386525
C22:1,-0.25130516672507747,12.414726754017693,13.666563473446075,2.1830709677292094e-4,0.003593670669954237,337.3 -> 337.3,FFA,59431.5840453931,55570.9839820769,55975.783977495,52868.743743879,51357.4834823532,53564.1440200617,62470.7247734073,59459.4842834518,60203.4441146796,71803.4052505351,66900.304405205,70559.5050506423,78338.0059890926,76199.6651840395,75694.2855987807,69673.565116851,69354.8446960725,71246.8648757976,16971.0611953724
Lyso_PC(16:1),-0.24843640621675714,8.355188486697633,13.029413971271374,3.0663648908585655e-4,0.004687157761740951,494.3168 -> 184.1,PC,3423.5202560427,3764.1003112791,3382.0202369678,2550.920181275,4185.7202491765,3419.6202354446,3573.3002281194,2913.5401802061,2790.3002090449,5102.880332947,5631.9803314214,4325.0202407838,4022.3002891548,4261.6603050234,4513.2803306574,3196.0402069096,3628.2202339179,3486.4202804559,2524.0202026366
