lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,C1-Cells_r1,C1-Cells_r2,C1-Cells_r3,C2-Cells_r1,C2-Cells_r2,C2-Cells_r3,C3-Cells_r1,C3-Cells_r2,C3-Cells_r3,R1-Cells_r1,R1-Cells_r2,R1-Cells_r3,R2-Cells_r1,R2-Cells_r2,R2-Cells_r3,R3-Cells_r1,R3-Cells_r2,R3-Cells_r3,blank
PC (30:0),-0.37268471662078456,14.229992704411897,17.108387896885773,3.5306032012834146e-5,1.8428026465235384e-4,706.5 -> 184.1,PC,143696.472442567,132853.369567854,128342.929809662,150728.851440576,141539.049926784,142770.888794009,143980.230651975,139775.68859877,134235.049621407,202516.176147412,177138.152893127,173982.853210415,183272.532928368,173147.051818624,172534.871887195,211252.454589979,209267.174285891,204582.033386071,14715.5011749146
Lyso_PC(19:3),0.3719134024733966,7.6386285410834525,16.451791936333557,4.990298970091235e-5,2.5426761419036287e-4,532.3325 -> 184.1,PC,1209.6600799562,1325.7800941464,1573.8601150505,2459.9801864617,2941.3002357488,2310.7201461807,1286.0201072696,1329.7400970459,1401.620105744,1666.2801246648,1568.3401222232,1633.5401306159,1183.1000938409,1365.7200927737,1285.6400947567,1259.160095215,1430.2800979616,1367.1201095584,1310.0600967409
C20:4,-0.35391808986002743,11.687398492173093,15.405741149429474,8.67244072506175e-5,4.124227367029365e-4,303.3 -> 303.3,FFA,26752.221862793,22507.0216827378,21759.7416000338,24770.5017738335,24148.6617736786,23450.7616500857,21927.1816558804,22926.3615989694,21602.3416290304,36663.2025871341,30400.7021369906,32508.7023582444,28737.8420410157,28010.3618545531,26586.341865536,33174.8624114924,31702.4421958907,33167.1024970996,13304.8209495521
PC (40:3),-0.35592614930820743,9.218165398112195,15.435012299139565,8.539145521426522e-5,4.124227367029365e-4,840.6 -> 184.1,PC,4025.8402557372,3981.8202705373,3919.4202728256,4051.040279387,4359.8403129565,4436.1002616888,4799.3403816214995,4207.9403076152,4627.9203109738,5686.0804252624,6081.3603706367,5586.6203880303,5318.1603775018,5867.9604225151,5274.9603157044,5874.320323944,6453.7004241936,5291.2603492762,1521.8601112359
SM (d18:0/16:0),-0.35388351775043264,12.85824031678505,15.421274304910922,8.601447062241314e-5,4.124227367029365e-4,705.6 -> 184.1,PC,58609.043930054,50256.203155521,49011.483581548,59322.943634026,54477.903839109,53640.96427916,52265.3039474526,55415.144042973,53259.323959362,78029.54414368,71775.065803545,65900.864105237,70442.785659804,67761.865386966,63511.20382692,80776.726348876007,77402.085693354,75623.305732719,10604.1006813067
SM (d16:1/24:1),-0.35049368292221056,11.923033127542327,15.115400297754313,1.0113487773811437e-4,4.704970399120973e-4,785.6 -> 184.1,PC,29397.962055206,26295.0419311469,27418.0020141589,29287.1821289276,30446.161895747,28262.421768197,27710.981796264,30015.3018875122,25826.2819404607,43579.702957175,36861.042617791,32452.5822258032,34860.182678223,36396.8427353033,32466.0223693893,40964.583282458,41051.342536911,42133.463165264,5384.400352477
SM (d18:1/18:1)9Z)),0.3406459138619527,11.151288007818408,14.262617754512945,1.5899133183903868e-4,7.239179790117931e-4,729.6 -> 184.1,PC,23088.701354969,20105.6615867577,20577.921405799,22594.4414825563,21466.9016418287,22609.741561887,19624.5413665758,20408.8814697258,19635.8416175713,19987.9213752735,17443.9609489289,17252.4814605662,16387.6810874984,15224.1208801232,15425.0010223431,19257.7213020277,19569.9813423033,16768.9811744673,2693.7602157585
PCo(40:6),0.3373621895981366,8.748237498309527,13.80923867205323,2.0233882189738255e-4,9.020939142924972e-4,820.6 -> 184.1,PC,4177.9202957159,4048.9403419498,3366.9802131668,4492.3003807071,3728.0803031896,3528.660232544,3622.9002037034,4282.7002906801,3723.9002532949,3452.3002433771,2951.6201934819,3006.3201980599,3326.0202026348,2621.4601669307,3030.0002174405,3728.4802970875,3262.1402130125,3650.9002494813,1488.8201065067
C17:1,0.3266209703406705,11.402767440391232,13.119558677389849,2.9222886486918376e-4,0.0012762648384082719,267.3 -> 267.3,FFA,31132.5822715773,25960.2418785096,25668.0618476865,24578.6817131044,24912.8215980544,24946.2416992241,18911.1813736006,18615.9413719196,21245.6415023803,20136.2014350888,19828.3614616383,19075.7413902309,19011.2212829604,18432.121318816,19057.6813354481,21081.5014228796,21356.5815048214,22042.6015510549,13673.1409568842
PC (36:8),-0.32178283807417063,9.737818583551556,12.665288714812704,3.725070027285622e-4,0.0015943299716782463,774.5 -> 184.1,PC,6448.8003730755,6173.9604606629,5398.2603492727,7230.5204734799,6413.2205505367,5946.5804367053,6559.8204536441,5936.5403747555,5468.2203674318,9153.0606002747,6758.7404212961,7359.4604835511,7861.600681304,6820.4004745484,7479.1404571615,10003.9807014396,9251.0607185363,8237.6405639635,2613.340179443
Lyso_PC(18:1),-0.30640578342271596,10.52894495859763,11.52525696447691,6.865696001441327e-4,0.0028808998908008707,522.3481 -> 184.1,PC,12711.0008964583,11486.080886842,10367.7607803385,11688.6208648597,10781.5609016391,11361.3608360232,9302.2005691464,10068.1407203756,9635.6805496225,15902.2611885246,14306.700885765,14259.4809493892,13898.7809257463,13883.2211265492,11229.3608894285,15539.0610313412,13802.0009422286,13190.0810241603,3729.0402374264
PC (34:4),0.29532991120978647,9.663410362849007,10.669346606324169,0.0010892558738011151,0.004482706865258435,754.5 -> 184.1,PC,7893.7206192028,7458.5204391476,6530.640487671,8063.4206543002,7554.7004890405,7530.7604446401,7162.32057953,6759.620407104,7415.9605522164,8035.9404449451,5838.5604286203,5675.7204628003,5400.260406493,5367.4003982552,5344.880340576,7974.0006065363,6509.4604034422,6735.1605110167,1440.2400932316
C22:1,0.2895152545248172,12.295505805424286,10.325309031054719,0.0013121828740431515,0.0052913697926224275,337.3 -> 337.3,FFA,50699.5233688237,47968.863471989,49536.043632510104,47199.3235397453,45532.5428848264,46632.8235130292,38910.3028106705,39716.322769159,37444.7427291806,41060.6629714935,39507.0427932757,36555.1224975607,36776.9825744683,36183.822456358,33983.302482599,40740.9030303908,40269.1430206241,40682.1629333453,16971.0611953724
C24:5,0.28902302209549713,12.644716027736578,10.293210919784999,0.0013352054616897714,0.0052913697926224275,353.3 -> 353.3,FFA,68190.605010983,61001.2443656922,61924.8842697135,63491.9444885008,60220.564254777,59925.384109505,43869.0831146268,46180.163085943,44475.023101805,53278.423767073,49230.4434585537,46371.183288575,45999.983329773,42975.1430053723,42216.3030471848,53085.283592229,51243.503517146,52011.1636200006,27545.1619339023
PCo(32:2),0.2817276366062506,10.134362366834155,9.733048351216539,0.001809840802190449,0.00704192603034102,716.6 -> 184.1,PC,10832.1807861247,9578.1607704164,9521.8406410176,11262.4807128879,10365.8207473795,9850.2005882235,10390.8208274812,10275.5207939128,9712.5406990148,8677.7406501765,9094.2206192028,8289.3606491092,8892.7606887809,8844.6406631428,7767.5405731221,9833.2407989451,9234.0605621349,8344.9805221566,1774.3001251216
