lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,C1-Media_r1,C1-Media_r3,C2-Media_r1,C2-Media_r2,C2-Media_r3,C3-Media_r1,C3-Media_r2,C3-Media_r3,R1-Media_r1,R1-Media_r3,R2-Media_r1,R2-Media_r2,R2-Media_r3,R3-Media_r1,R3-Media_r2,R3-Media_r3,blank
SM (d18:1/24:0),-0.3659617620719976,8.129461357524812,27.34255392202546,1.7041941314414907e-7,3.315432219349809e-6,815.7 -> 184.1,PC,2465.6801834106,2115.1401634212,2212.7601585396,2344.6401710523,2136.0601463302,1948.3801383985,2604.2001686104,2154.9801406875,2597.4601898182,2647.6001777649,2993.2001838688,2737.8802185069,3366.1402702339,2926.9601631169,3342.760242462,3170.8802070614,8831.2206382744
PC (36:2),-0.35958626672297667,9.583027624450901,27.111120947691283,1.9208972339802792e-7,3.425600067264831e-6,786.6 -> 184.1,PC,8793.1206664991,6529.3404922484,5789.0003852835,6645.5004539479,6125.3604354848,5458.7003707888,5029.8203277588,5195.6403350828,7081.8205985965,6666.3804206844,7502.080528254,8220.460548407,7004.3804740926,9990.3805999778,9673.5207366903,9127.5206336894,23948.5619277688
Lyso_PC(12:0),0.3650945212877616,7.5469436242690104,26.886373107408808,2.157749046053771e-7,3.551986891196207e-6,440.2699 -> 184.1,PC,2561.6601867684,1580.9001159657,1900.7401313777,2097.4401588442,1950.5001296986,2747.4402160645,2959.3802490248,2054.1201324462,1613.5201187139,1649.4201240544,1901.4401397704,2013.6401214596,1647.1801338196,1869.3401451109,1667.0001220703,1826.3601455671,1451.9201011664
C24:5,0.3256774229611292,13.453917820180001,22.576572005557523,2.019321038905687e-6,2.9472356106117286e-5,353.3 -> 353.3,FFA,143394.389343254,133283.069801346,125518.548355107,124617.529411325,121112.048431412,153128.070884706,148712.71026609,139404.489501954,125326.648639677,125632.888977044,110856.467361429,105720.547317469,105323.547370899,109953.407836909,107091.726840983,100107.727111817,27545.1619339023
C32:0,0.32565504218825286,11.884798935555498,22.532837108542935,2.06581935323252e-6,2.9472356106117286e-5,479.4 -> 479.4,FFA,45360.6032714739,44341.183155062,38776.1825866703,41703.7027740527,42479.0430221569,51468.6435775526,51512.703533172,46656.083419817,41482.8431320205,39877.3829231389,38216.0829124449,38426.6226119985,34466.1023635874,35751.7625122069,34260.7424049324,33552.1023788455,18435.8812904344
C16:1,0.3216291331832654,12.429463000908951,21.99935060607424,2.727427315449022e-6,3.6479340344130666e-5,253.3 -> 253.3,FFA,69478.4054260184,60608.2440376261,53482.3038063018,52577.3035278108,53864.1835784746,84558.1460342575,82493.965900398,75871.8853149285,56365.203819268,56036.0040588252,53915.2235221834,51631.7037811209,51308.8837280256,58684.2841606117,55645.6839179934,53020.6437988022,17972.8213386525
SM (d18:2/22:1),-0.31894468005152155,7.43329642865239,20.368996225542194,6.385601868207296e-6,8.038345881155066e-5,783.6 -> 184.1,PC,1735.9201164235,1430.3600997922,1531.9001121526,1488.6601142889,1325.4200973512,1713.2401199339,1431.3401031493,1596.0801162711,1744.3201026916,1632.2601013183,1926.800102236,1835.5801277159,1799.3401145929,2116.3001403808,2214.4401550292,2405.8601875315,3191.4002113351
PCo(34:1),-0.3100452453740804,8.699189769976313,19.96055044042362,7.905651414022394e-6,9.398941125559957e-5,746.6 -> 184.1,PC,4823.4003486634,4167.5602684009,3870.6402511594,3457.8403129574,3255.5802650447,3666.9202919004,3372.2602462756,3436.2202568062,4018.4402847273,3983.400264741,5202.320388795,4313.8602485653,5288.7203636142,5322.6404495226,4692.9804000857,5381.1403808595,6560.4005050659
PC (34:1),-0.298653729016018,11.371543211630907,18.930188837559623,1.3558996884306108e-5,1.527171228021846e-4,760.6 -> 184.1,PC,30929.861907959,22509.0017700045,22280.521690365,24215.0616760342,24461.1015815834,19967.1012382607,24549.6615447913,21445.0613784852,24531.2218894889,25908.7820129385,28759.8016700667,29472.8621673474,32976.9822464077,30961.90225983,32905.641647353,34659.7420043992,46707.243446354
PC (36:1),-0.29909770526002055,9.177225897226158,18.694217583742706,1.534471167062045e-5,1.641884148756388e-4,788.6 -> 184.1,PC,6052.360412598,5212.6003456113,5245.6603584299,5047.4803924557,4856.220321655,4695.1003723142,4598.7603302004,4136.2602996832,5688.1404304511,6281.7404441834,6134.3004531867,6786.8605041516,6769.0204658463,6104.0203857438,6024.5404396072,6451.2004280081,14336.3008880579
PCo(32:1),-0.30083629327476474,8.015782333353762,18.512305821640812,1.6881083839842583e-5,1.720262829393482e-4,718.6 -> 184.1,PC,2598.9401855472,2376.5201759331,2319.880161285,2301.1801719651,2519.4402160644,2293.3401603696,1948.7401313784,2508.8801727293,2817.9801902776,2196.0601654048,3189.2802352905,2998.7802047725,2600.6001739501,3409.520256042,3292.7602005016,3354.5602302541,3835.0202789303
SM (d18:1/24:1)15Z)),-0.2880582938943177,9.13209546501451,17.324392398001947,3.151159011496294e-5,3.0652183111827585e-4,813.7 -> 184.1,PC,5613.3604774482,4830.6603431708,4524.3203392037,4239.7002601618,5084.2403793326,4365.6403160103,5011.7803535459,4325.5602760316,5396.3403511036,4973.7003288277,6144.6203956623,6067.0004005427,5553.7004623454995,6697.5205345158,6375.9805297817,6389.7004203819,15759.3212776419
PC (40:0),-0.2871093136856333,8.45731453595676,17.074712401644746,3.593765242261623e-5,3.34376418193038e-4,846.7 -> 184.1,PC,4034.0203056335,3471.0202178956,2897.6002235419,3314.8402175905,3393.6402549745,3113.580207826,3853.1202964791,3275.0402221681,3582.7602043171,4279.8402442929,4418.7403068531,3236.7202148444,3428.5602149991,5355.7803459133,4947.9003410322,5013.6803817743,1443.9400939939
PC (32:0),-0.27966002792217304,10.097742391164664,16.505397558907664,4.851177659534396e-5,4.325633413084836e-4,734.6 -> 184.1,PC,12245.1008758608,9153.9805450416,9914.2207260116,11000.4808235241,9920.1608428895,8800.9606742768,8200.4404983481,9821.0807342565,10515.4808006229,10523.9807739278,12786.0009422425,12146.7009086546,11740.3607749975,13632.1809806879,12889.180866242301,14252.8210144091,19829.7414550925
PC (30:0),-0.27943211633662646,9.64917809708555,16.41865080658804,5.078309016310275e-5,4.347032517961596e-4,706.5 -> 184.1,PC,9530.1807022002,7994.4206466618,6676.220512391,7968.2405471863,7119.2005920449,6201.3005294805,6477.2205505383,5901.2604751566,7658.1805572529,7182.8005447347,8097.9005584734,8968.5005607621,8773.3005294803,10401.4006996056,10486.7809257487,10524.5407791078,14715.5011749146
PCo(32:0),-0.2830446218231839,7.683833281649139,16.196012145120335,5.711422269886245e-5,4.700939868290986e-4,720.6 -> 184.1,PC,1819.8601226809,1902.740139007,1728.1801109319,1788.1201210018,1946.2001342774,1568.5000953669,1859.0401268013,1993.6601333626,1981.0201377874,1972.1001319895,2129.5801467895,2041.680137634,2479.6801643372,2302.2601394656,2633.5801887516,2710.0602264413,4154.520263672
SM (d18:0/16:0),-0.2736621117886542,8.754483809765215,15.552268988758414,8.025527041455203e-5,6.360973284708939e-4,705.6 -> 184.1,PC,4210.9202995313,4318.94033432,4187.5402679456,3750.000255584,4472.600337983,3311.6602401713,2721.080196379,3057.8002243032,4287.4803657523,4454.4202766403,3813.3602485661,4242.4402885429,4697.0403518682,5048.4603118886,5388.3403282162,5329.3404121415,10604.1006813067
PCo(32:3),-0.26443234960803114,9.97975684748672,14.76003408200566,1.220960371431541e-4,9.331625695941063e-4,714.5 -> 184.1,PC,12077.00080109,10743.140640255,9783.840728761,9835.880706788,11161.500869752,9311.820655822,8350.7405319201,8573.0205574033,9610.7407646142,9223.4406394992,11530.3407135019,11845.720733643,11645.26083374,16050.361251819,14341.100959777,14233.6409873972,2886.2202224731
SM (d16:1/24:0),-0.26214275606304993,9.123939110257323,14.350402970644183,1.5174721268766575e-4,0.0011197897763848437,787.7 -> 184.1,PC,6456.2404594444,4280.9403152457,5270.9803886425,4308.5202598569,4411.2603607187,4159.8202896127,5013.3403625483,4300.1602706923,4867.9403953541,4938.8203506465,6509.6404800442,5738.1204071051,6205.8805046075,6090.5004158016,6110.3204116852,6524.8004455558,15561.8409767029
C26:1,0.25323020191625456,12.487765625243762,13.649063199537395,2.2035123120070548e-4,0.001540868121871973,393.3 -> 393.3,FFA,66889.024543774,67413.1448440109,55887.2639693986,59232.6040115184,60286.5843353268,84854.4662246685,75956.3852424605,72073.2047882083,58027.7841720716,62162.5843658263,56110.0038948148,57710.3837776172,59486.3839340141,54078.1037101673,59484.9440154648,58890.84410857,19580.181320189
SM (d18:2/24:1),-0.2570609445724959,8.318314064058148,13.62486218892797,2.2320986812164094e-4,0.001540868121871973,811.7 -> 184.1,PC,2729.160186767,3169.9002838129,2930.3002090451,2733.1602058401,2990.8202285775,2975.6401939386,2789.3602218615,3198.5001983646,3044.0802192674,3186.6602363587,3845.2402648934,3645.8202629083,3954.6802787781,4334.4402847291,3215.1002540596,3617.3802986145,5050.7403602613
PC (38:3),-0.2560498418553411,8.353450102938744,13.531129985281877,2.346387280936925e-4,0.0015691464941265687,812.6 -> 184.1,PC,3337.3402328486,2926.3201980603,3078.3802452077002,3176.2402038575,3189.1402015699,2880.5802001955,2789.8801612867,2863.8802299494,3742.0402641286,3221.9602355952,3864.3402862565,3522.6602439877,3595.74024582,3938.0802688604,3487.2202529913,4325.5603027354,4873.6803550732
C12:1,0.24622904093712855,11.097792596768988,12.867979746413376,3.342522528286306e-4,0.0021675752153129378,197.2 -> 197.2,FFA,25895.4018478388,26197.4817810079,21579.0415191658,23740.4616928091,25217.4018859811,27785.6818580659,25875.3217697076,26706.3018646222,22220.1216201797,23966.9616088822,21202.6415176364,21312.7015838611,20869.8814621008,20727.8214607228,23693.8217391969,21338.80153656,14202.7810058631
PC (38:6),-0.25021869144212017,7.466674751576951,12.606158552250864,3.844778578014521e-4,0.0024199488696914923,806.6 -> 184.1,PC,1813.4001159676,1737.8601074223,1319.2800941463,1871.4401283259,1464.4401092525,1779.9801139837,1823.4401359563,1813.6001319882,2177.4801521299,2161.3601722717,2109.8401451107,2248.9401664735,1853.5601310731,1991.9801597588,1992.1201248177,2068.6601600642002,1498.7001228325
PC (34:0),-0.2446700922587869,8.70700633718281,12.434325598376176,4.2151449903681426e-4,0.0025772600798250928,762.6 -> 184.1,PC,4954.1603393553,3711.4602661119,3849.1602630603,4403.8802757238,3441.440246581,3037.1402130128,3669.7003288271,3179.1402168284,4345.420295715,3965.4203147892,5183.080356598,4684.8002891519,4687.120304108,4295.5203208924,4709.8203582776,4888.0203933702,8230.9204902642
C12:0,0.2291389847359839,11.961851733262087,11.169138810020854,8.316922390699701e-4,0.004943948310027044,199.2 -> 199.2,FFA,47766.9033088692,44269.2232665997,39861.5025253305,40538.1628608665,44950.303085331,50250.043739322,49896.00354003,50913.643379207,40536.5630874566,41059.422958375,38495.782806394,37109.7825012184,39008.562980652,42564.443031313,41999.482978817,41399.4227905259,23986.2818527216
PC (32:1),-0.22037151614796432,10.949857878698934,10.301801642437681,0.0013290039286494738,0.0074843905455523,732.6 -> 184.1,PC,21547.501541138,19345.2212371815,18560.5215110787,18902.2213897711,18370.3812446684,18142.9010391156,17486.5010490464,16115.7011909526,18647.2215194742,18080.2013015688,21763.6014709586,22525.9615669238,22857.7613258204,22908.6218795639,25442.3616600067,25213.5620956374,30069.9421653802
PC (36:4),-0.2253301136014079,7.783133689994437,10.30755037738028,0.0013248702815370724,0.0074843905455523,782.6 -> 184.1,PC,2216.4601516723,2187.3801574708,1829.4201240548,2170.8001441947,2362.3402061458,1761.600120544,1807.7201156616,1680.4801139828,1937.0401496886,2191.7401390064,2367.3801727292,2072.9601364135,2420.8401718146,2831.3202247607,2768.3401603709,2633.2201995845,4421.960300445
SM (d18:0/18:0),-0.2190309106079691,9.660227112984304,10.097995256684644,0.0014843070823957205,0.00814465937519703,733.6 -> 184.1,PC,9005.2805862366,7796.0205917418,6594.0804939258,8878.2006950379,7814.3805465655,7516.4406814548,6886.3404006953,6460.6204757669,7726.3206024167,7606.3205299362,10602.7209510741,8327.4405288669,9095.2006530717,9229.0607070771,9551.6206436184,10606.9608879069,11872.8607711758
C28:0,0.2152930932832351,12.686745258440125,9.871528909203064,0.00167855965726507,0.008980294166368124,423.4 -> 423.4,FFA,78441.6453246875,69877.4250030426,64534.5846328463,65988.3846740512,64569.3250579896,93350.2670058984,90192.6064147554,87555.046440125,72857.245307881,71727.9452057124,68631.8051605253,68991.7050857398,66317.7248153632,68605.7048645069,63882.5044021523,60898.5843505784,23953.0817413311
SM (d18:0/20:0),-0.21459743484216826,10.152652645158746,9.729654900120146,0.0018131852851401601,0.009463942707804738,761.6 -> 184.1,PC,12875.5609130833,10201.8208007695,10608.2208671476,11924.460781104,10185.2606506333,9396.7606620781,10017.6207275303,9625.5207290737,10151.8206443734,9372.040824886,12568.7808990453,14120.2409477184,13917.7609786968,13783.4609832794,14115.1608657715,13013.3409385749,19020.1812019292
C34:0,0.21048178584533142,11.556953714528834,9.418221265489022,0.002148398179503557,0.010946600247946695,507.5 -> 507.5,FFA,34340.5024032613,31728.2021560662,29711.9020461999,30660.3023262036,31351.7022819526,41189.9630851681,39032.3229942344,40060.3628654467,31309.942291263,31495.9622573827,29745.8419494667,31292.7223815907,31229.1422958391,32590.4623603808,28443.0020332359,30058.7220077434,15378.2811698904
PC (38:4),-0.208843175568126,8.335207988248987,9.000766657128596,0.0026986637350249775,0.013430559053380121,810.6 -> 184.1,PC,3273.8002319322,2658.2801818833,2979.5002326972,3533.5802879342,3575.7002487178,2973.0801925682,2623.3801765431,2616.1401710518,3460.0002555838,3428.5802230848,3787.4802932748,3794.8202819811,3769.7002220158,3582.0602684023,3476.1602134722,3411.1603050231,5126.9003601079
Lyso_PC(22:5),0.20838118374675382,8.104864744487502,8.929471884544313,0.0028060547102035224,0.013647629726898949,570.3481 -> 184.1,PC,3298.0202293388,3117.4802322386,2083.9001502975,2171.4201545716,2416.140186309,4765.6003875714,3728.560253143,3668.1403312696,2196.240158081,2673.6202163689,2662.8402023324,2373.8401794435,3220.6002388009,3071.1601943961,2919.2202301027,3231.3801956184,1769.9401206975
PC (36:0); PCp(38:6),-0.20623164324442753,7.318154762234877,8.486189176961432,0.003578525922956088,0.017017878833613394,790.6 -> 184.1,PC,1387.3400993343,1449.460094452,1547.2401237489,1553.4801139832,1457.8200912476,1268.3400726318,1750.0401344299,1385.0800971986,1411.2400970455,1506.580112457,2137.2801475506,1631.0801200872,1702.0401229866,1775.9401397706,2068.0201492306,1750.0801467899,2908.0001907348
PC (36:8),-0.2018830789754384,7.392295441518042,8.166698888104923,0.004266649023868046,0.01984919328495135,774.5 -> 184.1,PC,1533.4200973506,1665.4801254255,1272.640098572,1689.8401298521,1535.2801094057,1541.1801109319,1771.0801086424,1639.0201225292,1908.1401405324,1792.8001174925,1895.7601318371,1955.8001403804,1965.9601402284,1912.3601417545,1785.3201293947,1703.0201225284,2613.340179443
C30:0,0.19294202790532108,12.740700645416917,7.930214279536642,0.004861603927320997,0.02213581362652539,451.4 -> 451.4,FFA,82157.9856033059,79164.0458145124,69262.3045997723,72601.4852447204,71715.4053192067,90622.926887516,87655.9668311973,83274.4254646433,80264.4055099237,81013.7457465877,73013.165416679,71999.4852256882,70530.5848235872,69200.0245742942,61207.4642639242,62740.8446884013,18169.7811965941
Lyso_PC(20:5),0.19840366339030757,6.889883297404106,7.7104895074571544,0.005490086232196565,0.02447663445187635,542.3168 -> 184.1,PC,1204.2600860593,1480.9001083378,1172.9600715638,1397.7801017763,1370.0801048276,1253.260093689,1353.360103608,1284.5600967406,1221.1200790403,1250.760089874,1150.2600746149,1137.6000785828,1131.5000686644,1176.2200889585,1193.6600875854,1140.960079193,1313.3400955198
C17:1,0.18819850637207783,11.65279136239056,7.532696876563364,0.006058914154528077,0.026461380185081807,267.3 -> 267.3,FFA,37021.0424346808,32941.5422515877,35050.5425338744,33841.9625129709,34063.9823608387,42812.5630836529,40822.3028259287,39814.1028633127,32805.5824127182,33024.5822753926,33973.4025230405,34404.7825775135,32062.4021873454,34395.7824211071,32797.4622230521,33064.782382968,13673.1409568842
PCo(34:2),-0.19227606241453907,7.643132269862306,7.484175708698531,0.006224355628476246,0.026640242089878335,744.6 -> 184.1,PC,2130.7401466364,1810.8801078785,2000.9201240534,1930.1601181024,1820.2201194763,1796.280105592,1977.6801300047,1755.6001091009,1777.3601226807,2052.9201354987,2496.1201896678,2163.6401519764,2268.8001556399,2560.8801612865,2418.1201629636,2111.040138246,2849.9401931778
Lyso_PC(10:0),0.18704494270346975,6.995116250738143,6.893048152429007,0.008653159105811015,0.036309334287128577,412.2386 -> 184.1,PC,1496.7200965875,1185.6600952149,1301.7800941465,1233.1400833127,1530.5200996401,1668.1801223756,1342.6001052861,1521.5401191708,1388.3800849918,1356.2601013177,1394.5600967412,1302.3600921624,1281.1400947565,1212.9600830079,1136.8800773623,1068.4200744631,1438.1001014708
C24:0,0.17705918931584225,13.782000168281801,6.684165914454866,0.0097273026427437,0.04003159164513753,367.3 -> 367.3,FFA,169773.81263728,145540.850234971,137042.609085079,136502.609390238,139829.350166308,200522.593719454,192692.953598023,180103.71261596,154458.310211209,148995.690658561,154263.691284154,149216.230453499,145958.49053189,146115.270126325,142656.75001524,137198.55010988,41301.702835082
PC (38:2),-0.1739961291181025,8.329383573085535,6.235664606750035,0.012520259735395084,0.05055350157310468,814.6 -> 184.1,PC,3736.0402793896,3078.1201972974,2819.7602081297,2976.6602478036,2588.6002006532,3023.8602180476,2710.8401908873,2043.2801513677,2744.460224151,3144.6002159118,3729.2603378281,2938.8801956179,2778.1001930223,3521.5002174374,4159.8603248606,3555.6002159116,8506.7006835846
C15:0,0.16945950716967637,13.710879720552452,6.122790992677066,0.013344993820651973,0.051924157774900406,241.3 -> 241.3,FFA,159097.030914313,148259.9099884,132373.349334737,130579.528717004,135749.569335915,185256.593719518,174362.533554086,170440.951278676,138377.22977451,138045.229614271,136350.709259068,135940.108154269,136468.229492214,144123.289810186,144442.190414418,152111.530975322,39058.582794191
Lyso_PC(18:0),-0.17411291538333548,7.63600748604918,6.1332857850866525,0.013266010161143114,0.051924157774900406,524.3638 -> 184.1,PC,1843.4201393115,1646.10011673,1829.7801437374,1865.7801513673,2503.9801788319,1733.980110169,1694.8401069648,1987.2201309205,2212.8801765432,2113.6601600637,2140.1401138311,2583.4601631158,2222.760154724,2162.0001373311,1983.9801406857,2056.6801414498,3154.5402030936
SM (d16:1/24:1),-0.16787839667886112,8.187864607008255,5.794620279246999,0.016075286457222965,0.06143055896153062,785.6 -> 184.1,PC,3185.9202117917,3275.0202102664002,2677.0401916505,2684.9601860038,2606.2801933299,2575.1001777659,2455.780185699,2417.4001846326,2709.840175631,3060.4602394103,2752.8401947034,3634.1402587889,3229.3602447527,3527.1802635189,2851.8401908872,3437.4002609269,5384.400352477
SM (d18:1/20:0),-0.165620494177686,9.020354496378493,5.729226315469738,0.01668483185162436,0.06264129853065988,759.6 -> 184.1,PC,6245.3004226666,5114.7403335589,4114.3602371208,5182.1803779588,5133.9604644759,3996.440231324,4724.2603340153,3767.7202644341,5269.2003669737,4136.040294646,6542.1605072024,4740.560337067,4799.240333556,5576.9003868101,6020.3204421998,6969.7804183956,11250.0007553173
C19:0,0.15924327913190997,14.585481216852813,5.40900327066629,0.0200331513805154,0.07266261687169992,297.3 -> 297.3,FFA,295931.84117127,299684.881401061,252189.2977295,252157.377517668,263179.419876107,298793.519409154,299497.70158386,297626.720932001,276461.318267829,290116.302307125,247335.337577788,250230.416992173,258319.318908692,242407.377746602,252782.678955071,254543.377105681,67751.444732647
PCo(34:3),-0.1662057813777331,6.947151598532058,5.421741752234087,0.019887511121893436,0.07266261687169992,742.6 -> 184.1,PC,1378.5001106256,1134.7400779722,1245.8600769043,1235.6200904845,1103.4200782776,1218.380084992,1085.6800804135,1086.9000778198,1405.2201042176,1425.3401069644,1196.3000869751,1242.5800971986,1378.5401153567,1399.8000984188,1615.4801177979,1252.6200904845,1751.7801246654
C18:2,0.15689496363101968,11.185910529353992,5.229862695491747,0.02220228500564342,0.07918814985346154,279.3 -> 279.3,FFA,27692.2619590729,26035.1417465268,25331.1618385304,24404.3416938816,26033.40193939,27937.9220123274,26992.7419662495,25685.5217666594,26306.1618499737,26282.6819114675,23332.0216598514,22517.8215713469,24553.8617134122,25213.8417053246,22146.1615829469,22737.3615875215,14117.1009483347
SM (d18:1/18:1)9Z)),-0.1572856004527894,7.810164052255527,5.040551620185793,0.024760604294243618,0.0868650708027563,729.6 -> 184.1,PC,2246.5001335142,2062.800151825,2049.160167695,2257.3001785294,2218.7001571655,2103.300144195,2290.960170746,2307.1801414495,2696.2202224727,2103.3201179505,2727.4202156056,2450.6001663212,2266.8001556401,2404.1401901234,2540.3401794422,2873.2602424597,2693.7602157585
SM (d18:1/18:0),-0.15357772369928802,9.299262786429757,4.946032891436559,0.026150609010397608,0.09026177948750143,731.6 -> 184.1,PC,7052.5405273401,5320.980403899,5727.8204231264,6249.2204742421,6595.1405220065,4959.0203590401,5820.5404396063,5417.6803894038,6526.7005691528,6374.9604644807,6449.2204780568,7055.6205177291,6853.6004028307,7132.6604957601,7135.9204635582,6265.6804847737,12491.0408744635
Lyso_PC(20:1),-0.15777530806342302,6.932206506442276,4.890520118888411,0.027004549644378942,0.09172974006185862,550.3794 -> 184.1,PC,1131.4200859071,1119.8400764465,1271.9600906378,1347.300086975,1133.8200798034,1323.4400901796,1170.4600753786,1129.7000846862,1305.4601058958,1546.6001091009,1253.1600913999,1300.0401000981,1207.1400794981,1429.9801177974,1475.9201126092,1495.3801040649,1257.3800964357
C22:4,0.14951746621456977,11.430481409679919,4.752907867831708,0.0292488284476722,0.09780077012190391,331.3 -> 331.3,FFA,31706.8022155704,29883.8221282941,28633.3219375632,28337.9620094278,30242.1421661377,32805.0423965465,32849.6821899402,31782.9023513757,28691.2419281032,29682.8620758027,27221.8818817152,28169.061935425,27991.7419319157,27912.4419326789,30913.2621841415,26933.6819648666,20940.6414222699
PC (38:9),-0.1466302844236274,7.227772016952408,4.281665831395768,0.038525573159696284,0.12683804086423084,800.5 -> 184.1,PC,1367.5800933836,1367.5200958249,1434.6800880436,1566.0601005553,1546.1801033023,1486.5201034541,1448.2201004025,1411.1800994865,1581.3600997929,1646.9401245121,1545.7601203912,1475.8001022342,1704.7001037592,1629.3601226802,1811.6001205436,1807.04013443,2079.1201362614
PCo(34:0),-0.1457449437790236,7.337829505322525,4.242194730138422,0.03943116240634392,0.12785255689329694,748.6 -> 184.1,PC,1595.340126039,1605.5601196289,1491.5401115411,1533.2201118468,1233.8200950623,1572.8000831608001,1483.5201034552,1633.8601074228,1589.4401054377,1652.0401306153,1771.0201339721,1553.3201065066,1801.5801391596,1527.0000991829,2011.2001342792,1877.2201461788,3159.2202148442
C26:0,0.13779321488862784,12.750521735762803,4.046183347096985,0.04427133011188238,0.14140394990959448,395.3 -> 395.3,FFA,78708.2660445934,73209.4855079801,69269.2247238123,69418.125076294,70223.184974644,92688.546524053,86459.8263702267,84682.7259063691,73959.785354599,75680.5851822072,73246.3055572548,74958.7052612018,71285.3053436242,75458.645416267,69112.124938943,67773.7846526986,28102.9420165958
