lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,C1-Media_r1,C1-Media_r3,C2-Media_r1,C2-Media_r2,C2-Media_r3,C3-Media_r1,C3-Media_r2,C3-Media_r3,R1-Media_r1,R1-Media_r3,R2-Media_r1,R2-Media_r2,R2-Media_r3,R3-Media_r1,R3-Media_r2,R3-Media_r3,blank
Lyso_PC(16:0),-0.8277901500492005,9.953930533361627,142.7672208914903,6.608870343739117e-33,1.4142982535601709e-30,496.3325 -> 184.1,PC,7391.7805290282,6970.6005287128,7068.5404243464,8495.0005912698,7298.7004776011,6869.6004295338,8704.2206840528,7352.9005203216,11215.4007530242,12023.3207359183,13432.6610717659,13419.5008125391,13213.500869748,14392.0007324056,15758.7813491912,16182.4010276749,8730.3005790731
C24:6,0.7900564350503863,13.148607020363883,131.4787466039154,1.9454614635376007e-30,2.0816437659852326e-28,355.3 -> 355.3,FFA,139199.54959107,120977.228576671,120985.48847579,120615.268386802,117019.087982179,128676.589279155,125304.148437493,124427.308303848,99805.086807255,97530.0070114081,69527.94506835,68416.284500145,67194.885078423,64808.584915178,60933.884231551,61963.484054558,33288.402328494
Lyso_PC(16:1),-0.7952629283155195,8.712632750625986,130.0430722786989,4.0098153335933496e-30,2.860334937963256e-28,494.3168 -> 184.1,PC,3423.5202560427,3382.0202369678,2550.920181275,4185.7202491765,3419.6202354446,3573.3002281194,2913.5401802061,2790.3002090449,4396.5602912908,5248.3403205873,5727.5204963722,6204.6604270923,6352.9005165097,5960.3603553793,6645.4404678353,6144.2604827878,2524.0202026366
C20:3,0.7752180693284629,12.837877355403576,126.60983633361116,2.2613342067873884e-29,1.2098138006312528e-27,305.3 -> 305.3,FFA,96339.8262939398,110251.427871703,92736.1267165969,107289.926902733,109029.30731202,91882.7467727673,99504.886886582,97912.907035812,86605.5862960637,94101.2665099701,54909.7837066531,54648.9639739935,55595.2241287162,44640.5832176248,45241.4832458572,45566.3033409181,18531.941375734
Lyso_PC(18:1),-0.7108553412935694,8.270176248278037,103.1478604287851,3.1104535383414596e-24,1.3312741144101446e-22,522.3481 -> 184.1,PC,2311.620155335,2716.8601913453,2281.2401695259,2404.4601898186,2147.300167083,2117.7001495356,2404.5201416029,2942.8402023316,3869.3002815264,2999.8202056887,3893.0602455144,4514.0603446974,4660.9203567494,3913.3002662667,4701.6003417969,3937.4602813736,3729.0402374264
PC (38:7),-0.5068076565578464,9.085031258114103,53.54828180509463,2.523149941097896e-13,8.999234789915829e-12,804.6 -> 184.1,PC,5222.3003578168,5348.8204307571,3921.3003158563,3964.0802955624,4464.1203117358,5584.0004615778,5297.0203247069,5270.7003936788,7465.760513304,7298.0805015568,6899.000438689,6873.9604797359,6922.0205574015,7035.9804725633,6417.9404754651,7936.7005424506,1529.9600982671
Lyso_PC(14:0),-0.501549981207465,8.70257847585664,52.134073892643315,5.183757536694962e-13,1.5847487326467456e-11,468.3012 -> 184.1,PC,3785.3002738963,3370.7002143879,3562.9802169808,3550.7602691649,3302.1202278144,3771.9602355949,4612.6403083798,3540.2402496328,4767.7204170212,4898.1003570552,4688.9803962699,5727.6203918439,5001.0203590392,6202.5004119871,5373.2003517158,6186.1004486072,2486.4401474011
C15:1,0.40120840334714364,13.921307317849156,34.23380006814199,4.88726902337967e-9,1.2352410667741645e-7,239.3 -> 239.3,FFA,168290.491043064,292647.958930959,138762.090118407,167007.871978761,182220.313415533,175959.471496581,193395.73410033,219955.635253897,144628.330406214,200842.734741171,105934.767425546,117084.368324247,151430.470596336,113732.327728271,165947.632301279,194505.57360841,37924.2226715055
PC (38:1),-0.41231639501046713,7.5539512867012455,34.11499526666432,5.1949390658726546e-9,1.2352410667741645e-7,816.6 -> 184.1,PC,1662.820121765,1466.3601036074,1808.6601142875,1654.3401260376,1351.760105133,1640.8401184075,1522.960098267,1495.2200889594,1770.8601379398,1733.2801246644,1947.8201255795,2713.0601959219,2268.8201560969,2409.5401611312,2178.1601638798,2187.2401390066,4048.800292968
SM (d18:0/22:0),-0.37987056863253527,8.222552362830324,29.60995205990259,5.2832980622827794e-8,1.1306257853285148e-6,789.7 -> 184.1,PC,3365.3002166731,2361.4801712044,2557.9001998895,2351.2601928702,2152.9801445007,2473.4601631177,2575.7801856998,2688.1001625061,3060.0201911931,3326.5202980045,3537.1002426153,3327.300209046,3180.0002250673,3303.3802757271,3706.1802406318,3935.8402404793,5912.8204383852
