Majority protein IDs,Protein ID,Gene names,logFC,PValue,FDR,Fold_change,C1,C2,C3,C4,C5,average_C_lfq,R1,R2,R3,R4,R5,average_R_lfq,MS/MS count C1,MS/MS count C2,MS/MS count C3,MS/MS count C4,MS/MS count C5,MS_C_average,MS/MS count R1,MS/MS count R2,MS/MS count R3,MS/MS count R4,MS/MS count R5,MS_R_average
D3ZEZ9;F1M155,D3ZEZ9,Svil,29.1678707,6.72E-21,7.68E-19,603120362.3,0,0,0,0,0,0,71919000,71235000,66649000,84676000,80052000,74906200,0,0,0,0,0,0,11,10,9,21,11,12.4
Q05030;Q003I6,Q05030,Pdgfrb,29.09288179,7.17E-21,7.72E-19,572571962.4,0,0,0,0,0,0,114620000,0,0,123120000,118130000,71174000,0,0,0,0,2,0.4,3,0,2,2,3,2
Q05096;Q05096-3;Q05096-2,Q05096,Myo1b,29.09873163,7.14E-21,7.72E-19,574898343.6,0,0,0,0,0,0,53655000,66898000,75086000,81121000,80159000,71383800,0,0,0,0,0,0,4,6,10,16,10,9.2
A0A096MJT3;A0JN02;Q5I0G8;Q6XUZ7;E9PST0;A0A096MJN4;A0A0G2JVC7;Q6XUZ6;A0A096MJW0,A0A096MJT3,4-Sep,28.92558616,8.30E-21,7.91E-19,509881290.3,0,0,0,0,0,0,54616000,74035000,59094000,63553000,65235000,63306600,0,0,0,0,0,0,10,7,9,5,9,8
A0A0G2K872;Q1WIM3,A0A0G2K872,Cadm3,-28.96731792,8.14E-21,7.91E-19,1.91E-09,55209000,63753000,72490000,81887000,57136000,66095000,0,0,0,0,0,0,12,10,13,10,8,10.6,0,0,0,0,0,0
F1LZ05,F1LZ05,Parp14,28.85710789,8.82E-21,7.91E-19,486244905.2,0,0,0,0,0,0,62015000,42532000,75234000,72579000,49766000,60425200,0,0,0,0,0,0,10,5,7,12,6,8
P02793;Q7TP54;M0R6L9;M0R5T8;F1M5T1;M0R597;M0RCS3,P02793,Ftl1;Fam65b;RGD1560687;RGD1566189;LOC100359668;LOC100362384;Ftl1l1,-29.01082854,7.84E-21,7.91E-19,1.85E-09,72914000,70463000,75903000,62358000,58651000,68057800,0,0,0,0,0,0,11,13,7,10,10,10.2,0,0,0,0,0,0
P23978,P23978,Slc6a1,-28.79963409,9.43E-21,7.91E-19,2.14E-09,60015000,61947000,57578000,56722000,57688000,58790000,0,0,0,0,0,0,3,6,4,5,3,4.2,0,0,0,0,0,0
P97706;F1LQQ7,P97706,Scn7a,28.79937791,9.28E-21,7.91E-19,467171786.7,0,0,0,0,0,0,54800000,57597000,60515000,63639000,53608000,58031800,0,0,0,0,0,0,5,3,5,7,2,4.4
Q6P762,Q6P762,Man2b1,-28.85475795,8.99E-21,7.91E-19,2.06E-09,56635000,63307000,70139000,45894000,69309000,61056800,0,0,0,0,0,0,8,7,6,7,5,6.6,0,0,0,0,0,0
Q6P7B3;D4A9N5,Q6P7B3,Trim25,28.85072253,8.87E-21,7.91E-19,484097542.3,0,0,0,0,0,0,72551000,59963000,63392000,43397000,60880000,60036600,0,0,0,0,2,0.4,9,9,7,7,6,7.6
Q9ESN0,Q9ESN0,Fam129a,28.96514387,8.02E-21,7.91E-19,524055320.7,0,0,0,0,0,0,61145000,62235000,76380000,62280000,63206000,65049200,0,0,0,0,0,0,12,8,9,7,8,8.8
Q9JHZ9,Q9JHZ9,Slc38a3,-28.78989492,9.51E-21,7.91E-19,2.15E-09,60057000,68358000,61213000,56998000,45421000,58409400,0,0,0,0,0,0,6,7,8,6,7,6.8,0,0,0,0,0,0
D3ZVG3;P70581-3;P70581-4;P70581-2;P70581,D3ZVG3,Nupl1,-28.76256417,9.74E-21,7.92E-19,2.20E-09,67376000,65745000,77379000,0,75362000,57172400,0,0,0,0,0,0,3,2,2,2,4,2.6,0,0,0,0,2,0.4
A0A0G2K4X5;Q80Z36,A0A0G2K4X5,Zhx3,-28.72855459,1.00E-20,7.93E-19,2.25E-09,50410000,55819000,53462000,59142000,61043000,55975200,0,0,0,0,0,0,8,9,12,7,7,8.6,0,0,0,0,0,0
Q498T9,Q498T9,Lrrc8c,28.69238594,1.02E-20,7.93E-19,433779292.9,0,0,0,0,0,0,50284000,52788000,53096000,63507000,49834000,53901800,0,0,0,0,0,0,7,5,6,11,7,7.2
A0A0G2JW85;Q9QYJ2,A0A0G2JW85,Rasa3,28.48106013,1.23E-20,8.13E-19,374673871.9,0,0,0,0,0,0,41884000,31762000,60542000,62975000,35792000,46591000,0,0,0,0,2,0.4,5,7,8,11,4,7
A0A0G2JXT9,A0A0G2JXT9,NA,28.54451485,1.16E-20,8.13E-19,391521107.9,0,0,0,0,0,0,49576000,42189000,44988000,47078000,59045000,48575200,0,0,0,0,0,0,6,3,4,6,4,4.6
A0A0G2JZ69;A0A0G2K1Y8;P16086;A0A0G2K1E7;C9EH87,A0A0G2JZ69,Sptan1,-28.6109686,1.11E-20,8.13E-19,2.44E-09,66053000,44431000,45789000,50890000,50657000,51564000,0,0,0,0,0,0,2,2,2,2,2,2,0,2,0,0,0,0.4
A0A0G2K847;G3V9U1;B0BND8,A0A0G2K847,Agap1;Centg2,28.46404787,1.24E-20,8.13E-19,370281665.1,0,0,0,0,0,0,48956000,43283000,43555000,45863000,48174000,45966200,0,0,0,0,0,0,6,8,9,7,4,6.8
A9CMC8;Q02401,A9CMC8,Lct,28.47673047,1.23E-20,8.13E-19,373551125.2,0,0,0,0,0,0,0,0,0,0,228660000,45732000,3,5,6,7,5,5.2,8,10,5,10,5,7.6
B1WBY5,B1WBY5,Dnajc11,-28.51675658,1.21E-20,8.13E-19,2.60E-09,55777000,54712000,47532000,38465000,45023000,48301800,0,0,0,0,0,0,5,6,11,8,7,7.4,3,4,0,0,0,1.4
B4F773;P0C5X8,B4F773,Ttyh1,-28.48872475,1.24E-20,8.13E-19,2.65E-09,61166000,50119000,52719000,41857000,31066000,47385400,0,0,0,0,0,0,6,8,6,4,4,5.6,0,0,0,0,0,0
F2Z3T7;Q6I7R3,F2Z3T7,Isoc1,-28.51025299,1.22E-20,8.13E-19,2.62E-09,55440000,49496000,44354000,35927000,55124000,48068200,0,0,0,0,0,0,10,5,6,3,8,6.4,0,2,2,0,0,0.8
M0R7B4,M0R7B4,LOC684828,28.49347883,1.21E-20,8.13E-19,377912979.1,0,0,0,0,0,0,0,0,0,0,231330000,46266000,7,6,6,7,7,6.6,5,5,6,5,4,5
D3ZUM2,D3ZUM2,Sarm1,-28.46150957,1.27E-20,8.14E-19,2.71E-09,45839000,46347000,50255000,37530000,52477000,46489600,0,0,0,0,0,0,5,12,7,7,8,7.8,2,0,0,0,0,0.4
Q6IRF7;O55145,Q6IRF7,Cx3cl1,28.42200532,1.29E-20,8.15E-19,359646747.6,0,0,0,0,0,0,39461000,37238000,47775000,49206000,49570000,44650000,0,0,0,0,0,0,3,7,2,5,3,4
G3V8V3;B1WBU9;P09812,G3V8V3,Pygm,-28.41464238,1.32E-20,8.20E-19,2.79E-09,0,105650000,0,120690000,0,45268000,0,0,0,0,0,0,0,5,2,2,0,1.8,0,0,0,0,0,0
B2LYI9;A0A0G2K1L0,B2LYI9,Tnc,28.31654359,1.42E-20,8.37E-19,334294316.7,0,0,0,0,0,0,41444000,39758000,43072000,45081000,38265000,41524000,0,0,0,0,0,0,6,4,5,7,4,5.2
D3ZRX9,D3ZRX9,Cnn2,28.32030359,1.41E-20,8.37E-19,335166702.2,0,0,0,0,0,0,41986000,49544000,42148000,39297000,35144000,41623800,0,0,0,0,0,0,8,9,7,5,3,6.4
O70595;A0A0G2K4U1;Q9Z1S2,O70595,Abcb6,-28.31660544,1.44E-20,8.37E-19,2.99E-09,208920000,0,0,0,0,41784000,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,0
P48303,P48303,S1pr1,-28.32729952,1.43E-20,8.37E-19,2.97E-09,49495000,40957000,46557000,33415000,41348000,42354400,0,0,0,0,0,0,8,6,8,5,5,6.4,0,0,0,0,0,0
B2RYP0;A0A0G2K6E0,B2RYP0,Rhoc,-28.28498204,1.48E-20,8.44E-19,3.06E-09,66675000,53067000,85754000,0,0,41099200,0,0,0,0,0,0,7,6,4,0,0,3.4,2,2,0,3,0,1.4
D3ZII1,D3ZII1,Rftn2,-28.13618203,1.69E-20,8.44E-19,3.39E-09,49775000,41798000,33359000,30043000,30509000,37096800,0,0,0,0,0,0,5,6,6,6,6,5.8,0,0,0,0,0,0
D4A6T1;A0A0G2K0I1;F1M5A4,D4A6T1,Spata5;Katnal2,-28.1693475,1.64E-20,8.44E-19,3.31E-09,0,0,0,0,188980000,37796000,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,3,2,2.2
G3V7Q4;Q63745,G3V7Q4,Ptpn12,28.13349349,1.66E-20,8.44E-19,294459399.5,0,0,0,0,0,0,33043000,36512000,38576000,34749000,39827000,36541400,0,0,0,2,0,0.4,6,4,4,5,5,4.8
P06762,P06762,Hmox1,-28.10594764,1.73E-20,8.44E-19,3.46E-09,35882000,37633000,35358000,40241000,32697000,36362200,0,0,0,0,0,0,9,8,7,8,10,8.4,0,2,0,0,0,0.4
P07171,P07171,Calb1,-28.16398268,1.65E-20,8.44E-19,3.33E-09,43534000,37760000,42782000,34291000,30818000,37837000,0,0,0,0,0,0,4,6,7,3,2,4.4,0,0,0,0,0,0
P22791,P22791,Hmgcs2,-28.11533827,1.72E-20,8.44E-19,3.44E-09,37525000,34512000,33684000,39044000,38178000,36588600,0,0,0,0,0,0,7,7,5,7,5,6.2,0,0,0,0,0,0
Q3MHC0;F1M065,Q3MHC0,Jam2,-28.1057917,1.73E-20,8.44E-19,3.46E-09,37433000,38219000,34035000,34192000,37819000,36339600,0,0,0,0,0,0,6,7,8,4,6,6.2,0,0,0,0,0,0
Q496Z2,Q496Z2,Tril,-28.09249603,1.75E-20,8.44E-19,3.49E-09,35871000,31774000,41522000,34782000,36111000,36012000,0,0,0,0,0,0,2,7,6,7,6,5.6,0,0,0,0,0,0
Q4KM35,Q4KM35,Psmb10,28.19920325,1.57E-20,8.44E-19,308181122.5,0,0,0,0,0,0,42492000,39146000,37475000,36319000,35878000,38262000,0,0,0,0,0,0,3,4,3,4,3,3.4
Q6TMA8,Q6TMA8,Angptl4,28.16195523,1.62E-20,8.44E-19,300326228.5,0,0,0,0,0,0,31377000,37781000,32455000,42280000,42579000,37294400,0,0,0,0,0,0,7,10,5,9,4,7
Q810D0;A0A096MK54;G3V9G5,Q810D0,Synm,-28.09390026,1.75E-20,8.44E-19,3.49E-09,0,42087000,48575000,45305000,44586000,36110600,0,0,0,0,0,0,0,6,4,7,8,5,0,0,0,0,0,0
Q8K4C0;A0A0G2JSQ2,Q8K4C0,Fmo5,28.1652976,1.62E-20,8.44E-19,301022816.8,0,0,0,0,0,0,39370000,44948000,32115000,36910000,33598000,37388200,0,0,0,0,0,0,4,5,7,3,4,4.6
A0A0G2K2M8;D3ZM62;D3ZQG6,A0A0G2K2M8,Trim2,-27.97012943,1.95E-20,8.60E-19,3.80E-09,30063000,35950000,29215000,35316000,34909000,33090600,0,0,0,0,0,0,4,3,4,7,3,4.2,0,0,0,0,0,0
A0JPM7;Q66HI5;Q6AYV6;Q2TA66;Q5FVS1;P19132,A0JPM7,Fth1,-27.97482734,1.94E-20,8.60E-19,3.79E-09,34910000,36502000,32391000,31298000,30847000,33189600,0,0,0,0,0,0,5,6,6,5,6,5.6,2,0,0,0,2,0.8
D3ZUC2,D3ZUC2,Mov10,28.02835443,1.82E-20,8.60E-19,273763417.2,0,0,0,0,0,0,29122000,29611000,37714000,42856000,30825000,34025600,0,0,0,0,0,0,5,3,4,9,4,5
F2Z3T8;P63219;Q45QK8,F2Z3T8,LOC100360499;Gng5,-28.02460986,1.86E-20,8.60E-19,3.66E-09,47884000,0,57026000,34700000,32103000,34342600,0,0,0,0,0,0,4,0,3,2,2,2.2,2,0,0,0,0,0.4
G3V9S9;A0A0G2QC63,G3V9S9,Sec24d,27.95694982,1.94E-20,8.60E-19,260543644.7,0,0,0,0,0,0,34194000,29001000,28459000,37251000,32922000,32365400,0,0,0,0,0,0,2,3,4,4,4,3.4
P10688;A6Y857,P10688,Plcd1,-28.01481713,1.88E-20,8.60E-19,3.69E-09,26289000,32186000,40650000,30655000,40843000,34124600,0,0,0,0,0,0,2,3,3,2,2,2.4,0,3,0,0,0,0.6
P84087,P84087,Cplx2,-28.0107248,1.88E-20,8.60E-19,3.70E-09,34427000,29547000,38673000,29564000,37873000,34016800,0,0,0,0,0,0,5,5,4,4,6,4.8,0,0,0,0,0,0
A0A0G2K2T4;Q76LU2;Q9QYP1,A0A0G2K2T4,Lrp4,-27.82126385,2.22E-20,8.73E-19,4.22E-09,29939000,25906000,31447000,27552000,34316000,29832000,0,0,0,0,0,0,4,4,5,3,5,4.2,2,0,0,0,0,0.4
B2GUX7,B2GUX7,Creg1,-27.81412322,2.24E-20,8.73E-19,4.24E-09,30182000,30697000,27298000,27387000,32862000,29685200,0,0,0,0,0,0,3,3,4,4,2,3.2,0,0,0,0,0,0
D3Z9E6,D3Z9E6,Cpsf2,-27.78831411,2.29E-20,8.73E-19,4.31E-09,144860000,0,0,0,0,28972000,0,0,0,0,0,0,2,0,0,2,0,0.8,0,2,0,2,0,0.8
D3ZBM3,D3ZBM3,Fech,-27.91828228,2.04E-20,8.73E-19,3.94E-09,31528000,41978000,30995000,27627000,27450000,31915600,0,0,0,0,0,0,7,10,4,4,6,6.2,0,0,0,0,0,0
D3ZQD3,D3ZQD3,Ogdhl,-27.82979045,2.21E-20,8.73E-19,4.19E-09,28598000,26538000,33587000,30031000,31341000,30019000,0,0,0,0,0,0,3,6,5,4,6,4.8,0,0,0,0,0,0
D3ZZL3,D3ZZL3,Naglu,-27.8106845,2.24E-20,8.73E-19,4.25E-09,28225000,28039000,35590000,28228000,28045000,29625400,0,0,0,0,0,0,4,5,3,8,3,4.6,0,2,2,0,2,1.2
D4A5Q2,D4A5Q2,Smc2,-27.83420555,2.20E-20,8.73E-19,4.18E-09,0,25156000,33044000,32465000,59961000,30125200,0,0,0,0,0,0,0,2,3,7,10,4.4,0,0,0,0,0,0
F1MAD9,F1MAD9,Smc4,-27.84414062,2.18E-20,8.73E-19,4.15E-09,27101000,27304000,27562000,32462000,37162000,30318200,0,0,0,0,0,0,2,6,4,5,8,5,0,0,0,2,0,0.4
F2W8B2;P21451,F2W8B2,Ednrb,-27.9061132,2.06E-20,8.73E-19,3.98E-09,34999000,32252000,31399000,31994000,27601000,31649000,0,0,0,0,0,0,2,6,3,6,4,4.2,0,0,0,0,0,0
P32215-5;P32215-3;P32215-4;P32215-2;P32215,P32215-5,Adcyap1r1,-27.83925916,2.19E-20,8.73E-19,4.16E-09,35173000,27668000,35256000,28323000,24640000,30212000,0,0,0,0,0,0,4,3,4,4,3,3.6,0,0,0,0,0,0
Q5PQL7,Q5PQL7,Itm2c,-27.80456554,2.26E-20,8.73E-19,4.27E-09,29347000,26108000,29861000,32875000,29328000,29503800,0,0,0,0,0,0,4,4,3,5,4,4,2,0,2,0,0,0.8
Q5XI86,Q5XI86,Ptrh2,-27.85523333,2.16E-20,8.73E-19,4.12E-09,32866000,32030000,38909000,49279000,0,30616800,0,0,0,0,0,0,6,5,3,3,2,3.8,3,0,0,2,0,1
Q66HG9,Q66HG9,Mavs,-27.78676078,2.29E-20,8.73E-19,4.32E-09,30920000,28543000,33520000,19327000,33252000,29112400,0,0,0,0,0,0,6,5,4,4,5,4.8,0,0,0,0,0,0
F1LST1;A0A096P6L8;P04937-4;P04937-2;P04937-3;P04937,F1LST1,Fn1,27.75197719,2.32E-20,8.76E-19,226035978.6,0,0,0,0,0,0,33219000,42587000,33669000,31286000,0,28152200,0,0,0,0,0,0,9,3,4,6,0,4.4
P20417,P20417,Ptpn1,27.72402661,2.38E-20,8.77E-19,221698936,0,0,0,0,0,0,21474000,24607000,30994000,33305000,27335000,27543000,0,0,0,0,0,0,8,7,3,3,5,5.2
Q499V1,Q499V1,Upp1,27.71681449,2.40E-20,8.77E-19,220593415.2,0,0,0,0,0,0,30995000,20396000,25952000,30535000,29086000,27392800,0,0,0,0,0,0,4,5,4,5,8,5.2
Q6AYS8,Q6AYS8,Hsd17b11,-27.75137365,2.36E-20,8.77E-19,4.43E-09,0,0,0,143480000,0,28696000,0,0,0,0,0,0,2,0,0,2,0,0.8,0,2,0,0,0,0.4
D3Z9V1;D4A8H1,D3Z9V1,Relb,27.68733901,2.46E-20,8.85E-19,216132234.4,0,0,0,0,0,0,38004000,25580000,25819000,23487000,21292000,26836400,0,0,0,0,0,0,8,5,4,6,5,5.6
D4ADS6,D4ADS6,Ints7,-27.70203755,2.47E-20,8.85E-19,4.58E-09,38676000,29836000,0,36987000,31825000,27464800,0,0,0,0,0,0,2,2,0,3,4,2.2,0,0,0,0,0,0
Q95938;Q8SEZ6;Q8HIC9;Q06QK0;Q06QA9;A0A0A1FZ34;P05503,Q95938,Mt-co1;COI;CO1;COX1;Mtco1,-27.67411327,2.53E-20,8.99E-19,4.67E-09,65669000,0,0,69268000,0,26987400,0,0,0,0,0,0,11,2,3,5,4,5,2,0,0,0,0,0.4
D3Z8E0,D3Z8E0,Rps6ka3,27.63301335,2.58E-20,9.07E-19,208144955,0,0,0,0,0,0,32136000,32855000,30250000,34473000,0,25942800,0,2,0,3,2,1.4,5,3,5,6,2,4.2
A0A0H2UHF5;P49655,A0A0H2UHF5,Kcnj10,-27.63502893,2.62E-20,9.12E-19,4.80E-09,35397000,21972000,26642000,23433000,23614000,26211600,0,0,0,0,0,0,6,5,3,4,4,4.4,0,0,0,0,0,0
D3ZAS1,D3ZAS1,RGD1562399,27.58605023,2.69E-20,9.27E-19,201478441.2,0,0,0,0,0,0,0,0,0,0,123330000,24666000,10,12,14,5,10,10.2,9,7,5,9,10,8
Q66H06,Q66H06,Tspan3,-27.5927101,2.72E-20,9.29E-19,4.94E-09,0,72042000,55455000,0,0,25499400,0,0,0,0,0,0,2,4,4,0,0,2,0,0,0,0,0,0
D3ZW56;D3ZNW5;P97685-3;P97685-2;P97685,D3ZW56,Nfasc,27.50150548,2.89E-20,9.34E-19,190010707.1,0,0,0,0,0,0,0,0,33063000,43164000,41763000,23598000,0,0,0,0,0,0,5,2,5,8,3,4.6
F1LNV4;A0A0G2K866;Q704E8;A0A0G2KAC7,F1LNV4,Abcb7,-27.49369155,2.96E-20,9.34E-19,5.29E-09,0,23829000,33073000,26524000,35613000,23807800,0,0,0,0,0,0,0,6,4,3,4,3.4,0,0,0,2,0,0.4
G3V6N2;B5DEM3;A0A0G2K8M5,G3V6N2,Tmed4,-27.53360726,2.86E-20,9.34E-19,5.15E-09,44197000,38852000,38982000,0,0,24406200,0,0,0,0,0,0,9,6,3,0,0,3.6,2,2,0,0,2,1.2
G3V7N9;P31721,G3V7N9,C1qb,27.48026406,2.95E-20,9.34E-19,187233592.1,0,0,0,0,0,0,0,42997000,0,0,72266000,23052600,0,0,0,0,0,0,2,4,3,4,4,3.4
G3V913;P42930,G3V913,Hspb1,27.54241656,2.79E-20,9.34E-19,195476042.4,0,0,0,0,0,0,29191000,26743000,35808000,0,29057000,24159800,0,0,0,0,0,0,5,2,3,2,4,3.2
M0R3Z8,M0R3Z8,Rbm15,-27.48965961,2.97E-20,9.34E-19,5.31E-09,0,28879000,26917000,29467000,33478000,23748200,0,0,0,0,0,0,0,6,4,5,6,4.2,2,0,0,2,3,1.4
P17955,P17955,Nup62,-27.46583179,3.04E-20,9.34E-19,5.39E-09,0,26611000,34063000,20735000,35308000,23343400,0,0,0,0,0,0,0,5,4,3,3,3,0,0,0,2,0,0.4
P27881;O54892,P27881,Hk2,27.45271393,3.02E-20,9.34E-19,183692047.8,0,0,0,0,0,0,23660000,22198000,32893000,35788000,0,22907800,0,0,0,0,0,0,3,4,4,6,2,3.8
Q5D006;Q6IE71,Q5D006,Usp11,27.47726397,2.95E-20,9.34E-19,186844643.8,0,0,0,0,0,0,24212000,20958000,21348000,23048000,26378000,23188800,0,0,0,0,0,0,2,5,4,5,3,3.8
Q63688;A0A0G2K4N5;G3V787,Q63688,Cyp7b1,27.44980745,3.03E-20,9.34E-19,183322351.4,0,0,0,0,0,0,34091000,0,22944000,30905000,25923000,22772600,0,0,0,0,0,0,8,2,4,7,3,4.8
Q792I0,Q792I0,Lin7c,-27.56606622,2.78E-20,9.34E-19,5.03E-09,17814000,30411000,23397000,27568000,25896000,25017200,0,0,0,0,0,0,3,6,2,5,5,4.2,3,4,2,2,0,2.2
