Majority protein IDs,Protein ID,Gene names,logFC,PValue,FDR,Fold_change,C1,C2,C3,C4,C5,average_C_lfq,R1,R2,R3,R4,R5,average_R_lfq,MS/MS count C1,MS/MS count C2,MS/MS count C3,MS/MS count C4,MS/MS count C5,MS_C_average,MS/MS count R1,MS/MS count R2,MS/MS count R3,MS/MS count R4,MS/MS count R5,MS_R_average
A0A0G2K6J0;Q7TP88;Q4V8K1,A0A0G2K6J0,Steap4,31.2064404,1.13E-21,5.15E-19,2477847756,0,0,0,0,0,0,310760000,318400000,304210000,304370000,300500000,307648000,0,0,0,0,0,0,22,26,18,21,15,20.4
D3ZYQ3,D3ZYQ3,Tnfaip2,31.28148744,1.05E-21,5.15E-19,2610153388,0,0,0,0,0,0,307800000,343930000,304510000,315550000,348140000,323986000,0,0,0,0,0,0,17,20,22,19,19,19.4
F1LW83;M0R672,F1LW83,Mpa2l;LOC498435,31.48821082,8.80E-22,5.15E-19,3012284360,0,0,0,0,0,0,431270000,4.48E+08,333110000,348700000,309540000,374124000,0,0,0,0,0,0,21,20,28,32,20,24.2
M0RBJ7;M0RBF1;P01026,M0RBJ7,C3,33.26976458,1.85E-22,5.15E-19,10356120318,0,0,0,0,0,0,1222300000,1131500000,1349500000,1397100000,1329300000,1285940000,0,0,0,0,0,0,65,55,68,76,81,69
P09034,P09034,Ass1,32.32646154,4.22E-22,5.15E-19,5385606000,0,0,0,0,0,0,687410000,557330000,755830000,657790000,683930000,668458000,0,0,0,0,0,0,32,40,37,35,39,36.6
Q5U2Z4,Q5U2Z4,Nfkb2,32.03768252,5.44E-22,5.15E-19,4408627738,0,0,0,0,0,0,501320000,539340000,555500000,607560000,534260000,547596000,0,0,0,0,0,0,32,27,28,32,28,29.4
Q6AYB0,Q6AYB0,Zc3h8,-31.45013245,9.25E-22,5.15E-19,3.41E-10,0,1847600000,0,0,0,369520000,0,0,0,0,0,0,2,2,0,0,0,0.8,0,0,0,0,0,0
Q9JKB7;Q9WTT6,Q9JKB7,Gda,31.59605429,8.01E-22,5.15E-19,3246086481,0,0,0,0,0,0,365870000,370510000,472330000,414340000,392070000,403024000,0,0,0,0,0,0,35,28,34,27,29,30.6
Q5XIU1,Q5XIU1,Abtb1,30.93990841,1.42E-21,5.78E-19,2059873230,0,0,0,0,0,0,0,0,0,0,1260900000,252180000,0,0,0,2,2,0.8,2,0,3,0,2,1.4
D3ZV82,D3ZV82,LOC685067,30.17423487,2.78E-21,5.95E-19,1211573576,0,0,0,0,0,0,176700000,162360000,143290000,106910000,161940000,150240000,0,0,0,0,0,0,18,15,11,14,13,14.2
E9PT22,E9PT22,NA,30.08185294,3.02E-21,5.95E-19,1136423121,0,0,0,0,0,0,150810000,145580000,141030000,137190000,130920000,141106000,0,0,0,0,0,0,18,9,14,17,15,14.6
F1M9F6;B5DF73,F1M9F6,Gbp5,29.96289032,3.35E-21,5.95E-19,1046474722,0,0,0,0,0,0,165750000,142050000,121270000,99910000,120270000,129850000,0,0,0,0,0,0,13,12,15,11,12,12.6
G3V826,G3V826,Tkt,-30.08789384,3.05E-21,5.95E-19,8.76E-10,297080000,0,0,0,416820000,142780000,0,0,0,0,0,0,7,5,15,13,17,11.4,4,7,12,7,9,7.8
M0R3N4,M0R3N4,Vat1l,30.10371515,2.96E-21,5.95E-19,1153775309,0,0,0,0,0,0,123590000,135830000,164750000,155790000,136500000,143292000,0,0,0,0,0,0,11,14,13,13,12,12.6
M0RC17,M0RC17,Chl1,30.00981383,3.21E-21,5.95E-19,1081070774,0,0,0,0,0,0,129600000,107610000,131400000,148780000,153670000,134212000,0,0,0,0,0,0,9,14,12,12,12,11.8
P63259,P63259,Actg1,30.14391325,2.86E-21,5.95E-19,1186375239,0,0,0,0,0,0,0,0,0,0,726210000,145242000,56,59,74,84,33,61.2,40,37,40,34,25,35.2
Q00238,Q00238,Icam1,30.43805727,2.21E-21,5.95E-19,1454682610,0,0,0,0,0,0,171810000,175940000,186040000,189900000,179490000,180636000,0,0,0,0,0,0,9,8,8,12,11,9.6
Q68FU7,Q68FU7,Coq6,-29.96048976,3.41E-21,5.95E-19,9.57E-10,0,155020000,115800000,202740000,185010000,131714000,0,0,0,0,0,0,4,5,2,2,3,3.2,0,2,0,0,0,0.4
Q6P734,Q6P734,Serping1,30.361238,2.36E-21,5.95E-19,1379251111,0,0,0,0,0,0,158290000,171070000,146980000,204200000,176280000,171364000,0,0,0,0,0,0,9,14,19,18,15,15
Q8R427;G3V9J6;D4A0Y9;P43245;Q9JK64;Q6PSM0;Q3B7L2,Q8R427,Abcb1b;Abcb1;Abcb1a;Mdr1a,30.21388563,2.69E-21,5.95E-19,1245334045,0,0,0,0,0,0,149860000,130570000,175640000,171390000,145910000,154674000,0,0,0,0,0,0,13,12,15,23,14,15.4
Q9WTV1,Q9WTV1,Chi3l1,30.23349077,2.64E-21,5.95E-19,1262372704,0,0,0,0,0,0,129520000,136730000,180540000,150630000,185600000,156604000,0,0,0,0,0,0,16,16,21,14,12,15.8
F1LQH2,F1LQH2,Nfkb1,29.84737269,3.70E-21,6.04E-19,965949611.6,0,0,0,0,0,0,117180000,124510000,126780000,120180000,111090000,119948000,0,0,0,0,0,0,18,18,17,14,17,16.8
G3V8G4;P55068;P55068-2;A0A0G2JYH8,G3V8G4,Bcan,-29.83843688,3.80E-21,6.04E-19,1.04E-09,125960000,117990000,121910000,109460000,128470000,120758000,0,0,0,0,0,0,12,19,14,22,16,16.6,0,0,0,0,0,0
A0A0G2K327;Q8K4M9,A0A0G2K327,Osbpl1a,-29.77962408,4.00E-21,6.10E-19,1.09E-09,143690000,88447000,131230000,108780000,107480000,115925400,0,0,0,0,0,0,7,9,7,10,11,8.8,0,0,0,0,2,0.4
G3V6L4;A0A0G2K070,G3V6L4,Kif5c,29.70142709,4.21E-21,6.16E-19,873012512.7,0,0,0,0,0,0,94842000,104130000,110460000,117190000,115370000,108398400,0,0,0,0,0,0,12,12,13,16,15,13.6
P30152,P30152,Lcn2,29.60673697,4.57E-21,6.20E-19,817552973.5,0,0,0,0,0,0,159160000,69702000,57310000,54057000,165640000,101173800,0,0,0,0,0,0,7,5,4,3,5,4.8
P84039,P84039,Enpp5,-29.65622348,4.45E-21,6.20E-19,1.18E-09,97749000,136350000,110670000,78147000,109210000,106425200,0,0,0,0,0,0,8,10,9,8,6,8.2,0,0,0,0,0,0
D3ZA22,D3ZA22,Trim47,29.56360512,4.75E-21,6.21E-19,793472576.7,0,0,0,0,0,0,106940000,99508000,102890000,84860000,98106000,98460800,0,0,0,0,0,0,10,14,10,11,12,11.4
Q9WVJ6;Q6P6R6,Q9WVJ6,Tgm2,29.5043842,5.00E-21,6.31E-19,761560914,0,0,0,0,0,0,92316000,102870000,91603000,91135000,94790000,94542800,0,0,0,0,0,0,7,9,10,10,8,8.8
D4ACN7;A0A0G2K695,D4ACN7,Myof,29.34026327,5.77E-21,7.05E-19,679671914.6,0,0,0,0,0,0,82455000,75916000,84663000,99826000,79393000,84450600,0,0,0,0,0,0,10,6,16,16,10,11.6
P85108,P85108,Tubb2a,-29.22516382,6.50E-21,7.67E-19,1.59E-09,209570000,0,0,0,182930000,78500000,0,0,0,0,0,0,6,4,4,5,6,5,4,4,5,5,4,4.4
