lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,Control1,Control2,Control3,Control4,RAC1,RAC2,RAC3,RAC4,blank
3_Creatine,1.2388678233565849,11.737872795034914,115.35917760814581,6.565993260759064e-27,1.5692723893214162e-24,132.1 -> 90.1,POS1,3081.2602348334,6258.5204124422,3081.0001792899,5154.5602951075,9174.4006156876,10899.5405578577,10483.3407936119,10880.2807922272,3486.1002426157
2_L-Lysine,-0.9301442509923351,13.80452821017698,66.33827763087908,3.7981092597448883e-16,6.808110848092712e-14,147.1 -> 84.1,POS1,24541.6815185541,23391.8414459099,21710.5016250651,24212.4216842555,10949.4808616575,12152.0009155252,10562.1006545929,15527.6210517889,118759.588577193
5_DL-Homoserine,-0.9190089059572301,11.811544848324354,64.09755768169406,1.1840823637068527e-15,1.6979741095556268e-13,120.1 -> 56,POS2,5295.6404075625,7855.7805328373,6442.7204437254,9158.680679321,3718.6802635195,3955.8202896124,3066.3602142334,4445.9203262313,21825.201385498
5_D-Mannitol,0.8146981933724554,11.347502304830183,50.448468323463814,1.223352466827217e-12,1.4619061978585244e-10,183.1 -> 98,POS1,3550.5202751155,2716.2001762395,2767.7202072143,4896.4803428665,2927.5602188111,3577.2202644343,9437.4406623836,8556.8606185911,9263.2006378178
2_L-Leucine,0.7929167716932295,14.062667722447735,48.54979398450784,3.220081460357259e-12,3.298283438680221e-10,132.1 -> 44.1,POS2,26312.281799317,33657.522354131,15077.9811973539,32569.542175299,42897.363159181,49444.984039346,48528.004104624,45389.903366077,19333.00117493
3_L-Isoleucine,0.7834297672015804,13.755000733570945,47.38244235483075,5.840346802694734e-12,5.234410821915155e-10,132.1 -> 44,POS2,23124.581680294,27349.621902457,12321.480689998,24097.341568,37150.902526856,40546.462936401,36751.10261535,34934.542053204,16766.301208503
5_L-Tryptophan,-0.78327646608473,10.837010099687964,46.11406652526464,1.1156455982330045e-11,8.887976599256269e-10,205.1 -> 146.1,POS1,3662.7002830499,5056.300392153,2240.5601615885,3252.6002273568,2039.8201446521,2050.2401542654,1622.400108338,2533.3801765452,11002.600746164
2_Valine,-0.7240650238615509,12.818819928259172,40.417493303747094,2.0509651991216924e-10,1.4705420477702536e-8,118.1 -> 55.1,POS2,19018.541366584,20028.661239616,10990.980819705,19628.521545405,9723.5407066389,12167.6208267205,9742.1205825767,10489.6007385279,20463.801727281
6_L-Tyrosine,-0.6497955332519333,11.28215133815727,32.06568381742888,1.490469370124362e-8,9.715150348901525e-7,182.1 -> 136.1,POS1,4144.6202621451,6119.4404716482,4165.5803222663,3075.0202445979,2137.9001464848,2302.2201690683,2830.8201713555,3872.8203048707,16914.9412231453
5_L-Phenylalanine,-0.6250427627236194,12.81587297153943,30.176537515290033,3.9445263375974415e-8,2.356854486714471e-6,166.1 -> 120.1,POS2,11827.2408256662,17357.3613472025,12513.5209617664,18561.961463923,9951.4207534769,8785.2806472783,10472.5008010874,9823.2207412731,32672.322540289
