lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,Control1,Control2,Control3,Control4,RAC1,RAC2,RAC3,RAC4,blank
4_Glutamic acid; 4_L-Glutamate,-0.5905451737999823,12.005028561634434,26.800993021258208,2.255214219668189e-7,1.1549918539300655e-5,148.1 -> 84,POS2,3813.2802467338,8306.40055084,10795.4606819178,8610.7605819689,4307.9203224184,5944.3804435736,4417.6803474439,6239.3604431159,22774.9615936251
1_L-Isoleucine; 1_L-Leucine,-0.5715925243236953,14.26351115888226,25.383303072512497,4.6996830809105426e-7,2.2464485126752393e-5,132.1 -> 86.1,POS2,50454.043426499,53057.5440521298,32969.1623268218,49582.20358277,34129.6624374334,31198.7224273655,28440.4020919888,31260.122360225,48936.6633453388
2_L-Isoleucine,-0.5558792973887619,11.955002042680068,23.81108462603831,1.0626872077621406e-6,4.4820395762673814e-5,132.1 -> 69.1,POS2,9808.8205337506,9994.1206855788,6615.4804992615,10372.5207366932,7172.2604904142,7219.4804458535,4384.5003051767,6210.6804122927,10877.0407791083
5_Glutamine,-0.564344063093898,9.999336965233727,23.84834794921474,1.0423129446387566e-6,4.4820395762673814e-5,147.1 -> 64,POS2,4985.6803359995,1704.7201232911,1750.5601272584,1471.3400955204,1445.0001029969,1762.3601226802,1524.2001037595,1961.2401428236,2118.860168457
1_Valine,-0.5517213706240186,13.475702493683416,23.623715749095396,1.1713495376712892e-6,4.665875658390636e-5,118.1 -> 72.1,POS2,28547.62178039,34115.142395032,14305.6010170012,30928.922424305,17472.181320176,20466.7616119565,18555.761337267,17029.580917357,27113.761932355
2_4-Hydroxy-L-proline,-0.5256207976949843,12.881734084709873,21.411438439041763,3.7055391153764672e-6,1.3450261178332964e-4,132.1 -> 86,POS2,16843.4613113386,21663.241561882,11260.0207176316,19756.621398919,12755.8609695327,12756.2408218439,12594.340911864,10133.060852057,20385.061347962
5_myo-Inositol,-0.5275805938274486,11.466554736968533,21.387642286569758,3.75181622826582e-6,1.3450261178332964e-4,203.1 -> 98.1,POS1,8781.8605842522,4519.5002975473,5387.3603477482,8797.2806625413,5626.5203971864,3755.1402511601,4753.8403167719,4908.5803604103,5262.2003974912
6_L-Phenylalanine,-0.5005519790159109,10.80817412722846,19.054607437194313,1.2703070130381794e-5,4.337191087373213e-4,166.1 -> 103.1,POS2,2956.2802276606,4151.1203117391,3155.9002189651,5030.000419616,2465.9002075186,2614.2801856995,2887.8002052303,2831.3202209469,6711.0804595925
6_Glutamine; 3_L-Lysine,-0.4981556328813796,10.822961884375779,18.808342335987682,1.445335513399531e-5,4.7104798323066533e-4,147.1 -> 56.1,POS2,2659.0201797477,3225.460266113,2681.8202018726,3173.0002174377,2008.2801589963,2462.3602027899,1759.5401115424,2140.1201553346,7373.6205101014
6_Glutamine; 3_L-Lysine,-0.4981556328813796,10.822961884375779,18.808342335987682,1.445335513399531e-5,4.7104798323066533e-4,147.1 -> 56.1,POS1,3258.5002174383,3306.7402343746,3456.3602180477,3380.4602699289,2442.6801910403,2217.1401710504,2241.7601470957,2574.7601776129,10258.7605934176
4_Creatine,0.488429237986944,10.211810242317307,18.011729896128156,2.1954798812972058e-5,6.844169890826507e-4,132.1 -> 87.1,POS1,1949.2801475507,2567.8801803591,2029.8401603701,1773.0401268001,2237.8801574709,3396.0002288818,2572.1201705923,3451.140228271,1714.5001029957
2_L-Proline,-0.477084051766024,11.39111800123287,17.48918212402515,2.8894713587634232e-5,8.287003856933498e-4,116.1 -> 43.1,POS2,10535.8807105982,4202.8202667249,5776.2404098526,4669.080322266,4182.2203063952,5393.2404022216,4312.9002952576,4177.5002593984,5907.8404388449
4_myo-Inositol,-0.46689097937933527,10.610708810466024,16.588787823323713,4.642466991265007e-5,0.0012802495510526961,203.1 -> 100.1,POS1,5686.3004417417,2678.7401695253,2728.9202117909,4028.2002601621,3346.7002716064,2124.0801353452,2623.9201927177,2831.2801780707,2562.2801933292
3_progesterone,0.4505411933398433,13.089732123476916,15.777007170418862,7.126331317835909e-5,0.0018924368721808691,315.2 -> 81.1,POS2,16612.7213325426,22745.281677233,7467.3205604543,19892.721237182,23291.041763301,23050.781814564,23581.381500236,21151.38169862,1784.4601325986
5_L-Serine,-0.4343771160423369,10.088490836788624,14.106893515784218,1.7270967318080784e-4,0.00427009778174618,106.1 -> 42,POS2,1692.8001365652,2172.220165253,2602.9601783755,2086.6001281746,1403.9800987249,1769.620132445,1450.2401161193,1698.3201103208,5034.4003829948
5_L-Tyrosine,-0.43582430858416404,9.726471359366919,14.11420645876721,1.7203953623158924e-4,0.00427009778174618,182.1 -> 147,POS1,1915.8401298525,1954.040145874,1990.4001312254,1616.2601280206,1364.1001014711,1299.3400955203,1357.3800849914,1499.0401115422,2494.7801589957
5_Methionine,-0.4269080083029892,10.809256062526094,13.876187137410023,1.952568092998918e-4,0.00455582940032111,150.1 -> 56.1,POS2,2940.740226745,3647.640254975,3717.7202911382,4482.8203201295,2687.5802116396,3045.6802062999,2351.3201637274,2901.8402061465,7050.0604286155
6_L-Aspartic Acid,0.4232199242017677,11.979190114722973,13.859727260930526,1.9697449290091273e-4,0.00455582940032111,134 -> 43,POS2,8798.6806106539,11236.7607727036,3924.1802978495,6815.7203865056,10037.860679621,10078.2006530782,11683.180751792,9422.8206329349,1904.8401374816
2_Hexanoylcarnitine,-0.4253713776182167,10.129243797227517,13.637926071351274,2.2166214431252265e-4,0.004966617421002461,260.2 -> 85,POS2,3290.9402618388,2162.8801498407,2980.2401886003,2051.7401618949,1591.5201148988,1770.2401275638,2178.4001693708,2258.9001655587,2205.1601562501
5_Stearic acid,-0.4223896822111767,10.44735372388577,13.56223363585886,2.3078229784927824e-4,0.0050142699259979545,285.3 -> 71.1,POS2,5090.6203422564,2244.8201675409,1904.5801162725,4590.3803520204,2423.1001777637,1850.6001358035,1967.6801376351,4065.1002807616,1407.8201026923
4_Hypotaurine,0.40467031884797194,9.67401510004099,12.188841540362821,4.807623029692483e-4,0.009848759177970028,110 -> 45.1,POS2,1189.1600875854,1470.8201065077,1500.9801025394,1562.3801155094,2274.4601745608,2177.8201332081,1641.1801300056,1472.1600875855,1644.6201248163
4_L-Tyrosine,-0.40267196116098025,10.029984481335278,12.19401373317583,4.794311659592521e-4,0.009848759177970028,182.1 -> 165.1,POS1,1952.9801330574,2640.0202026359,2472.2601890561,2612.7002181983,2203.6801528918,1665.8401069646,1750.7001152047,1690.9801177984,2132.7601699827
1_Margaric acid,-0.39427653723429157,10.413942966010456,11.80522392678721,5.906475718977385e-4,0.011763730806963293,271.3 -> 71.1,POS1,4124.3803138737,3207.1002082819,2265.8401870729,3386.8402481094,2778.6401863094,2075.8201370236,2610.7401695251,2401.960186004,2109.7601661681
5_Hypotaurine,0.3827724640308933,9.787799111511228,10.93303195714823,9.446477644901963e-4,0.01830574181458029,110 -> 30,POS2,1407.1201095583,1469.3601150517,1434.900100708,1735.9401245113,1651.6401176447,2206.2001457215,1847.5801429739,2170.1401367193,2239.1001701351
5_L-Threonine,-0.37186826460233796,10.48951326441283,10.442521940385163,0.0012314701151619279,0.023235896646607954,120.1 -> 57,POS1,2527.4201927182,3083.1602210993,2437.0201530459,2560.5201911935,1791.8201370233,2215.4201431273,2019.1401405329,2161.3401451114,7500.5005264249
3_L-Leucine,0.3585931289209859,12.56128235792032,9.986490184878985,0.0015769288685005798,0.028991230736279888,132.1 -> 43.1,POS2,11520.8408355672,12809.920867918,6995.9605636575,13149.1610107298,12953.5807800168,16166.1812057446,14403.981010439,13438.6411437982,9184.0407524048
5_Asparagine,0.36377362960581305,9.684554625232597,9.86359009433862,0.001685818174193214,0.030218290772413364,133.1 -> 74,POS2,1407.8200988766,1290.3000946046,1311.9600944522,1892.8001327524,1711.9201240534,1974.8601493828,1897.4401473987,2003.3601379396,1554.8801078803
4_Asparagine,-0.35382526789586655,9.894788561319498,9.38674965405486,0.002185593604159086,0.03746278933664825,133.1 -> 87.1,POS2,1383.4600982668,2593.3001899726,1863.5801238996,2803.360191344,1581.100112915,1929.1401367197,1506.9401016238,1738.5201301567,2009.240139006
4_L-Serine,-0.3501454459420335,10.94489032049889,9.358921145078746,0.0022190272341864876,0.03746278933664825,106.1 -> 60,POS2,3482.5402412422,4864.4403572071,3026.2402267441,3891.2003059398,3067.360191346,2676.0601997391,2910.7601737977,3306.1402549752,8838.7605781571
6_Dulcitol (i.e. Galactitol),0.35208137849924864,10.102461944456682,9.336189262472352,0.0022467223730486398,0.03746278933664825,183.1 -> 57,POS1,1958.4401435841,1951.600154877,1485.4201011664,2197.2401618956,1864.5201454166,1594.1600913997,3132.4002342215,3093.5802116411,2832.6001777649
6_Stearic acid,-0.34629145142800744,10.976774862470608,9.201832775609162,0.0024177294049717605,0.039397999621926194,285.3 -> 57.1,POS2,7103.2804718007,3022.8601989746,2354.5601654043,7031.3805427532,2536.9201698312,2943.3202095016,3095.8402328489,6755.4604911813,2035.4201278689
2_Acetylcarnitine,-0.34382484255545864,9.995899434782318,8.887950129480169,0.0028705883502252575,0.04573804104692244,204.1 -> 85,POS2,2536.4201698302,2075.320167541,2722.1201629643,1865.5401268003,1720.7201004032,1696.0000991818,2001.1401367195,1821.9201278686,2238.7801628128
5_Cytidine,-0.3265540906240839,12.240847012595859,8.268249748686607,0.00403443807163577,0.0628846108122358,244.1 -> 95,POS2,11662.680870057,8558.8806228646,14054.701080313,8418.0005569448,9697.5406646709,11046.260787965,6581.0404739399,6662.0005302419,11905.2608032135
5_D-Erythrose 4-phosphate,0.32505842995021755,13.041909264886964,8.227352451903435,0.004126368241288078,0.06294906444688408,201 -> 81,POS2,17933.1412735039,21993.281311033,8956.2606124893,18601.461425765,20213.801620486,20966.021728512,22402.86174009,20864.621551506,2453.5201873777
5_D-Ribulose 5-phosphate,0.3229466028196959,13.792771580463238,8.135239059886622,0.004341312318013636,0.06484835275032869,231 -> 81,POS2,27524.5417938343,36082.1224975453,18648.0413284248,31733.782470704,34609.062667841,34582.842765799,37311.882308959,35927.102188113,3390.0202293408
5_Uridine,-0.32597186055018035,9.757422645165164,7.9455480582841265,0.004820581689390286,0.07053789941413949,245.1 -> 113,POS2,2642.8401985168,1760.0601463314,1628.4801139833,1927.9401435842,1598.6001091002,1517.4601135248,1654.6801147468,1570.9001045229,1527.9401321418
3_6-Hydroxynicotinic acid,0.3251478007159472,9.666076091164204,7.885805292890701,0.004982428823254458,0.07144802932546893,140 -> 122,POS2,1536.6601219174,1272.7000923155,1484.3401184077,1713.0401191721,1483.2001152032,1720.5201263425,2040.4801444995,2273.6001739506,1331.1000862123
4_Glyceraldehyde 3-phosphate,-0.3164477355482828,10.155271139761547,7.574698978558182,0.0059193264601065465,0.08321876611561556,171 -> 81,POS2,3141.2402229311,2161.0801582318,1943.4001502989,3456.3402977001,1810.2401046767,1968.9201393127,1705.5801200859,3098.6402206425,1573.3001098633
5_D-Lactose,0.29386903899623185,12.279162141187614,6.70598249210985,0.009608997113691915,0.1324932871253289,341.1 -> 97,POS1,11323.980789184,12046.6208038311,6172.5604057294,9990.4407043472,12362.4608230582,11920.3807792727,12279.1208953823,11844.4609565736,3039.6801834104
1_L-Lysine,-0.29009605364776025,10.356600615381975,6.3507638605102255,0.011733076703363533,0.15872860370399347,147.1 -> 130.1,POS1,2635.8401756289,2515.6201667792,2033.3401260381,2623.0201759343,2003.3801193238,1818.9601325983,1610.8201332083,2576.9201583866,6161.3203887955
3_L-Proline,-0.28834143882442803,9.712991196730176,6.21552139053651,0.012663505154391559,0.1681432073277546,116.1 -> 42,POS2,2174.0001640322,1663.1201133726,2014.3201332091,1882.3601341242,1518.8201141353,1410.1201057434,1649.0401229858,1747.1001243577,1289.7601013184
5_Glutamic acid; 5_L-Glutamate,-0.2785583424548288,10.811268093569824,5.928972170103476,0.014893926466169662,0.19416264138624814,148.1 -> 56.1,POS2,3109.1602172858,3443.1002426146,4349.0403251635,4030.66027069,2919.1402244573,2993.9602317806,3100.7002258297,3281.7802467352,5648.2404403706
6_FAD,0.27240650783712445,9.998470633574987,5.596331269061997,0.017998128561369273,0.230440324616103,786.2 -> 437.1,POS1,2195.7801628115,2143.460159302,1516.8601112365,2027.8601188667,2443.220172883,2498.0801506046,2544.460170745,2025.4801330567,1313.5801048278
1_progesterone,-0.2699903982512135,9.92520695240451,5.47517840888837,0.01928839176914662,0.23844442928410564,315.2 -> 109.1,POS2,2700.9402084363,1800.4201278681,2027.1001472473,2018.7001380926,1737.7001266475,1792.5601425178,1709.1201210017,1839.4801216121,2156.0601463315
1_Retinyl palmitate,-0.2727745031207458,9.381817746404069,5.4905581921664215,0.019119437870494662,0.23844442928410564,525.5 -> 269.2,POS2,2034.7801361091,1251.7200851442,1307.5200805662,1328.0200920103,1240.8800849915,1281.7600784307,1178.1800727847,1194.1600761413,1378.8001060485
4_Succinic acid,-0.2665236161647418,9.866391724286322,5.329897699575476,0.020962615557060686,0.2547490738036019,119 -> 73,POS2,2113.3001670835,2359.2801742548,1575.4201164249,2264.700157166,2051.2601547247,1696.4401245128,1527.1001167301,1626.0201110845,1855.6601257317
5_Bilirubin,-0.2621410997840352,9.509475302814415,5.093793117279629,0.024011617138863284,0.28693882480941624,585.3 -> 299.1,POS2,1686.240112306,1528.1801071171,1734.9001083378,1443.8801002496,1224.7200813293,1299.9600982662,1391.0801086427,1408.6601066583,1608.5800857537
2_Margaric acid,-0.2515330444904108,10.932675471742025,4.853883870550629,0.027583955031513063,0.3242245206163093,271.3 -> 57.1,POS1,5765.1004066457,3535.5202522275,3565.0202827461,4738.2403640765,3423.5002670283,3139.320228579,3488.1202621464,4718.0003738406,3395.0802268972
4_Creatinine,-0.2509161804065139,10.549931540544275,4.80351504803807,0.028401733589151143,0.3284523061842156,114.1 -> 44.1,POS2,3587.6202545182,3484.2402420037,4040.7203063965,2635.1601982125,2677.7201805119,3242.4802436831,2650.9401969918,2965.4002151486,2145.8601570141
4_Oxaloacetate,0.24235025757734807,10.406048942089393,4.465497535299487,0.03458601584089459,0.393621799332086,133 -> 45.1,POS2,2614.9001617436,2720.9402046209,2070.4801330562,2732.3401832556,3023.8402175892,2747.4602012637,3364.7802619921,2844.3802261353,2702.7801780701
4_Histidine,-0.24159825353509223,9.88049362864448,4.384832176548425,0.03626006157709317,0.4062260023558719,156.1 -> 110.1,POS2,1754.92010498,1878.8001213081,1943.5601463312,2855.0202064517,1542.5600967405,1614.1801147458,1637.4401168817,2330.1001701345,1681.2601051331
2_Atenolol,-0.23745195189623783,10.804148542105468,4.320995006084544,0.03764490387623997,0.4152522473732932,265.2 -> 97,NEG2,4644.2803039525,2807.7001914977,2533.4201889028,6516.1203994752,2367.5601692194,3923.3402328497,3619.1802253727,4075.1802330027,2230.6201629637
3_4-Hydroxy-L-proline,-0.23877990735963284,9.448488920316404,4.220417392358383,0.039940334643304855,0.4338972718068118,132.1 -> 68,POS2,1528.5600967402,1653.8801193234,1510.2800941466,1457.8000907906,1241.7000923158,1412.1401023861,1268.6800842284,1283.0600929258,1417.1201057435
10_Hypoxanthine,0.2334728146710698,10.874713614204616,4.183591971547475,0.04081710506905555,0.4368039452912363,137 -> 94,POS1,4243.0003433232,4332.5203056353,2505.180210112,3976.0002899194,4068.5802993777,4811.4403648384,4053.6403045645,4745.5403518685,1619.960124969
4_DL-Homoserine; 4_L-Threonine,-0.2305031193767862,11.158065278391456,4.0590752663296765,0.043934552518454455,0.4632510905254683,120.1 -> 74.1,POS1,3235.5202636717,3331.8402404774,4129.6403274532,3587.1602210992,2280.2001533503,2995.6002044681,2927.0401802078,3957.9002914426,15357.8810424907
4_DL-Homoserine; 4_L-Threonine,-0.2305031193767862,11.158065278391456,4.0590752663296765,0.043934552518454455,0.4632510905254683,120.1 -> 74.1,POS2,2788.500175477,4736.6003265372,4307.5403327953,5217.0603713979,2238.5801506038,3181.2402267461,2514.6001586923,3308.4802246092,10331.42070007
3_Alanine,-0.22760454018081114,10.718787116022954,3.960428732385563,0.04658183783442888,0.4840460540186306,90 -> 45,POS1,4069.820274354,3671.6802825929,3776.0802574176,3168.000240325,3000.020217895,3376.2802619923,3159.3802452087,2990.1602249153,3625.3402938832
5_5'-CMP,-0.22476296833146656,11.132902108153921,3.885282333517324,0.04871107175905789,0.4989405493034929,324.1 -> 95,POS1,6270.200439453,5597.4403724683,4257.7202835077,3515.8602523807,3656.9402847305,3379.7802085877,4868.7803573615,4883.4604034431,4670.8003349303
4_UDP,-0.2201198711004169,10.58467605290145,3.699896623222127,0.054415839324677834,0.5495233351520282,405 -> 96.9,POS1,4116.1403083792,4061.3002815263,2664.200195314,3066.5402336142,2786.2001991274,2826.8802146916,3791.3002853385,2523.9602012638,2266.0201644901
2_Ornithine,-0.22018689359135868,9.895396915307296,3.6255846200383033,0.056897578529703695,0.5666050528582993,133.1 -> 70.1,POS1,2416.7801742549,1742.4001312263,1747.9601287842,1580.940105439,1544.2601051332001,1527.8001136785,1688.2801284788,1659.6601104732,3508.7002372757
4_L-Tryptophan,-0.21907206531751763,9.77595093297863,3.5771370002720744,0.05858003021469856,0.5753682419717653,205.1 -> 188.1,POS1,1660.3601341240999,2355.1201744085,1293.5400886535,1659.0601234439,1321.0600967407,1454.0801048277,1803.8201217639,1401.6001014716,3083.3202323899
3_Testosterone propionate,-0.21574881130458423,10.62022780942498,3.553431359258431,0.05942244821621885,0.5757553428517421,345.2 -> 97.1,POS2,4686.1003227249,2918.3602142329,3319.4802169791,2790.700195313,2991.5001831046,2916.3601760869,3079.5801925649,2806.4602088944,3291.8202323921
5_Sucrose,-0.21028584900748534,9.951853903434353,3.3286470429478356,0.06808285835027608,0.6508721258286394,365.1 -> 185,POS1,2345.2001647945,2306.9801673894,2138.0201530465,1930.1601333630001,1903.0001411445,1764.4801139832,2036.1601448057,1824.7601280215,1866.2201423635
4_Lauric acid,-0.20932337256350014,10.065865799620811,3.3050319360809084,0.06906800286065881,0.6516020796196365,201.2 -> 57.1,POS1,2750.8801803587,1947.9201354978,2222.6401710518,2284.4601821891,2156.5401344301,1671.9601440433,1952.4801445007,2171.1401252735,2446.3801918027
3_Citalopram,-0.20398266807004686,9.992421556635625,3.134130066062781,0.07666927938662814,0.7139204327300308,325.2 -> 109,POS2,3093.3002281205,1844.6801300041,1875.0001411439,2026.1201400744,1895.6801109309,1935.720123291,1900.9601402286,1931.0601387035,2128.7801551822
4_D-Biotin,-0.201137442232171,10.063769530963494,3.050938206081506,0.08069051734544225,0.741732063290796,245.1 -> 123,POS2,2765.9801902764,1991.2601394657,2161.7401351933,2191.8801879888,2303.2201652527,1998.9601249701,1764.2201423651,1847.0401039122,2550.2401847848
4_cAMP,0.19101685579280048,9.825735277835085,2.7391885343504914,0.0979144765838561,0.8886668317800611,330.1 -> 136.1,POS1,1908.8801345835,1692.4401283261,1600.5401077271,1863.5001335132,1851.9401283265,2108.2801589953,2006.1601333617,2089.560142517,1474.0201034543
4_D-Erythrose 4-phosphate,-0.19027792658860473,9.740712430781533,2.705813914190474,0.09998304317681572,0.896098024472211,201 -> 85,POS2,1835.0001220705,1994.3601493832,1827.0201148979,1612.840106964,1785.0601348876,1510.0801010142,1461.7800979614,1605.0201072694,2012.9801521294
3_UMP,-0.18562274513749802,9.542866179793638,2.561779066822649,0.10947532491013011,0.9519553244039353,325 -> 213,POS1,1696.0001335149,1656.4801063541,1650.6401023875,1510.0401153561,1429.2000885012,1329.5200958248,1410.5000953669,1550.2201080317,1405.6201095583
5_Lauric acid,0.18399142341755204,10.032033199634894,2.551372971628563,0.11019845456837743,0.9519553244039353,201.2 -> 55.1,POS1,1868.4801177985,2167.5401611323,2210.1201629639,1564.50012207,2105.6201553338,1677.7801208498,2861.480194093,2219.7001571655,2476.5801734936
6_CDP,-0.1828851365814049,11.369009396040816,2.580474228688498,0.10818924477044786,0.9519553244039353,404 -> 97,POS1,6383.8404655473,6619.4405136102,4878.9203300478,5151.3403739943,3953.2802352922,4468.8603553767,6207.2004089372,5643.0204353325,5106.620346069
3_Cryptoxanthin,0.18268383878765465,9.833602698920881,2.5073700274019295,0.11331489795757463,0.9672235932807264,552.4 -> 119.1,POS2,2436.600177765,1878.7001266474,1270.9400825498,1625.4001007072,1819.6001358026,2339.9401741013,2065.7801551818,1949.540126801,1300.52009964
_2-hydroxy-butanoic acid,-0.00521585885657872,9.452786778351927,0.0020167917613794183,0.9641800784676365,0.9998533477824489,103 -> 57.1,NEG2,1424.9400939943,1414.7201004029,1444.860107422,1425.120098114,1430.2400970458,1413.6000976562,1417.2801055908,1420.7801055906,1419.3000869752
1_(+)-alpha-Tocopherol,0.003020725859218844,9.425959927129888,6.757470360727812e-4,0.9792612189653499,0.9998533477824489,429.4 -> 414.4,NEG2,1396.2000999449,1398.3800964352,1396.3200988767,1395.6401062012,1396.7601013182,1396.4201011657,1400.8600959774,1397.2401046751,1396.6801033021
1_2-Aminoadipic acid,0.001495910346554649,9.238776378739722,1.6444561711301698e-4,0.9897684999640185,0.9998533477824489,160.1 -> 116.1,NEG1,1225.7400894165,1222.0000915527,1229.180088043,1222.3400917052,1228.8400917053,1221.5400924682,1226.4200897216,1221.4200897215,1244.7200927734
1_2-isopropylmalate; 2_2-Isopropylmalic acid,0.0041720125741650125,9.239739268638628,0.0012793486441252007,0.9714673621839983,0.9998533477824489,175.1 -> 115,NEG2,1405.5401039123,1399.540096283,1397.4601097103,1399.0400924683,1402.6201019288,1397.9800987244,1403.600112915,1396.8801002503,1397.0800933839
1_2-isopropylmalate; 2_2-Isopropylmalic acid,0.0041720125741650125,9.239739268638628,0.0012793486441252007,0.9714673621839983,0.9998533477824489,175.1 -> 115,NEG1,1224.1400833131,1227.2200851442,1235.1000938415,1223.9800872802,1226.3000869749,1223.2800865175,1233.9401016233,1235.0200920103,1220.6600723267
1_2-Isopropylmalic acid,0.0016574517321837402,9.233924576511853,2.0186253745021316e-4,0.9886641702574759,0.9998533477824489,175.1 -> 150,NEG1,1223.1001014709,1222.1800880432,1225.8200836181,1221.140083313,1224.2000885009,1220.7000808715,1225.7200775147,1221.1400833131,1221.1000785829
1_3-Indoleacetic Acid,2.290260960275403e-4,9.429604152895582,3.885045370989647e-6,0.9984273291835978,0.9998533477824489,174.1 -> 130,NEG2,1405.7800979612,1404.0600967407,1398.9601020814,1398.3600959778,1398.8201026916,1398.7201042173,1402.3601074221,1401.1600952147,1398.1400909424
1_4-Hydroxy-L-proline,0.0018437840918942938,9.4276203867924,2.517714290494503e-4,0.9873402520124595,0.9998533477824489,130.1 -> 98.3,NEG2,1397.5800971983,1399.8000907899,1398.8800964358,1398.3600997923,1399.240104675,1396.5800971983,1402.0200958252,1396.9600868225,1399.5801048279
1_5'-CMP,0.011782329188471198,9.255086754383232,0.010210013746134509,0.9195150456040981,0.9998533477824489,322 -> 97,NEG1,1235.1600952148,1227.4600982666,1244.3400917051,1239.5800895691,1242.2800827025,1235.7000885008,1261.0000953675,1241.980091095,1240.5200805665
1_6-Hydroxynicotinic acid,0.0032470833366457404,9.440534035325017,7.81282464913418e-4,0.9777008888699777,0.9998533477824489,138 -> 94,NEG2,1423.760105133,1411.3601074217,1408.800098419,1403.6201057432,1402.6600990292,1422.9800910948,1407.980102539,1419.5601119996,1401.6401023862
1_Acetyl CoA,0.0026831807545443804,9.235645977797295,5.290657993940325e-4,0.9816491319760812,0.9998533477824489,850.1 -> 419,NEG1,1225.6200866697,1224.5200920103,1225.3600845337,1221.5000991819,1225.2200927733,1225.1400909421,1227.4200820923,1222.2201004029,1221.2600860595
1_Acetylcarnitine,0.035739951667341924,9.397471213269844,0.09452893675179697,0.7584966248404937,0.9998533477824489,204.1 -> 145.1,POS2,1310.2800903325,1477.7401008599,1328.3000984193,1340.4401016241,1605.620124817,1309.0600967405,1268.6600914003,1402.5201034546,1284.8400878908
1_Aconitic acid,0.02270044539854574,9.261686522957561,0.03791540156435701,0.8456131124622926,0.9998533477824489,173 -> 129,NEG1,1235.0200881959,1232.6200828554,1244.720096588,1250.1200866698,1275.4400901795,1257.2800865174,1263.2400894165,1238.9400863648,1221.8400917049
1_Adenine,-0.007675697248432366,9.243495561402133,0.004331189928146899,0.9475276802607819,0.9998533477824489,134 -> 106.9,NEG1,1249.5000953674,1234.7600860596,1228.100086212,1231.9200935362,1226.8800849916,1221.8800849914,1232.460083008,1230.7000846863,1222.3200874327
1_adipic acid,0.00275428189608148,9.443417997835782,5.621449840510703e-4,0.9810842509581402,0.9998533477824489,145.1 -> 101.1,NEG2,1423.2001037597,1405.5401039121,1410.8401069643,1411.3801002501,1427.1600914002,1410.4601020814,1422.8401069643,1394.24010849,1422.1400985718
