lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5,blank
5_Bilirubin,-0.44608985508421384,9.942013582492116,14.370838870643261,1.5010907578383523e-4,0.009784382485182715,585.3 -> 299.1,POS2,2905.1201934807,3341.9402427671,4078.620300294,4656.8803062429,6881.7604827868,2838.880184174,1893.3201293934,3480.3602409355,3842.440299987,4040.2602539064,1608.5800857537
5_Glutamic acid; 5_L-Glutamate,0.4419337882164884,10.683332058017033,14.189918674267862,1.6525352153377694e-4,0.009873897911643172,148.1 -> 56.1,POS2,4468.3803138744,4926.1203727742,4810.0203628529,6482.2004394547,4922.7203559874,4471.9203262342,7196.220512392,6481.2204933174,8663.2606086733,8074.9805870048,5648.2404403706
4_Creatine,0.4346120933736099,9.32361539269997,13.51826431994429,2.362528217922818e-4,0.013030251786543542,132.1 -> 87.1,POS1,2090.1001548758,2185.2601699827,2084.0801391585,2123.6801338204,1725.5001335142,1695.2401313775,2084.8201484667,3528.0002479553,2926.1802062992,3607.6802406316,1714.5001029957
2_4-Hydroxy-L-proline,-0.40965639320762687,14.947097412056117,12.31812414540525,4.48581279156721e-4,0.02297376979681207,132.1 -> 86,POS2,93702.94653312,101617.787536595,126312.208556998,143035.17138663,248357.75732421,104133.72705084,61755.80410765,107125.4663085,133170.40844727,132110.70813003,20385.061347962
1_Valine,-0.40712641882711526,15.235816269453066,12.168024875078508,4.861575914067217e-4,0.023238332869241294,118.1 -> 72.1,POS2,110337.76770027,125749.08923334,148082.44885254,179798.85314942,305131.46069342,123666.64892574,76283.70458986,132938.52893063,155216.72949223,169144.39208978,27113.761932355
2_Valine,-0.3999369515959623,14.66448272680207,11.741104710203217,6.113472543147516e-4,0.027395998833979807,118.1 -> 55.1,POS2,74948.405944815,84248.90710454,102674.047119089,116675.22778318,203809.25537117,83417.305542017,47483.963836664,91607.406341516,106200.48840324,113928.62683117,20463.801727281
4_Asparagine,-0.39693484408052726,11.335339747700553,11.503476451567167,6.946614486929367e-4,0.029298368159578567,133.1 -> 87.1,POS2,8533.7006149304,8988.4206237824,9913.7807769769,11870.0210037215,18587.121208189,7319.3605079583,5865.5804100027,8249.760616302,11917.9007339484,10748.4206924365,2009.240139006
10_Hypoxanthine,0.3695626269100494,10.869953118751308,9.952924109918833,0.0016059411109676529,0.06060314613493722,137 -> 94,POS1,5802.3404464708,6314.120437622,6143.620353699,7671.8804969799,6174.4604377738,4993.260288237,4980.5803413399,8998.4606285098,13055.520950311,9603.0206947324,1619.960124969
9_Hypoxanthine,0.3635902608897859,10.815823873139177,9.631885579585187,0.0019122818770687885,0.06855530529291608,137 -> 110,POS1,4953.4003334047,6373.3404769896,7279.2406311042,6750.6004104613,5730.9804382333,3242.9602584848,6073.800457,9241.5006523136,12275.6209793009,9309.6806221015,1348.0400962827
2_L-Lysine,0.3465489685741296,13.74847449421087,8.815471975852553,0.0029868694105517936,0.09734478942571073,147.1 -> 84.1,POS1,32046.0621070846,28717.7417411799,34521.1629371594,41053.6831207262,54556.2041015509,43449.303771979,34841.942665111,37326.0431442281,52402.963035594,75420.02401728,118759.588577193
8_Hypoxanthine,0.3486656418295841,10.619058014675534,8.84776560431225,0.0029344790886211653,0.09734478942571073,137 -> 119,POS1,5312.9603958128,5558.9804039001,5746.2404479992,5959.420478821,4559.2403106682,2944.8602066025,4730.3202934256,7675.0405464171,11156.6808624162,8181.6605377183,1496.8001022335
5_L-Phenylalanine,-0.3439278057841719,14.79967881271793,8.690449429572183,0.0031988173915723597,0.0997196552068427,166.1 -> 120.1,POS2,78671.004364009,84196.426086459,114540.406799281,135327.48974608,210366.09411627,88995.04675298,68009.944641143,91582.328002952,123333.288208099,120373.847351029,32672.322540289
5_D-Lactose,-0.33693985413781397,10.739645152406696,8.268914628220152,0.004032960877073081,0.11566531795445596,341.1 -> 97,POS1,10818.3608398431,8890.6006507879,4983.1402854931,6233.3004455556,5704.580379486,6887.7003860461,3886.9403228751,5993.1603927604,6085.1004981996,6235.3604278579,3039.6801834104
5_Atenolol,-0.3393758916714816,8.95701273696601,8.195331643610055,0.004199831635345257,0.1158184339439442,267.2 -> 145.1,POS2,2260.3401489265,1576.8001174929,2040.5601539615,1832.4201278683,2635.3601799031,1814.3401298525,1686.2401008593,1503.500099182,1581.5801162711,1609.8400993349,1423.2000999451
4_Guanosine,0.33493321229611517,9.275960398504578,8.03494846874193,0.00458833155050155,0.12184569339665227,284.1 -> 152.2,POS1,2006.6601409911,1976.4801406857,2804.6001968391,2027.6201362615,1458.560092926,1877.1401367185,2919.4802474953,2830.8002052312,2373.9601669302,2991.9202232352,1650.0201225283
5_D-Fructose 6-phosphate,-0.31007278700992746,17.134601871123355,7.070007480199152,0.00783849282647283,0.20072140559217927,261 -> 81,POS2,768753.3598633,656187.00488296,432261.74902345,582550.60253898,759208.11474626,692755.369629,454107.75512681,469335.03442399,491751.41259783,478225.4956055,5048.100376131
4_Inosine,0.3027188226458626,12.264451454518,6.718858305508334,0.009539867740458055,0.22673305187773365,269.1 -> 137,POS1,11242.5807838475,21405.6016235239,22523.2414436359,19534.3416061264,12789.7609214777,10461.720722204,19726.5614814549,24483.641742719,31241.422309887,22369.221557607,2329.7801666264
5_D-Ribulose 5-phosphate,-0.3016797449892641,12.109990624152562,6.670355517891714,0.009802963191366448,0.22673305187773365,231 -> 81,POS2,30294.5623474088,22600.9220924357,12217.1808319059,14937.7009315564,16128.3011016869,17583.8811645471,15819.2610397276,14775.0010986365,15736.1409759504,14323.8210944994,3390.0202293408
5_L-Threonine,0.304862714994744,10.08143937099215,6.720969652911489,0.009528580776067986,0.22673305187773365,120.1 -> 57,POS1,2951.2602233881,2920.0201988215,2554.720157624,3077.1002616877,4592.2003479001,3309.900245668,3105.2201995874,3350.6602363599,4356.2203216551,5819.860424041,7500.5005264249
6_L-Phenylalanine,-0.29825280592352943,12.231606808132346,6.521462830420369,0.010658030362406147,0.23880649280766275,166.1 -> 103.1,POS2,14130.281021119,16074.9413604698,18097.6812973067,21591.061553958,33024.142410277,15197.3010024984,12691.0608940164,17211.9808654691,19446.841247537,19370.281402579,6711.0804595925
4_Succinic acid,-0.28929000016008727,10.43782205618097,6.086960201312159,0.013618318811818148,0.2871863114139298,119 -> 73,POS2,4375.8603019707,4642.5603179921,5294.9603309619,5607.5404167162,9713.3007354786,4712.7403144848,3140.6001892106,4354.0402946482,5870.5204010024,6241.740497588,1855.6601257317
5_D-Sorbitol,0.2927812073715124,9.052508607980085,6.113765158409113,0.013413308829633238,0.2871863114139298,183.1 -> 85,POS1,1648.36013031,1510.6600952144,1917.8801307679,1606.460113526,2108.2801742559,2297.9401473998,1925.5201301569,1924.8201293941,2346.8001403809,2302.820148468,1748.5001182544
6_2-Aminoadipic acid,-0.28828491042196214,9.19817092800514,5.947030681715536,0.014742097952286025,0.3020024066225451,162.1 -> 55,POS1,2404.2001457223,2203.2001533517,2547.4001922589,2405.820140839,2472.8801689159,1645.280128479,1686.6401138304,2087.3801307683,2044.6801490780001,2417.9201889043,1690.360111236
1_Testosterone propionate,-0.2750723015284118,9.920102835394614,5.475355698490564,0.019286435396670732,0.36648261350054645,345.2 -> 271.2,POS2,4214.1002616886,4023.2202568057,4175.0003128053,3667.4602355956,4000.3803253175,4030.500240325,2958.7202072148,3344.8202667226,3434.5202255236,2866.3002014166,2230.2201385505
1_Trazodone,-0.27339083747953047,10.044791225060141,5.417647550467024,0.01993420073433935,0.36648261350054645,372.2 -> 176.1,POS2,5153.6404342639,4217.6602706912,2609.1201934818,4180.2803344719,6139.8403472884,3983.000278472,2804.440200805,3332.5002593993,4569.7003135671,3812.7002983091,1679.92011261
3_Diphenylamine,0.27602680116863654,9.481120559528456,5.472874227582467,0.01931383683606621,0.36648261350054645,170.1 -> 93.1,POS2,2040.4601287849,2011.1401481624,2765.0002174381,2056.1201553348,2567.7601699844,2517.4401893626,2676.8001556412,2683.4801673894,3265.8602409357,2746.8402023316,3387.0202903749
5_Uridine,-0.27634839223000895,9.030724275374595,5.447058498434611,0.019601303354700613,0.36648261350054645,245.1 -> 113,POS2,1692.9201164238,1584.580120087,2307.8001708985,2173.7601394646,2904.0601806642,1530.0401191702,1715.2601165768,2126.3601150521,1747.8201141361,1705.1401252748,1527.9401321418
6_Stearic acid,-0.26929380357158983,9.67554111802291,5.2316753252129775,0.02217915960023552,0.3975614358342217,285.3 -> 57.1,POS2,2550.4401817306,4158.2203025813,3279.9202384968,3212.7402343733,3632.6002769468,2253.8201446533,3378.2002258309,2847.7202072131,2545.5801696772,2974.5002098084,2035.4201278689
5_Arginine,0.26802351354059933,9.129485382508342,5.127448558361166,0.023550321843491224,0.41184343321422456,175.1 -> 70.1,POS2,2286.1401710498,1917.7201423644,1488.4400939941,1649.1801109314,1671.480113983,2648.4601898204,2030.9601173395,1731.4001235967,1994.0801429747,2475.7602081287,2603.2001991263
5_L-Tyrosine,0.2649274904984819,9.411182724536458,5.040058337411175,0.024767655920565856,0.42281926892966,182.1 -> 147,POS1,2012.3601303109,1597.4201087951,2418.2201690667,2190.2201652528,3063.2202682481,2944.9201812726,1497.320110321,2320.1201515197,3076.6401710524,3757.4002532941,2494.7801589957
5_D-Erythrose 4-phosphate,-0.2590286102414227,10.692701090010774,4.890460010646038,0.027005489825399527,0.45030084197235953,201 -> 81,POS2,12616.360954286,9358.8806991575,3711.3202285769,4216.3003196727,4965.1803398134,8683.580574033,4488.7802963257,5602.1603622445,5158.4204177855,5283.9803810118,2453.5201873777
3_D-Glucose; 2_D-(+)-Mannose; 3_D-(+)-Mannose; 3_D-Fructose,-0.2564538456576641,12.671539408357196,4.828214999663482,0.027997603230907102,0.45623367083091804,179.1 -> 59,NEG1,21013.7215118398,22520.0416946373,26877.1418838482,30455.742080681,39065.042892458,22914.0016021677,22261.7815017767,23678.6016464195,24429.0818634068,24129.161712647,5201.3203659054
5_Cytidine,0.2514827966308975,11.411419111047099,4.625079970596216,0.031507792485687,0.5020241602719462,244.1 -> 95,POS2,7683.6205062868,8870.8805236802,11692.200889595,8244.9405746465,8005.3205795271,9515.4406509378,12633.4409179746,10492.140777587,10544.360816955,9911.2006759655,11905.2608032135
4_UDP,-0.24760077836543912,10.93588781476604,4.47589878982537,0.03437611744204719,0.5358190479553877,405 -> 96.9,POS1,7950.8205146765,8842.2407493607,6738.6804313651,8004.9005317699,9960.6806907642,7373.2805404682,5292.5003929128,7130.8204574569,8116.0205650352,7136.6005859381,2266.0201644901
2_Zeaxanthin,-0.24919017575667332,8.64306819290305,4.388106548954263,0.03619048373650627,0.5405953508140624,569.4 -> 395.1,POS2,1688.0601310726,1491.7001228334,1865.1201362597,1602.7601089483,1384.2401084894,1501.420097351,1375.5401039119,1304.6000900268,1265.0000724792,1327.1801033015,1248.6000938416
5_Ranitidine,-0.24914633578872752,8.726325563945759,4.395449392453786,0.036034961650201584,0.5405953508140624,315.2 -> 176,POS2,1597.0000991823,1522.4401130673,1768.720134736,1367.6801033016,2204.2001495346,1286.9400901795,1239.8600883485,1353.7000923156,1592.1201133737,1665.6201210021,1414.8200988768
1_L-Lysine,0.24131284980775852,10.061632863400941,4.215503151330218,0.04005618490544637,0.5861282566776541,147.1 -> 130.1,POS1,2522.8001403812,2478.7001953126,3584.1802482605,3524.4402236939,4725.9603424069,4335.5003395087,3013.5801925672,2929.7402076733,4024.3602714551,5650.8804473867,6161.3203887955
4_Malic acid,-0.23525306697651902,11.408998151449078,4.049323428859893,0.04418905175796809,0.6336710022092624,135 -> 45,POS2,6636.260498048,6257.22052002,21530.2217102049,9822.0406265266,11264.100769042,6266.7604751579,7503.140544892,8898.180534363,16773.261192319,7881.360671996,6576.400470734
4_L-Cystine,-0.2374095224644317,8.75859888614697,3.9964306056085768,0.045596728989895106,0.6410363663873488,241 -> 122,POS2,1373.0000953678,1526.2201118465,1970.72013855,1698.0601234435,2143.0801429751,1572.1401062008,1489.4601097101,1604.3001136779,1239.5200843811,1499.6401100163,1280.4800987244
4_L-Tyrosine,0.23211163414757918,9.548598340861805,3.880474942028104,0.04885073639185901,0.6735764998646714,182.1 -> 165.1,POS1,2689.5401763906,1990.2801437377,2475.3601799014,2982.5802192681,2709.1402130117,2512.5601501454,3168.1602706903,3132.8402175919,3149.240192414,3164.0602378832,2132.7601699827
4_Methionine,-0.22560113054946052,9.07068417881754,3.6348590673502326,0.056581394772396466,0.7654501896567598,150.1 -> 102.1,POS2,1767.0001144411,1706.980125427,2189.5401611335,2594.4801940918,2490.3002166739,1617.1401062017,1768.4001274099,1577.0201187135,2239.8001632687,2013.9801292418,1644.6801109309
3_Cryptoxanthin,0.22186599892927014,8.812629222720778,3.4957249294577775,0.06152746484819899,0.8020944053847032,552.4 -> 119.1,POS2,1358.5601005553,1595.4401016234,1739.9601325984,1530.4401054382,1504.3400993347,1372.5601043696,2054.7001457202,1763.9201354972,2075.4401474005,1770.7601203933,1300.52009964
5_Elaidic acid,0.22160052604026012,9.313127072935442,3.521114372910043,0.0605916948406889,0.8020944053847032,283.3 -> 57.1,POS1,1559.7401084897,2569.4001693729,2111.3801727285,2028.9801445009,2347.4001693708,2234.4001464835,2775.8601951592,3061.8602409374,2242.0401458731,2092.4201431279,2533.5601959241
4_Sucrose,-0.21510816204503722,9.398182253905366,3.3232363754140746,0.0683072386791743,0.8444187953959996,365.1 -> 203.1,POS1,3129.700222014,2723.7601776127,2661.7002105706,2587.940170289,2042.5001335137,2139.8601646412,2405.4401588434,2292.1401557921,2236.6001472478,2279.8001556409,2607.6401748655
5_D-Biotin,0.21524094904510122,9.401311143453608,3.3275860747876784,0.06812679448364747,0.8444187953959996,245.1 -> 97,POS2,2130.0801467882,2256.6801528917,2652.5401802042,2156.4801673881,2167.2401466367,2347.0801658637,3316.6402320857,2662.6201858522,2369.1401824949,2525.2401771548,2584.9401702879
6_D-Sorbitol,-0.21611088214555196,9.165362588683013,3.3409539778010124,0.06757541964668232,0.8444187953959996,183.1 -> 55.1,POS1,2568.6801872261,2645.8601799014,2145.0001411443,1969.1001358029,1975.5801391613,2595.7001914985,1672.8201179501,1699.3801193234,1870.520126343,1917.5001373287,2004.6201667787
2_Alanine,0.2112409324533479,9.983087515137209,3.231157210320905,0.0722496180635403,0.8492291172386621,90 -> 72,POS1,3684.5202598591,3641.6802558905,3985.500282287,3088.3402175917,2604.6801681514,5028.0603637705,3897.6402168279,4262.8002662684,3286.3002586365,3254.7402534466,3933.7403030395
5_DL-Homoserine,-0.21085720306389086,12.355278902984043,3.2625544603100742,0.07087863255854257,0.8492291172386621,120.1 -> 56,POS2,15301.121032728,15220.3810195838,17595.141334532,22454.721649169,30649.542114251,15446.221221921,14585.8009834226,16087.441207881,19643.761520366,21923.561584456,21825.201385498
6_FAD,-0.21358860762276044,8.887865481174028,3.246197245689876,0.0715893698829709,0.8492291172386621,786.2 -> 437.1,POS1,1978.000152588,2293.6401634225,1561.6001091012,1838.5201301573,1830.0401306149,1472.4001007076,1713.0201377872,1607.4001235962,1774.9601211532,1647.9601058957,1313.5801048278
6_Uracil,0.20720956990122527,10.963449184238014,3.134526991359351,0.07665061834872129,0.8723570373973519,113 -> 43,POS1,8727.840652465,8181.5205306983,6254.1404495222,5900.2804718032,4596.4402961721,6647.5004425021,7066.5205459603,8195.2205963122,8883.8606300365,8186.4205436686,7645.920570373
4_Cytidine,0.20702356159711724,9.907845281087294,3.1039083051274368,0.07810457862229322,0.8750153573778788,244.1 -> 112.1,POS2,2824.7202110298,3879.040279389,3051.9002265939,3459.0602226281,3934.2602920547,2452.6601867675,3853.7203025806,4240.7803382878,5046.4603767397,4260.1402359006,1641.3201103203
3_Alanine,0.20452178255689132,9.909935981003287,3.026649575856089,0.08190698915693691,0.9034970957772887,90 -> 45,POS1,3433.3202590939,3159.0802192675,3346.5202255253,3625.2202529881,2695.7002067558,4803.2203445442,3344.8002319336,3513.3002624509,3478.820236205,3639.5603027348,3625.3402938832
6_meso-Erythritol,0.20407884363892986,8.859438606774088,2.9597090733500817,0.08536329876877354,0.9273558366244034,145 -> 58.1,POS1,1656.0801315308,1297.7200927732,1628.0801086424,1539.9001197817,1774.200103761,2065.4201583855,1432.9001121514,1820.6801261894,1939.520141601,1861.0801277152,1645.0201148993
6_D-Galactose,-0.1986489730351817,9.023336127669138,2.817640836678734,0.09323334497957267,0.9977359455276658,163.1 -> 61,POS1,2078.8001441975,1727.380119323,2078.6201286308,2492.2201690668,2115.7201690666,1377.060092926,1406.2000999454,2617.1801834106,1824.1601333617,1943.1401481625,1252.6200942998
_2-hydroxy-butanoic acid,-0.009043760913805737,8.607471322303262,0.0057787546123150915,0.9394046820045392,0.9997523523750523,103 -> 57.1,NEG2,1417.7401046752,1448.3200988772,1423.7601013181,1414.3001022338,1431.5000915526,1435.620109558,1409.9201011657,1414.2600898743,1420.2801094053,1428.5000953675,1419.3000869752
1_(+)-alpha-Tocopherol,-0.0011359010034325036,8.580113264270999,9.108990794541062e-5,0.9923850229322911,0.9997523523750523,429.4 -> 414.4,NEG2,1396.7800827027,1398.9400978083,1395.6601104736,1392.7001037597,1396.1401062011,1400.8000946044,1400.5200958252,1398.9201011658,1396.0401000976,1395.640106201,1396.6801033021
1_2-Aminoadipic acid,0.001993696184914559,8.394106074233674,2.789833696386461e-4,0.9866737171745185,0.9997523523750523,160.1 -> 116.1,NEG1,1224.2800903319,1228.7400856019,1222.0000915526,1221.4000854493,1222.9000854491,1228.5800819398,1227.8200912475,1223.3400878907,1225.9600906372,1237.240093231,1244.7200927734
1_2-isopropylmalate; 2_2-Isopropylmalic acid,-0.0017935694749862108,8.3913224336081509,2.2578432920833218e-4,0.9880113407402016,0.9997523523750523,175.1 -> 115,NEG1,1225.3000755309,1228.1400985718,1221.5800857544,1224.8000755311,1226.6400909422,1226.180076599,1226.7000923153,1226.2000846861,1226.8400840761,1228.0400924684,1220.6600723267
1_2-isopropylmalate; 2_2-Isopropylmalic acid,-0.0017935694749862108,8.3913224336081509,2.2578432920833218e-4,0.9880113407402016,0.9997523523750523,175.1 -> 115,NEG2,1402.6400947569,1400.9800987244,1394.5600967407,1406.4201011657,1397.8800964353,1405.9401092529,1402.280090332,1398.8401069642,1398.3400955197,1397.0201034544,1397.0800933839
1_2-Isopropylmalic acid,-4.39012524481355e-4,8.387315461076891,1.3525314590233546e-5,0.9970656442144948,0.9997523523750523,175.1 -> 150,NEG1,1220.6000862121,1221.8000907893,1220.8200912477,1219.5200843809,1221.9000854495,1223.8600921632,1225.8600921628,1221.3600807188,1223.480079651,1223.2800788879,1221.1000785829
1_3-Indoleacetic Acid,-0.003859516136029904,8.584174465372108,0.0010517423207865879,0.9741286784335395,0.9997523523750523,174.1 -> 130,NEG2,1398.7400970456,1402.8600921629,1402.1400947571,1402.5200996397,1401.5400924684,1400.34009552,1405.1600952148,1400.440097809,1398.2801055909,1402.0801048278,1398.1400909424
1_4-Hydroxy-L-proline,-1.1743414773870988e-4,8.582227940458917,9.736536255803424e-7,0.9992126964065179,0.9997523523750523,130.1 -> 98.3,NEG2,1398.2000923158,1399.6800880432,1397.5000953676,1393.6400947572,1398.5600967406,1403.8401031494,1402.3600959778,1401.0800971982,1400.1000976563,1396.8601036072,1399.5801048279
1_5'-CMP,1.130585877423928e-4,8.415703090610856,8.978649609081568e-7,0.9992439587207318,0.9997523523750523,322 -> 97,NEG1,1254.820087433,1235.0000953674,1231.7400856019,1263.360092163,1242.5400848389,1239.520084381,1271.4200859069,1235.160087585,1260.8200874331,1236.3200912477,1240.5200805665
1_6-Hydroxynicotinic acid,-6.1754885314632e-4,8.591768129548303,2.693312012683885e-5,0.9958592267784752,0.9997523523750523,138 -> 94,NEG2,1412.6401100156,1427.2400970456,1403.2201004026,1391.220108032,1404.5001029967,1422.2000923156,1417.0401039121,1406.6001014708,1400.5000991822,1406.7800979613,1401.6401023862
1_Acetyl CoA,-0.00249635120776009,8.38980912084865,4.373648048037887e-4,0.98331484210295,0.9997523523750523,850.1 -> 419,NEG1,1227.5400886535,1224.0800933838,1220.5800819398,1219.2800903318,1229.080089569,1225.840091705,1226.8000793456,1221.960083008,1224.5400924681,1225.9200820922,1221.2600860595
1_Acetylcarnitine,0.09158504168091366,8.68093706144279,0.5940600395821249,0.4408534071924961,0.9997523523750523,204.1 -> 145.1,POS2,1480.5800971982,1141.3800773619,1303.8000907901,1988.0001602174,1437.5401039122,1389.9000854493,1602.800113678,1560.380119323,1250.4800949096,2047.5801544186,1284.8400878908
1_Aconitic acid,-0.0057407814760101015,8.404366985255818,0.0023142032531966693,0.9616316317587688,0.9997523523750523,173 -> 129,NEG1,1230.4200897217,1232.120098114,1242.6600875853,1244.3000869751,1246.2000885008,1245.4600906375,1231.480091095,1239.2000961301,1229.2800903319,1240.8400955197,1221.8400917049
1_Adenine,-0.00300353782933011,8.395457625555968,6.332654265421489e-4,0.979923541046857,0.9997523523750523,134 -> 106.9,NEG1,1230.9000930786,1228.6801033018,1227.3200950623,1224.3600807192,1236.3200759887,1224.6200790404,1228.1600837707,1233.8800888059,1232.8600883483,1230.4600868226,1222.3200874327
1_adipic acid,-0.00396881495938052,8.617238685283821,0.001113236766099604,0.9733833582485698,0.9997523523750523,145.1 -> 101.1,NEG2,1438.4201011657,1410.1201057434,1457.4401016233,1444.9400978086,1424.1201057434,1426.8800964356,1456.6601028441,1418.8801040649,1436.1001014708,1434.4001045227,1422.1400985718
1_ADP,3.9526425386576623e-4,8.387678330325683,1.0964180120761648e-5,0.9973580332434532,0.9997523523750523,426 -> 158.9,NEG1,1221.6600875854,1220.820095062,1221.9000892638,1219.3200912473,1221.5000877377,1226.6400794983,1226.3000755309,1221.120075226,1225.6000862122,1222.2800941467,1219.8400878908
1_ADP-Glu,6.197296604555117e-4,8.43908454325206,2.6997893343708862e-5,0.9958542506055738,0.9997523523750523,588.1 -> 346.1,NEG1,1265.4200859068,1267.6600875855,1264.6800842285,1263.4000816344,1265.12008667,1269.3400878906,1272.6200828554,1264.540084839,1271.6200904843,1266.5000877382,1264.6600952147
1_ADP-Rib,0.01859169687932122,8.397975119125249,0.024265884686242023,0.8762102909672621,0.9997523523750523,558.1 -> 366.1,NEG1,1225.7200737001,1221.5000915527,1222.80009079,1219.8000907898,1224.2800903321,1268.7800788877,1226.0400848386,1220.740081787,1270.940097809,1222.2800979613,1220.8200798034
1_Alanine,4.2374940360366103e-4,8.392080599840128,1.260307006343284e-5,0.9971674516970268,0.9997523523750523,88 -> 42,NEG1,1223.6800918576,1222.7000770568,1224.4400787354,1222.700088501,1228.4600944516,1224.380088806,1228.1400794984,1223.060081482,1235.480079651,1227.8800849914,1227.2600860595
1_Allantoin,-0.0012149222742823423,8.387340090647422,1.0358380532780355e-4,0.9918795799535404,0.9997523523750523,157 -> 114,NEG1,1221.6200790405,1221.1400871277,1221.400085449,1220.6400833128,1221.9000968932,1224.7400817871,1224.1800918579,1219.940097809,1223.2800865171,1224.48008728,1220.5000877379
1_Anthranilic acid,-0.0037584998493432518,8.395952483335195,9.916226999891371e-4,0.9748787341129679,0.9997523523750523,136 -> 92.1,NEG1,1231.1000785828,1222.6800918578,1234.420082092,1229.2000808716,1231.2000808716,1228.4000892638,1239.4000854491,1232.0200843813,1225.8600883485,1221.9800834655,1228.1000976559
1_Arginine,-0.0033943257287582457,8.579922882529898,8.133797553957489e-4,0.9772475656615178,0.9997523523750523,173.1 -> 156.1,NEG2,1396.640106201,1399.8000946044,1396.4001007079,1395.5200958249,1396.2201156615,1396.5800971986,1398.5000915526,1398.4200935362,1395.8400993346,1396.0201034547,1396.860107422
1_Argininosuccinic acid,-5.881631786223517e-4,9.389763807186062,2.4870152761886227e-5,0.9960209674874656,0.9997523523750523,289.1 -> 271.1,NEG1,2455.8201904293,2448.5801811213,2445.2801704404,2449.9201850887,2444.7601699832,2450.4601745603,2453.6401748659,2445.4201660159,2461.0601768491,2459.0801773071,2441.0201644897
