lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5,blank
3_Creatine,1.0028742203327996,10.739317554521548,71.94761264655878,2.209869675702685e-17,1.5844765574788254e-14,132.1 -> 90.1,POS1,3835.6202850349,4954.6804122883,4455.6003150939,4668.8403816218,3784.0402793888,4706.1803588866,3993.6003074652,8846.1606903011,13784.2210998554,12332.0008811882,3486.1002426157
4_Glutamic acid; 4_L-Glutamate,0.9350022050228106,12.507083234904893,63.127613052930286,1.937389836470773e-15,6.945542563747721e-13,148.1 -> 84,POS2,12493.3209075983,11691.8008117683,12612.6209335297,21790.1014137233,13905.9809417738,15185.3210067699,29151.7017516877,23228.3415985147,38663.4230384952,32774.8622741633,22774.9615936251
5_Hypotaurine,0.6851984577126982,9.62620806151747,33.56006102224079,6.909703794277959e-9,1.6514192068324322e-6,110 -> 30,POS2,1766.0201187132,2111.3401336672,2804.5601921084,2280.8201713553,2345.5001792909,2176.6601486203,3013.1601982115,4496.120330808,4315.9803009051,4237.2802848809,2239.1001701351
4_DL-Homoserine; 4_L-Threonine,0.6102267240613818,11.137236013499063,27.011568883814988,2.0224139572950405e-7,3.62517701845136e-5,120.1 -> 74.1,POS1,3476.6202468863,4598.3003082289,6005.7004852286,6628.7604141238,9003.0406455897,7052.9804267915,4885.3203163135,7361.5205192533,11306.4608764737,14899.1411781209,15357.8810424907
4_DL-Homoserine; 4_L-Threonine,0.6102267240613818,11.137236013499063,27.011568883814988,2.0224139572950405e-7,3.62517701845136e-5,120.1 -> 74.1,POS2,7018.5804824819,8944.2405624336,9945.5807724051,11942.6608962891,14244.941116336,7004.1204910292,8472.3606262227,8715.1006622273,11427.5607147202,11465.2207946702,10331.42070007
4_Glutamine,-0.5728886600562241,10.090236536494174,23.653978416755905,1.153072819237223e-6,1.6535064227861778e-4,147.1 -> 130,POS2,4026.9002990719,2800.5202102656,3871.5002746589,5816.7804183953,7142.8005218435,3220.2402191154,2661.5401802057,2997.420227051,2788.2202072143,4273.6003303533,4218.4803123477
4_Hypotaurine,0.5404295742803392,9.37334908370953,20.87704520554644,4.8972833718064165e-6,5.852253629308668e-4,110 -> 45.1,POS2,1751.1001205454,1900.5601005564,2215.6401596071,2076.0801582332,2235.5001640309,2108.2801704393,2225.2601852429,2862.0402145399,3847.6802368162,3809.4402656557,1644.6201248163
3_progesterone,-0.5215880017712677,10.191524729260303,19.66779796289879,9.214107432207868e-6,9.437878612704345e-4,315.2 -> 81.1,POS2,11226.760826107,6913.6804428129,2321.4601554882,2875.5002250684,3279.4002418537,5305.2803039549,3304.4402465813,3411.4802398677,3543.2202568046,3028.9202117913,1784.4601325986
5_DL-3,-0.498623643851589,9.917611866573262,17.78782037735334,2.4695907747274985e-5,0.0022133707318495203,167 -> 85,POS1,8211.1204185482,1497.2000961311,1664.1201057431,1393.1001091002,1839.6001358033,3301.7202339173,1515.8601112366,2100.9601325988,1540.2800979623,1907.3201293942,13784.0009994482
1_L-Isoleucine; 1_L-Leucine,-0.4686074046453388,16.37286568686222,16.106876592275796,5.986626160749765e-5,0.004769345508063979,132.1 -> 86.1,POS2,251381.33752464,267146.73754881,333948.84631329,406875.86755372,693279.35156241,268236.296997112,165593.810668909,274371.3378906,344392.2464601,362480.34533699,48936.6633453388
2_L-Isoleucine,-0.44815035865035313,13.927780671675821,14.724706845648868,1.2440532189541417e-4,0.008919861579901196,132.1 -> 69.1,POS2,47429.723571792,53591.783752439,62009.903976452,71141.025878905,121130.56848145,52534.123382578,30302.3824768064,52771.043914788,63595.564758305,61954.744415289,10877.0407791083
