lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5,blank
(11Z)-eicoseneoylcarnitine,-0.018849016,9.175574835,0.044925068,0.832141872,0.998556814,454.4 -> 85.1,AC,5322.580406,4871.780334,5313.88039,5048.060364,5158.140385,5118.940334,5015.360378,5242.280376,5429.520386,4653.660324,5655.720398
"(11Z,14Z)-eicosadienoylcarnitine",-0.026838973,9.11801445,0.091010048,0.762896994,0.998556814,452.4 -> 85.1,AC,5041.600334,5386.320362,4632.500324,4553.460335,5194.520332,5444.400387,4867.04034,4555.460304,4760.020329,4801.480324,5367.020378
"(13Z,16Z)-docosadienoylcarnitine",-0.057143393,8.988674536,0.411767522,0.521073742,0.998556814,480.4 -> 85.1,AC,4469.940315,4585.760349,4834.680355,4700.820332,4450.140308,4034.700294,4584.240326,4737.800323,4226.340324,4628.440346,4677.120308
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",0.06736771,9.205457852,0.574075552,0.44864393,0.998556814,384.3 -> 85.1,AC,5154.380402,5294.880344,4969.640358,4760.100353,5324.080372,4819.920353,5859.160423,5900.960407,5097.060375,5129.100361,5712.50042
"(5Z,8Z)-tetradecadienoylcarnitine",0.045762504,9.156750169,0.264806763,0.606836909,0.998556814,368.3 -> 85.1,AC,5252.680363,5304.500355,4616.280323,4729.360336,5277.180378,5326.480392,5244.400368,5563.300373,4777.040337,5168.120377,4856.24036
"(7Z,10Z)-hexadecadienoylcarnitine",-0.092498781,9.129917527,1.080787702,0.298521408,0.998556814,396.3 -> 85.1,AC,4953.560356,4892.860355,5469.800388,5116.820358,4887.780346,5172.26038,4731.320332,5269.600384,4298.280277,4352.260284,5905.480415
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",-0.007767116,8.945819217,0.007603089,0.930515964,0.998556814,476.4 -> 85.1,AC,4421.32029,4523.720352,4428.340317,4298.120319,4370.300304,3884.340282,4326.540298,4700.900307,4665.04034,4412.280312,4440.460323
(9Z)-3-hydroxyoctadecenoylcarnitine,-0.10687241,8.838327522,1.436099205,0.230771618,0.998556814,442.3 -> 85.1,AC,4509.980309,4123.880272,4166.9403,3934.760269,4209.720284,3742.060276,4085.580303,4018.280293,3574.480255,4087.800289,4519.440308
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",-0.095886123,9.072145387,1.160285941,0.281406247,0.998556814,412.3 -> 85.1,AC,4877.740364,5244.540394,5234.74036,4181.740292,4748.640285,4786.660343,4616.440331,4242.420303,4283.200294,4853.280334,5812.440411
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",-0.015363505,9.050245717,0.029786063,0.862976549,0.998556814,438.3 -> 85.1,AC,4924.300354,4750.920361,4554.740307,4099.860291,5042.840363,5189.900364,4905.600338,4548.220291,4363.720295,4191.400276,5516.980381
12:0 Cholesteryl ester,-0.013953701,9.599310554,0.024745792,0.875002153,0.998556814,586.5219 -> 369.1,CE,6657.900452,7071.62051,6950.060452,6773.820469,6653.82048,6894.020466,6713.240444,6719.360474,6626.580441,6926.260475,8226.720596
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",0.012791885,8.979754953,0.020625864,0.885802856,0.998556814,444.4 -> 85.1,AC,4318.360302,4585.440315,4624.780319,4027.32029,4488.960293,4425.140297,4882.020332,4411.380329,4195.140297,4389.440323,5257.460388
14:0 Cholesteryl ester,-0.008758997,8.66227868,0.009620346,0.9218661,0.998556814,614.5532 -> 369.1,CE,3689.080265,3946.080265,3605.140259,3406.200237,3539.720261,3566.64024,3826.84029,3438.320229,3742.060257,3553.82024,3510.220245
14:1 Cholesteryl ester,0.008649298,8.675645281,0.009380959,0.922841268,0.998556814,612.5376 -> 369.1,CE,3607.560261,3568.740242,3623.480244,3518.380234,3762.440269,3565.780235,3801.840275,3623.34024,3474.400238,3779.260281,3856.540272
15:0 Campesteryl ester_simulated,0.002252058,8.964940353,6.40E-04,0.979824421,0.998556814,642.6002 -> 369.1,CE,4854.800354,4649.200302,4643.440311,4169.640289,4160.820305,4687.70034,4286.600307,4344.480293,5120.06036,4137.900284,4085.120293
15:0 Cholesteryl ester,0.095045259,8.934308106,1.138522821,0.285964679,0.998556814,628.5689 -> 369.1,CE,4809.320324,4677.080341,3841.840275,4045.38028,4077.46027,5797.220425,5432.940376,3961.560299,3867.360271,3929.720264,3674.620266
