lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5,blank
15:1 Campesteryl ester_simulated,-0.258960139,8.855128467,8.425542357,0.003699863,0.043121908,640.6002 -> 369.1,CE,3904.560276,5978.140388,4216.900288,3870.400299,4433.6203,3573.260258,3849.360268,3603.720242,3836.160278,3909.540272,4333.16032
15:1 Cholesteryl ester,0.270832686,9.995224226,9.351341417,0.002228223,0.027641017,626.5532 -> 369.1,CE,14788.08106,10420.76072,4614.200317,6754.620487,7132.900558,19747.34125,14241.10101,9410.820675,5548.480354,4050.500282,3866.500259
16:0 Campesteryl ester,-0.023531543,8.622355797,0.069355864,0.79227696,0.998556814,656.6002 -> 369.1,CE,3360.920238,3777.980255,3520.480247,3490.920254,3428.32024,3615.400261,3382.000248,3373.000233,3396.920235,3578.640263,3798.160271
16:0 Cholesteryl ester,-0.0420761,8.915911263,0.223047934,0.636727295,0.998556814,642.5845 -> 369.1,CE,4748.980339,4653.200344,4174.380302,4400.840309,4051.800282,4686.700317,4272.560284,4037.660286,4316.460304,4150.380276,3993.940308
16:1 Cholesteryl ester,-0.179125856,8.87816012,4.035609005,0.044549593,0.344125062,640.5689 -> 369.1,CE,4677.420307,5049.120361,4070.320274,4265.920303,4040.300282,3993.240284,4077.280315,3607.740257,4093.100315,3809.600269,4548.180336
16:2 Campesteryl ester,-0.019917568,8.5828131,0.049659261,0.823657249,0.998556814,652.5689 -> 369.1,CE,3474.540268,3700.86026,3332.700226,3299.300213,3408.020248,3347.34021,3470.920246,3402.40023,3288.320244,3521.680267,3436.960243
"16:2 Cholesteryl ester, zymosteryl palmitoleate",0.006806892,8.635503898,0.005807434,0.939254793,0.998556814,638.5532 -> 369.1,CE,3491.820229,3671.400261,3426.52026,3696.520245,3519.400261,3441.620258,3816.520271,3646.240261,3434.240246,3608.680248,3338.28022
16:3 Campesteryl ester,-0.023057916,8.561508354,0.066515676,0.796479199,0.998556814,650.5532 -> 369.1,CE,3290.500237,3535.160263,3373.140228,3312.960247,3410.500217,3342.120251,3433.820232,3389.680248,3247.800228,3291.780231,3500.160248
16:3 Cholesteryl ester,0.009236528,8.571727415,0.010678259,0.917696574,0.998556814,636.5376 -> 369.1,CE,3425.220234,3381.38026,3402.940235,3357.820236,3412.820236,3707.720261,3383.360237,3420.060249,3288.78022,3343.700214,3277.820229
16:3 Stigmasteryl ester,0.018359423,8.575128804,0.042186181,0.837265286,0.998556814,662.5532 -> 369.1,CE,3433.660244,3462.16024,3407.080242,3292.300224,3296.500221,3378.100239,3393.260227,3506.800266,3407.580223,3473.680244,3433.720245
17:0 Campesteryl ester_simulated,-0.068762622,9.179999448,0.598242785,0.43924927,0.998556814,670.6002 -> 369.1,CE,6045.040424,6302.240429,4902.360344,5031.480392,4785.300323,5817.480404,5267.140388,5756.980408,4802.460308,4251.300304,4105.020287
17:0 Cholesteryl ester,-0.011782178,8.644206756,0.017394884,0.895071563,0.998556814,656.5845 -> 369.1,CE,3390.82024,3680.320248,3798.080261,3376.56023,3516.680256,3539.320255,3489.000233,3468.18026,3634.900242,3535.160233,3887.820255
17:1 Campesteryl ester_simulated,-0.210232275,9.072856247,5.578147402,0.01818595,0.166445803,668.5845 -> 369.1,CE,5676.560364,5384.320396,5241.480358,5383.360359,4496.400322,4421.620312,4456.920303,5126.400345,4405.52034,4293.440311,4077.360302
17:1 Cholesteryl ester; 16:1 Campesteryl ester,-0.004946298,9.659183895,0.003111776,0.955514442,0.998556814,654.5845 -> 369.1,CE,7487.160519,7456.820511,7064.020489,7042.40049,6663.560474,6936.980503,7245.400505,7335.520512,7172.14048,7009.760475,8049.100571
18:0 Campesteryl ester,-0.046932716,8.723906882,0.27646382,0.599028377,0.998556814,684.6315 -> 369.1,CE,4360.480312,3549.160233,3593.840256,3636.220272,3931.440277,3910.48027,3597.860241,3814.960274,3622.640247,3577.540249,3954.840305
"18:0 Cholesteryl ester, 16:0 Sitosteryl ester",0.061988347,9.137797824,0.485923381,0.485751448,0.998556814,670.6158 -> 369.1,CE,5524.340385,4881.200344,4973.160366,4910.380344,4904.360336,5422.280384,5588.340424,5177.920395,4980.960342,5211.720337,3843.42028
18:1 Campesteryl ester,-0.011937632,8.609017044,0.017847003,0.893724678,0.998556814,682.6158 -> 369.1,CE,3598.140251,3541.600246,3450.080227,3475.420254,3365.260231,3397.38023,3728.800274,3489.700253,3396.540249,3327.860226,3600.400257
"18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",-0.250461077,9.071340613,7.912823164,0.004908561,0.055396615,668.6002 -> 369.1,CE,5818.720413,5869.300388,4819.900352,5046.340382,4770.820347,4512.060318,4524.38031,4540.080303,4324.460297,4298.880299,4365.400291
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",-0.107802481,9.032472784,1.465376093,0.226076661,0.998556814,666.5845 -> 369.1,CE,5647.820396,5116.940365,4495.000305,4088.900295,4202.660313,5032.420326,4392.84034,4097.940304,4615.380306,3782.660259,5961.160454
18:3 Campesteryl ester,0.017354178,8.754063891,0.037836905,0.845771001,0.998556814,678.5845 -> 369.1,CE,3859.320248,3815.700264,3948.300282,4061.520287,3616.120266,3935.68029,4037.020283,4139.6003,3718.02026,3766.300289,3552.400246
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",-0.073336155,8.6673511,0.674468616,0.411497969,0.998556814,664.5689 -> 369.1,CE,3932.500263,3889.820297,3747.68026,3579.360249,3581.340263,3444.440216,3818.260265,3724.620281,3362.70023,3505.600246,3383.620247
19:0 Campesteryl ester_simulated,0.073119278,8.768411583,0.671562202,0.412507482,0.998556814,698.6315 -> 369.1,CE,3824.340256,3946.240273,3521.460247,3688.020267,3883.860264,4387.780334,3569.160229,3811.240299,4330.640331,3811.820267,4079.420273
"19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",-0.001982571,8.723211204,4.94E-04,0.982276165,0.998556814,684.6471 -> 369.1,CE,4307.420315,3815.820267,3559.020256,3464.960236,3857.48027,4037.120285,3922.400257,3678.920265,4030.620277,3370.960224,3503.060249
1-O-behenoyl-Cer(d18:1/16:0),-0.031813864,8.079631494,0.125107636,0.723559542,0.998556814,860.8 -> 264.3,cer,2424.480152,2608.120209,2389.740147,2441.520164,2330.020168,2327.300182,2430.660175,2378.560169,2432.820183,2394.700176,2422.740181
1-O-carboceroyl-Cer(d18:1/16:0),-0.044972113,8.083639106,0.250061003,0.617032127,0.998556814,902.9 -> 264.3,cer,2493.060165,2462.820171,2431.040184,2453.980171,2486.200157,2420.020172,2454.52018,2371.38015,2375.280155,2365.080173,2343.700165
1-O-carboceroyl-Cer(d18:1/18:0),0.015718857,8.087136555,0.030549186,0.861249946,0.998556814,973 -> 264.3,cer,2389.220192,2377.420166,2435.940174,2411.460175,2446.360172,2388.140171,2507.920177,2391.280163,2442.640171,2499.400185,2429.70018
1-O-cerotoyl-Cer(d18:1/16:0),0.003517067,8.077231496,0.001528933,0.968809407,0.998556814,916.9 -> 264.3,cer,2360.760174,2462.900185,2417.140167,2427.540173,2356.200169,2382.320183,2379.820171,2388.020157,2496.080162,2444.10017,2421.920174
1-O-cerotoyl-Cer(d18:1/18:0),0.003179968,8.075892276,0.001249676,0.971800049,0.998556814,944.9 -> 264.3,cer,2349.120163,2414.74017,2381.840172,2391.180191,2439.640182,2396.200165,2314.680161,2446.840176,2465.640163,2417.280174,2492.420189
1-O-eicosanoyl-Cer(d18:1/16:0),0.004053371,8.089872559,0.002031609,0.964048825,0.998556814,832.8 -> 264.3,cer,2416.780159,2438.060177,2420.060177,2423.800171,2441.900166,2393.060177,2432.380177,2372.860172,2538.820183,2474.620174,2418.160168
1-O-lignoceroyl-Cer(d18:1/16:0),-0.002819327,8.095722276,9.83E-04,0.974989089,0.998556814,888.9 -> 264.3,cer,2406.500164,2540.520191,2418.340187,2414.02018,2404.720177,2439.360165,2400.260178,2556.920185,2392.360172,2409.600178,2496.620182
1-O-myristoyl-Cer(d18:1/16:0),0.00329535,8.060158801,0.001341663,0.97078104,0.998556814,748.7 -> 264.3,cer,2350.920162,2378.600178,2414.720169,2396.18018,2364.42017,2356.940178,2413.020168,2459.920181,2368.220169,2370.860149,2352.800186
1-O-palmitoyl-Cer(d18:1/16:0),-0.027666024,8.077701491,0.094598561,0.758410471,0.998556814,776.7 -> 264.3,cer,2436.880173,2384.820179,2387.160172,2465.960186,2460.160179,2338.280163,2425.08017,2311.580173,2470.460171,2396.28017,2464.940159
1-O-stearoyl-Cer(d18:1/16:0),0.006975164,8.081326223,0.0060145,0.938183466,0.998556814,804.8 -> 264.3,cer,2427.54018,2418.540173,2379.380169,2378.960171,2446.840149,2422.04018,2413.260178,2415.120171,2449.980179,2446.940186,2413.780174
1-O-tricosanoyl-Cer(d18:1/16:0),-0.004653451,8.107567944,0.002678647,0.958723397,0.998556814,874.9 -> 264.3,cer,2366.800182,2583.600174,2437.180164,2484.220173,2410.420185,2516.200195,2446.980175,2543.080181,2393.400173,2381.920166,2536.46019
1-O-tricosanoyl-Cer(d18:1/18:0),-0.028810578,8.044380965,0.102488486,0.748863547,0.998556814,1001 -> 264.3,cer,2357.860165,2321.380165,2446.60017,2344.540169,2400.980179,2341.300167,2331.240166,2333.300167,2366.500164,2299.540173,2395.400181
20:0 Campesteryl ester,-0.020277356,8.62397223,0.0515063,0.820462626,0.998556814,712.6628 -> 369.1,CE,3533.100243,3491.92025,3548.320244,3616.940247,3441.38023,3585.340252,3478.420246,3370.020241,3559.140236,3446.460232,3697.12027
"20:0 Cholesteryl ester, 18:0 Sitosteryl ester",-0.090188916,8.834431097,1.022658893,0.311889141,0.998556814,698.6471 -> 369.1,CE,4532.800335,4445.140335,3771.960251,3965.460285,4000.24028,3968.500301,3583.820263,4156.30027,3810.420273,4005.560265,4607.1203
20:1 Campesteryl ester,0.035856498,8.582732907,0.160911031,0.688319134,0.998556814,710.6471 -> 369.1,CE,3347.080215,3394.980244,3483.620232,3304.860226,3267.160221,3460.040237,3357.340244,3524.04026,3581.44025,3348.96022,3609.940262
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",-0.056620558,8.683171022,0.401906694,0.5261062,0.998556814,696.6315 -> 369.1,CE,4083.760292,3466.500252,3559.920238,3505.840244,3755.280262,3908.440266,3529.820236,3437.140251,3472.700241,3373.980244,4284.080315
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",-0.006684346,8.606943794,0.005596155,0.940367909,0.998556814,694.6158 -> 369.1,CE,3448.620235,3584.940262,3487.780228,3585.080261,3348.660233,3361.320229,3375.180233,3663.160267,3594.040249,3435.160248,3438.340229
20:3 Campesteryl ester,0.376367324,9.866162957,18.00381101,2.20E-05,3.94E-04,706.6158 -> 369.1,CE,10629.20081,5876.88044,5490.86039,5496.1404,9012.580624,8366.140537,13266.26094,12661.58094,5849.160439,7446.880543,7696.380554
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",-0.024616017,8.649804065,0.075966507,0.782839775,0.998556814,692.6002 -> 369.1,CE,3543.060257,3744.020271,3616.500252,3690.540253,3557.960258,3615.060249,3601.94025,3445.280228,3795.500263,3442.020237,3428.940247
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",-0.073991829,8.691289863,0.686677267,0.40729687,0.998556814,690.5845 -> 369.1,CE,3754.420258,4120.480301,3746.980274,3497.420246,3707.920246,3616.380245,3551.800251,3687.04026,3561.400234,3522.540241,3859.080273
20:5 Cholesteryl ester,0.00261287,8.660888078,8.56E-04,0.976659371,0.998556814,688.5689 -> 369.1,CE,3742.220272,3793.820282,3444.380253,3515.500259,3544.820259,3642.780258,3701.140263,3653.840263,3541.240231,3591.520248,3609.320248
22:0 Campesteryl ester,-0.011509707,8.57739035,0.016580378,0.897543746,0.998556814,740.6941 -> 369.1,CE,3453.620239,3496.420254,3472.400238,3355.26025,3304.920212,3432.80024,3363.460247,3419.280254,3420.700249,3361.520218,3462.540241
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",0.07305927,8.71066473,0.669908171,0.413083625,0.998556814,726.6784 -> 369.1,CE,3640.500267,3616.260258,3712.62027,3764.960278,3571.080269,4199.600277,4050.700283,3641.520256,3813.460247,3611.420265,3564.500259
22:0 Sitosteryl ester,0.326713678,8.978385132,13.42785693,2.48E-04,0.00379715,754.7097 -> 369.1,CE,4371.200329,3570.140259,3634.760254,3710.280262,4587.240322,4439.020306,6033.540447,5022.36039,3892.380257,5618.82045,4688.020332
22:1 Campesteryl ester,0.012458407,8.584958057,0.01942812,0.88914609,0.998556814,738.6784 -> 369.1,CE,3319.040234,3398.280216,3474.140236,3388.160244,3412.360237,3562.660263,3469.78027,3481.180248,3331.780235,3347.180214,3553.580257
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",0.060734689,8.654700678,0.462487209,0.496463861,0.998556814,724.6628 -> 369.1,CE,3432.340244,3369.840252,3507.700249,3676.620258,3729.500278,3540.280251,3911.160278,3721.860275,3711.720272,3652.540241,3362.560234
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",0.008053041,8.55937073,0.008114083,0.928225068,0.998556814,750.6784 -> 369.1,CE,3351.880222,3430.700233,3285.700218,3377.42025,3334.80024,3253.32024,3439.460258,3370.420242,3438.060246,3425.360241,3367.460247
22:2 Campesteryl ester,0.00837772,8.553684183,0.008780012,0.925346106,0.998556814,736.6628 -> 369.1,CE,3374.660221,3307.360256,3348.840252,3332.26022,3320.460224,3345.820236,3314.920231,3436.920242,3338.160229,3397.100243,3412.340252
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",-0.029942838,8.555409272,0.112161166,0.737696968,0.998556814,748.6628 -> 369.1,CE,3425.38026,3528.800255,3338.280235,3314.360229,3325.680237,3285.580219,3304.480228,3325.16024,3354.420238,3365.440235,3405.040249
22:3 Campesteryl ester,0.008035849,8.582200138,0.008082619,0.928363989,0.998556814,734.6471 -> 369.1,CE,3367.460228,3450.000252,3396.940239,3359.200241,3421.580231,3453.440262,3374.080257,3430.640263,3434.720242,3449.920231,3526.800251
22:3 Stigmasteryl ester,0.032993345,8.567159279,0.136206404,0.712081872,0.998556814,746.6471 -> 369.1,CE,3265.22023,3458.060257,3441.160244,3353.500233,3161.600227,3426.740246,3327.520233,3539.380241,3444.700256,3378.280231,3481.680252
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",0.005245425,8.605525632,0.003445478,0.953192499,0.998556814,718.6158 -> 369.1,CE,3393.820236,3695.080269,3393.620228,3368.840221,3420.640236,3582.760254,3350.260242,3396.780247,3547.820251,3510.060238,3618.380245
22:5 Cholesteryl ester,-0.092738765,8.669924066,1.07814727,0.299112394,0.998556814,716.6002 -> 369.1,CE,4228.280304,3730.84026,3494.860241,3438.460236,3748.420265,3522.280262,3461.340256,3573.020252,3447.400234,3532.040241,3843.980267
22:6 Cholesteryl ester,-0.063714575,8.621439607,0.508454032,0.475808861,0.998556814,714.5845 -> 369.1,CE,3903.580288,3650.720261,3527.780235,3542.900257,3230.140247,3633.720253,3295.140228,3305.40023,3393.100239,3507.960236,3709.980267
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",0.01077187,8.601262543,0.01452647,0.90406664,0.998556814,752.6941 -> 369.1,CE,3543.38026,3424.860233,3437.980247,3385.440243,3303.660229,3262.500237,3472.060242,3612.680256,3486.640247,3442.040234,3788.000294
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",-0.117168505,9.210524362,1.736126534,0.18763037,0.974509291,388.3 -> 85.1,AC,7969.600536,4865.840336,4923.880352,4526.680302,4817.640324,5179.840351,5353.720413,5023.800377,4713.700333,4797.040329,6037.840439
3-hydroxyarachidonoylcarnitine,-0.098069847,8.933920945,1.21143448,0.271048213,0.998556814,464.3 -> 85.1,AC,4692.320335,4828.860348,4419.1203,4276.14032,4181.220306,4381.020325,4450.620338,4116.120327,4011.40028,4029.040302,4678.340355
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",0.014472002,8.975763144,0.026400727,0.87092551,0.998556814,472.4 -> 85.1,AC,4673.80035,4311.720287,4493.06031,4302.140331,4282.36031,4896.940346,4404.840294,4330.740311,4487.520313,4234.240273,5055.800346
"3-hydroxylinoleoylcarnitine,",-0.035896996,8.952344522,0.162334587,0.687016152,0.998556814,440.3 -> 85.1,AC,4243.34029,4481.020309,4847.400341,3924.060291,4414.920326,4034.600296,4650.360348,4678.600323,3856.280258,4209.940296,5330.140388
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",-0.044100497,9.533916136,0.247002747,0.619193487,0.998556814,414.3 -> 85.1,AC,7656.740543,6882.680473,6431.34045,6248.760422,5813.520386,6824.460522,7132.520485,5792.580421,6200.200451,6181.360435,7675.74049
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",-0.006931607,8.947609819,0.006053673,0.937982888,0.998556814,456.4 -> 85.1,AC,4223.940296,4343.620296,4378.240349,4344.820301,4489.920319,4535.960304,4135.860279,4545.020332,4492.560329,4037.560268,4986.720329
C12:0,-0.141616736,11.05087809,2.572622214,0.108727369,0.677177512,199.2 -> 199.2,FFA,19210.06133,17923.32127,19370.44133,20198.2015,16958.30118,17787.46136,17570.08126,15139.90108,17176.10118,17479.14126,29388.90206
C12:1,-0.01317428,10.7695707,0.022249828,0.881424413,0.998556814,197.2 -> 197.2,FFA,16508.86121,13940.12099,14912.82104,15176.3811,15857.98111,15644.8811,14684.16106,15255.5611,15263.16107,15104.44112,19157.06135
C14:0,-0.090237727,12.29451074,1.048440546,0.305866517,0.998556814,227.3 -> 227.3,FFA,48869.72337,44018.30312,42498.92299,46772.42318,39197.0827,42671.38309,42853.2431,40375.64284,40795.40292,41901.9829,63313.8246
C14:1,-0.025907668,12.65132021,0.086492605,0.768684355,0.998556814,225.2 -> 225.2,FFA,66230.92451,79146.28547,53011.76373,47121.18354,50398.28384,60971.62457,96871.56716,40901.12279,43183.0632,49395.70316,45819.96323
C15:0,0.00787035,12.48341508,0.007979506,0.928821178,0.998556814,241.3 -> 241.3,FFA,52592.30394,56711.30403,49139.4636,44371.20338,45728.02361,50037.60335,63375.16423,45013.66313,44255.36322,47878.92341,63594.04465
C15:1,0.217118826,13.42637014,6.073752984,0.013720513,0.133730453,239.3 -> 239.3,FFA,105598.0874,166608.0325,77641.12522,59918.74422,70678.82497,116685.3082,224185.0757,62993.3046,60100.24448,95445.24668,44880.00289
C16:0,-0.074055657,15.38010826,0.70773276,0.40019751,0.998556814,255.3 -> 255.3,FFA,419130.4293,378050.8647,419254.6313,409443.8909,361588.4236,325864.9018,341063.3834,373815.2872,357693.3259,494477.7524,315199.6245
C16:1,-0.060465534,12.18897332,0.470775207,0.492630753,0.998556814,253.3 -> 253.3,FFA,44039.44327,43872.88325,43811.30329,43326.64322,42293.34298,41274.68304,41206.52298,43956.94326,40690.72302,41940.46302,33059.62239
C17:0,-0.037547336,12.29342401,0.181561687,0.670034572,0.998556814,269.3 -> 269.3,FFA,46686.88323,45327.38327,44335.46312,46153.86317,43185.06296,43817.08296,41497.92296,46688.64305,41354.04284,47234.48335,47241.76341
C17:1,-0.049287131,11.32291226,0.312099427,0.576394741,0.998556814,267.3 -> 267.3,FFA,22690.36154,24858.4019,23099.78169,22240.86152,20894.98141,23617.56166,22963.58173,22814.82162,20852.04145,20050.58142,27678.6819
C18:0,-0.079432028,15.16136721,0.814179199,0.366887547,0.998556814,283.3 -> 283.3,FFA,377300.3062,331599.5222,367965.0062,350454.9045,317675.5018,255928.8582,277926.7191,321365.8809,313788.5231,486362.2358,206988.5141
C18:1,0.006535333,13.17427563,0.005506946,0.940844241,0.998556814,281.3 -> 281.3,FFA,83125.08591,93641.02667,88223.56625,80745.76585,79942.7858,79479.42545,89752.0264,85970.4859,89791.68608,83775.48598,55653.48396
C18:2,-0.178138828,11.5738647,4.077907006,0.043447445,0.339659452,279.3 -> 279.3,FFA,27403.76194,37840.30282,28256.22196,25502.70174,24129.48176,23865.92164,28008.4221,25372.38181,25304.34184,24274.58178,29753.9421
C18:3,-0.153493191,10.77244916,3.019265096,0.082280745,0.546475211,277.3 -> 277.3,FFA,16896.48116,16795.38131,15897.18117,16597.58113,15450.3811,14600.90104,15017.12113,15109.52107,14045.62104,14856.14108,16670.04114
C18:4,0.020566938,11.13278887,0.05431314,0.815721185,0.998556814,275.3 -> 275.3,FFA,21179.72149,20074.60155,18706.1413,18899.70128,19049.0813,19963.48143,22144.7815,20171.04147,19047.6413,18305.76132,23143.18163
C19:0,0.134886645,13.30300127,2.34526885,0.12566388,0.739692092,297.3 -> 297.3,FFA,110835.728,92098.8665,82458.42607,73955.6451,77564.10536,81563.82584,101663.1277,100796.8876,77263.0853,119709.8488,76482.38576
C20:0,0.168186637,13.86067809,3.646784651,0.056177567,0.409332657,311.3 -> 311.3,FFA,173431.8322,120981.3886,127780.6889,106071.6875,102726.3671,95958.62631,106142.4079,175983.272,111206.1073,221388.1163,121745.6481
C20:1,-0.102874877,11.45397774,1.360102792,0.243519668,0.998556814,309.3 -> 309.3,FFA,26117.9619,34404.34248,23178.16154,23652.06172,20843.90145,25747.76175,23814.3817,23391.96169,22274.16159,24486.32177,27866.84196
C20:3,0.058643039,12.10879041,0.442779566,0.50578392,0.998556814,305.3 -> 305.3,FFA,38141.16251,39040.7627,43300.64317,37717.28263,42122.00291,39192.10278,45155.52337,40854.88287,44302.4432,39701.46254,25357.76175
C20:4,-0.153986816,11.18117879,3.043871397,0.081042429,0.540643046,303.3 -> 303.3,FFA,22240.60148,22756.22176,23076.58159,20225.78149,20166.9015,19827.2014,21978.6416,19730.04137,19118.84134,17103.14124,22087.48162
C20:5,-0.058591803,11.45575583,0.441178022,0.506554422,0.998556814,301.3 -> 301.3,FFA,25773.34186,25627.48188,23173.2017,23656.52164,23126.30169,24760.88186,23698.72167,23373.16157,22457.20162,22608.96156,37488.1227
C22:0,0.00928124,12.73368885,0.011100541,0.916090865,0.998556814,339.3 -> 339.3,FFA,69634.92513,71167.62503,58519.38407,49851.70366,44897.6433,57062.80394,57864.78409,60560.16417,49072.52357,72104.50547,78538.2854
C22:1,-0.141073037,11.33115443,2.556030815,0.109874129,0.678687523,337.3 -> 337.3,FFA,24321.6417,30448.48219,21662.04157,21097.86152,20171.58143,22433.68163,21884.22157,20356.58139,19498.50131,22857.3416,28421.12199
C22:4,0.007579716,12.06006888,0.007395962,0.931466593,0.998556814,331.3 -> 331.3,FFA,33555.58247,38302.54266,41064.24279,36805.00261,38382.66269,35373.00233,38892.82268,38222.02268,39134.56256,37994.88276,42073.44288
C22:5,-0.077978532,11.38247767,0.78116089,0.376786333,0.998556814,329.3 -> 329.3,FFA,23972.10175,23233.00159,22781.92165,22411.92161,22304.46157,23591.82161,21484.38159,21941.46152,20959.06152,21035.96139,38282.74272
