lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,Control1,Control2,Control3,Control4,RAC1,RAC2,RAC3,RAC4,blank
PC (30:0),0.8287803668912279,12.845428285615332,96.03742727269382,1.1273204552563306e-22,1.6921080033397522e-19,706.5 -> 184.1,SM,47127.2836761461,57227.0839156752,42548.7833442764,42189.362892157,88763.1075400473,80268.3461800633,98583.0278739795,68516.3034096551,3239.9402198786
SM (d18:0/16:0),0.675848574708259,11.638646255554885,63.95785024920271,1.2710980339388906e-15,9.539590744711373e-13,705.6 -> 184.1,SM,21949.3216552614,26079.8219833406,19568.8611946134,19059.1213989225,38376.8024864118,34387.9628524747,36290.8423614428,29468.5225753862,3648.6202964786
TAG(52:3)_FA 18:1,-0.6840560857200986,8.385433643690806,62.53462373020963,2.618013298716695e-15,1.3098793204579198e-12,874.8 -> 575.8,TAG1,3825.4202232367,4605.7002944938,2814.8001899705,2824.6402015696,2180.8601608289,2303.0601654061,2173.8801727296,2098.0001373298,1123.8800888059
PC (30:2),0.6711320773540249,8.827510685376255,61.03108345032289,5.6180747988588844e-15,2.1081825682717964e-12,702.5 -> 184.1,SM,3088.3801994323,2945.4202270504,2881.4602165215,3048.8002166745,4874.1003532443,4279.4203300469,5670.9403381324,4244.3402824396,1514.6001129154
PC (30:1),0.6446651822693593,12.14313580120719,58.331539578127405,2.214650300118114e-14,6.648380200954578e-12,704.5 -> 184.1,SM,30868.062053675,34480.4827041694,31117.6419448984,27881.9416923521,52231.6845741151,46816.7627563644,54805.9838715067,40720.0837440508,5689.2204894951
TAG(50:4)_FA 18:1,-0.6488953937857613,7.658352339003487,54.42215811013739,1.6172892550707468e-13,4.0459186197686515e-11,846.8 -> 547.8,TAG1,1926.9201469417,2367.5201416011,1825.4801292408,2088.9801559443,1519.6800994871,1156.2200813295,1414.6401100167,1148.1200866696,1005.7800598145
SM (d16:1/18:1),0.6134620289898447,8.463868137549897,50.49345989130519,1.1956256942704337e-12,2.5637630958570297e-10,701.6 -> 184.1,SM,2101.7201461804,2629.7402000424,2095.5601387027,2547.7401771541,3730.4802742011,3394.5402297963,3837.1402931212,3384.700275422,1557.0001258847
PI (36:2),0.6014867469383839,8.64202054959876,48.85951803383972,2.7496781933398138e-12,5.159083710253826e-10,880.5645 -> 603.5645,PI,2564.0202102661,2896.0601921075,2654.400211334,2686.3001937865,4191.5402679436,4856.2003517141,4206.2802696246,3149.280200957,1417.2801017759
PE (20:1),0.5955383750094997,8.296015793512826,47.32904122691416,6.001641081730443e-12,1.0009403626308217e-9,508.3399 -> 367.3399,PE,2452.8802032468,1705.2401237488,2318.0801658624,1929.6601486202,3322.4001960756,2547.8401908887,4963.0803413334,1905.0201377868,1372.9400901798
Lyso_PC(18:1),-0.549257533176066,9.151770618454993,41.329205283987136,1.286325962384359e-10,1.9307752695389228e-8,522.3481 -> 184.1,SM,6227.8204917934,5823.2604598986,6111.1005516006,5052.9404373169,3558.8202438352,3573.4002227794,5155.8604011538,3588.7002410898,1661.2801017767
PC (32:3),0.5408824138650077,9.620427991593669,40.438197190630355,2.029346545643844e-10,2.7691356045558273e-8,728.5 -> 184.1,SM,6281.2203712443,6276.020401005,4578.9403457622,5347.3403701764,9322.0005569414,8024.6804771342,8709.8605880729,6689.2005691436,1233.040081024
