lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,Control1,Control2,Control3,Control4,RAC1,RAC2,RAC3,RAC4,blank
TAG(50:3)_FA 18:1,-0.5492839633297096,8.080822772434317,39.97795991747873,2.568446252848165e-10,3.21269818793758e-8,848.8 -> 549.8,TAG1,2955.1602478038,3089.0402107237,2359.3201713561,2470.04019165,1439.0801010121,2105.4801368717,1795.2201309209,2084.3801651007,1074.1400794981
TAG(48:2)_FA 16:1,-0.5452713910654524,7.675839843547101,38.57617664373703,5.265776354534044e-10,6.079946390888923e-8,820.8 -> 549.8,TAG1,1791.1401100164,2958.2801856996,1763.6201210029,1554.5201148991,1412.840114593,1300.7200889589,1178.3800964358,1628.1401176454,1038.300075531
TAG(54:3)_FA 18:1,-0.5290989896936525,8.641166772079815,37.87182753594465,7.554836449966523e-10,8.099863936714107e-8,902.8 -> 603.8,TAG1,4225.2603073125,5049.7603416438,3144.4402275089,3614.6402740464,2434.0201950082,3168.5002441417,2566.3801841745,2933.8801918015,1450.540115356
Cer(d18:2/16:0),0.5186101980242792,8.783405253081142,36.46988260066499,1.5504347924419416e-9,1.5514684156369027e-7,536.5 -> 262.4,cer,3264.4402160646,2690.5201797488,2760.4001998897,3009.0602226257,3499.280231476,3895.6202926651,5794.2604179383,3625.9402656528,2979.000202179
PS (14:1),-0.49935443677985697,9.577629393384353,34.43696752153991,4.402809542976135e-9,4.130385702504487e-7,468.2358 -> 283.2358,PS,5160.0403633119,5862.3204154953,11467.2408790572,7336.320522307,8061.5005035421,3027.480205537,4036.5402717595,5985.5405158991,3759.5202178971
PI (34:2),0.5097189100553441,7.690439442900371,33.720702607609006,6.362000341073719e-9,5.617272065853913e-7,852.5332 -> 575.5332,PI,1520.920108796,1582.900100708,1222.5800857543,1237.4600830081,1786.5801239018,2374.120166778,1848.6801300053,1911.6001281738,1280.4600906376
TAG(50:3)_FA 16:1,-0.4944010395408144,7.691800201003698,31.764919114558637,1.7400746643996092e-8,1.4510289284798963e-6,848.8 -> 577.8,TAG1,1885.1201324461,2607.200157164,1935.7201385504,1548.6201133724,1428.8400955206,1447.2801094054,1368.5200958255,1415.0400886542,1150.9200859065
PC (34:3),0.4618706795592763,11.674418199400854,30.021264195812044,4.273343881875232e-8,3.3759416666814332e-6,756.6 -> 184.1,SM,24533.0213279736,27992.6817245543,22987.6416435309,22323.5812530547,35197.6621971164,31557.2018356383,37249.622661573,30810.3821945102,1927.4001655575
Lyso_PS(15:1),0.46203152164962363,8.83653980775459,29.061672314147103,7.011040333192703e-8,5.261785770061124e-6,482.2441 -> 297.2441,PS,3798.1802406298,2081.7601318361,3212.7002525347,3788.5402755729,3278.4202308664,4843.1802864083,4059.1002883916,5554.8003845192,2069.9201507581
SM (d18:1/16:0),0.4331969235020148,12.873684943404331,26.498373486793803,2.6376009842983096e-7,1.8852567035389348e-5,703.6 -> 184.1,SM,53624.9643935992,60121.884288805,53275.8242531167,56000.2843055925,85894.2462767877,76521.8449172308,81840.2857933106,57260.3843535967,14029.7012100168
TAG(52:2)_FA 16:0,-0.434950182424911,7.8075062252236505,24.77885689043725,6.429891156583115e-7,4.386939375468753e-5,876.8 -> 603.8,TAG1,2060.0201759345,2591.6001930225,2083.3001518252,1793.1801147467,1410.4801025387,1997.3201293936,1284.0200843813,1611.980121612,1188.880084992
PC (36:2),0.4133707785529255,14.259614048569762,24.170750634661836,8.81611027817484e-7,5.753470229365407e-5,786.6 -> 184.1,SM,138922.829021575,179798.370391946,153196.290511998,127503.028209632,208015.431350779,187114.734851715,238647.079387768,165099.553993194,10016.2407684346
PC (34:2),0.40909486454814487,14.34137415469871,23.67609884206814,1.1398946677058039e-6,7.129091234276715e-5,758.6 -> 184.1,SM,159040.511260987,186963.213104268,151030.351631235,139625.068443281,225542.011726314,197759.316871569,245258.735462214,177488.913555113,7705.2405929553
PCo(38:5),-0.4085031800612559,9.216751616942945,22.964612775735066,1.6501108659217408e-6,9.907265638994132e-5,794.6 -> 184.1,SM,5713.7404518103,6092.4604759231,6892.100444797,4865.0003204349,4486.2203369141,4358.1603126528,5638.860412593,3293.9602622966,1321.2001075746
Lyso_PS(14:1),-0.3945020790951768,9.53058890249019,21.51670417653088,3.507599686533094e-6,2.0025670680805425e-4,468.2284 -> 283.2284,PS,4554.1403579709,5443.9403648379,9851.6606903076,7977.5805320713,7742.9006347626,3516.3801956169,3651.8202438345,6261.7404289259,3924.800277711
TAG(52:3)_FA 16:1,-0.4072136450978221,7.587825082500134,21.465660843488802,3.60221924304961e-6,2.0025670680805425e-4,874.8 -> 603.8,TAG1,1738.3801269534,2248.4001731857,1597.3801231375,1661.6201210021,1503.9201164238,1342.9001083367,1426.7401046757,1192.3000831602,1049.2600708009
PE (38:2),0.3916532796426523,9.995945323148382,21.367099749745222,3.7922321006358027e-6,2.032907279662264e-4,772.5852 -> 631.5852,PE,7444.7405662534,8400.0405464088,7541.7005996689,7480.9604072624,11527.1407775844,10056.0407142648,9771.1207466102,9163.4004707247,1844.6401214597
TAG(52:4)_FA 18:1,-0.404882147007522,7.422524627475781,20.986345247378747,4.625684536660939e-6,2.394190513630369e-4,872.8 -> 573.8,TAG1,1425.0401077262,1836.9601097097,1598.9601249696,1545.4201049814,1173.9000778203,1274.000095368,1100.7000846858,1287.5601043694,1018.4600791931
SM (d16:1/24:0),0.38276281997707834,13.060732146953496,20.71100950208222,5.340804328112417e-6,2.672182432165579e-4,787.7 -> 184.1,SM,63340.7850113029,77916.6254844519,64626.5842094388,58076.0644188761,89959.6063422949,80345.3867301987,101038.766494743,73051.2047728773,5034.8803825333
Lyso_PC(10:0),0.38766072636011373,7.85852851489458,19.76202881175508,8.7707936443932e-6,4.24676169684974e-4,412.2386 -> 184.1,SM,1861.2201499935,1628.9601097115,1675.9201202391,1526.5401000969,2933.8601989751,1630.7001152044,2418.0601844789,1788.1401290883,1148.0000801088
PC (32:0),0.35887096290325265,14.749647393377739,18.237221894195564,1.9502993299786085e-5,9.14812279468091e-4,734.6 -> 184.1,SM,214223.156539906,260651.400062482,196786.633544876,190529.393501231,287862.502281069,261647.793815537,327106.924835174,229872.216186443,9339.5008163478
Lyso_PC(16:1),-0.36142591526127504,9.025446669547811,17.90442126616424,2.322808676956631e-5,0.0010565260073066372,494.3168 -> 184.1,SM,4775.3402862544,4965.6203765877,4931.1603393562,5160.7003440846,3765.6402626037,3329.34022522,4458.7203254712,3888.6802940363,2039.920131684
PE (34:0),0.3617028757736003,8.631224698962468,17.76025339497683,2.5056342818948754e-5,0.0011061638403306495,720.5539 -> 579.5539,PE,2712.2801818848,2886.6402091996,3329.8602409365,2978.6802062989,3957.7603416458,3593.4802322398,4358.6802787781,3403.2602119447,1186.8800888059
PCo(40:5),-0.36061585396483486,8.131858945639774,17.32779699659616,3.145518583773793e-5,0.0013489781126412752,822.6 -> 184.1,SM,2221.2801704401,2846.380187988,2719.1801719661,2769.2202224736,2027.0801429744,2088.7001724244,2055.1601257312,2049.7801437378,1295.2601127625
SM (d18:0/14:0),0.3612607839354593,7.9540492998559165,17.25497369629901,3.268408405589271e-5,0.001362744726885971,677.6 -> 184.1,SM,1590.5201110848,1705.9401245113,2193.280151368,1774.8401260377,2089.2601242071,2560.6001625068,2664.3002243038,2023.9601173394,1141.8400802612
PCo(36:0),0.35901155852617195,7.912474054347338,16.99178861579921,3.754182892146615e-5,0.0014612521561495739,776.6 -> 184.1,SM,1776.3201293938,1941.060115815,1567.0001068116,1682.0800971993,2627.0001716603,1923.9401397706,2337.0001678475,2052.9201164248,1329.460075378
PI (40:3),0.3636160278050195,7.495631666295084,17.02110309996591,3.6966670966882333e-5,0.0014612521561495739,934.6115 -> 657.6115,PI,1530.3601150512,1167.1600837708,1313.4600944526,1161.0600891114,1667.4801330565,1932.9801254276,1524.2601127615,1534.4400978081,1067.6400756837
SM (d18:1/20:0),0.3463239167151798,13.347254537635132,16.970395151852788,3.7967244563513244e-5,0.0014612521561495739,759.6 -> 184.1,SM,82766.8262023826,94420.4269562602,76020.5846977299,74061.1848144979,113855.608100909,96429.5480079253,119203.387676244,86940.2468070585,4516.5203933687
SM (d18:2/24:1),0.34557788523687416,10.706335081020976,16.754028131828697,4.255183180082124e-5,0.001596757488325817,811.7 -> 184.1,SM,12014.240745546,15258.3609542875,12653.4611053463,11509.8407516421,17859.6014289842,15054.3010711684,18803.9815559373,13688.5810394332,3030.4802017206
Lyso_PC(16:0),-0.34709716626278875,9.424917478255562,16.645512651511005,4.505677377958605e-5,0.001649517498613626,496.3325 -> 184.1,SM,6393.1004600533,6650.7003860471,6686.8204498199,6163.4204216042,5119.1203575199,4901.3003807017,5723.6804275507,4625.7202949509,2962.4801979067
PC (32:1),0.3394523361554582,15.108745294115696,16.32356936923403,5.3395682834649175e-5,0.0018638818589490327,732.6 -> 184.1,SM,280794.994514485,327852.324676365,262986.258735692,243890.734237811,374883.849811451,331894.681125549,406800.270294199,298909.556484195,8971.8206138537
SM (d16:1/22:1),0.34099216864432647,10.99581227447028,16.345422721913152,5.278349179171609e-5,0.0018638818589490327,757.6 -> 184.1,SM,17290.4210510115,17428.7013473614,15051.0012550428,14189.2208557128,21689.0014533898,18596.3812370319,24559.3812408412,16266.6411323531,1505.5001029967
SM (d18:0/18:0),0.33778043090212634,13.74363784786944,16.151554196408142,5.8470571651809156e-5,0.0019946438193037624,733.6 -> 184.1,SM,112701.986358698,126733.209922818,98761.487384732,94842.9059028869,143043.13375485,129533.106578874,157367.471332418,117714.629177057,4077.9803314163
PC (32:2),0.33730445875221643,12.70797539477875,16.085685423184515,6.0539922764877825e-5,0.002019342757112925,730.5 -> 184.1,SM,54315.4034119635,60757.8246231782,49920.0633888279,46067.8043441965,73618.165111496,62061.5443381222,77531.96678162,53720.7637138253,2428.0601577759
PCo(40:4),-0.34003660983209233,8.428641948810656,15.598857184932161,7.830189942370876e-5,0.002555025022499714,824.6 -> 184.1,SM,2951.820217132,3848.6002845762,3316.6602249153,3023.4602203369,2376.10017395,2117.34015274,3038.9402046198,2843.9602012641,1156.1800804133
TAG(48:1)_FA 18:1,-0.34606121398089595,7.4796353927172055,15.41179115550295,8.644719585645397e-5,0.00276079236128803,822.8 -> 523.8,TAG1,1431.9001007082,2315.7801818846,1507.3401069636,1319.0000877384,1344.8600997936,1280.700099945,1349.1601066585,1195.7600898745,1020.4800720214
Cer(d18:1/16:0),0.33017592847537597,11.664485090090752,15.367862147053259,8.84804711403208e-5,0.0027668580662837815,538.5 -> 264.3,cer,20459.7014961192,27504.4617500233,23067.7215118393,24224.5015449419,18460.0814094518,26611.9220771775,52524.4239692732,22277.8814277609,17445.5212783872
Cer(d18:0/20:0(2OH)),0.3275699668826067,9.016160798413777,14.70140883824542,1.2595228615704498e-4,0.0038582526841168265,612.6 -> 266.4,cer,4024.2003021227,2893.4202003473,3975.0002593997,4324.6602897629,5900.6603813153,5305.5203895555,3140.5402107238,4763.1003532403,2718.3801879883
TAG(50:2)_FA 18:1,-0.33452166294955,7.653915989461265,14.56584942359251,1.3534534824591625e-4,0.004063067354342405,850.8 -> 551.8,TAG1,1845.7801284796,2325.0001449586,1467.6401100157,1817.3601493828,1270.9400978091,1455.7800979614,1470.5200881959,1709.4201240532,1037.6600761413
PE (34:1),0.31959915252839055,11.380289046710864,14.389386681292109,1.4863770694248946e-4,0.004374611727856405,718.5383 -> 577.5383,PE,21219.3414573642,20269.0215225295,21591.6815185631,20267.6012992726,24890.2819900417,26652.9023208642,29631.7022171056,22925.621730795,3762.660327911
TAG(50:2)_FA 16:0,-0.32561017752300353,8.555364858939758,14.351020531865462,1.5169744632477218e-4,0.004378805133336212,850.8 -> 577.8,TAG1,3049.7401657094,3216.2602195749,3222.1802673342,4489.4202957166,3380.0202331537,3056.9602317818,2094.9601402296,2627.6801948556,1786.7401199352
PCo(32:0),0.3136814338609483,11.084169399216984,13.843164020540442,1.9871833057294005e-4,0.0055515748029832815,720.6 -> 184.1,SM,15722.6808052016,20292.021316528,16314.7611007747,16029.9413909996,23507.5015296862,18722.6412925761,26125.6617050075,16696.4212760839,2431.0401382443
PG (34:1),0.32489879255788356,7.7275193234784965,13.799206489447453,2.0342212802403764e-4,0.0055515748029832815,766.5328 -> 577.5328,PG,1492.0600929259,1890.3801498414,1319.0600814827,1547.7001152032,1734.5601272578,1998.7801551818,2131.1601333624,1960.9001426692,1083.8800888059
TAG(48:2)_FA 16:0,-0.3283875586010566,7.421354937248421,13.824951688408998,2.0065374993087913e-4,0.0055515748029832815,820.8 -> 547.8,TAG1,1256.5200920097,2181.4601593014,1419.1601104734,1402.38010025,1164.5000877378,1329.6000785833,1211.6400794985,1275.0800895693,1014.6200714111
PEo (34:1),0.30759320630311293,8.246065687431393,12.677566976382515,0.00037006880245150085,0.009919165579994692,704.559 -> 563.559,PE,2389.820152282,1933.3601379406,2339.7001457216,2451.0601463315,3097.8402709958,2418.6001892099,3376.6202011072,2403.4401588433,1324.260093689
TAG(48:1)_FA 16:0,-0.3104546093791143,7.762325802913556,12.628878173799599,3.798330512072243e-4,0.010002270348456906,822.8 -> 549.8,TAG1,1415.2000999452,3032.1202125536,1679.2201309206,1890.8001327516,1659.7401237489,1358.0401000975,1357.360095978,2076.5401420582,1061.2800712585
SM (d18:2/18:1),0.3076202607389121,7.869983045920476,12.47092272682462,4.1333586443267624e-4,0.010696847112300812,727.6 -> 184.1,SM,1750.100120544,2061.0801696778,1465.8801078805,1711.2201118462,2403.9601554855,2056.0401458734,2264.5201721197,1929.1601295475,1100.1800765995
PC (38:0),-0.30175843478774506,8.34854223652785,12.259873073624838,4.628029869169782e-4,0.011774021751904819,818.7 -> 184.1,SM,2985.9801902772,3619.1203002939,3197.4802322393,2513.100166321,2492.8401794436,2522.4401779171,3093.6402816769,1892.0201339712,1038.0000724793
PC (36:3),0.2940410613594566,12.575978553037102,12.227667423068432,4.708602803589405e-4,0.011779354680312827,784.6 -> 184.1,SM,48112.0434798661,56862.8644943732,48262.8427352904,42127.5432434114,65029.6641464178,55860.8448258332,70450.3859710037,48420.1634864743,3258.0202445983
TAG(54:5)_FA 18:1,-0.30790908589169574,7.343209826110061,12.078471500013837,5.100739819402051e-4,0.012551164703151606,898.8 -> 599.8,TAG1,1338.2800941475,1954.7801246642,1338.320079803,1184.2800865172,1257.140083313,1228.48008728,1013.5200729372,1196.0000877376,1092.860084534
PEo (34:2),0.2984688378524063,8.327570824068111,11.981816113283354,5.37222013671094e-4,0.01300597165355342,702.5433 -> 561.5433,PE,2547.9401855462,2749.2601776106,2322.3001518256,2183.9001617428,2645.5201950083,3059.2402076716,3246.6802635203,3102.580215454,1140.5400848387
Cer(t18:0/24:0(2OH)),0.29331026106980396,9.149848646226388,11.827834581774269,5.835181507417166e-4,0.013839888225025666,684.7 -> 282.4,cer,3976.6802787776,3400.5602416981,5344.9803810111,4210.7203216547,6649.1404495237,4419.7003173815,3930.4202842715,5758.300449373,2953.7002372749
PC (38:3),0.2892266451947421,11.17578249526518,11.778060552907007,5.993289371263613e-4,0.013839888225025666,812.6 -> 184.1,SM,17699.0010910205,22082.0016594039,18474.3810844328,15358.4011001655,23471.0018158012,21142.6619987629,27999.9016151397,17431.3613090479,2402.7201538085
TAG(50:3)_FA 16:0,-0.2995531366115126,7.8314886556993715,11.804145491027128,5.909898053368492e-4,0.013839888225025666,848.8 -> 575.8,TAG1,2060.060161591,2737.7801818855,1669.3001174917,1937.2801284785,1414.7000846859,2000.4401397699,1666.0401344301,1742.1401138297,1067.4800758364
TAG(48:3)_FA 16:1,-0.3023412880623707,7.291799214758906,11.608996739335943,6.563354794197925e-4,0.014926659918319825,818.8 -> 547.8,TAG1,1216.5400848385,1757.0201072695,1455.2801094065,1195.8000946043,1166.44008255,1087.76007843,1188.3600769037,1117.7000656127,1013.4800758362
PI (34:1),0.30196594434467816,7.2768084879867585,11.555178833275583,6.756080962528527e-4,0.014980700429763608,854.5489 -> 577.5489,PI,1025.1800727843,1225.1800804144,1157.7600784305,1059.1400680544,1395.9400939944,1427.120090484,1485.5201072687,1201.7400970461,1102.560081482
TAG(48:1)_FA 16:1,-0.30110813803048175,7.337087614843033,11.546764379540928,6.786726377241341e-4,0.014980700429763608,822.8 -> 551.8,TAG1,1136.5000724791,1919.4201393131,1451.5601005567,1270.900093079,1156.3200721745,1223.8400726321,1058.6400794982,1246.860099793,1089.5800743101
PE (32:0),0.29317687629872974,7.856657560828791,11.313082395665045,7.696290266940783e-4,0.016742219841562486,692.5226 -> 551.5226,PE,1714.560134888,1932.7401123065,1628.6401138314,1607.9201087958,2143.56016922,2075.2801170346,2279.8601760866,1939.6801376341,1258.3800926211
TAG(52:2)_FA 18:1,-0.28722314071508787,8.667222356884347,11.221964370199835,8.083488734745546e-4,0.01733330941550438,876.8 -> 577.8,TAG1,3848.1802635206,4771.4803810112,3446.160274506,3245.6002578736,3030.0602226262,3950.9003410345,2655.3601608278,2907.6001853943,1265.5800857541
PC (38:4),0.28117002053243295,11.317720734598698,11.139220804385822,8.452138796479553e-4,0.017868535681008182,810.6 -> 184.1,SM,20434.5415802008,22887.4813461443,19361.7614517241,18376.4611778194,27198.7019233831,22833.9216919002,30004.7219963058,18596.7614898719,3510.8202400198
TAG(52:3)_FA 16:0,-0.2869206763849179,7.40299326277545,10.54718161976396,0.0011636539000614413,0.024258951444336437,874.8 -> 601.8,TAG1,1669.8801193243,1741.7001152043,1410.4001045224,1273.280071259,1231.0400848391,1422.8200798035,1056.5400695801,1284.0400886533,1005.5000724792
PC (36:6),0.2851153599111243,7.34181214089457,10.356685321099611,0.0012900663495072177,0.02587893042662104,778.5 -> 184.1,SM,1219.1800804135,1144.9600677495,1130.6800804137,1228.1800918582,1234.8000831609,1469.340084076,1480.4001007079,1569.3001098624,1108.58008194
PCo(36:1),0.2727546175914265,9.609848623852438,10.327923257233584,0.0013103255912213184,0.02587893042662104,774.6 -> 184.1,SM,6207.5203933726,6551.6805267276,5842.6804313645,6074.2204093944,8477.1405715883,6228.500545504,8754.6006469667,6383.8605194123,1517.2201118468
PE (32:1),0.27485481352241925,9.007110999799576,10.370597261960574,0.0012803811948834962,0.02587893042662104,690.507 -> 549.507,PE,4253.0003089905,3644.5602493283,4642.580337524,3588.8802108751,4969.2603721632,5159.880329132,5271.460357668,4135.0403442376,1210.9800987242
PI (36:1),0.28335231041612496,7.493415858699156,10.341901646326788,0.001300439670000823,0.02587893042662104,882.5802 -> 605.5802,PI,1264.5201034548,1388.3600959778,1196.260082245,1443.9001121516,1607.5001220707,1714.6601295456,1461.0801086428,1657.8401298525,1142.4000854493
PE (38:6),0.27276566794434476,8.349104452077079,10.018687318098713,0.0015495987017240351,0.030207112354386712,764.5226 -> 623.5226,PE,2045.8801498407,3004.6802139279,1963.160156251,3046.7801856999,3027.4202041633,2594.6202125536,3613.740257263,2919.8002204893,1138.5800743103
PC (36:1),0.2658777595624422,11.903691039026615,9.984229241560142,0.0015788662921656827,0.030383055186419098,788.6 -> 184.1,SM,29507.0020675674,37523.2224044775,28941.1821517944,27000.4622726387,38938.2623634307,35134.8022651638,41692.8431739781,32162.182487506,4080.72026825
PC (34:0),0.26382081628410103,12.50560495557176,9.845435494748227,0.001702536806143182,0.032348199316720457,762.6 -> 184.1,SM,46330.7235946582,54521.3249817619,46242.3636512646,41272.8624534679,57254.9630890547,53670.3028831387,67692.8251685977,47711.303268434,2767.580219268
PE (36:8),0.2701529761508023,8.04228586119216,9.700472695793414,0.0018422061800169728,0.034564393452568454,732.46 -> 591.46,PE,1856.0601196294,2153.0801773085,2131.3401641835,1852.0201301575,2534.6401596064,2208.8601646412,2891.6401786792,2012.2801284794,1230.5201034547
SM (d18:1/24:0),0.26194400798476564,10.069233693634942,9.581753499686252,0.0019652062500369544,0.0362929610072952,815.7 -> 184.1,SM,7012.4404029798,9578.7206535202,9417.9006957928,7954.2004966674,10955.6806716917,10288.8608817927,11094.1408195518,8415.1806449823,2336.7601280227
TAG(50:4)_FA 16:1,-0.27040178654030383,7.718392337258344,9.565489354639315,0.001982693406128052,0.0362929610072952,846.8 -> 575.8,TAG1,1732.7801017766,2146.1401596078,2023.2601318358,1789.3801231391,1652.9801292413,1600.8401145944,1575.980102539,1547.5201072692,997.2200698853
SM (d18:1/26:0),0.27208795482493087,7.422461700897591,9.489993730275344,0.002065955268982605,0.037361432033046864,843.7 -> 184.1,SM,1308.9400939933,1250.720062255,1067.9800720214,1410.8200721745,1508.4801177972,1662.6201171885,1633.4201240538,1285.0001029962,1132.5000839233
PCo(40:6),-0.26541816277550573,7.948674813290109,9.330383285562847,0.002253852067261586,0.0402741899161862,820.6 -> 184.1,SM,2039.8001594545,2545.3801765446,2213.2001419062,2305.7001914966,2103.520137787,1799.0401229874,2040.4601593014,1636.1601181021,1003.0800628663
PE (38:3),0.2563049018776485,11.336035697956484,9.259510056728109,0.002342756867558823,0.041370330096538746,770.5696 -> 629.5696,PE,22762.7818145724,20498.9011879046,20876.2615966754,18839.1811218221,26708.9617233243,24493.2215919635,27460.4221229534,20566.3017349214,3272.8002281199
TAG(52:3)_FA 18:2,-0.2574110864240434,7.517134380110687,8.556683784179139,0.00344255945337705,0.060084671389755255,874.8 -> 577.8,TAG2,1666.6001205445,1803.0201454166,1399.1800956725,1676.5201225276,1234.2600708007,1513.7000999446,1387.4001121518,1340.0800819394,1073.2000770566
Lyso_PC(20:1),0.2569219782451686,7.293064967590597,8.384420576853298,0.003784508378034838,0.06529364454517576,550.3794 -> 184.1,SM,1125.2800750732,1346.3001060487,1050.240077973,1095.3200721737,1531.9001121512,1023.7400817876,1629.3001060491,1334.5801010124,1070.68006897
Cer(t18:0/20:0(2OH)),0.24134771154567983,8.89922571367128,7.966249502564054,0.004765758141703582,0.08093048893621738,628.6 -> 282.4,cer,3390.9802703852,2865.0601997369,4516.3803253195,3702.760261536,5388.2203750608,3428.7402496334,3653.540233613,4649.6402854928,2564.4401817322
PE (20:2),0.24853240353852088,7.517410834395881,7.953790552703291,0.004798676559176113,0.08093048893621738,506.3242 -> 365.3242,PE,1388.6601028443,1307.740093231,1427.0801162712,1191.4800834644,1638.1001167296,1396.5001029971,1882.040153504,1403.5000953676,1454.2201080325
PEo (36:2),0.23992594725312208,8.95018519938069,7.8954725151433305,0.0049558689641183125,0.08265288127935097,730.5746 -> 589.5746,PE,3552.0402145377,4591.3002548209,3710.5202445992,3878.1002998347,4743.0003395096,4776.6202850338,5358.2004013016,3714.8602752684,1138.5000724793
PE (34:2),0.23572467437289857,10.782647692279037,7.810098706227777,0.005195506639779547,0.0856973128165835,716.5226 -> 575.5226,PE,14465.0408935511,15189.0612220726,14883.9810676606,12353.5608291493,16966.0011711221,16631.0411071866,18564.801303859,14871.5809135468,2439.7601585378
SM (d16:1/24:1),0.2348235718318141,11.834443589710812,7.789047087318478,0.005256391180920296,0.08575916481044961,785.6 -> 184.1,SM,29133.1818428128,34797.5623245259,28233.9219131339,26812.1818428046,38890.5428848271,34487.7828254602,38057.2025642515,28688.781524652,3037.2602424613
PE (36:3),0.2344362146607361,10.354407764550979,7.6994584989037325,0.005523739448203688,0.08915196679305093,742.5383 -> 601.5383,PE,10370.3405571021,10189.1607971192,10869.7006645339,10694.8407096738,11492.4808082569,13639.8810234109,14310.2009124766,10162.7406654269,2164.0801467895
PCo(38:6),-0.2381467873920997,8.459424006193172,7.667697093742959,0.0056218162491330605,0.08976964031860345,792.6 -> 184.1,SM,3598.9802856439,3538.3002929686,3320.2602386473,2480.8801536552,3062.24023056,2439.0801582355,3047.3802185068,2430.1001777658,1292.280094147
PCo(34:1),0.23221112965812807,11.933730850186052,7.619279301090623,0.005774756149842582,0.09124114716751279,746.6 -> 184.1,SM,31754.9828224246,36379.8825149551,30485.4221229479,29283.0617599302,42085.1623496807,34562.7825393757,41582.5427246112,32132.5222854483,2548.8801803597
PEo (40:5),-0.2319077785299341,8.70525443707262,7.328633590600614,0.006786462640892116,0.10610917108311527,780.5903 -> 639.5903,PE,4091.780254364,3930.100307464,3792.0002861029,3642.7602462766,3221.1402282706,4025.5402984608,3467.0002899164,2462.5801811225,1271.8800888066
PS (38:3),0.22868527595701096,9.185705046507366,7.206504486854271,0.007263983077488157,0.11240452164236829,814.5594 -> 629.5594,PS,4314.5203437798,5329.8803291372,4231.480308533,4407.6603698735,5696.2804222169,5730.5003776553,5924.1403274502,4093.4002685542,2009.7601737978
