lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5,blank,solvent_blank_media
1_L-2-Aminobutyric acid,0.6942700120573456,14.133493571993725,36.975333482329766,1.196331589514338e-9,8.577697496817803e-7,104.1 -> 58.1,POS1,69806.0245513943,46210.4023475649,51600.6434936655,77697.0264892865,70036.8853530854,111948.388221756,87043.9867820272,85376.3252792301,141411.630405328,86915.2272872853,123677.368789744,3086.1202278147
1_Valine,0.6519287826657805,15.526372011332992,32.655932271453665,1.1000316180112266e-8,3.943613350570247e-6,118.1 -> 72.1,POS2,170907.07128908,127510.74969477,155945.57116696,183294.212844792,240145.39672859,318408.12841809,232934.41699215,180391.99218742,358430.90283196,295419.35888678,235538.57690441,10328.5806961059
2_4-Hydroxy-L-proline,0.6323612997745017,15.261909030715971,30.738343780384465,2.952722186719875e-8,7.057006026260502e-6,132.1 -> 86,POS2,140226.948120125,108047.868957445,127585.16955577,153654.31323246,201434.29174811,259642.65649398,189515.81225583,153849.58959966,293054.92041024,242169.69775387,211317.05371091,6133.3803939836
2_L-Isoleucine,0.6052240239597377,14.259865624424124,28.16535848112295,1.1138031232900487e-7,1.4129830195583389e-5,132.1 -> 69.1,POS2,74340.565795918,56559.983856179,62318.184478747,72507.324645989,101888.185546933,130546.69030759,88210.905578618,76854.205841111,146962.71032719,119443.327636752,109142.028259234,3984.1202850345
3_L-Isoleucine,0.6096004267549819,14.730442954918406,28.576762081614635,9.00564870702564e-8,1.4129830195583389e-5,132.1 -> 44,POS2,95211.725646904,75538.0251465,86170.266906751,113027.548034651,137726.1298828,180025.43139656,128010.42822268,106066.68774411,201588.73413085,162399.63085936,153717.23254391,7064.3405036902
4_D(-)-hydroxy butyric acid,0.6064050933842516,10.652907261191944,28.049670251519913,1.1824125686680661e-7,1.4129830195583389e-5,105.1 -> 45,POS2,6995.9604187021,5806.6204414361,4471.7803192131,6077.1004447942,6411.1004486081,10377.5807418776,7489.7405471794,7359.3805313102,12254.0407447812,8097.1206512418,9857.5407485983,1419.2200927732
3_L-Leucine,0.5984327962345753,13.873831505265299,27.535319940847174,1.542517048776579e-7,1.5799781771040104e-5,132.1 -> 43.1,POS2,53924.743957525,45101.703643789,48926.882781993,60986.323852534,73498.485290535,94450.7468262,71745.604797365,61196.764892556,110357.98840336,91930.82556153,82729.746154775,4444.4403266913
1_L-Isoleucine; 1_L-Leucine,0.5898526477453296,16.67304066504624,26.77791529912415,2.2823078758390028e-7,2.0455184337207062e-5,132.1 -> 86.1,POS2,381179.32482928,290254.238342439,356986.16113281,421378.46960465,519154.05688474,697837.10498043,497650.59350589,385742.46520995,758733.55126989,637128.24731465,586669.78442354,15208.0009536755
4_Histidine,0.5856985965138264,10.702405353880238,26.20210788930291,3.074867056436158e-7,2.4496440882941392e-5,156.1 -> 110.1,POS2,4653.0603179961,4438.2203254719,4710.9603767387,4784.1403923035,14725.7008667,9676.6008110029,7325.9605140764,4473.8202705382,10753.2008743304,17976.3012962316,4750.1202888485,3341.0802345264
1_Trazodone,0.5752178449941313,9.741776754129383,25.071340122403356,5.524792183097886e-7,3.2665910020860005e-5,372.2 -> 176.1,POS2,3183.4002151466,2697.160190583,2974.3602066043,3515.3402328506,3842.4002418527,5348.400329589,3479.400276185,3587.2402496342,7165.5204620338,4711.8803215052,4814.7203979473,1430.5001144414
2_Alanine,-0.5741812974005935,9.961857980608603,25.05496123920608,5.571920704601478e-7,3.2665910020860005e-5,90 -> 72,POS1,11752.3809051535,4049.4003067018,6694.3005065902,3558.6202659597,3467.7202377319,2762.3001708979,5238.860351562,3514.1402702313,4560.8003082276,3888.2002754203,3099.440196991,12665.9008254995
2_L-Leucine,0.5691644038786102,15.030725148512277,24.93725095090925,5.922689404061089e-7,3.2665910020860005e-5,132.1 -> 44.1,POS2,119184.049499533,95676.967346147,112743.028259324,132864.548705953,176090.81213379,216445.69677738,169414.79101563,124523.829406584,232020.67529284,206097.65454089,187094.21166972,7709.5205688498
2_Valine,0.5734087980766408,14.996519783879055,25.308021578169715,4.886722700950029e-7,3.2665910020860005e-5,118.1 -> 55.1,POS2,111147.60791014,97774.287414581,113998.309021039,129877.048168131,175595.75292969,217868.13354495,159578.96960455,123089.987976224,238516.3562011,200179.37451177,163061.73095697,7147.780548096
