lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5,blank,blank_solvent
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",0.6361298485263561,10.55726533480601,47.899619086470125,4.4860876644116776e-12,3.96095152016584e-10,384.3 -> 85.1,AC,11015.3408203148,9189.0206260682,9959.1207046502,9391.9006309495,9888.9607086165,15832.2411956779,13754.8009147633,14215.860965728,16918.901187892,15914.0410804765,10897.2807426477,5485.2003746006
PC (38:5),-0.6494333503991869,7.895707313989326,47.73933670785153,4.868249195338684e-12,4.0595789123352024e-10,808.6 -> 184.1,SM,2129.2001571659,2663.7601966849,2087.180149078,2391.9801864629,2338.9801559437,1200.5400924682,1307.560085297,1914.2001495362,1357.8400993341,1614.5401077279,2629.22019577,984.8000717163
PC (32:1),-0.6237351510778852,12.47507747601432,46.34709951899799,9.905402562249519e-12,7.82526802417712e-10,732.6 -> 184.1,SM,60772.4843444559,64033.785339274,61489.224212629,55698.584274268,70794.885269199,43652.0828628506,34968.9024886934,43530.643280026,40031.702285777,40479.422592173,2577.6401748646,1960.8001441956
SM (d16:1/22:1),-0.6273937950435651,8.635605478524976,45.580373845778084,1.465021697388598e-11,1.0994987838901429e-9,757.6 -> 184.1,SM,3705.7402954091,4633.1603469853,4275.0603446939,3313.0202560436,4298.880290984,2851.7001647941,2356.2601623532,2464.1001853959,2723.0601882922,2667.5201835632,2869.6401824978,1021.5000724792
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",0.6118318256056207,10.478491709239858,44.31892797331892,2.790054694551698e-11,1.9942248078676664e-9,412.3 -> 85.1,AC,10032.2206764234,8844.2606277482,9980.000709533,9075.5005989087,9554.0407180749,14480.5409622172,14232.2209548974,13757.0009307845,15329.5609703049,14586.3409385685,9824.8206405678,5024.8403625474
SM (d18:1/18:1)9Z)),-0.5686098889470503,8.898319820612068,37.72454513205898,8.14729381146459e-10,5.558676368640159e-8,729.6 -> 184.1,SM,4457.3002510063,4934.4603500328,4566.8602828965,5361.6803474465,5675.2204399103,3506.4603004452,2515.3001899722,3609.9002532947,3187.4602279668,4011.6002922065,1534.2201004029,1038.9400634766
PC (34:0),-0.5619356206812514,10.235198808173964,37.39191474407102,9.662185395607455e-10,6.305626208176865e-8,762.6 -> 184.1,SM,12420.0209274327,12511.5010337865,11847.5807609598,12650.4409294149,14539.621063226,8076.440528871,8381.8205223118,8947.5405502253,8859.6006011946,8983.5806083635,2376.8601608274,1225.2400856027
SM (d18:0/18:0),-0.555571166001362,11.17730449359746,36.72354771011059,1.3612519976449465e-9,8.513496868604436e-8,733.6 -> 184.1,SM,23873.1417694051,25211.6817817782,25785.9218177651,22610.6816329989,27203.581771859,18249.7813568126,15674.5609664998,18220.1811065745,16548.4610061569,16015.1810531546,1306.3200874332,1791.1001167299
SM (d18:1/18:0),-0.556566601212222,9.923071996139187,36.6025397254823,1.4484288229851514e-9,8.696366653202849e-8,731.6 -> 184.1,SM,10294.8008003176,10919.3207435498,9808.2007522494,9646.2006378085,10844.2407226675,7256.5805664125,7487.8406639096,6767.5604896496,5715.5203857382,7710.9405479337,1822.9401397696,1550.7201118461
PC (32:0),-0.5525186026955449,11.807616632938624,36.38593966985895,1.618667147628157e-9,9.344689956114861e-8,734.6 -> 184.1,SM,35455.7829818581,39390.9425201312,38576.7226333453,35555.0827789368,44006.3435287428,28030.1421203752,23216.5615158018,27401.0617904608,25538.7019310054,27177.321784972,1715.0001182558,2112.4201622013
PCo(34:2),-0.5528722944787912,8.313961563183552,35.24602467822878,2.905746212268218e-9,1.574166558336394e-7,744.6 -> 184.1,SM,3306.0002479551,3009.2001647944,3501.6802291877,3146.3002357483,3449.92024231,1951.2001342769,1877.8401451102,2505.1001396179,2516.2201881407,2315.0201606756,1349.7000885007,1014.4000778194
SM (d18:2/24:1),-0.5493839860096412,8.960655449328765,35.22553001408734,2.9364865845049325e-9,1.574166558336394e-7,811.7 -> 184.1,SM,5537.2003784225,5377.580394746,4415.7402839659,4468.0403175353,4870.5603065487,3120.5402221694,2989.6001396194,3546.9403114317,3663.2402534484,3494.460220338,3820.1802597045,1071.8000717164
PC (36:1),-0.5291385813688191,9.456476856061045,32.938003017397484,9.514506930793518e-9,4.924577552800369e-7,788.6 -> 184.1,SM,6574.1604232749,7009.0805358827,7202.4204597524,7058.2206115761,7782.1606178365,5244.1204490644,4480.1402854932,5195.2603530875,5022.7203712486,4714.8403739931,3599.7202262875,1226.7400741581
C18:0,0.5188558501931724,17.117913925294122,32.208095722198834,1.3851240577666337e-8,6.930237369025724e-7,283.3 -> 283.3,FFA,1020674.97265649,727067.1703494,1120445.13909872,1006636.51470956,832339.83612036,1558073.63330103,1158240.17974822,1304227.39056369,1436079.39270022,1275989.85473605,1496370.60510264,449896.974609196
PG (24:0),0.521915179748514,8.179490725234547,31.315791729438487,2.19288661432541e-8,1.0617815510007874e-6,628.392 -> 439.392,PG,1502.3200950619,1995.6001510615,1681.0001220706,1897.3001518258,3161.9202079764,2296.2001457227,2621.2602043158,4539.4402923554,3295.3602676388,1968.3201560978,1408.2201042177,1134.1600875855
SM (d18:1/24:1)15Z)),-0.5104731581633054,9.57518979927146,30.7123644660119,2.9925206853774454e-8,1.403679233984858e-6,813.7 -> 184.1,SM,8427.8606643765,7904.3205413777,7283.7205238423,6997.3404998761,8270.3205413849,5794.4202575653,5138.6403465252,5368.340316773,5682.5004730193,5251.6203270005,3263.4802131661,1561.8001136778
Hexacosanoyl carnitine,0.5075552805196022,9.99633687921921,30.465710973253692,3.398200451166822e-8,1.5456663264246666e-6,540.5 -> 85.1,AC,6429.0804824842,7269.6605300889,6705.2004394532,7664.7805404662,6969.3004951491,10341.200714111,10591.2606887813,9357.7207031229,9623.2206878677,9824.4607086227,8040.6206054674,4482.4803123475
PC (38:2),-0.5078003951088592,8.858613437766072,30.103622019361463,4.095655496316231e-8,1.8081114411678421e-6,814.6 -> 184.1,SM,5581.7004928587,4836.9803199775,4142.1202621444,4267.2203788754,4909.920322419,3765.2001953117,3308.4802474965,3372.1402435304,3156.5602455144,3057.760211944,1826.0401229855,962.2200698854
PCo(38:4),-0.49908386772225216,7.748308277092829,28.241317791364438,1.0709392107288972e-7,4.592799300868785e-6,796.6 -> 184.1,SM,2127.6201629635,2386.6601638801,1895.6201477048,2016.1001472479,2237.7601699833,1516.1201019291,1563.5401039124,1676.7401275633,1454.7201042173,1324.6400947575,1339.8800888056,1001.8400726317
PCo(36:2),-0.48725722672081745,8.257828863930863,27.366940076814043,1.6828375320772478e-7,7.0164975990220796e-006,772.6 -> 184.1,SM,2996.1602134716,3060.0202484124,2906.8202247612,3010.6001930239,3333.8202018726,2467.8001594546,1775.3801345828,2312.7601242072,2063.4401473991,2285.1401519758,1609.3200988783,1087.640083313
PCo(36:4),-0.48722775411009817,7.7128619392826385,26.838925984791178,2.2113788580119892e-7,8.971026123989178e-6,768.6 -> 184.1,SM,2121.7801437395,1957.4801177986,2181.9401626583,1791.820121765,1985.5401306153,1434.800117493,1395.8600959774,1560.3200988769,1370.0800933845,1385.2000961307,1882.5401191712,1118.3800926205
Lyso_PC(14:0),-0.4702980502695396,8.773289093095286,25.80816063318721,3.770907338837788e-7,1.4895083988409262e-5,468.3012 -> 184.1,SM,4933.1202659597,4346.2003250122,4902.9603500361,3969.4403190597,4150.0003013607,3253.2801780712,3157.280223847,3719.2802886969,2948.7602195743,2988.3802413955,1435.2201118471,995.8600692747
PEo (36:5),-0.45128778063385566,7.2537259045759885,22.608392671300052,1.9861509100393597e-6,7.644134656330972e-5,724.5277 -> 583.5277,PE,1109.4800834655,2301.2801780703,1435.5600929262,1038.0800743104,1490.4401206973,1069.1400794982,1073.7200698852,1253.1400871277,1001.1400718685,989.9000701903,1100.4600753784,1002.6800689696
SM (d18:1/16:0),-0.4337286794742993,10.567587054808067,22.376185081855812,2.241361218439038e-6,8.410707972192489e-5,703.6 -> 184.1,SM,16776.1014251637,15016.5412139969,15261.9607047982,13311.5408058194,16840.5209541227,11251.1008644149,10298.7208061239,12491.440906521,10284.7208023067,12686.3609847893,3844.0403137195,2306.7001571667
C16:0,0.4316551497162653,16.912325880958697,22.32817523522447,2.2980996873343746e-6,8.413286904119259e-5,255.3 -> 255.3,FFA,899268.505859426,671280.945983832,998674.426391608,913340.026489564,744639.944763212,1316822.6452635601,992934.467712109,1091608.21081547,1206076.32928458,1084361.23535136,1298475.04937742,465004.072326446
PCo(32:1),-0.43184719161467694,8.796832601711936,21.78991525645541,3.0419484722187764e-6,1.0871344420953294e-4,718.6 -> 184.1,SM,4916.1803474437,4561.0203437812,4599.6403388976,3658.9402351385,4853.3203735345,3710.7602386487,3186.200241088,3368.0002441405,3369.5802536008,3072.640235902,1160.2600708015,1080.5000724795
PC (40:4),-0.43743387904791836,7.590362063203402,21.597571963650694,3.3627726852936847e-6,1.1471640455967775e-4,838.6 -> 184.1,SM,1675.9201049802,1776.840129853,1984.2001380911,1974.3201217657,2011.660125733,1658.92012024,1259.3200874334,1339.5400886537,1559.5401191718,1135.9400787349,1131.380077362,1145.380065918
PI (22:1),0.4339136495363593,8.088450048758233,21.63369695313801,3.3000297394583466e-6,1.1471640455967775e-4,672.3818 -> 395.3818,PI,1611.3401222225,1595.4401245117,2371.6801605221,2216.4401397708,2205.6601715076,2577.2401428209,1925.2001228336,2810.7202033995,3009.8801841734,3165.7402496344,1226.8200950626,1216.3400878904
PCo(34:1),-0.41757587548649927,9.728105989202518,20.628088259820785,5.5771834903188924e-006,1.8603005375485905e-4,746.6 -> 184.1,SM,9472.2607307314,8670.2004928692,8580.0205726654,7781.7806129518,8961.4005622906,7173.8205223061,5742.6404647817,6340.2404747037,6243.8804397543,6959.0204467786,1215.4800834654,1068.2600898745
Lyso_PC(16:0),-0.41324568305944015,12.393816990752494,20.42981984789445,6.185838022704074e-6,2.0184658417562643e-4,496.3325 -> 184.1,SM,56626.665115353,55379.543556227,55792.383804235,50050.9430999521,57340.1837921,42054.8024826061,36961.3026008562,44637.182281483,39688.2827072103,42886.4429855536,8195.6805191017,1073.8800773619
cis-5-Tetradecenoylcarnitine,0.40938237798228677,10.076287417114022,19.86301775750939,8.319426036534845e-6,2.6569060597529367e-4,370.3 -> 85.1,AC,7481.2005615243,6900.9004631053,8043.6605911256,7557.6605529773,7493.3604736344,10919.0008277894,9469.6806602474,9562.2606582667,9733.2806892398,9994.1206970211,10988.3208770739,5002.9203643792
PC (32:3),-0.41660691871438865,7.549100700452248,19.558003355683717,9.759103558559937e-6,3.05175300862468e-4,728.5 -> 184.1,SM,1754.5001296998,2335.0201530455,1553.3201179514,1685.5001144409,1725.5801200866,1359.680091858,1458.8601150517,1203.8000793455,1408.2801055916,1337.000102997,1186.2400817869,1019.7000732422
PC (40:5),-0.41034069426203795,7.381794745386538,18.80261591260124,1.4496815519856831e-5,4.4407592031234905e-4,836.6 -> 184.1,SM,1524.9201011656,1916.2201461781,1538.6801185616,1412.4801063541,1436.1200942994,1159.500080109,1029.9000778195,1208.1800804138,1321.6400909421,1159.6600875848,1440.6801071175,1027.7800750731
C34:0,0.39250291442307367,11.566929410248111,18.40089463188617,1.789739323155532e-5,5.372797448112908e-4,507.5 -> 507.5,FFA,23940.3417167698,18133.0212974535,21825.4216194121,22076.1615295404,22163.0217056311,32788.7825012215,26217.7219238282,27726.2818756134,28234.9619598382,26732.9619140636,26083.2017707843,20153.1614646909
PCo(38:5),-0.39976239115902534,7.5235259934875565,17.976706568083532,2.2362472199744574e-5,6.581582504277765e-4,794.6 -> 184.1,SM,1910.3801460261,1993.2001342774,1860.540130615,1334.2600898744,1609.2201080319,1310.9600868223,1202.2800750734,1351.6801071172,1474.7601165766,1242.6200981143,1432.4601058954,984.4400596618
TAG(48:0)_FA 16:0,0.3884562236066284,7.921135838946443,17.23973986791899,3.294719753305908e-5,9.510335287908015e-4,824.8 -> 551.8,TAG1,2160.3001365656,1396.6800880432,1756.3401222222,1908.2401466369,1558.8801116941,2480.9801902764,2063.1001281728,2496.9401664719,2562.3001632686,1875.3801345828,1773.3201179512,1191.9400901793
C24:5,0.37696806007072964,12.644210403695231,17.01210023013087,3.714236092211029e-5,0.0010518996932846706,353.3 -> 353.3,FFA,44986.323257447,39842.582794188,48579.303466797,47543.3233718891,41302.583023071,60293.884490943,52244.843513485,56456.224060044,58713.124176027,60352.984374978,71668.304672237,41371.302940373
C24:0,0.37572473018488284,13.026649179162261,16.908353219376657,3.9228572413939156e-5,0.001090409022098568,367.3 -> 367.3,FFA,64406.464462277,50792.563781734,57848.064315791,61928.164382929,57311.263977048,83775.486038197,67413.304748544,74369.365524286,80073.585632326,72952.365020742,87988.286499,53541.443740854
C30:0,0.3736069545785344,11.778960041111462,16.68491146171099,4.413060342987585e-5,0.0012043642863317026,451.4 -> 451.4,FFA,27055.26200485,21347.90158081,25469.2618484435,25589.8418045047,24741.4017791739,35732.96261597,29040.4220199589,32035.4622116099,32417.2822914154,31400.5822563123,34747.1224060008,22804.7415924095
PCo(38:3),-0.38281616238222665,7.688363823176793,16.595175911055,4.6268560557404895e-5,0.0012401626677975848,798.6 -> 184.1,SM,1950.520141602,1617.1801109326,1925.2401237503,2027.4801635737,2124.5401382452,1740.6601219182,1396.4801063539,1472.6800956737,1357.8200874321,1419.4600944522,1707.3601150509,994.9200744628
C17:0,0.3579206763558852,13.043536659002053,15.34875467430885,8.937982212202004e-5,0.0023536686492131942,269.3 -> 269.3,FFA,63951.764297492,53994.724121085,64241.30455017,67433.725265495,56147.563995366,85549.826766973,71098.765045127,78620.84561155,80092.5055542,75930.465393044,70692.624923698,58753.584335334
C24:1,0.3570296332849207,12.391920157667457,15.259355638023365,9.371141501596106e-5,0.0024251867920509922,365.3 -> 365.3,FFA,39882.402976986,33409.6024818436,41025.8428535412,40209.782821656,36308.982604982,52437.0237197871,42829.6831359851,49821.8638992333,50215.2235717753,48703.4634399431,53890.0640869251,32541.6423263509
PC (38:0),-0.3677162432762088,7.3201973820885735,15.051553910543216,1.0461409341222109e-4,0.0026614534612159975,818.7 -> 184.1,SM,1399.9801063532,1802.8601379409,1418.0401153562,1183.4000854487,1499.7401046747,1127.4400863652,1135.6200866696,1313.5600814809,1039.3400726316,1035.8800697327,1562.7200965882,980.5200691223
SM (d18:0/22:0),-0.3544337801909114,8.349622295996937,14.535903841892903,1.3751365238015676e-4,0.0034401332037102546,789.7 -> 184.1,SM,2839.6401863099,3183.640228272,2932.6602210989,3009.4802360522,3312.9202346799,2743.9601821898,2334.4001503001,2311.7601776131,2235.1801338205,2308.0601348883,2432.9802017193,1031.820072174
PG (26:0),0.35558356001865465,7.893493719298333,14.455952415358553,1.4347570481381094e-4,0.0035304431627136102,656.4233 -> 467.4233,PG,1733.1001434329,1508.3001174929,1833.0601501471,1460.6400871281,2389.4402122511,1765.9801139826,2142.7001419073,3172.8602256766,2674.1801681527,1655.4601058959,1287.340091705,1124.3200798033
Lyso_PS(15:1),-0.34811653098635564,8.4155612273006,14.048805290386525,1.7812695619681573e-4,0.004312396149216458,482.2441 -> 297.2441,PS,2714.7401962272,6065.2404975894,2584.9801559461,1897.7801246648,2803.140167236,1591.8401107793,4564.4603004463,2737.700191497,1523.7801246648,2166.6001129159,2382.3001823435,1719.9401168812
C28:0,0.33803342871073244,12.162353313924894,13.675583971868717,2.1726092312536268e-4,0.0051763277081138,423.4 -> 423.4,FFA,35037.862495423,26425.641891478,31409.2423095712,33654.2025070203,31623.6023445043,43529.96325684,35432.7424621577,40744.082916261,39553.2029113768,40294.9426422123,59126.3239974859,29051.242195127
C19:0,0.33108190796298814,13.936035451079212,13.146685947765032,2.8802823142263416e-4,0.006755162115083967,297.3 -> 297.3,FFA,92090.227020249,111152.027770977,161861.251312257,111001.047241173,91635.286361711,150156.310058608,129693.348938015,145574.270126345,146370.110748293,141210.92974851,144517.649429324,96380.587005616
C22:1,0.3301494879840572,11.975270667542357,13.04369460564023,3.043071890029307e-4,0.007027155241436907,337.3 -> 337.3,FFA,29323.3220443698,25418.321830749,30397.4422302231,34173.5224266013,28017.4619483909,38835.3426132177,33900.7623672469,37576.4426040658,35925.9426498421,38717.6628417965,33735.0824508693,29843.3821640026
Lyso_PC(18:2),-0.3306976471244168,7.995868109651073,12.510089223866107,4.0476027353150246e-4,0.009205229857133108,520.3325 -> 184.1,SM,2346.9201431277,2374.8201713556,2204.8801727297,2206.5801506032,2235.2201538097,1924.240123748,1782.3601264957,2226.5401573197,1781.4801254257,1321.7200965888,2804.760211944,1103.3200798033
C20:0,0.32187949090811985,14.293021335188051,12.429839647119266,4.2252817777879535e-4,0.009326688159499585,311.3 -> 311.3,FFA,96765.287078849,111725.787872304,283002.77899169,157494.471099818,99704.547241228,209403.094848635,146728.450531001,176484.591339082,212143.834716767,189542.453430164,142206.630249044,196696.854736324
C20:1,0.3223566202691627,11.770505528604161,12.430262175504193,4.224325953102868e-4,0.009326688159499585,309.3 -> 309.3,FFA,24598.5817794727,21819.9416007951,28618.1621780301,27658.3219757057,24154.5816268893,30219.9621353169,29610.5822181659,30852.5622444136,30675.0820541367,36873.3826370225,32420.6223411543,26096.9420013425
PC (30:1),-0.3220103708768628,9.81179793979833,12.292792599369776,4.547108484998165e-4,0.009830608601501353,704.5 -> 184.1,SM,8876.3205833457,9153.8807449292,8913.3006629863,7814.5605163606,9710.8807296728,7385.5805282546,6448.5204467762,7187.0004768344,7582.2405471805,6897.0003929174,1776.400135041,1207.340087891
PCo(38:6),-0.33181882083290065,7.324610030987308,12.27748372575966,4.584560973385041e-4,0.009830608601501353,792.6 -> 184.1,SM,1465.1801109321,1477.9800987242,1430.3001060486,1644.4801254268,1318.2401123047,1177.8600921627,1099.6400794983,1305.1000862118,1189.220077515,1052.1600723267,1397.2000923153,984.1600646973
Lyso_PC(18:0),-0.3226134227428664,8.604323897696778,12.04483388441067,5.193611505270866e-4,0.010979733618889537,524.3638 -> 184.1,SM,2793.160209655,3645.2602844232,2756.6201820367,2822.1201896682,2971.4001808163,2593.9201774599,1997.8001327527,2576.2401962268,2675.4802284254,2130.3201751705,8412.5204353337,1071.3200759881
C26:0,0.3158317699703816,12.344407443244005,11.946660859545263,5.474540727119238e-4,0.011412896710286077,395.3 -> 395.3,FFA,36911.72264099,34060.8023986842,40015.002593994,39073.0427093483,37434.2227020202,47754.403373717,44766.6031417856,47046.8033142094,47460.5633468589,45955.963439941,52356.1637573149,36248.222557068
C26:1,0.3151125094463559,12.24579460028341,11.890543271697519,5.641966296434761e-4,0.01160081015198435,393.3 -> 393.3,FFA,35035.502441405,30645.3420944217,43519.0230789154,35166.4825057944,31571.6622543305,46341.7034835758,39724.442756653,43104.1229324308,47063.4231872516,42217.182929985,47290.123275751,41393.663089756
PCo(32:2),-0.3229784830312308,7.6431842240979595,11.825736208267225,5.841761201591328e-4,0.011816103450239682,716.6 -> 184.1,SM,1789.280139925,1994.9401588436,1730.580123902,1789.6601104731,2192.1401405336,1553.440109252,1296.0201034542,1547.0401153565,1360.860092163,1817.6601295474,1083.3400764466,1108.1400756838
PCo(40:4),-0.32519961930129376,7.318223705477053,11.80596799292408,5.904115648021161e-4,0.011816103450239682,824.6 -> 184.1,SM,1458.2401008602,1526.3800964355,1343.4201049813,1476.280094146,1625.6601104729,1235.2200927733,1103.6200714112,1383.2200889589,1076.320075989,1126.3800735475,1140.9200820922,999.0600700378
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",0.3077983351783885,10.050237409242087,11.246828338548044,7.975918819080306e-4,0.015752439667683603,414.3 -> 85.1,AC,8217.5205650338,7595.2805366553,7966.2205963109,7624.6005477902,8057.7005500809,10122.4806976326,10198.1606788597,9367.5606651323,10795.8208045907,8272.6206245403,8194.3606033343,5624.9403915408
"(7Z,10Z)-hexadecadienoylcarnitine",0.3031178492455706,10.382482884671754,10.931625762788942,9.453650202348811e-4,0.018428479160682555,396.3 -> 85.1,AC,12196.9808731119,8309.0406036378,9155.8006439201,9917.0807456962,9344.6007194519,13654.5009384154,11480.5807342541,11752.0007514984,11625.0808181763,11712.7608032221,12252.7008552546,6587.3004798897
SM (d18:1/14:0),-0.305865949726052,8.068856456043333,10.751129703423471,0.0010421568301585485,0.020054838488051042,675.5 -> 184.1,SM,2022.3201332083,2522.7201766955,2816.1802101143,2732.8001747136,2307.2201614376,1869.8601341254,1919.7201194771,2287.8001480097,1930.8401222224,2015.040122984,1968.1401367192,1406.6201057438
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",0.2978382250228467,11.49439025299696,10.607383544167142,0.001126369634517218,0.02140102305582714,388.3 -> 85.1,AC,28332.2621536164,15039.4412116972,19721.1214370756,23247.3816223143,21078.0814743012,26612.8418388299,20191.6413650484,27285.721900942,30106.1221694837,27531.2419471596,23249.5617866469,5374.7003898623
"O-palmitoleoylcarnitine, trans-Hexadec-2-enoyl carnitine",0.29576294884724685,10.09325891070591,10.384954781451102,0.0012704629907719766,0.02383706186435921,398.3 -> 85.1,AC,8249.6605720525,7102.1405029315,7644.2805290207,7634.0605163588,8646.5605735812,10779.540706639,8924.780647277,9366.3406906108,10119.1608085642,8939.6806030279,11923.300868989,5805.6403884884
Cer(d18:0/24:0),0.29412173663734853,9.553935947165334,10.229501785385889,0.0013821199116184324,0.025299536430966673,652.7 -> 266.4,cer,4885.6603851318,5303.6603660598,7122.1605606091,5714.7604103095,6069.1404113781,6076.4404640189,6277.9004592895,9002.0606155409,6380.6804771414,7889.0205802931,3613.8202552812,2594.1201858518
PG (20:0),0.3006978146002388,7.636207138057848,10.243223523479593,0.001371876385137486,0.025299536430966673,572.3294 -> 383.3294,PG,1502.8801040648,1351.8400993347,1345.7600898741,1342.8600883488,1967.2201156616,1340.8000831604,1708.4001159669,2702.4601783753,2009.5001411427,1485.6001129156,1326.9400939939,1142.8400764462
PC (34:3),-0.2916834161966686,9.469081080051883,10.043800051246365,0.0015286154266124915,0.02764399705235361,756.6 -> 184.1,SM,6247.3204917962,6266.1004714977,6079.1803665157,6182.5204162632,7302.3004112263,5437.4004020643,5392.4803619374,5524.1803703354,5143.5603446959,4673.0403137216,6196.7604599007,1137.6800842286
