lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5,blank,blank_solvent
PC (36:3),-1.2370878026104284,9.675278583468202,175.8488462868497,3.90699598578874e-40,5.864400974668898e-37,784.6 -> 184.1,SM,9707.3006248489,9242.7406310987,10577.0209007323,8619.6406211776,9013.9006042517,3720.1002540612,3297.0402259815,4743.8602981562,3767.5602302552,4435.5003700254,7257.7205352748,1158.6000823975
PC (36:4),-1.0811477380481198,8.673175782990093,132.93777363962363,9.329051011911191e-31,7.001452784439348e-28,782.6 -> 184.1,SM,4374.6403198225,4426.3002662649,4706.5403861987,3663.0202827454,4319.1602973929,2402.640171052,1647.9801292421,2522.7801399239,1769.9801445011,1804.6401214611,5500.0003738387,1076.9200706484
PC (34:2),-0.956343257436661,11.286149818286466,107.51460323671262,3.433660557732638e-25,1.2884811242891723e-22,758.6 -> 184.1,SM,26146.8815689123,26748.3418350267,29329.5420036388,23403.2817306534,31533.4625930857,15445.8008995137,12847.8208160365,14592.6812210014,13586.2610549874,14077.3209648025,19502.9813156149,1810.4601364139
PC (38:4),-0.9706337154434974,8.703879380448134,107.89009081738055,2.84104206113365e-25,1.2884811242891723e-22,810.6 -> 184.1,SM,5466.4604377718,4252.6003150922,4198.8602752676,4118.2202720654,4416.7202682496,2433.7201576234,2270.000175475,2135.2801704409,2562.0801696777,2026.6801109313,4047.3402862553,1265.1800880432
Lyso_PC(16:1),-0.8731724132280948,10.860269494161829,89.78485672165857,2.6551885156430322e-21,7.970875923960382e-19,494.3168 -> 184.1,SM,21682.0816306991,21384.3011588859,22217.3015670965,20935.6016159013,21757.2216682435,13337.2408790562,10777.5207672104,12060.0608024614,11701.8006973256,10986.6806335371,2291.0401535032,2044.9001426693
PC (38:3),-0.867267950171391,9.087242335763952,87.17367784365196,9.939789658891932e-21,2.4866040463327984e-18,812.6 -> 184.1,SM,5696.0204009995005,5908.6804428019,5660.340442656,5749.2203674331,6821.7005500872,3234.8201560973,3469.4602813729002,3228.480258941,2852.2401809685002,3534.5002632124,3288.8802299489,1169.8200798036
SM (d16:1/24:1),-0.856617587337332,9.234615824371375,85.23737986467759,2.6461196678181093e-20,5.674036601992831e-18,785.6 -> 184.1,SM,6478.1003723128,6685.2204818746,6256.2404556313,6036.9604873659,7040.7605247527,2957.9602203361,3464.9802169795,4171.4603691084,3789.8202552796,3529.3602066039,4371.9402961719,1069.060066223
PC (36:2),-0.8354066647088203,11.197258935296693,82.38116620590861,1.1221800072543933e-19,2.1054902386110555e-17,786.6 -> 184.1,SM,24105.3016014085,26250.8021774315,26078.9017372074,25000.4618835437,28411.1419067532,15587.0012474121,12565.8209953335,15565.3011207573,14397.5011367764,14555.7009849536,11064.9207878084,1828.000133514
PC (32:2),-0.8140561431564349,9.726065184262362,77.61367946993003,1.252993171726787e-18,2.0897141675132302e-16,730.5 -> 184.1,SM,9297.4005966146,9672.8407325694,9903.0606384255,8393.5605697635,10989.1406326347,5801.6604423504,4921.3203544607,5732.8803863528,5380.8203544621,5556.6603965776,1390.7600898739,1216.5400772095
SM (d18:1/20:0),-0.7944475223505679,10.500462366622736,74.35410695298376,6.528929569239202e-18,9.799923283428042e-16,759.6 -> 184.1,SM,16579.321063985,14224.1409339871,15289.2212638862,14665.7210731489,17267.6213607775,8666.6006584171,7541.4604797384,11241.4410018972,8574.0006637599,8903.5405693042,8860.3605575611,1196.9800872808
PC (34:1),-0.7332569135963432,13.663349050126852,63.93598327989025,1.2852851638680884e-15,1.75383002815091e-13,760.6 -> 184.1,SM,145222.991912835,143075.269462629,146897.792221076,133184.60864264,160991.070922774,92423.2067566205,77868.345336936,91141.266220156,87603.305526744,88872.646606496,13177.0810470625,3323.7402076733
SM (d18:2/22:1),-0.7491798089070912,8.089462199614006,63.738949476974774,1.4204813797321306e-15,1.7767854591482733e-13,783.6 -> 184.1,SM,2949.800216675,3259.5802421575,2192.9001541142,2621.0402145388,2599.4201774615,1479.900104522,1704.2001152039,1829.2401313776,1520.1601142887,1557.2600975029,3041.8202438343,992.140068054
Lyso_PC(18:1),-0.7090613232008498,10.434707225049284,59.38322197094366,1.2977078795073639e-14,1.4983534824158103e-12,522.3481 -> 184.1,SM,16267.12126161,15136.0012283451,17353.8412475674,13075.4209937991,14648.201145172001,9523.94070434,8646.3006896924,10408.440864563,8354.9005584672,9740.3406677314,2799.0202064507,1043.7000694276
SM (d16:1/24:0),-0.7036545518148735,10.17029025494828,58.36931816541187,2.1725286090127244e-14,2.3292610300914993e-12,787.7 -> 184.1,SM,12534.1609764105,11404.8006935147,11639.4007911692,11848.0407142732,13688.0407943701,8391.8805198662,6611.2204132095,7388.240562439,6747.4604911834,8307.2005996671,6231.5004425046,1617.4801177965
SM (d18:0/20:0),-0.66800543531799506,12.311123434649273,53.08608511098825,3.1924598426655294e-13,3.194588149227306e-11,761.6 -> 184.1,SM,56333.18347924,56801.265335073,55236.864074693,50666.183578467,61658.263626128,35944.9426727381,32274.9417953578,39510.1027679461,33567.362167351,35069.362380973,5338.8403549185,2229.5601577756
PCo(36:3),-0.675519047944862,8.09560413146567,52.101079607159434,5.271593791369531e-13,4.945413925528541e-11,770.6 -> 184.1,SM,2859.2201957701,2814.5401916505,2564.7401733391,2901.1401634232,3193.9802513136,1989.1601181034,1703.9001235956,1618.9201202385,1636.6601219179,2005.8001365665,1563.420124054,996.9600715636
