lipid,logFC.cells,logCPM.cells,LR.cells,PValue.cells,FDR.cells,Transition.cells,type.cells,Control1.cells,Control2.cells,Control3.cells,Control4.cells,RAC1.cells,RAC2.cells,RAC3.cells,RAC4.cells,blank.cells,logFC.media,logCPM.media,LR.media,PValue.media,FDR.media,Transition.media,type.media,Control1.media,Control2.media,Control3.media,Control4.media,RAC1.media,RAC2.media,RAC3.media,RAC4.media,blank.media,solvent_blank_media
2_L-Lysine,-0.9301442509923351,13.80452821017698,66.33827763087908,3.7981092597448883e-16,6.808110848092712e-14,147.1 -> 84.1,POS1,24541.6815185541,23391.8414459099,21710.5016250651,24212.4216842555,10949.4808616575,12152.0009155252,10562.1006545929,15527.6210517889,118759.588577193,-0.5496706016742277,14.776208837752874,15.741739856099201,7.26042703618395e-5,0.01735242061647964,147.1 -> 84.1,POS1,130477.971771264,66431.7051544228,64260.983947748,306956.624084435,67915.06435776,58435.6240997456,68912.2045021336,196865.572387656,72629.2047080357,18275.0014267108
6_Glutamine; 3_L-Lysine,-0.4981556328813796,10.822961884375779,18.808342335987682,1.445335513399531e-5,4.7104798323066533e-4,147.1 -> 56.1,POS2,2659.0201797477,3225.460266113,2681.8202018726,3173.0002174377,2008.2801589963,2462.3602027899,1759.5401115424,2140.1201553346,7373.6205101014,-0.5227683704049393,11.367049578306917,14.182531440461801,1.6590359006403714e-4,0.02973821851897866,147.1 -> 56.1,POS2,8292.7805366521,9188.3206939631,8501.0604820266,19828.661376943,8791.0406227112,6946.0805091876,8881.4206314112,14680.8410949572,11988.3009872607,2634.4201622015
6_Glutamine; 3_L-Lysine,-0.4981556328813796,10.822961884375779,18.808342335987682,1.445335513399531e-5,4.7104798323066533e-4,147.1 -> 56.1,POS2,2659.0201797477,3225.460266113,2681.8202018726,3173.0002174377,2008.2801589963,2462.3602027899,1759.5401115424,2140.1201553346,7373.6205101014,-0.5227683704049393,11.367049578306917,14.182531440461801,1.6590359006403714e-4,0.02973821851897866,147.1 -> 56.1,POS1,12722.6408386165,6653.2005653377,7485.8805809038,25132.0417022742,8244.4006614649,5862.3604278562,7152.9605064406,15246.6011009191,8803.0605583166,2646.1001892086
6_Glutamine; 3_L-Lysine,-0.4981556328813796,10.822961884375779,18.808342335987682,1.445335513399531e-5,4.7104798323066533e-4,147.1 -> 56.1,POS1,3258.5002174383,3306.7402343746,3456.3602180477,3380.4602699289,2442.6801910403,2217.1401710504,2241.7601470957,2574.7601776129,10258.7605934176,-0.5227683704049393,11.367049578306917,14.182531440461801,1.6590359006403714e-4,0.02973821851897866,147.1 -> 56.1,POS2,8292.7805366521,9188.3206939631,8501.0604820266,19828.661376943,8791.0406227112,6946.0805091876,8881.4206314112,14680.8410949572,11988.3009872607,2634.4201622015
6_Glutamine; 3_L-Lysine,-0.4981556328813796,10.822961884375779,18.808342335987682,1.445335513399531e-5,4.7104798323066533e-4,147.1 -> 56.1,POS1,3258.5002174383,3306.7402343746,3456.3602180477,3380.4602699289,2442.6801910403,2217.1401710504,2241.7601470957,2574.7601776129,10258.7605934176,-0.5227683704049393,11.367049578306917,14.182531440461801,1.6590359006403714e-4,0.02973821851897866,147.1 -> 56.1,POS1,12722.6408386165,6653.2005653377,7485.8805809038,25132.0417022742,8244.4006614649,5862.3604278562,7152.9605064406,15246.6011009191,8803.0605583166,2646.1001892086
