lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,C1-Cells_r1,C1-Cells_r2,C1-Cells_r3,C2-Cells_r1,C2-Cells_r2,C2-Cells_r3,C3-Cells_r1,C3-Cells_r2,C3-Cells_r3,R1-Cells_r1,R1-Cells_r2,R1-Cells_r3,R2-Cells_r1,R2-Cells_r2,R2-Cells_r3,R3-Cells_r1,R3-Cells_r2,R3-Cells_r3,blank
SM (d18:0/22:0),-0.7515790319163712,10.854795810444255,74.48227103559196,6.118528221608907e-18,7.702147290731212e-17,789.7 -> 184.1,PC,11052.7808418223,9690.5006904614,10598.3006515558,12557.6606674156,11243.7607803337,12784.8809242227,11287.8208122215,11167.7408714278,10482.9206352193,13764.500930792,14834.1610069161,13556.6610603345,18650.1812438886,18756.3012771685,19839.3817367673,20104.3613471925,18498.8813209489,19260.2814712641,5912.8204383852
PC (32:2),0.727822070748365,14.00757604373005,70.16772373887352,5.447042881821571e-17,6.475928759498979e-16,730.5 -> 184.1,PC,157232.892089756,151224.651123083,150716.331420846,202213.235504142,189859.23339828,196400.276916445,165954.393982016,171416.414672882,164478.731353746,79666.026290878,78409.78463746,77716.645233163,101275.866485574,100916.165939291,98694.268249468,112041.128204436,112373.14788818,104267.166534412,6489.4604911808
SM (d18:1/18:0),0.6992949335616271,13.428296508090222,64.81092242349817,8.244090280361858e-16,9.285449052618093e-15,731.6 -> 184.1,PC,104383.087982264,103093.107849126,97746.067443834,130210.728729403,129993.688446142,126446.069641073,107177.34848029,111783.827453587,110233.807754509,52433.443527223,52517.563583367,52030.084190372,70753.924774167,68529.324554443,67896.585281366,77937.565368646,71586.465164189,68073.464828478,12491.0408744635
PC (40:2),-0.6580560933129682,8.276556916764111,55.988385276071796,7.290042124106714e-14,7.800345072794183e-13,842.7 -> 184.1,PC,1827.2001228338,1768.4801368713,1727.2401237468,1922.8401260389,2254.6401596082,1885.5801200867,1738.2401275631,1818.1801376341,2014.2201576219,2560.3801994317,2598.2001800531,2482.8801498412,3176.8402366639,2843.9002075201,2730.380199433,2233.220161438,3075.9801902775,2977.9402046189,1965.1601486205
SM (d18:2/18:1),0.6480832777660602,8.447403130245634,54.49540935843851,1.558113789515183e-13,1.5877921474107103e-12,727.6 -> 184.1,PC,3036.6602172852,2979.5802116385,3642.8202552786,3632.2002296437,3734.720264434,3992.1602630617,3850.9802513122,2899.4002113337,3178.160243989,1672.8401184084,1744.2601127634,1814.040130616,2194.8601341245,2130.9001579287,2073.2001609807,2086.7001266488,2404.7601585375,2134.7201499918,1281.7000923161
SM (d18:2/20:1),0.637830853152387,9.23686845416058,53.33007089790218,2.819572064911608e-13,2.742674644959473e-12,755.6 -> 184.1,PC,6231.0405082709,5144.6403732281,5097.5403175365,7366.5604782112,6167.5404281622,7047.2605056744,5447.7803726188,6283.9604682927,5612.4203643798,3290.4202461231,3068.5002021794,3639.8002243048,3293.8202095035,3414.0602378844,3448.4402427669,4605.5003395075,3403.4802894596,4075.6602745054,1233.0800857543
PC (34:3),0.622321447050495,12.563554043307654,51.401116435284166,7.529570775938669e-13,7.005774548047284e-12,756.6 -> 184.1,PC,57300.98304749,54679.583755498,53161.8237304576,69851.585205071,68722.685287472,69147.34443665,60538.164215097,61241.664962787,58052.424217211,31093.5419197139,31388.2622261025,29689.481758129,40436.362350479,38539.122428875,36252.102714539,44435.623046885,38652.0026245135,41538.8431777951,3224.5402679439
PC (36:5),0.5920970931841666,10.04937538285926,46.274412658708684,1.0279769162723786e-11,9.166127503428708e-11,780.6 -> 184.1,PC,9863.7206115776,10257.520709989,9304.1807022043,11312.8207397431,11425.9806442229,12230.9609298707,10480.7005310034,10047.4207534776,9940.1408157315,6539.2204170234,4514.8403358441,5989.7004966749,6663.9605674791,6940.1804466258,7169.8405456514,6639.340499877,6806.3004379257,6805.480510712,1590.3801193226
PCo(34:3),0.5878343367602901,9.374834402713846,45.40604021152246,1.6013974971007822e-11,1.3707962575182696e-10,742.6 -> 184.1,PC,5984.7404937747,5959.3404884352,6245.8203468321,7827.6205940209,7169.7405281086,6815.2604751584,6700.3604431153,5600.420417785,6332.5204505925,3320.1602172854,3590.6602859489,3152.0602531425,4572.1803436269,4434.0802841188,4429.7803077702,4601.820343018,4093.6003150938,3863.6602668752,1751.7801246654
Lyso_PC(19:3),-0.592737395610739,7.728675509976606,44.96516883037424,2.0057049035092584e-11,1.6508494205806972e-10,532.3325 -> 184.1,PC,1249.6000938416,1223.9800872808,1241.600093842,1533.8200950636,1367.5601005548,1351.0800933837,1225.4600868225,1273.6800842289,1475.6200981147,1356.2800979618,1334.1601066593,1339.98010254,2936.5802535996,2804.4002151498,2422.7401962295,1533.4000892635,1632.4201164256,1294.8000793456,1310.0600967409
SM (d18:1/16:0),0.5769413927100973,13.804617770364889,44.258405287518485,2.8776614377797225e-11,2.280813139573558e-10,703.6 -> 184.1,PC,126089.348724449,130556.970123306,118777.208785912,161945.911392242,159723.77407847001,155290.973114004,136208.390121539,138219.770248343,135204.768325665,71832.3444671765,70329.745208697,65336.2054634105,94769.3068313351,98744.746711804,90267.606819103,99868.927093459,97692.846908639,93916.547042814,37158.8032455607
PC (36:4),0.5633999903042436,11.756096249075842,42.14498386936519,8.475105655874597e-11,6.477402179847013e-10,782.6 -> 184.1,PC,30593.602447513,28959.1817626828,30894.5619353973,38282.582748409,38288.4228363112,36495.0827789358,35630.9429778829,33965.922126769,34907.1430435301,17412.6010665988,17083.2611122113,18466.961380012,21581.3817443892,20491.9011344963,23177.561653126,27290.6016387878,25180.3418502725,22320.3615112321,4421.960300445
PCo(32:2),0.5254499446486048,9.871631903321962,36.46173177450491,1.5569318943480942e-9,1.1489083634154903e-8,716.6 -> 184.1,PC,8443.2406692492,8466.9405860914,7745.5005226141,10722.6807861291,10249.7807579121,9925.2407684282,9000.680614476,9171.2005081165,8304.4605255103,5322.6603622443,4903.9604072561,5112.4603157031,5902.7804603574,5716.7603645329,6136.9204635632,6444.8405456546,6244.5805244453,6823.4205017094,1774.3001251216
SM (d16:1/22:1),0.5215322232005625,11.589399500646515,36.1368904745176,1.8393168126086548e-9,1.3120459929941738e-8,757.6 -> 184.1,PC,27971.181968685,26440.881752016,27015.8220100381,34582.1625633217,32297.7419814966,36035.862861633,30172.2020950396,30237.6019744835,27802.1622390728,16264.4610061672,17082.0211563011,14825.4012832546,21544.741573331,20656.1014099117,20744.3215255822,22345.6215515178,21306.6615295419,20814.4416236803,2675.6801986686
SM (d18:2/22:1),0.5151248449044368,10.689238712504835,35.17943367657884,3.0068226741143346e-9,2.0756775879369922e-8,783.6 -> 184.1,PC,14443.3809890737,13402.9209518401,13792.4410247818,18239.9610290458,19795.8813972563,19030.361503598,15969.0010299694,15449.7009620648,14109.0210647418,9358.5606041,8341.0005531377,7529.9404830929,10720.8807678238,10578.4407119752,11243.74067688,12116.2609214906,11723.5808677625,11682.9807929969,3191.4002113351
SM (d18:0/24:0),-0.5147932211936841,8.326930513710534,34.40820256377164,4.468361651784935e-9,2.9882168546311756e-8,817.7 -> 184.1,PC,2046.920139314,1999.8801612865,1859.4001121523,2153.4201393136,1828.1401252735,2032.5601463301,2163.680160522,2145.9401473994,2205.4601440435,2655.0801963805,2522.5601768477,1693.0401229858,2682.200160981,2988.2601966848,2576.5601615901,2728.7001838671,3952.3803062432,2630.0401802056,2306.9801673888
PCo(32:3),-0.48093465962725296,8.850055362184914,30.29189529931449,3.7167569698300166e-8,2.410260580435223e-7,714.5 -> 184.1,PC,2804.600212096,3423.2802658084,2568.9201698305,3206.4402275104,3430.360256193,2595.9401893613,3160.0602302571,2682.5601692198,3301.0202255242,2395.4601821889,2138.4401512148,2377.2401733412,5949.42046356,6772.0205154415,6638.920440673,3375.9402236924,2556.2201995852,2975.6202087412,2886.2202224731
PCo(38:5),0.44111763337479853,9.297063550026431,25.632917455247586,4.1293481210278254e-7,2.599060287941043e-6,794.6 -> 184.1,PC,5417.7403755186,5854.8603897082,5536.9803848251,6568.8404312132,6875.4604644761,6428.6604614248,6197.4204559332,5149.4803733825,5440.9403610231,3409.640228271,3663.2402381884,3507.1602439871,4437.8003387445,3619.7402648923,4603.8803672787,4640.38028717,4490.680301666,4016.6803283678,1447.9601135259
SM (d18:1/14:0),0.4319337149459128,9.562146332151633,24.630009700708637,6.94615600866455e-7,4.247078245297753e-6,675.5 -> 184.1,PC,6735.6205101023,6421.3604774478,5701.1604766844,8525.2805557306,7085.7405014042,7697.4605140672,7809.5604591386,6876.4004821762,6628.7005386334,4100.6202850343,4309.0003242495,4281.9803199764,5333.3403320314,4831.3803138737,4877.3603935243,5282.0603256215,5412.9603958132,5016.3603935231,2427.7601699828
SM (d18:1/24:1)15Z)),-0.415517186755792,12.20250156931589,23.003812480283273,1.6168044974470412e-6,9.611004512601855e-6,813.7 -> 184.1,PC,30439.7022399849,30039.9216995111,28294.5620422339,36710.0423965315,35542.3825378349,35704.0422668486,32766.2622451812,31481.5823440541,33864.7022399978,35505.5226745473,31499.0818367004,33039.7220306398,42726.9835357544,41993.7028808752,43265.0432281459,46694.5228919942,44475.9431228735,44652.7826538099,15759.3212776419
SM (d18:1/26:0),-0.41345405968026366,7.758241980481451,21.97639788069893,2.7602405537575785e-6,1.5964634554165457e-5,843.7 -> 184.1,PC,1534.9801139827,1472.540107727,1401.3600997926,1467.2201156606,1262.4800872806,1542.8401145922,1289.8000869755,1588.0201225287,1493.6200828545,1538.3601112373,1567.5801086422,1626.5601043696,2053.2001190185,1737.0401306146,1903.7001228331,2027.3601493841,1923.2601356509,1718.300106049,1387.6000938415
PC (36:0); PCp(38:6),-0.40289448043423487,9.2756258576518409,21.389300794818368,3.748572157965309e-6,2.1110380047488847e-5,790.6 -> 184.1,PC,4523.5003280632,3936.4602317824,3559.8002624502,4569.0803184501,5023.500312806,4599.1803474441,4158.6603393547,3682.3402633646,4316.4003334051,4547.180320741,4293.6802787782,4611.6402969379,5078.6803398123,5887.0004310586,5450.4803428649,5443.7604103085,5610.1204147337,5945.4603996291,2908.0001907348
PC (30:1),0.3998609334725555,14.092772162461939,21.3347781585544,3.856708685123192e-6,2.1162452785034955e-5,704.5 -> 184.1,PC,153254.331054573,149234.292510983,147425.551879977,192208.153839076,184410.990173352,186196.593811003,161064.532592877,161025.050521883,154094.809722836,97585.646713277,94353.206619207,91111.206680265,125410.968261785,124445.088561829,119071.927429255,132873.549621512,130914.22930902,128058.61093132,18346.8410759066
PC (38:9),-0.3913183035738986,8.81362448161729,20.084194330592048,7.410658909859556e-6,3.9647025167748624e-5,800.5 -> 184.1,PC,3372.9402427677,3251.9802398697,3074.0401878353,3324.9402389533,3385.3802566526,3178.3402404791,2877.8402328493,2559.7201957707,2942.5402069094,3522.9202423096,3354.1002235415,2793.0001869202,4288.2403411861,3411.3602447515,4256.0202827468,4565.1803321835,3973.2002983089,3802.3802680962,2079.1201362614
SM (d18:1/26:1)17Z)),-0.3740174076837538,8.37806508987914,18.237531926018825,1.9499819064789165e-5,1.0177954341133857e-4,841.7 -> 184.1,PC,2087.3201599136,1819.7201385497,2170.640159606,2839.7602195735,2530.6601867673,2122.1201477037,2358.3601608272,2245.2801437368,2596.260189056,2272.8201446533,2635.1601600646,2670.6602172843,2304.4601478567,2831.8401985158,3323.8801841734,3022.0002136223,2958.7402114883,2825.1401863101,1631.9601097123
Lyso_PC(16:1),0.3659327749561977,9.861971639958316,17.732907769311034,2.5419106144196692e-5,1.295163979728117e-4,494.3168 -> 184.1,PC,7719.8805236806,7850.6805877753,7914.6205787589,8201.3204689021,9106.7206306447,9630.3006210281,9443.9806137107,8452.7206916837,8584.9605407685,5150.5803985594,6028.0204505907,5223.9403915434,6360.9604072538,6505.1405410732,6311.4803924555,6726.2005195618,6548.1804580681,6321.5403556846,2524.0202026366
C24:5,-0.3597349389202148,12.803334594932421,17.266568531012236,3.2485238269844317e-5,1.5995963120748178e-4,353.3 -> 353.3,FFA,54190.2038726868,48760.503478999,50120.0236282293,62642.304306028,50219.4433517455,52118.363990787,46779.28321075,44426.4630355783,45126.283027652,61886.564270015,63310.10447692,64406.924453749,71318.324783327,69706.065032933,65616.7845153884,46157.063415524,47460.583312991,44554.243179324,27545.1619339023
PCo(38:4),0.36075767233583145,9.91332801175039,17.243104849396715,3.288889613611775e-5,1.5995963120748178e-4,796.6 -> 184.1,PC,8111.4405555702,7333.1205062864,8633.1205978336,10723.220642088,10598.7208099252,8135.0805969238,9023.0607566752,8859.1405181841,9098.400642402,4974.1603584286,5467.9403762811,5267.1803627013,7099.6004600512,6626.9204902647,7423.2805023221,7726.2605476396,6788.880504608,6660.4204559311,1672.9201049786
C20:1,-0.3560973234772449,12.392991963172978,16.914034825396755,3.911133260918637e-5,1.859961150747974e-4,309.3 -> 309.3,FFA,41812.0630722103,36399.9425582836,36541.8025054942,55749.6039504821,41149.8429260205,39141.1427230853,30525.7221717779,31471.7622528086,33348.3025283818,43073.4033279476,45241.1431312522,45713.8231696979,62091.0645217638,57531.6641083018,57086.6643829068,31779.5222091645,32612.5820312495,30497.4623413066,16399.5211181652
C24:0,-0.35541701991603647,13.336498235584266,16.861414562738332,4.021076575315e-5,1.8706747546030653e-4,367.3 -> 367.3,FFA,83176.086196898,71396.88513182,70426.924728378,81616.785812343,76278.965560889,74025.645416247,63872.944343568,69540.96510318,66747.384658801,88101.30628969,91416.6066207638,92320.266571032,98999.546356195,94933.546516402,92949.966384918,70998.585144063,71184.5852279829,70858.384803778,41301.702835082
PCo(40:6),0.3473198728478909,8.608626000658111,15.788663901394239,7.082559374045533e-5,3.224824906480307e-4,820.6 -> 184.1,PC,3990.4602584836,3096.4001770032,3038.5202026374,3128.9602203363,4010.040233614,3981.5003013604,3601.0002403266,3404.8002586367,3413.3402137766,2461.2801551845,2401.5201759344,2690.4801979062,2497.0601654055,2397.4401702884,3080.2602424604,2757.3801994311,2127.3001670839,2524.8801727299,1488.8201065067
SM (d18:0/12:0),-0.33888370480476704,8.411864852927586,14.992704180987062,1.079276384595164e-4,4.811773881320106e-4,649.5 -> 184.1,PC,2661.3201713566,2229.9201698305,2317.8401832584,2394.760192872,3056.0602493279,2517.6201782222,2277.160175324,2267.5201339721,2123.4001426699,2460.0601997366,2433.9001808168,3000.9002113338,2931.1601982128,2919.0002021775,3288.5402259837,3187.44021988,2263.5001602192,2995.3802108772,1243.2200736995
Lyso_PC(24:0),0.333420240628756,8.988934933288583,14.623865985336018,1.3124192262092455e-4,5.731790089975072e-4,608.4577 -> 184.1,PC,4488.2203369144,4256.6203002939,4267.9802856455,4966.5603675853,5607.2803916943,5569.5603942883,3979.6602897631,3818.9002761828,4478.8002815223,2719.1201858528,4036.7403144835,3584.3602523811,3399.0802650454,2947.7802200322,3526.620231629,3650.1802787782,3101.9002227776,3268.1602401724,1608.9201240539
C24:1,-0.32799749180068677,13.001681292028726,14.362804451700184,1.5075097794964808e-4,6.452141856244938e-4,365.3 -> 365.3,FFA,59654.363967925,59058.604251852,60055.3441238251,59435.2642211738,58496.7244186224,63743.624832168,58427.5843429352,58211.964225742,57538.2840804899,72682.304634114,78679.765609734,77489.10546109,72224.4849395928,69991.425369266,71190.845069888,55632.1038207827,59860.4640350081,58208.2040481526,20766.141502381
C18:0,-0.3120018804520182,16.294003059857808,13.009997479521644,3.098323587963958e-4,0.0013000808780868375,283.3 -> 283.3,FFA,667875.64602667,564198.944061173,585686.084655732,644473.606872338,604258.544128414,591227.444580061,539969.800079072,527562.957565346,523520.418243472,757004.932220241,732678.375274697,725312.513915849,683855.769958662,679666.149414212,667530.985412478,593547.20053072,565034.242035034,574466.683502192,238026.458847061
PC (38:5),0.3117284348885568,10.841975111778943,12.933280657162287,3.227915773475772e-4,0.0013284114913919521,808.6 -> 184.1,PC,15237.2013244574,15054.7810974005,14891.3810997047,20354.2215309152,18752.9013137781,19019.5614929129,15668.5013847433,15497.7209815977,17212.1011314388,11123.540809633,10393.6007309036,10653.8007507309,12527.4609260559,13415.3408279341,14241.4210548402,13625.6810340839,13842.3208923296,13003.6010017207,2593.5601882937
PC (40:3),-0.31266435708479573,9.022205013549431,12.870735190513201,3.3376046495965043e-4,0.001347636594365381,840.6 -> 184.1,PC,3380.9202423095,3293.5202560418,3989.7003059387,3864.3802490225,4496.5603141798,3796.6403160108,3534.8402366644,4033.240299225,3566.9202346808,3761.6002311712,3353.5402297974,3549.3602447501,4697.5203781117,4603.1403121941,4257.3603363048,4976.4003601078,5804.6604270944,4077.8202972398,1521.8601112359
PC (36:8),-0.3102421958133024,9.566717509705526,12.731725456124815,3.595047153243953e-4,0.001424703871841122,774.5 -> 184.1,PC,5482.0603752145,5444.2004470829,4640.6403312661,6073.2803459163,6302.1204681379,5286.1603355411,4627.3003501885,5451.9203948966,6018.780345919,5330.3403396615,5348.3204154975,5023.7203292841,5906.900428771,6191.1804008489,7838.1405982962,7254.2204780589,6810.800479889,6911.6805229189,2613.340179443
Lyso_PC(20:2),-0.3072365545567117,8.151913578607212,12.270071749819952,4.602805737870546e-4,0.0017909098689169033,548.3638 -> 184.1,PC,2103.7601470951,1642.8001136773,2393.9401626595,2252.5801506038,1831.4401206966,2366.8001594541,2188.2401580804,1550.5001106259,1968.9401321405,2233.4601669299,1798.2201385498,2059.9801521305,2730.3402137756,2755.0201873786,3026.160213471,2081.6801567088,2190.1001777649,2031.1601257323,1244.6000823971
PCo(36:3),0.29856725523140326,9.836282088847248,11.815186862937775,5.874953578091524e-4,0.0022450715459135465,770.6 -> 184.1,PC,8929.3406715369,7736.6605491632,7219.5605506894,9906.0207939011,9535.6807556208,8104.3205337539,7097.6805953981,8108.0006294245,8259.640502929,5503.2204246504,5252.1603240981,5083.1804046633,7692.8404579137,5467.7603874187,6774.7005004844,6871.5604553277,6270.7204971313,7382.9606552111,1579.2001075741
PC (42:4),-0.2997829362948661,7.945376819332967,11.629877315932557,6.490083531917038e-4,0.002394617027293528,866.7 -> 184.1,PC,1691.7201118472,2005.1201362599,1722.0001106257,1631.0201225283,2025.1401367185,1958.6601371772,1624.3601036068,1375.2800941468,1685.1401138302,1661.3001022344,1852.0601272579,1582.3401222232,2084.0801467901,1935.7001304614,2234.1201438905,2155.7801628125,2212.6401672357,2193.8601417552,1346.8200988768
SM (d16:1/18:1),0.2968911986378622,9.306677104731607,11.63581761154785,6.469390002607657e-4,0.002394617027293528,701.6 -> 184.1,PC,4808.44039154,5787.9804077159,5272.4604072557,6328.7203865056,5917.4403533927,5622.1003494256,5872.0403556814,5748.2804756155,5320.4003486633,3635.6202735888,3736.8002662663,3649.2002563475,4408.0802841175,4527.0203018191,4237.2203140273,5035.2403221137,4648.1403083792,4270.8803520191,2382.4401588444
Lyso_PC(20:4),0.29722914736616635,7.793672732577358,11.388913528844324,7.388373100024141e-4,0.0026798505820426546,544.3325 -> 184.1,PC,1938.8401298514,1656.1001243591,2043.2001609802,1867.700134277,2003.4001464849,1963.3401603701,2140.9201583849,2035.9201278689,1750.2401275629,1371.6200981139,1341.3400917062,1335.4601020816,1287.7400779723,1504.5601120003,1639.7601280225,1463.2800941467,1560.2201118463,1583.5200881958,1189.5200843815
Lyso_PC(24:1),0.2801175135934508,8.493842185120966,10.26261833560718,0.001357528746513899,0.004841852529232907,606.442 -> 184.1,PC,3306.400211333,2965.140251161,2865.7601890565,3768.2802963267,3368.4402122481,3506.6202354436,2976.8002052307,2715.9401969924,3224.3802375806,2351.0601539608,2547.4801826503,2141.3201370244,2557.2401733408,1699.680141449,2430.9401664741,3019.1201934809,2515.1201744072,2541.9401588441,1362.3801078793
PCo(36:5),0.27934702195119043,8.145270760443863,10.14276303088484,0.00144868856058197,0.005082284458435108,766.6 -> 184.1,PC,2375.2001876835,2240.8001556404,2405.7001724249,2824.5201988224,2582.6802062983,2847.8201942456,2134.8601264965,2513.8001632688,2389.4801635735,1837.6801109319,1897.2401313785,1855.9401321426,2101.9401473986,1622.7401046762,1871.7601242065,2064.120136261,1766.6401214614,1914.6001358032,1307.500095368
Lyso_PC(20:1),-0.27420755108332945,8.424176253472831,9.825821044773091,0.001720788692386364,0.005939496454365837,550.3794 -> 184.1,PC,2656.7001838681,2404.1201858528,2702.1401786811,2371.5801773056,2222.8201713566,2602.0601921091,2382.5601615906,2397.7801742548,2780.3002166748,2635.8601722716,3101.9602203387,2113.4401588438,3046.940231323,3053.0602149956,2727.14019394,2883.1801872236,3049.6801872235,2597.260162353,1257.3800964357
