lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,C1-Cells_r1,C1-Cells_r2,C1-Cells_r3,C2-Cells_r1,C2-Cells_r2,C2-Cells_r3,C3-Cells_r1,C3-Cells_r2,C3-Cells_r3,R1-Cells_r1,R1-Cells_r2,R1-Cells_r3,R2-Cells_r1,R2-Cells_r2,R2-Cells_r3,R3-Cells_r1,R3-Cells_r2,R3-Cells_r3,blank
C20:0,-2.3061854315574437,15.491390618493263,647.1215282951671,9.443308191969397e-143,2.020867953081451e-140,311.3 -> 311.3,FFA,141445.848815932,123420.88827513,127033.088531476,130263.149353027,123100.448883058,122666.968200701,129795.929595941,127952.26861571,127282.149108886,756895.595397985,760878.598449735,759871.714843742,859817.225250285,861429.05920424,824173.4599609,117718.188232408,116208.147949243,116641.088867184,62300.204498283
PC (32:3),1.3177254544095578,11.497840725106427,224.20872506906193,1.0924256500613293e-50,1.1688954455656223e-48,728.5 -> 184.1,PC,32040.1425094646,29935.4221725636,31071.3223037693,39084.0029334951,39477.862693791,38206.4024238623,33138.1218261639,34180.1427459881,33402.2621994011,10234.6207199027,11803.8607330301,10548.4008445737,13809.5809593196,13293.3407592729,13972.6810150191,13881.3608894289,14135.9809913669,13437.4610328722,1750.7001152051
SM (d18:1/18:1)9Z)),1.0873476615553026,11.050922063674552,154.1150751824619,2.1856492099003925e-35,1.559096436395613e-33,729.6 -> 184.1,PC,23210.041381838,21187.2814407284,20586.4415474033,26497.3619232306,26857.3618163907,27290.7017478965,21933.1615028313,23393.8818054128,24497.4818229662,9499.6405220085,8528.6406631421,7636.1805610641,11163.6407356269,11046.0206871032,10249.7407607901,12051.0006637726,12039.4809379439,11623.9808464095,2693.7602157585
C22:0,-1.0405991597135076,14.173197503439328,141.91363099376986,1.0157022957478291e-32,5.4340072822508855e-31,339.3 -> 339.3,FFA,110293.847717272,94022.427215591,95223.346405002,103995.026992792,95359.846679653,98069.2070465111,96993.846847518,97312.066818226,94820.986526459,240901.157928468,242651.057632435,236745.456954956,227100.43630981,222305.776290882,217180.775970455,92298.527038532,89342.046142581,90568.94618226,51079.543594373
PC (30:2),1.0211637147446921,11.373611891448803,136.40169069836907,1.6298656235514948e-31,6.975824868800397e-30,702.5 -> 184.1,PC,26624.3417510879,26450.6815261712,25805.7217636237,32874.5623245237,34031.7424392511,32335.7825851359,31234.7022285593,27630.281723004,29990.422058106,11943.4608459438,10490.1206512471,10774.1807403568,13939.9409675734,14732.360935188,13921.4611434963,15612.9412117156,15374.0812187297,14916.2009735062,1994.9601326001
SM (d18:1/24:0),-1.0162602421072613,10.60154686381107,134.80315582285877,3.645798398182383e-31,1.3003347620183832e-29,815.7 -> 184.1,PC,8153.2206306411,7696.3405914294,7151.8004951479,8520.6205062823,9637.9205932654,8244.9205856327,7208.8805656385,8767.4206924434,7688.7005882262,11878.560787188,12615.9409675557,11838.8207397516,16278.1211814809,17199.6611175575,16818.4010925457,17230.5212402369,15765.1611022825,17254.0212631321,8831.2206382744
C19:0,-0.9859761738921019,14.7051392462074,127.69458900848394,1.309149467616418e-29,4.002256943855907e-28,297.3 -> 297.3,FFA,149099.589401269,158456.19128417,165565.090621969,144349.730987539,147243.589721718,143613.890350364,133697.86891173,133554.949127182,140693.890686035,306208.600402847,305565.280525208,304460.642997711,353329.144241382,357974.106048677,355717.16455089,126632.828796398,132376.429367068,140856.090454119,67751.444732647
Lyso_PC(20:3),-0.946264044825898,9.4298280206445,116.43782994571416,3.811417621206055e-27,1.0195542136726197e-25,546.3481 -> 184.1,PC,3656.0802688604,4291.9603271475,3155.6402282703,3598.9802055365,3794.0203285228,3850.9802513118,3839.7602958688,5078.100395203,3204.200218201,2802.4402160656,2903.3001823428,3233.1002235416,13569.5409851105,14029.181041721,13760.4810333196,4486.9803276057,3317.3402290335,3625.1402587903,2050.5401153562
C22:6,-0.9276438016085068,12.82599681892002,113.17973808227491,1.9707518066678794e-26,4.686009851410291e-25,327.3 -> 327.3,FFA,42518.78308105,37688.04258728,38698.002700801,41417.682907094,40520.662849421,41434.522949212,41764.382949825,38607.6826438922,38250.2627525353,80000.925735458,81047.246314993,84449.345489484,90225.386947639,85530.166107171,89177.726409894,39886.682907107,39362.162818912,37263.502532957,31051.162117009
PC (32:4),0.9044803739403957,8.609609011000002,105.53634784138731,9.31730620051033e-25,1.9939035269092106e-23,726.5 -> 184.1,PC,4183.2603263869,3929.6402626029,3642.4602355959,5056.0203437774,4672.4402847275,4249.9802627559,3650.6203117358,4101.8003387432,3799.4202117915,1959.3801307672,1813.5601272587,1950.3601379386,2099.4201393142,2033.8201370238,2554.5801963786,2066.4001350412,1829.6601409904,2029.8801536559,1178.9600753785
PC (36:1),-0.8308408587598,12.361678537688237,91.05535701309469,1.3970841337171641e-21,2.7179636783224825e-20,788.6 -> 184.1,PC,29825.582107543,29263.7422714197,27679.4423828175,34093.5430145239,36736.623054504,33940.222709669,28386.061920175,31272.902259834,27344.08207703,41514.163040179,39217.3822555587,39668.6427993793,54475.3244056678,55249.6041946366,58509.7040176473,58312.244682293,59311.324386596,52360.203201297,14336.3008880579
PC (34:4),0.8160331051700497,9.88635081436273,87.26228577747841,9.504305968903817e-21,1.694934564454514e-19,754.5 -> 184.1,PC,10351.1608276411,9468.9007110553,8653.1406898444,11428.6206283424,11612.0808296192,10349.5607795657,9480.2407226533,9359.7605514588,9173.9006767269,4340.8203086845,4450.0802803049,4372.0203247066,4943.6003265387,5592.8804016105,5197.2203636158,6712.9205093388,5892.960449217,5738.2204589838,1440.2400932316
PC (36:2),-0.7943644306510603,14.432905418824705,83.43009738312821,6.600931279922677e-20,1.0866148414641943e-18,786.6 -> 184.1,PC,129656.588806117,123495.488098087,116693.00872791,158863.312072742,152109.290313653,152535.269409155,120165.6285094,130341.408203166,127752.188476519,177870.21199048,172354.170776418,163792.352661125,241351.897765995,237454.93762204,236408.075683507,244917.417663692,239646.995239149,229955.577514644,23948.5619277688
PC (38:2),-0.7918991039147204,11.511348787118623,82.71976180171455,9.455121956659865e-20,1.445282927660865e-18,814.6 -> 184.1,PC,15921.0212516806,16227.1812896794,15510.881027227,20615.1213683992,19182.4212112324,19917.1815223821,16331.2811584432,16694.5013160706,16503.561195365,22220.7815208535,24563.6614341716,20452.8412132135,27616.8022460989,29517.1023139907,30556.1820144508,31544.8222122317,31943.5223083494,32977.3820114211,8506.7006835846
SM (d16:1/24:0),-0.7697642237866613,13.28990503207851,78.36732803261793,8.555556611138817e-19,1.220592743189138e-17,787.7 -> 184.1,PC,58438.764053331,55903.104080206,54185.862823498,71675.2251968089,72694.185501096,69652.644424445,56175.463981631,58177.004623401,54994.664367691,82190.085433918,79614.245300265,75685.765121457,102663.968383878,109381.76832573,104891.427093496,110772.807586668,101825.306060693,102481.107421869,15561.8409767029
PC (38:1),-0.7618835306030304,9.441848583686317,75.936899311464515,2.928757367852733e-18,3.9172129795030304e-17,816.6 -> 184.1,PC,3772.2602233886,4228.5802955645,4145.160297394,4181.440311433,4243.9802360546,4199.2002868665,3776.3803024287,3738.0402336142,4279.4602775583,5394.0203933706,5418.7003707891,5791.9804153458,7224.040554048,6003.400455475,7169.6605186434,7474.6004676841,6406.300487519,6500.3005104064,4048.800292968
