lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,EKO-R1-Cells_r1,EKO-R1-Cells_r2,EKO-R1-Cells_r3,EKO-R2-Cells_r1,EKO-R2-Cells_r2,EKO-R2-Cells_r3,EKO-R3-Cells_r1,EKO-R3-Cells_r2,EKO-R3-Cells_r3,WT-R1-Cells_r1,WT-R1-Cells_r2,WT-R1-Cells_r3,WT-R2-Cells_r1,WT-R2-Cells_r2,WT-R2-Cells_r3,WT-R3-Cells_r1,WT-R3-Cells_r2,WT-R3-Cells_r3,blank
C20:0,-2.133722162656982,15.488950147593705,535.6450065562967,1.6705488887904437e-118,3.5749746220115496e-116,311.3 -> 311.3,FFA,159329.651275606,139158.529953005,131400.429168695,141457.089752218,129478.208831754,133151.689392068,194005.752563412,177612.952514665,185023.253478991,756895.595397985,760878.598449735,759871.714843742,859817.225250285,861429.05920424,824173.4599609,117718.188232408,116208.147949243,116641.088867184,62300.204498283
C22:0,-1.0614026268980998,14.133419528197951,140.85973185980106,1.7266894039762512e-32,1.8475576622545888e-30,339.3 -> 339.3,FFA,122915.28845215,104808.347717291,102537.887359624,94044.96643064,90360.546371474,85215.38568114,112468.748230015,107876.667419393,111831.868057242,240901.157928468,242651.057632435,236745.456954956,227100.43630981,222305.776290882,217180.775970455,92298.527038532,89342.046142581,90568.94618226,51079.543594373
C22:6,-0.9788237682008717,12.773545702239092,120.10153813172754,6.01041454424874e-28,4.287429041564101e-26,327.3 -> 327.3,FFA,43546.922904963,41428.022918698,39700.542861936,40347.68299866,37460.082695003,36607.1826477027,43260.643127442,44215.403114324,43699.263061523,80000.925735458,81047.246314993,84449.345489484,90225.386947639,85530.166107171,89177.726409894,39886.682907107,39362.162818912,37263.502532957,31051.162117009
C19:0,-0.9434301542106857,14.683850061543572,111.80828450063814,3.935877222162547e-26,2.1056943138569627e-24,297.3 -> 297.3,FFA,166876.59097291,158389.330612137,153961.330322277,134773.569152808,155436.331649763,179823.433502197,154209.911895764,159505.111328095,175539.592559812,306208.600402847,305565.280525208,304460.642997711,353329.144241382,357974.106048677,355717.16455089,126632.828796398,132376.429367068,140856.090454119,67751.444732647
Lyso_PC(20:3),-0.8604093696398688,9.412011639895525,92.30199256738615,7.440934196550197e-22,3.184719836123484e-20,546.3481 -> 184.1,PC,4919.2604026795,5165.1803779599,5301.4803199778,3823.7402305595,3355.4002532963,3600.9002456658,4484.0203781116,4278.6603088378,3581.3602981559,2802.4402160656,2903.3001823428,3233.1002235416,13569.5409851105,14029.181041721,13760.4810333196,4486.9803276057,3317.3402290335,3625.1402587903,2050.5401153562
PC (32:3),0.7095340041248281,11.05502614988066,63.51746191030699,1.5895154738149793e-15,5.6692718566067595e-14,728.5 -> 184.1,PC,28295.7619476468,23701.5616798399,22679.0616531214,23635.061553949,22835.6614837666,20938.6213760254,23801.0014915422,25089.9812850872,24432.6217041004,10234.6207199027,11803.8607330301,10548.4008445737,13809.5809593196,13293.3407592729,13972.6810150191,13881.3608894289,14135.9809913669,13437.4610328722,1750.7001152051
C15:1,0.6325761745473996,13.210283519716718,50.72175926040518,1.064330318684367e-12,3.2538098314064936e-11,239.3 -> 239.3,FFA,49063.9232101397,88472.126022325,92858.1467208892,51068.323463433,178693.933547988,244222.996353146,40241.122772221,53780.463684102,83714.3657302827,43247.563087462,55840.263931266,75384.6054077151,43639.323043821,50835.2434234813,79884.785583464,37210.1626205399,47112.643096925,74463.82528686,37924.2226715055
PCo(32:3),-0.6338683782226346,8.747277174501063,50.09416877065834,1.4654182439394306e-12,3.919993802537977e-11,714.5 -> 184.1,PC,2589.7201461793,3177.4602279656,2986.3601913455,2819.340175629,2466.4601707446,2773.0602111805,3005.1002426152,3189.98023224,2726.6601715087,2395.4601821889,2138.4401512148,2377.2401733412,5949.42046356,6772.0205154415,6638.920440673,3375.9402236924,2556.2201995852,2975.6202087412,2886.2202224731
C20:1,-0.6084668531627083,12.253101815076782,46.924867104905104,7.376084638942165e-12,1.7538690141484704e-10,309.3 -> 309.3,FFA,38875.3228607056,35436.882316595,32900.5023689256,30249.3820800804,29743.6420517,30679.0422897278,36542.9825439411,35621.8623504625,37562.5025978124,43073.4033279476,45241.1431312522,45713.8231696979,62091.0645217638,57531.6641083018,57086.6643829068,31779.5222091645,32612.5820312495,30497.4623413066,16399.5211181652
Lyso_PC(19:3),-0.5735009845337541,7.692859574530791,40.32810176502141,2.1469844844711322e-10,4.594546796768223e-9,532.3325 -> 184.1,PC,1666.2801246648,1568.3401222232,1633.5401306159,1183.1000938409,1365.7200927737,1285.6400947567,1259.160095215,1430.2800979616,1367.1201095584,1356.2800979618,1334.1601066593,1339.98010254,2936.5802535996,2804.4002151498,2422.7401962295,1533.4000892635,1632.4201164256,1294.8000793456,1310.0600967409
