lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,EKO-R1-Cells_r1,EKO-R1-Cells_r2,EKO-R1-Cells_r3,EKO-R2-Cells_r1,EKO-R2-Cells_r2,EKO-R2-Cells_r3,EKO-R3-Cells_r1,EKO-R3-Cells_r2,EKO-R3-Cells_r3,WT-R1-Cells_r1,WT-R1-Cells_r2,WT-R1-Cells_r3,WT-R2-Cells_r1,WT-R2-Cells_r2,WT-R2-Cells_r3,WT-R3-Cells_r1,WT-R3-Cells_r2,WT-R3-Cells_r3,blank
SM (d18:1/18:1)9Z)),0.5524984025384894,10.67469037212757,38.6249826500229,5.135732926058543e-10,9.991334965241163e-9,729.6 -> 184.1,PC,19987.9213752735,17443.9609489289,17252.4814605662,16387.6810874984,15224.1208801232,15425.0010223431,19257.7213020277,19569.9813423033,16768.9811744673,9499.6405220085,8528.6406631421,7636.1805610641,11163.6407356269,11046.0206871032,10249.7407607901,12051.0006637726,12039.4809379439,11623.9808464095,2693.7602157585
C24:5,-0.5039943989183093,12.70735197897826,32.28117405232092,1.3339956609473314e-8,2.3789589286894075e-7,353.3 -> 353.3,FFA,53278.423767073,49230.4434585537,46371.183288575,45999.983329773,42975.1430053723,42216.3030471848,53085.283592229,51243.503517146,52011.1636200006,61886.564270015,63310.10447692,64406.924453749,71318.324783327,69706.065032933,65616.7845153884,46157.063415524,47460.583312991,44554.243179324,27545.1619339023
C16:1,-0.48758282596525426,12.15333548927699,30.207759125490952,3.881534922441957e-8,6.389603641558298e-7,253.3 -> 253.3,FFA,42579.4030036842,33137.9622077941,33086.3622779835,31237.0821723943,27619.281986241702,26940.5219421361,35748.7427368249,33353.3223686149,36658.9426841634,29955.1621017467,32604.482185359,34302.9424285969,60012.884139995,62427.2440796013,61507.2843360834,29064.1621398897,27932.0618400577,28191.2619056664,17972.8213386525
PC (32:2),0.48148501204121735,13.819525015477488,29.49262104129112,5.6129996774467025e-8,8.007879539823963e-7,730.5 -> 184.1,PC,181678.134094199,152100.030456723,144377.250457575,149638.410522419,139283.348358225,134614.729095534,161308.732177732,162869.054504253,155166.909851214,79666.026290878,78409.78463746,77716.645233163,101275.866485574,100916.165939291,98694.268249468,112041.128204436,112373.14788818,104267.166534412,6489.4604911808
SM (d18:1/18:0),0.4816582579157831,13.258652505673632,29.506660251837726,5.572488042556266e-8,8.007879539823963e-7,731.6 -> 184.1,PC,116955.548736597,104153.589019741,99906.046020548,96049.167297442,93090.127136139,91977.547561661,110237.909423874,112404.627044567,103123.248046889,52433.443527223,52517.563583367,52030.084190372,70753.924774167,68529.324554443,67896.585281366,77937.565368646,71586.465164189,68073.464828478,12491.0408744635
C18:2,-0.47222710936495793,11.995388896268235,28.338192211888952,1.0186625354307729e-7,1.3624611411386587e-6,279.3 -> 279.3,FFA,33589.2423553443,31542.5424041692,28360.8420639023,27961.7220077524,24820.4016227732,25893.1619110064,33036.5025444067,32755.7624664352,34139.3823852557,34062.5625343232,37608.4826278611,37617.4226684503,46184.363456704,46793.3432807864,46768.6833648859,25125.021827696,26141.521797177,25618.2218551636,14117.1009483347
PCo(38:4),0.4541621218688329,9.924975147590422,26.073319745943984,3.2869475921874585e-7,4.137686968988918e-6,796.6 -> 184.1,PC,11340.3007125847,9553.9206237832,9407.4806480454,9479.7407379171,9458.3805923476,8790.3205757132,10850.4407997048,10899.8608283913,11138.8608779908,4974.1603584286,5467.9403762811,5267.1803627013,7099.6004600512,6626.9204902647,7423.2805023221,7726.2605476396,6788.880504608,6660.4204559311,1672.9201049786
C20:3,0.45023123132559734,13.429924097436155,25.79887956583252,3.789083649520662e-7,4.504799449985676e-6,305.3 -> 305.3,FFA,145884.15052796,116120.98788069,105720.327270493,100798.387523602,92005.8060989605,91267.5465698259,126656.628612531,127602.189556121,129245.588493345,59459.7241211144,59315.7642135594,60775.3242187334,79098.1255798467,83832.3659591788,81236.6254501326,77543.4650077878,78641.4455604532,79831.925975779,18531.941375734
C22:1,-0.43343410584331693,12.319835836370173,23.89874421430426,1.0153797542725162e-6,1.1436382495490446e-5,337.3 -> 337.3,FFA,41060.6629714935,39507.0427932757,36555.1224975607,36776.9825744683,36183.822456358,33983.302482599,40740.9030303908,40269.1430206241,40682.1629333453,43547.3630752553,44880.5433387768,43905.6628570563,55299.103805533,54095.7838973888,51259.3034973102,36267.7025260976,37635.4626159711,38109.6625442506,16971.0611953724
C17:1,-0.43045862815456043,11.403934700496363,23.542474832361677,1.2218636765264348e-6,1.3073941338832851e-5,267.3 -> 267.3,FFA,20136.2014350888,19828.3614616383,19075.7413902309,19011.2212829604,18432.121318816,19057.6813354481,21081.5014228796,21356.5815048214,22042.6015510549,20809.0415306088,21081.6615333544,20498.6213684089,32373.3821945182,32003.0423088042,30902.4420776411,18785.8613700852,16510.221195221,18136.4812927232,13673.1409568842
C24:0,-0.4278275720323303,13.269288831984426,23.30233495438256,1.384318480016404e-6,1.4106864510643353e-5,367.3 -> 367.3,FFA,80974.165771472,72624.204940805,74306.284957858,72968.8848647973,68172.024749754,69067.404754651,75334.4853820866,72918.38507078,75974.705299377,88101.30628969,91416.6066207638,92320.266571032,98999.546356195,94933.546516402,92949.966384918,70998.585144063,71184.5852279829,70858.384803778,41301.702835082
PC (30:2),0.41971006789767407,10.962812997509783,22.366093813502303,2.2531693467949394e-6,2.1917192737005318e-5,702.5 -> 184.1,PC,22918.802047726,19878.5414810296,19598.6611938551,19642.8614425555,19512.4811706329,18710.2413711676,21591.6417236277,21361.8617172196,22811.9813842934,11943.4608459438,10490.1206512471,10774.1807403568,13939.9409675734,14732.360935188,13921.4611434963,15612.9412117156,15374.0812187297,14916.2009735062,1994.9601326001
PCo(34:1),0.41514455339875667,12.474231051850197,21.934521468035257,2.8211310456876254e-6,2.624878451205008e-5,746.6 -> 184.1,PC,62396.924499513,53947.184295659,53882.7036247106,56213.904342649,53607.003936755,52466.104202256,67950.42463683,67272.7255477867,61715.804306016,33139.1223525936,32543.0819282472,31488.0623016291,41335.323188789,39039.843231209,39381.742599499,45010.102920538,44202.1628189213,40778.1626892085,6560.4005050659
C24:1,-0.4096295380296663,12.931174816526664,21.364736845304247,3.7969088625551392e-6,3.385577069111666e-5,365.3 -> 365.3,FFA,62388.1045074244,59883.9444046005,60678.8643417282,57195.3241195637,57553.5439796332,55666.94401548,61936.2641296452,57596.9642333932,63157.364547738,72682.304634114,78679.765609734,77489.10546109,72224.4849395928,69991.425369266,71190.845069888,55632.1038207827,59860.4640350081,58208.2040481526,20766.141502381
PCo(38:3),0.39924736849500153,9.698692954787532,20.142190821613944,7.189316901734463e-6,6.154055267884701e-5,798.6 -> 184.1,PC,8938.3806724537,8812.3005638102,8093.7605552662,7132.300521848,7784.4804573067,7257.3405838005,10262.5407714796,9159.7405891354,8566.6606674201,4442.3603134158,5323.2203254708,5100.6603546149,4905.3003425591,5544.6603431722,6460.1604576113,6371.4005393974,6357.8404579159,5760.1804351792,1904.8401412966
SM (d18:1/16:0),0.3945264657901114,13.660404768469835,19.83021692246757,8.463411588304692e-6,6.966038768835399e-5,703.6 -> 184.1,PC,144101.35025021,122526.806854314,120241.747909734,129046.908523441,119981.529937694,114170.847961578,143202.128204373,144000.970336879,138734.090026819,71832.3444671765,70329.745208697,65336.2054634105,94769.3068313351,98744.746711804,90267.606819103,99868.927093459,97692.846908639,93916.547042814,37158.8032455607
PCo(32:2),0.3930002366980831,9.757051687806184,19.525702664241727,9.925515615857594e-6,7.866890154790833e-5,716.6 -> 184.1,PC,8677.7406501765,9094.2206192028,8289.3606491092,8892.7606887809,8844.6406631428,7767.5405731221,9833.2407989451,9234.0605621349,8344.9805221566,5322.6603622443,4903.9604072561,5112.4603157031,5902.7804603574,5716.7603645329,6136.9204635632,6444.8405456546,6244.5805244453,6823.4205017094,1774.3001251216
SM (d16:1/22:1),0.39076748892326346,11.474481667449886,19.41763541351594,1.050326839909398e-5,8.027497990736114e-5,757.6 -> 184.1,PC,33321.3222656366,28530.6424636987,26114.7019882295,28461.9020233016,26685.6817360006,25421.4217910929,31424.5621490524,33050.082412716,30445.6422653054,16264.4610061672,17082.0211563011,14825.4012832546,21544.741573331,20656.1014099117,20744.3215255822,22345.6215515178,21306.6615295419,20814.4416236803,2675.6801986686
C14:1,0.38725678483037196,12.813240186516177,19.09884547618026,1.2411994836498154e-5,8.85388965003535e-5,225.2 -> 225.2,FFA,42452.323028564,62613.90439607,69203.884857178,40298.402961727,113083.528045635,150693.990493759,36045.062576295,43759.243209842,58759.0044403,38745.362648,45257.683319086,60216.104446383,39600.222740175,43573.483230609,61361.184356708,32720.622245793,41068.96295166,56231.7241897678,40406.66294861
SM (d16:1/18:1),0.38936552392315427,9.316237474952898,19.107244314891876,1.2357493786257567e-5,8.85388965003535e-5,701.6 -> 184.1,PC,7354.8205108661,5444.7403144825,5948.3204078665,5482.7404136651,6346.9804611208,5995.4004745519,6499.5604591372,7447.4604797345,6696.2405586238,3635.6202735888,3736.8002662663,3649.2002563475,4408.0802841175,4527.0203018191,4237.2203140273,5035.2403221137,4648.1403083792,4270.8803520191,2382.4401588444
PC (38:3),0.38414330509696554,11.995634295422429,18.78098249543433,1.4662189058742775e-5,1.0121640188938561e-4,812.6 -> 184.1,PC,44694.882781979,38447.882629416,38464.1222305403,40042.962997441,38446.2625427178,36414.2622985781,46582.663337705,47525.563644411,45734.32336424,22156.4014778193,21274.6616020181,21820.201622005,29548.8022003212,29360.3219833312,30658.0220718307,34279.8024215706,30868.66228867,32585.4423828,4873.6803550732
PC (40:4),0.3811700695486834,10.246541650240559,18.415979782749844,1.7756265921410567e-5,1.1874502834943317e-4,838.6 -> 184.1,PC,12367.9208183273,12207.0208206117,10767.7408790604,12169.8008651675,12508.0007400536,11155.840835579,13847.1009941117,13404.840831753,12803.7008857794,6750.5404548641,6799.3004455546,7080.5805587727,8181.7005195563,7820.0005874612,8601.2606620746,10769.2208175572,9848.7805252087,9001.4405822752,1865.8201408388
C24:6,-0.36970491239467457,12.324649236201315,17.404515763554002,3.021073759162861e-5,1.9591205589722794e-4,355.3 -> 355.3,FFA,42549.823043822,38713.542724608,37887.762451172,36388.122497556,35129.2024002027,35991.0625076235,38893.442802428,37574.002899169,40451.5628356938,47629.4031600976,44767.3229827904,45816.403213501,46443.563354487,44178.3630447388,43674.182952876,37757.1624298134,36425.7625656135,37621.12272644,33288.402328494
Lyso_PC(20:2),-0.37065634568778233,8.084428628099266,17.0620338342202,3.6178385005852853e-005,2.2771101150742678e-4,548.3638 -> 184.1,PC,2478.4201927186,2152.960166931,1768.0001220697,2318.52017212,1851.7201347353,1765.740135192,2016.4401435854,1993.060134887,2224.5401573191,2233.4601669299,1798.2201385498,2059.9801521305,2730.3402137756,2755.0201873786,3026.160213471,2081.6801567088,2190.1001777649,2031.1601257323,1244.6000823971
PCo(34:2),0.35989114834708597,11.108537186677111,16.465961162848032,4.953140526767762e-5,3.0284916363665745e-4,744.6 -> 184.1,PC,23832.9013900721,22193.381851189,20856.5613479592,22142.9614448654,20365.9214668259,19776.0013504142,24466.6618423487,23560.2219352871,24414.0815505907,13079.2010078292,11852.8009300114,12611.6808738667,16550.6210708599,14952.1010665753,17550.1413383403,18316.1412773002,15981.1011352575,16562.3609695271,2849.9401931778
PC (34:3),0.3515915442965891,12.366813710838908,15.746753617760533,7.241209699583576e-5,4.3044968769746816e-4,756.6 -> 184.1,PC,61266.404510502,54492.664260869,48566.603546146,51121.063713087,46656.403701772,48327.103645325,58407.064819338,57752.324340822,58388.3642654473,31093.5419197139,31388.2622261025,29689.481758129,40436.362350479,38539.122428875,36252.102714539,44435.623046885,38652.0026245135,41538.8431777951,3224.5402679439
PC (32:0),0.3480152842949437,14.589532664171132,15.445035277616626,8.493978148205707e-5,4.912733307340598e-4,734.6 -> 184.1,PC,271728.580139288,243569.216491484,227029.979248136,239880.035278362,234358.217773407,221830.915161152,280746.196411077,273602.37817382,262725.27746578,141976.649322504,135381.549499283,136361.849578937,183965.389892484,177898.113525461,182354.792449885,205443.79238896,196066.771698108,191857.413391117,19829.7414550925
PCo(34:3),0.33618410919999686,9.192968451694608,14.242680818463684,1.6068449687062849e-4,9.049074297451183e-4,742.6 -> 184.1,PC,6226.9004096988,5893.7804489114,6031.3003921499,5215.7003479002,4929.2203712451,5315.5803680418,6644.5004882822,6074.1404609683,5728.9403915426,3320.1602172854,3590.6602859489,3152.0602531425,4572.1803436269,4434.0802841188,4429.7803077702,4601.820343018,4093.6003150938,3863.6602668752,1751.7801246654
PC (38:4),0.3294804397667309,11.964179714599625,13.826492580287763,2.0048926696941292e-4,0.0011001205931142144,810.6 -> 184.1,PC,42835.582931528,37375.3625945921,37815.6231613276,39067.1225166422,38373.122673036,35929.8421935986,45245.903610234,44092.783157355,40643.002410899,22783.7621231099,23409.8618240466,23537.0619697709,28619.001853948,29282.202209463,30112.2423629808,31748.442314143,30601.7618560735,31430.5024642728,5126.9003601079
PCo(38:5),0.3293178035819118,9.195199634277476,13.669328341978616,2.1798589626545518e-4,0.0011662245450201852,794.6 -> 184.1,PC,6156.7803382846,6006.5204353322,5480.1404304509,5467.0602951064,4792.8803215031,5299.6403427116,6493.000415801,6809.8004455556,5866.6804351798,3409.640228271,3663.2402381884,3507.1602439871,4437.8003387445,3619.7402648923,4603.8803672787,4640.38028717,4490.680301666,4016.6803283678,1447.9601135259
PCo(40:4),0.3281367144120176,9.115728235687387,13.56179868305024,2.3083578330331228e-4,0.0012048501860221666,824.6 -> 184.1,PC,5658.9404296882,5083.3603286739,5078.9803085339,5138.3202972426,5169.1603775024,5160.7803306599,6098.8605041527,6333.4804763798,5719.0204048164,3107.5002288818,3678.0802803036,3502.5402564986,4308.4602966312,3558.0402221675,4056.1003189082,3613.0402908307,3799.5402717596,4698.120372772,1438.5000877385
PCo(36:3),0.3254213527270071,9.810824492401457,13.405915229497921,2.5083204087867917e-4,0.0012780489701913651,770.6 -> 184.1,PC,9947.0607070937,8771.6207351709,7906.9605407771,8366.8407402008,8204.1606330861,8359.4006462077,10468.5208015492,9089.5006217992,9669.7806510972,5503.2204246504,5252.1603240981,5083.1804046633,7692.8404579137,5467.7603874187,6774.7005004844,6871.5604553277,6270.7204971313,7382.9606552111,1579.2001075741
C18:1,-0.3203104750528104,13.597920353653434,13.084925798971653,2.9768162557021385e-4,0.0014814852993494363,281.3 -> 281.3,FFA,121865.229095445,100407.786849981,91462.346466084,82118.2856063586,77050.1451339752,75649.245079036,113554.487190223,110850.047698981,119119.428504976,105316.088233956,111126.228111304,105689.287734983,126560.32839965,131744.750190714,131620.869773839,80482.5854034169,86724.2863387845,79997.765678378,27126.7419319159
C18:0,-0.313057574613127,16.257393475535455,12.50620790650646,4.056020229694414e-4,0.0019727007480786467,283.3 -> 283.3,FFA,699354.948486402,577070.178894183,579482.581329152,558102.398651168,491308.036392072,495140.495452744,759609.354705825,707087.11059568,729759.592163072,757004.932220241,732678.375274697,725312.513915849,683855.769958662,679666.149414212,667530.985412478,593547.20053072,565034.242035034,574466.683502192,238026.458847061
PCo(34:0),0.3122490077616472,9.844204571072147,12.345236417654121,4.421131536942228e-4,0.0021024936642347484,748.6 -> 184.1,PC,9236.6205711384,8640.5406684895,8037.0006370523,8136.7205276477,7836.0006599368,8364.1405334477,10978.1806449872,10283.7406730663,9429.4406814443,5950.960430145,5541.1603660576,5159.5803947426,6409.9404563896,6862.1404151917,6581.3604469281,7602.6205825798,6563.4205322294,6171.9204902651,3159.2202148442
C17:0,-0.3018277474824793,12.691461355949802,11.614719434347904,6.543190777974643e-4,0.00304400614453603,269.3 -> 269.3,FFA,55258.22377014,52385.343582144,50064.623443595,49544.383392337,44836.063117988,47404.8432846087,50917.423263552,51553.063674914,54530.323806775,54731.263839724,55060.523925768,54436.863952638,56827.764221189,56250.604049672,58313.244514465,51972.803817751,50120.943283084,50929.123451233,40828.862838747
C26:1,-0.3005284567513667,16.40704405826091,11.527092779614577,6.858919284336287e-4,0.003122997291165884,393.3 -> 393.3,FFA,870211.923179796,757416.781662024,747899.535015408,708611.669501919,651892.346431357,625640.199478127,651859.378200148,671051.187087782,699824.249008174,856880.00123625,879067.497588919,889431.625747622,714897.149871844,697060.615417508,681556.066650375,681102.127814843,702760.649757082,691210.2857664,19580.181320189
SM (d18:2/24:1),0.2954462539305103,11.20613934113449,11.108440969340421,8.593569968233348e-4,0.003831299944170701,811.7 -> 184.1,PC,26289.222034461,22030.9613037177,22613.6813278196,21074.0814742959,21036.3613624483,19634.9815597532,26904.722015365,24655.4418068016,25702.4815521203,13889.1409149151,12710.9009933412,14122.301094045,17918.6811256463,16750.4811820901,16863.3210525499,19008.9011612003,19337.18151856,18867.7812461802,5050.7403602613
Lyso_Sphinganine-1-phosphocholine,-0.29937358526333135,7.4885707752543365,10.98443836316429,9.188012239257355e-4,0.003932469238402148,467.3536 -> 184.1,PC,1332.3001060493,1507.8801116942,1588.9801216132,1402.6601066578,1330.860088348,1340.7801055907,1274.5800933837,1309.4800834656,1191.8000907898,1171.5600891112001,1382.6200981136,1445.5800895684,1429.2401046752,1085.120075226,1585.4401168822,1742.5801315298,1665.9401168836,1765.3201446529,1178.6400909426
SM (d18:2/22:1),0.2944156954506646,10.525551514328983,11.011149186263179,9.056547927850377e-4,0.003932469238402148,783.6 -> 184.1,PC,16606.9410629241,13618.2208023005,14853.6810607822,12868.7008018505,12704.7010192847,12798.260898582,16527.9811096047,16197.3412551974,14612.0608787505,9358.5606041,8341.0005531377,7529.9404830929,10720.8807678238,10578.4407119752,11243.74067688,12116.2609214906,11723.5808677625,11682.9807929969,3191.4002113351
PCo(32:0),0.29331176619189964,10.733787393786287,10.935740142202434,9.432679538831203e-4,0.003958026316293877,720.6 -> 184.1,PC,16988.981327055,15466.6609497123,15431.8012275597,15849.6810722442,15529.6010627836,14875.4609909181,19005.1013069303,18259.7214126575,19193.8011817878,11127.2007675241,11613.3409118654,9377.0806960955,12644.6408119292,12043.5809020919,11719.3609657341,13703.3810310145,11703.0409393189,13177.3810844405,4154.520263672
C22:5,-0.28763807302129546,11.8114663697881,10.53991218888522,0.001168239701865215,0.004807755696137615,329.3 -> 329.3,FFA,28748.8221359232,28465.781944277,28265.8819503755,24650.2017135591,25242.361907958,25348.5018997186,28889.9819869955,27649.721908567,29368.062156673,29810.782051089,30379.022136689,30464.7421989479,29655.4023056039,29871.1620635913,30079.4422302262,27274.521949770002,26776.2419662499,26843.8419494636,25730.0218963637
SM (d18:0/18:0),0.2774224530264244,14.322335700484567,9.822751699648506,0.0017236627049082125,0.006959694695289764,733.6 -> 184.1,PC,231982.63629158,196066.1916504,185868.15209954,193988.889587399,190150.053710798,181637.853210432,221079.033996589,223943.69497675,213504.395874125,126977.208404527,117882.389831569,121627.888885477,157475.609893645,155184.850250043,155747.250060991,167639.83242796,168002.771484526,155038.371429436,11872.8607711758
C16:0,-0.2706803660458639,16.275641255056595,9.354179125232804,0.00222477589439064,0.008406279827709803,255.3 -> 255.3,FFA,775395.959381133,642347.898742714,611806.7816163,561519.040771527,491986.355773674,492927.232482842,769120.915649393,691358.155303966,747932.35220351,715443.326507616,713154.648773004,702060.009170432,699268.371001957,711846.733795191,702152.886779762,579061.339874405,597136.778320488,587997.999511636,212711.674194336
Lyso_PC(19:2),-0.27763362080464543,7.238981500448601,9.373699675967558,0.002201207967591569,0.008406279827709803,534.3481 -> 184.1,PC,1287.8000907894,1087.5400695802,1224.080089569,1112.5400810244,1156.980075836,1107.5400772094,1066.3600730896,1137.5600852969,1149.1200790402,1099.4800758365,1244.3600769044,1190.5400848388,1161.3600730897,1210.3600959777,1493.0801086418,1153.7000808718,1074.4200820922,1285.5400810242,1145.6800804138
PC (32:1),0.2705672380178086,15.771534566625823,9.34603840652494,0.0022346799834286426,0.008406279827709803,732.6 -> 184.1,PC,628806.14746114,539351.43408199,522283.83471665,532826.82250959,503424.33679205,499034.91467289,611292.87829587,595896.35791025,576783.70190419,335797.51879888,323163.165710425,307757.802307141,446383.13183589,425449.24792488,430448.59045414,472995.332092325,450870.83215317,442595.35107415,30069.9421653802
PC (34:0),0.2706593183969766,12.5416953683922,9.342453296665951,0.0022390558419600874,0.008406279827709803,762.6 -> 184.1,PC,61774.924636828,58888.103347786,53270.943206782,55380.023941029,53033.1846847657,53223.203308117,65830.243743896,66022.285018918,61918.8848876848,34994.8625335994,34891.202644343,33210.3025360091,45945.68371582,47418.643424987,44811.503616341,48673.463050841,47647.7431945845,46283.302932743,8230.9204902642
C32:0,-0.2689646786125873,11.738024224665287,9.21715318396491,0.0023975806653135723,0.008846245903053525,479.4 -> 479.4,FFA,27017.0819778475,30122.4421310396,29745.8423194905,24661.0017204273,25064.6818847643,25120.9618225116,25480.5417861983,25422.7617454482,27392.44199371,26149.1018257106,26609.001762389,27164.6219329791,24964.1417045553,26695.8818969699,28163.9221153276,29771.5020866347,28831.1421737695,34361.5422782876,18435.8812904344
C26:0,-0.26695525827076105,15.103527451490352,9.097853255889278,0.002559096794709002,0.00928214769606316,395.3 -> 395.3,FFA,340272.86437225,306697.780391726,303691.243156444,284144.041557313,269512.479530353,257189.178337096,272149.459945673,284669.999885557,285741.040168762,331634.103691064,344373.68478394,347197.083229064,289484.460006746,282509.121269237,280992.899742154,282132.660621677,274719.958808929,277662.600120566,28102.9420165958
C22:4,-0.2632632828055718,11.690796375480243,8.830214481741663,0.0029628356198900933,0.010567447044274666,331.3 -> 331.3,FFA,26999.7819747866,26645.3018760682,25113.9418487534,23487.1617050195,25258.581703184,24366.8217086815,25302.6218032822,26474.7818756107,27210.4218673708,28548.561981198,27911.7818298322,27464.7820129361,26682.8218460067,25578.0218200674,26648.8019828854,27003.702018734,25860.981765747,24969.4817428587,20940.6414222699
PC (44:10),-0.26381150760457067,7.372547330320499,8.503895658280104,0.0035438692918234355,0.012432590630331397,882.6 -> 184.1,PC,1196.8800735469,1106.3200759887,1298.2400970461,1186.060081482,1223.4400825499,1326.8601074223,1270.5000953674,1379.9201011654,1493.1001014712,1298.2000885006,1155.40007782,1192.0600852966,1439.6201095577,1441.2401161187,1557.8000984188,1342.9600906368,1398.4001007082,1214.680088043,1145.7400817868
Lyso_PC(20:5),-0.2608569312602182,8.057290654836976,8.456612523214915,0.003637186350278292,0.012554159338057331,542.3168 -> 184.1,PC,2322.7201690671,1489.3601112372,2179.4401435836,2079.3201408382,2153.8001327516,1910.800148011,2134.5601425164,2155.5001525898,2490.280158996,2948.5001907354,2280.3401641851,2291.6201438902,2072.7801589967,1579.6201133727,1870.7601470946,2287.8801650984,2071.2001686089,2201.7601776122,1313.3400955198
