Majority protein IDs,logFC,PValue,FDR,Fold_change,average_C_lfq,average_R_lfq,MS_C_average,MS_R_average,Gene names
A0A0G2K327;Q8K4M9,-29.78761541,5.56E-29,7.49E-27,1.08E-09,115925400,0,8.8,0.4,Osbpl1a
G3V6L4;A0A0G2K070,29.69318398,6.21E-29,7.93E-27,8.68E+08,0,108398400,0,13.6,Kif5c
P84039,-29.66266231,6.48E-29,7.93E-27,1.18E-09,106425200,0,8.2,0,Enpp5
P30152,29.60216653,6.95E-29,8.14E-27,8.15E+08,0,101173800,0,4.8,Lcn2
D3ZA22,29.55557763,7.36E-29,8.26E-27,7.89E+08,0,98460800,0,11.4,Trim47
Q9WVJ6;Q6P6R6,29.49619246,7.91E-29,8.52E-27,7.57E+08,0,94542800,0,8.8,Tgm2
D4ACN7;A0A0G2K695,29.33233042,9.67E-29,1.00E-26,6.76E+08,0,84450600,0,11.6,Myof
D3ZEZ9;F1M155,29.16020311,1.19E-28,1.19E-26,6.00E+08,0,74906200,0,12.4,Svil
Q05096;Q05096-3;Q05096-2,29.09022273,1.30E-28,1.25E-26,5.72E+08,0,71383800,0,9.2,Myo1b
P02793;Q7TP54;M0R6L9;M0R5T8;F1M5T1;M0R597;M0RCS3,-29.0186576,1.43E-28,1.32E-26,1.84E-09,68057800,0,10.2,0,Ftl1;Fam65b;RGD1560687;RGD1566189;LOC100359668;LOC100362384;Ftl1l1
A0A096MJT3;A0JN02;Q5I0G8;Q6XUZ7;E9PST0;A0A096MJN4;A0A0G2JVC7;Q6XUZ6;A0A096MJW0,28.9171087,1.61E-28,1.33E-26,5.07E+08,0,63306600,0,8,4-Sep
A0A0G2K872;Q1WIM3,-28.97688059,1.50E-28,1.33E-26,1.89E-09,66095000,0,10.6,0,Cadm3
F1LZ05,28.84890848,1.75E-28,1.33E-26,4.83E+08,0,60425200,0,8,Parp14
P23978,-28.80747614,1.85E-28,1.33E-26,2.13E-09,58790000,0,4.2,0,Slc6a1
P97706;F1LQQ7,28.79105536,1.88E-28,1.33E-26,4.64E+08,0,58031800,0,4.4,Scn7a
Q6P762,-28.86126835,1.73E-28,1.33E-26,2.05E-09,61056800,0,6.6,0,Man2b1
Q6P7B3;D4A9N5,28.84295244,1.76E-28,1.33E-26,4.81E+08,0,60036600,0.4,7.6,Trim25
Q9ESN0,28.95653497,1.53E-28,1.33E-26,5.21E+08,0,65049200,0,8.8,Fam129a
Q9JHZ9,-28.79808799,1.87E-28,1.33E-26,2.14E-09,58409400,0,6.8,0,Slc38a3
D3ZVG3;P70581-3;P70581-4;P70581-2;P70581,-28.76479075,1.95E-28,1.34E-26,2.19E-09,57172400,0,2.6,0.4,Nupl1
A0A0G2K4X5;Q80Z36,-28.73672341,2.01E-28,1.36E-26,2.24E-09,55975200,0,8.6,0,Zhx3
Q498T9,28.68423571,2.14E-28,1.41E-26,4.31E+08,0,53901800,0,7.2,Lrrc8c
A0A0G2JZ69;A0A0G2K1Y8;P16086;A0A0G2K1E7;C9EH87,-28.61900924,2.33E-28,1.49E-26,2.43E-09,51564000,0,2,0.4,Sptan1
A0A0G2JW85;Q9QYJ2,28.47244966,2.77E-28,1.55E-26,3.72E+08,0,46591000,0.4,7,Rasa3
A0A0G2JXT9,28.53712986,2.56E-28,1.55E-26,3.90E+08,0,48575200,0,4.6,NA
A0A0G2K847;G3V9U1;B0BND8,28.45643635,2.83E-28,1.55E-26,3.68E+08,0,45966200,0,6.8,Agap1;Centg2
B1WBY5,-28.5237492,2.61E-28,1.55E-26,2.59E-09,48301800,0,7.4,1.4,Dnajc11
B4F773;P0C5X8,-28.49671192,2.70E-28,1.55E-26,2.64E-09,47385400,0,5.6,0,Ttyh1
D3ZUM2,-28.46832976,2.80E-28,1.55E-26,2.69E-09,46489600,0,7.8,0.4,Sarm1
F2Z3T7;Q6I7R3,-28.51667057,2.64E-28,1.55E-26,2.60E-09,48068200,0,6.4,0.8,Isoc1
Q6IRF7;O55145,28.41392568,2.98E-28,1.60E-26,3.58E+08,0,44650000,0,4,Cx3cl1
B2LYI9;A0A0G2K1L0,28.30842056,3.39E-28,1.72E-26,3.32E+08,0,41524000,0,5.2,Tnc
D3ZRX9,28.31173934,3.38E-28,1.72E-26,3.33E+08,0,41623800,0,6.4,Cnn2
P48303,-28.33429932,3.30E-28,1.72E-26,2.95E-09,42354400,0,6.4,0,S1pr1
D3ZII1,-28.14341207,4.16E-28,1.85E-26,3.37E-09,37096800,0,5.8,0,Rftn2
G3V7Q4;Q63745,28.12513995,4.24E-28,1.85E-26,2.93E+08,0,36541400,0.4,4.8,Ptpn12
P06762,-28.11468428,4.31E-28,1.85E-26,3.44E-09,36362200,0,8.4,0.4,Hmox1
P07171,-28.17186272,4.02E-28,1.85E-26,3.31E-09,37837000,0,4.4,0,Calb1
P22791,-28.12366282,4.27E-28,1.85E-26,3.42E-09,36588600,0,6.2,0,Hmgcs2
Q3MHC0;F1M065,-28.11339865,4.32E-28,1.85E-26,3.44E-09,36339600,0,6.2,0,Jam2
Q496Z2,-28.10044501,4.39E-28,1.85E-26,3.47E-09,36012000,0,5.6,0,Tril
Q4KM35,28.19135451,3.91E-28,1.85E-26,3.07E+08,0,38262000,0,3.4,Psmb10
Q6TMA8,28.15401362,4.09E-28,1.85E-26,2.99E+08,0,37294400,0,7,Angptl4
Q810D0;A0A096MK54;G3V9G5,-28.10287705,4.38E-28,1.85E-26,3.47E-09,36110600,0,5,0,Synm
Q8K4C0;A0A0G2JSQ2,28.15728109,4.08E-28,1.85E-26,2.99E+08,0,37388200,0,4.6,Fmo5
D3ZUC2,28.01990197,4.83E-28,1.92E-26,2.72E+08,0,34025600,0,5,Mov10
F2Z3T8;P63219;Q45QK8,-28.03352008,4.76E-28,1.92E-26,3.64E-09,34342600,0,2.2,0.4,LOC100360499;Gng5
P10688;A6Y857,-28.02206055,4.83E-28,1.92E-26,3.67E-09,34124600,0,2.4,0.6,Plcd1
P84087,-28.01798188,4.86E-28,1.92E-26,3.68E-09,34016800,0,4.8,0,Cplx2
A0A0G2K2M8;D3ZM62;D3ZQG6,-27.97834701,5.10E-28,1.96E-26,3.78E-09,33090600,0,4.2,0,Trim2
A0JPM7;Q66HI5;Q6AYV6;Q2TA66;Q5FVS1;P19132,-27.98261459,5.07E-28,1.96E-26,3.77E-09,33189600,0,5.6,0.8,Fth1
G3V9S9;A0A0G2QC63,27.94959553,5.26E-28,2.00E-26,2.59E+08,0,32365400,0,3.4,Sec24d
D3ZBM3,-27.92565654,5.44E-28,2.03E-26,3.92E-09,31915600,0,6.2,0,Fech
F2W8B2;P21451,-27.9144033,5.51E-28,2.03E-26,3.95E-09,31649000,0,4.2,0,Ednrb
A0A0G2K2T4;Q76LU2;Q9QYP1,-27.82872641,6.12E-28,2.05E-26,4.19E-09,29832000,0,4.2,0.4,Lrp4
B2GUX7,-27.82152819,6.18E-28,2.05E-26,4.22E-09,29685200,0,3.2,0,Creg1
D3ZQD3,-27.83784341,6.06E-28,2.05E-26,4.17E-09,30019000,0,4.8,0,Ogdhl
D3ZZL3,-27.81863499,6.20E-28,2.05E-26,4.22E-09,29625400,0,4.6,1.2,Naglu
D4A5Q2,-27.84110406,6.03E-28,2.05E-26,4.16E-09,30125200,0,4.4,0,Smc2
F1MAD9,-27.85220008,5.95E-28,2.05E-26,4.13E-09,30318200,0,5,0.4,Smc4
P32215-5;P32215-3;P32215-4;P32215-2;P32215,-27.84735639,5.98E-28,2.05E-26,4.14E-09,30212000,0,3.6,0,Adcyap1r1
Q5PQL7,-27.81327635,6.24E-28,2.05E-26,4.24E-09,29503800,0,4,0.8,Itm2c
Q5XI86,-27.86819707,5.83E-28,2.05E-26,4.08E-09,30616800,0,3.8,1,Ptrh2
Q66HG9,-27.79282835,6.40E-28,2.08E-26,4.30E-09,29112400,0,4.8,0,Mavs
F1LST1;A0A096P6L8;P04937-4;P04937-2;P04937-3;P04937,27.74202876,6.78E-28,2.18E-26,2.24E+08,0,28152200,0,4.4,Fn1
D4ADS6,-27.71133863,7.07E-28,2.19E-26,4.55E-09,27464800,0,2.2,0,Ints7
P20417,27.71537226,7.01E-28,2.19E-26,2.20E+08,0,27543000,0,5.2,Ptpn1
Q499V1,27.70976182,7.06E-28,2.19E-26,2.20E+08,0,27392800,0,5.2,Upp1
D3Z9V1;D4A8H1,27.68023074,7.32E-28,2.24E-26,2.15E+08,0,26836400,0,5.6,Relb
A0A0H2UHF5;P49655,-27.64276008,7.69E-28,2.33E-26,4.77E-09,26211600,0,4.4,0,Kcnj10
D3Z8E0,27.62379112,7.84E-28,2.35E-26,2.07E+08,0,25942800,1.4,4.2,Rps6ka3
Q792I0,-27.57444162,8.36E-28,2.48E-26,5.00E-09,25017200,0,4.2,2.2,Lin7c
G3V913;P42930,27.53330229,8.76E-28,2.56E-26,1.94E+08,0,24159800,0,3.2,Hspb1
F1LNV4;A0A0G2K866;Q704E8;A0A0G2KAC7,-27.5015903,9.14E-28,2.63E-26,5.26E-09,23807800,0,3.4,0.4,Abcb7
M0R3Z8,-27.49819016,9.18E-28,2.63E-26,5.27E-09,23748200,0,4.2,1.4,Rbm15
P17955,-27.47244931,9.47E-28,2.63E-26,5.37E-09,23343400,0,3,0.4,Nup62
Q5D006;Q6IE71,27.46982187,9.47E-28,2.63E-26,1.86E+08,0,23188800,0,3.8,Usp11
Q91XV6-2;Q91XV6;A0A0G2K1I7,-27.48343891,9.35E-28,2.63E-26,5.33E-09,23514200,0,2.8,0.8,Fxyd6
G3V7K5,-27.46290499,9.59E-28,2.64E-26,5.41E-09,23125600,0,3.4,0,Npc1
F1LMV9,-27.4300844,9.98E-28,2.64E-26,5.53E-09,22630000,0,4.2,1.6,Coro2b
P07483,-27.43479184,9.92E-28,2.64E-26,5.51E-09,22700600,0,4.2,0,Fabp3
P27881;O54892,27.44289808,9.79E-28,2.64E-26,1.82E+08,0,22907800,0,3.8,Hk2
Q63688;A0A0G2K4N5;G3V787,27.44494097,9.76E-28,2.64E-26,1.83E+08,0,22772600,0,4.8,Cyp7b1
B1H268;Q2TA67,-27.41440965,1.02E-27,2.64E-26,5.59E-09,22388800,0,4,1.8,Mcmbp
Q5RJP4;F1M7N2;O35795;O35795-2,-27.41238181,1.02E-27,2.64E-26,5.60E-09,22340800,0,2.8,0.4,Entpd2
E9PT24;Q7TP68;F8WG35;Q62947-2;Q62947,-27.39653193,1.04E-27,2.67E-26,5.66E-09,22120600,0,4,0.4,Zeb1
D3ZYR1,-27.37830756,1.06E-27,2.70E-26,5.73E-09,21829400,0,3.6,0.8,Fcho2
Q9R175,27.33434371,1.12E-27,2.81E-26,1.69E+08,0,21123400,0,4,Ifitm2
A0A0G2K0B0;Q5XIM5,27.30733124,1.16E-27,2.83E-26,1.66E+08,0,20834600,0,3.2,Cdv3
D3Z9N3;A0A0G2K9E5,-27.31124143,1.15E-27,2.83E-26,6.00E-09,20858200,0,3.6,0,Lars2
F1LQZ9;Q63560-2;Q63560,27.31390446,1.15E-27,2.83E-26,1.67E+08,0,20841600,0,3,Map6
A0A0G2K728,27.2774657,1.20E-27,2.90E-26,1.63E+08,0,20411800,0,3,NA
Q6P6T4-2;Q6P6T4,27.27175872,1.21E-27,2.90E-26,1.62E+08,0,20133200,0,3.4,Eml2
P37805;A0A0G2K6I5,-27.26701108,1.22E-27,2.91E-26,6.19E-09,20203800,0,4,0,Tagln3
D3ZRC4;A0A0G2K621,-27.25066868,1.24E-27,2.93E-26,6.26E-09,20006800,0,3.2,0.4,Pnpla8
M0R8C6;P97689;P97689-2,-27.24711947,1.25E-27,2.93E-26,6.28E-09,19934800,0,4,0,Slc14a1
P23606,27.23118025,1.27E-27,2.95E-26,1.58E+08,0,19737800,0,3.8,Tgm1
F1LPQ4;P70498,-27.19876315,1.32E-27,3.05E-26,6.49E-09,19275400,0,3.2,0,Pld2
B5DEH4,-27.17963834,1.36E-27,3.08E-26,6.58E-09,19037000,0,3.4,2.4,Uap1l1
P30919,-27.17154899,1.37E-27,3.08E-26,6.62E-09,18919000,0,3.2,0.8,Aga
P97531;A0A0G2K7Y5,27.17407506,1.36E-27,3.08E-26,1.51E+08,0,18851200,0,4.6,Trip10
Q9P290,-27.1505098,1.41E-27,3.13E-26,6.71E-09,18662400,0,2.6,0,Slc22a17
A0A0A0MY22;P82450,-27.11363451,1.47E-27,3.25E-26,6.89E-09,18168600,0,4.6,0,Siae
D3ZD80,-27.07880178,1.53E-27,3.28E-26,7.05E-09,17737200,0,2.8,0,Gtf3c4
M0R9Y3;B0BNB5,-27.07921302,1.53E-27,3.28E-26,7.05E-09,17762000,0,3.8,1.4,Nup43
Q5XIW0;O35093,-27.08809809,1.52E-27,3.28E-26,7.01E-09,17870200,0,2.4,0.4,Timm23
Q812B0;Q6PCT8,-27.0856794,1.52E-27,3.28E-26,7.02E-09,17817800,0,2,0,Lrrp1;Sdhd
D4A383;A0A0G2K0W3,-27.05215146,1.59E-27,3.36E-26,7.19E-09,17412600,0,2.6,0,Ttyh3
Q4V7D9,-27.04679633,1.60E-27,3.36E-26,7.21E-09,17378200,0,3,0,Smpdl3b
B0K024;G3V7V2,27.03178557,1.62E-27,3.38E-26,1.37E+08,0,17236600,0,3.2,Aamp
D3ZKG5;B2RYL9,-27.02036886,1.65E-27,3.42E-26,7.35E-09,17067000,0,2.8,0,Parvb
D4A4Y0,-26.98668607,1.72E-27,3.53E-26,7.52E-09,16633600,0,4,0,Exosc4
D4ADD7,-26.97748969,1.74E-27,3.55E-26,7.57E-09,16528600,0,2,1.4,Glrx5
A1A5Q1,26.94043169,1.81E-27,3.67E-26,1.29E+08,0,16131600,0,3.2,Parp9
A0A0G2JVG4;Q9WVK3;A0A0G2JUF1;A0A0G2K6H4,-26.89535995,1.92E-27,3.86E-26,8.01E-09,15614000,0,3.8,0,Pecr
Q03348,26.88265814,1.94E-27,3.88E-26,1.24E+08,0,15454200,0.8,2,Ptpra
D4A131,-26.86974594,1.98E-27,3.93E-26,8.15E-09,15367600,0,4.8,0.4,Mrpl4
A0A0H2UHY3;A0A0H2UHW7;Q5M960;Q62813;Q62813-2,-26.8457141,2.04E-27,4.02E-26,8.29E-09,15084000,0,2.4,0,Lsamp
A0A0G2JXZ3,26.82289302,2.09E-27,4.08E-26,1.19E+08,0,14812000,0,1.8,NA
D3ZIL9;A0A0G2K6W6,-26.7910642,2.18E-27,4.20E-26,8.61E-09,14535400,0,3.2,2.2,Dis3l2
F1LXF5,-26.79422406,2.17E-27,4.20E-26,8.59E-09,14579400,0,2,0.4,Get4
D3ZX69;P0C2C4,-26.7696542,2.24E-27,4.28E-26,8.74E-09,14344000,0,2.6,0,Mrpl10
B5DFF4,26.72911747,2.35E-27,4.45E-26,1.11E+08,0,13947000,0,2.2,Vps37c
D4A188,-26.71807984,2.39E-27,4.47E-26,9.06E-09,13806200,0,3.4,0,Rgma
