Lipid name,logFC,FoldChange,PValue,FDR,C1,C2,C3,C4,C5,AverageC,R1,R2,R3,R4,R5,AverageR,lipid_class
(11Z)-eicoseneoylcarnitine,0.189022706,1.139991214,0.039635787,0.3695237,7510.94054,6134.160435,6379.960464,6151.660435,6058.76041,6447.096457,7827.700546,7417.960526,7392.620552,7115.960484,6911.880482,7333.224518,
"(11Z,14Z)-eicosadienoylcarnitine",0.140992623,1.102663525,0.124601774,0.813162012,7836.880554,6518.140495,6911.52047,6952.380512,7076.220528,7059.028512,7743.000553,7577.980545,7667.240562,8224.180588,7617.180515,7765.916553,
"(13Z,16Z)-docosadienoylcarnitine",0.119094994,1.086053365,0.19565285,0.999011847,5676.86042,4522.220322,5568.3204,5057.00034,4964.700359,5157.820368,5445.840408,5620.02039,5707.540413,5250.200348,5913.080437,5587.336399,
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",0.636129849,1.554154412,4.49E-12,3.96E-10,11015.34082,9189.020626,9959.120705,9391.900631,9888.960709,9888.868698,15832.2412,13754.80091,14215.86097,16918.90119,15914.04108,15327.16907,
"(5Z,8Z)-tetradecadienoylcarnitine",0.247111524,1.186828539,0.007261285,0.106684944,4717.980339,4601.040348,5491.180355,5238.360378,5515.38039,5112.788362,5886.600464,5795.940369,5825.540428,6338.88044,6429.760406,6055.344421,
"(7Z,10Z)-hexadecadienoylcarnitine",0.303117849,1.233807952,9.45E-04,0.018428479,12196.98087,8309.040604,9155.800644,9917.080746,9344.600719,9784.700717,13654.50094,11480.58073,11752.00075,11625.08082,11712.7608,12044.98481,
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",0.176617852,1.130231147,0.054948868,0.468708577,5313.860371,5085.560375,5162.300392,5498.000378,5028.740345,5217.692372,6567.520458,5627.560425,5600.800396,5853.380409,5787.440407,5887.340419,
(9Z)-3-hydroxyoctadecenoylcarnitine,0.279929324,1.214135404,0.002246518,0.038758889,13115.86094,9702.480724,10803.70081,11589.36084,11253.94085,11293.06883,15107.16112,12046.52094,13415.02087,14254.54105,13591.52099,13682.95299,
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",0.611831826,1.528198369,2.79E-11,1.99E-09,10032.22068,8844.260628,9980.00071,9075.500599,9554.040718,9497.204666,14480.54096,14232.22095,13757.00093,15329.56097,14586.34094,14477.13295,
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",0.037397627,1.026260958,0.683859636,0.999011847,7234.280502,6332.280502,6971.660503,6748.460503,6540.700504,6765.476503,7270.740494,6745.300499,6403.820477,6703.72047,7501.840508,6925.084489,
12:0 Cholesteryl ester,-0.068666264,0.953519095,0.454054442,0.999011847,8612.200603,8890.680614,8544.020573,8280.820576,9033.620678,8672.268609,8791.880619,7785.360577,7913.940598,8839.560616,7936.300564,8253.408595,
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",0.051998787,1.036700229,0.571631708,0.999011847,8085.220577,4942.640358,5894.720398,5377.340332,5488.200359,5957.624405,6743.560448,5489.640388,6301.080448,6504.580444,5756.640419,6159.10043,
14:0 Cholesteryl ester,0.066527801,1.047193321,0.466292503,0.999011847,26106.64178,35123.84248,31406.84237,34370.74236,33869.14268,32175.44233,27812.34188,26872.86198,41607.88275,35359.22259,36688.74287,33668.21041,
14:1 Cholesteryl ester,0.012622811,1.008787854,0.890099931,0.999011847,23613.34176,24326.80163,28467.12199,23798.28175,28884.6221,25818.03384,23549.04189,21189.18136,31756.76232,24943.24189,28575.68217,26002.78192,
15:0 Campesteryl ester_simulated,0.179365386,1.132385661,0.05021316,0.443352663,10083.62075,10133.12075,11130.58077,10942.36076,11927.44086,10843.42478,13817.44094,10865.56076,13326.16093,11928.04091,11404.70083,12268.38087,
