Lipid name,PValue,sig_groups_pvalue,FDR,sig_groups_fdr,averageC,averageR,Fold Change,logFC,lipid_class
(11Z)-eicoseneoylcarnitine,0.832141872,2.00E+00,0.998556814,2.00E+00,5142.888376,5091.95236,0.987019836,-0.018849016,
"(11Z,14Z)-eicosadienoylcarnitine",0.762896994,2.00E+00,0.998556814,2.00E+00,4961.680338,4885.680337,0.981568616,-0.026838973,
"(13Z,16Z)-docosadienoylcarnitine",0.521073742,2.00E+00,0.998556814,2.00E+00,4608.268332,4442.304323,0.961165391,-0.057143393,
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",0.44864393,2.00E+00,0.998556814,2.00E+00,5100.616366,5361.240384,1.047803154,0.06736771,
"(5Z,8Z)-tetradecadienoylcarnitine",0.606836909,2.00E+00,0.998556814,2.00E+00,5036.000351,5215.868369,1.032228596,0.045762504,
"(7Z,10Z)-hexadecadienoylcarnitine",0.298521408,2.00E+00,0.998556814,2.00E+00,5064.164361,4764.744331,0.937896882,-0.092498781,
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",0.930515964,2.00E+00,0.998556814,2.00E+00,4408.360316,4397.820308,0.994630712,-0.007767116,
(9Z)-3-hydroxyoctadecenoylcarnitine,0.230771618,2.00E+00,0.998556814,2.00E+00,4189.056287,3901.640283,0.928598973,-0.10687241,
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",0.281406247,2.00E+00,0.998556814,2.00E+00,4857.480339,4556.400321,0.935697353,-0.095886123,
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",0.862976549,2.00E+00,0.998556814,2.00E+00,4674.532335,4639.768313,0.989407332,-0.015363505,
12:0 Cholesteryl ester,0.875002153,2.00E+00,0.998556814,2.00E+00,6821.444473,6775.89246,0.990374654,-0.013953701,
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",0.885802856,2.00E+00,0.998556814,2.00E+00,4408.972304,4460.624316,1.008906084,0.012791885,
14:0 Cholesteryl ester,0.9218661,2.00E+00,0.998556814,2.00E+00,3637.244257,3625.536251,0.993947119,-0.008758997,
14:1 Cholesteryl ester,0.922841268,2.00E+00,0.998556814,2.00E+00,3616.12025,3648.924254,1.006013244,0.008649298,
15:0 Campesteryl ester_simulated,0.979824421,2.00E+00,0.998556814,2.00E+00,4495.580312,4515.348317,1.001562226,0.002252058,
15:0 Cholesteryl ester,0.285964679,2.00E+00,0.998556814,2.00E+00,4290.216298,4597.760327,1.068098915,0.095045259,
15:1 Campesteryl ester_simulated,0.003699863,1.00E+00,0.043121908,1.00E+00,4480.72431,3754.408263,0.835690049,-0.258960139,
