Lipid name,PValue,sig_groups_pvalue,FDR,sig_groups_fdr,averageC,averageR,Fold Change,logFC,lipid_class
15:1 Cholesteryl ester,0.002228223,1.00E+00,0.027641017,1.00E+00,8742.112627,10599.64871,1.206503989,0.270832686,
16:0 Campesteryl ester,0.79227696,2.00E+00,0.998556814,2.00E+00,3515.724247,3469.192248,0.983821479,-0.023531543,
16:0 Cholesteryl ester,0.636727295,2.00E+00,0.998556814,2.00E+00,4405.840315,4292.752293,0.971256262,-0.0420761,
16:1 Cholesteryl ester,0.044549593,1.00E+00,0.344125062,2.00E+00,4420.616306,3916.192288,0.883237997,-0.179125856,
16:2 Campesteryl ester,0.823657249,2.00E+00,0.998556814,2.00E+00,3443.084243,3406.13224,0.986289057,-0.019917568,
"16:2 Cholesteryl ester, zymosteryl palmitoleate",0.939254793,2.00E+00,0.998556814,2.00E+00,3561.132251,3589.460257,1.004729326,0.006806892,
16:3 Campesteryl ester,0.796479199,2.00E+00,0.998556814,2.00E+00,3384.452238,3341.040238,0.984144513,-0.023057916,
16:3 Cholesteryl ester,0.917696574,2.00E+00,0.998556814,2.00E+00,3396.03624,3428.724236,1.006422812,0.009236528,
16:3 Stigmasteryl ester,0.837265286,2.00E+00,0.998556814,2.00E+00,3378.340234,3431.88424,1.0128071,0.018359423,
17:0 Campesteryl ester_simulated,0.43924927,2.00E+00,0.998556814,2.00E+00,5413.284383,5179.072363,0.953455412,-0.068762622,
17:0 Cholesteryl ester,0.895071563,2.00E+00,0.998556814,2.00E+00,3552.492247,3533.312244,0.991866474,-0.011782178,
17:1 Campesteryl ester_simulated,0.01818595,1.00E+00,0.166445803,2.00E+00,5236.42436,4540.780322,0.864398051,-0.210232275,
17:1 Cholesteryl ester; 16:1 Campesteryl ester,0.955514442,2.00E+00,0.998556814,2.00E+00,7142.792496,7139.960495,0.996577358,-0.004946298,
18:0 Campesteryl ester,0.599028377,2.00E+00,0.998556814,2.00E+00,3814.22827,3704.696256,0.967992171,-0.046932716,
"18:0 Cholesteryl ester, 16:0 Sitosteryl ester",0.485751448,2.00E+00,0.998556814,2.00E+00,5038.688355,5276.244376,1.043903496,0.061988347,
18:1 Campesteryl ester,0.893724678,2.00E+00,0.998556814,2.00E+00,3486.100242,3468.056246,0.991759604,-0.011937632,
"18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",0.004908561,1.00E+00,0.055396615,1.00E+00,5265.016376,4439.972305,0.840627712,-0.250461077,
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",0.226076661,2.00E+00,0.998556814,2.00E+00,4710.264335,4384.248307,0.92800052,-0.107802481,
18:3 Campesteryl ester,0.845771001,2.00E+00,0.998556814,2.00E+00,3860.192269,3919.324284,1.012101639,0.017354178,
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",0.411497969,2.00E+00,0.998556814,2.00E+00,3746.140266,3571.124248,0.950437619,-0.073336155,
19:0 Campesteryl ester_simulated,0.412507482,2.00E+00,0.998556814,2.00E+00,3772.784261,3982.128292,1.051988751,0.073119278,
"19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",0.982276165,2.00E+00,0.998556814,2.00E+00,3800.940269,3808.004262,0.998626731,-0.001982571,
1-O-behenoyl-Cer(d18:1/16:0),0.723559542,2.00E+00,0.998556814,2.00E+00,2438.776168,2392.808177,0.978189671,-0.031813864,
1-O-carboceroyl-Cer(d18:1/16:0),0.617032127,2.00E+00,0.998556814,2.00E+00,2465.42017,2397.256166,0.969308553,-0.044972113,
1-O-carboceroyl-Cer(d18:1/18:0),0.861249946,2.00E+00,0.998556814,2.00E+00,2412.080176,2445.876173,1.010955053,0.015718857,
1-O-cerotoyl-Cer(d18:1/16:0),0.968809407,2.00E+00,0.998556814,2.00E+00,2404.908173,2418.068169,1.002440819,0.003517067,
1-O-cerotoyl-Cer(d18:1/18:0),0.971800049,2.00E+00,0.998556814,2.00E+00,2395.304176,2408.128168,1.002206617,0.003179968,
1-O-eicosanoyl-Cer(d18:1/16:0),0.964048825,2.00E+00,0.998556814,2.00E+00,2428.12017,2442.348177,1.002813533,0.004053371,
1-O-lignoceroyl-Cer(d18:1/16:0),0.974989089,2.00E+00,0.998556814,2.00E+00,2436.82018,2439.700175,0.9980477,-0.002819327,
1-O-myristoyl-Cer(d18:1/16:0),0.97078104,2.00E+00,0.998556814,2.00E+00,2380.968172,2393.792169,1.002286773,0.00329535,
1-O-palmitoyl-Cer(d18:1/16:0),0.758410471,2.00E+00,0.998556814,2.00E+00,2426.996178,2388.336169,0.981006075,-0.027666024,
1-O-stearoyl-Cer(d18:1/16:0),0.938183466,2.00E+00,0.998556814,2.00E+00,2410.252168,2429.468179,1.004846522,0.006975164,
1-O-tricosanoyl-Cer(d18:1/16:0),0.958723397,2.00E+00,0.998556814,2.00E+00,2456.444176,2456.316178,0.99677967,-0.004653451,
1-O-tricosanoyl-Cer(d18:1/18:0),0.748863547,2.00E+00,0.998556814,2.00E+00,2374.272169,2334.376167,0.980228108,-0.028810578,
20:0 Campesteryl ester,0.820462626,2.00E+00,0.998556814,2.00E+00,3526.332243,3487.876241,0.986043121,-0.020277356,
"20:0 Cholesteryl ester, 18:0 Sitosteryl ester",0.311889141,2.00E+00,0.998556814,2.00E+00,4143.120297,3904.920274,0.93939973,-0.090188916,
20:1 Campesteryl ester,0.688319134,2.00E+00,0.998556814,2.00E+00,3359.540228,3454.364243,1.025165261,0.035856498,
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",0.5261062,2.00E+00,0.998556814,2.00E+00,3674.260258,3544.416248,0.961513782,-0.056620558,
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",0.940367909,2.00E+00,0.998556814,2.00E+00,3491.016244,3485.772245,0.995377481,-0.006684346,
20:3 Campesteryl ester,2.20E-05,1.00E+00,3.94E-04,1.00E+00,7301.132532,9518.00468,1.298069226,0.376367324,
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",0.782839775,2.00E+00,0.998556814,2.00E+00,3630.416258,3579.960246,0.983082217,-0.024616017,
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",0.40729687,2.00E+00,0.998556814,2.00E+00,3765.444265,3587.832246,0.950005764,-0.073991829,
20:5 Cholesteryl ester,0.976659371,2.00E+00,0.998556814,2.00E+00,3608.148265,3626.104253,1.001812744,0.00261287,
22:0 Campesteryl ester,0.897543746,2.00E+00,0.998556814,2.00E+00,3416.524239,3399.552242,0.992053818,-0.011509707,
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",0.413083625,2.00E+00,0.998556814,2.00E+00,3661.084268,3863.340266,1.051944995,0.07305927,
22:0 Sitosteryl ester,2.48E-04,1.00E+00,0.00379715,1.00E+00,3974.724285,5001.22437,1.254153276,0.326713678,
22:1 Campesteryl ester,0.88914609,2.00E+00,0.998556814,2.00E+00,3398.396233,3438.516246,1.008672904,0.012458407,
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",0.496463861,2.00E+00,0.998556814,2.00E+00,3543.200256,3707.512263,1.042996769,0.060734689,
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",0.928225068,2.00E+00,0.998556814,2.00E+00,3356.100233,3385.324245,1.005597551,0.008053041,
22:2 Campesteryl ester,0.925346106,2.00E+00,0.998556814,2.00E+00,3336.716235,3366.584236,1.005823886,0.00837772,
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",0.737696968,2.00E+00,0.998556814,2.00E+00,3386.500243,3327.016232,0.979459105,-0.029942838,
22:3 Campesteryl ester,0.928363989,2.00E+00,0.998556814,2.00E+00,3399.036238,3428.560251,1.005585567,0.008035849,
22:3 Stigmasteryl ester,0.712081872,2.00E+00,0.998556814,2.00E+00,3335.908238,3423.324242,1.02313275,0.032993345,
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",0.953192499,2.00E+00,0.998556814,2.00E+00,3454.400238,3477.536246,1.003642469,0.005245425,
22:5 Cholesteryl ester,0.299112394,2.00E+00,0.998556814,2.00E+00,3728.172261,3507.216249,0.937740882,-0.092738765,
22:6 Cholesteryl ester,0.475808861,2.00E+00,0.998556814,2.00E+00,3571.024258,3427.064237,0.956797433,-0.063714575,
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",0.90406664,2.00E+00,0.998556814,2.00E+00,3419.064243,3455.184243,1.007494435,0.01077187,
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",0.18763037,2.00E+00,0.974509291,2.00E+00,5420.72837,5013.620361,0.921995424,-0.117168505,
3-hydroxyarachidonoylcarnitine,0.271048213,2.00E+00,0.998556814,2.00E+00,4479.532322,4197.640314,0.934282113,-0.098069847,
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",0.87092551,2.00E+00,0.998556814,2.00E+00,4412.616318,4470.856307,1.010081709,0.014472002,
"3-hydroxylinoleoylcarnitine,",0.687016152,2.00E+00,0.998556814,2.00E+00,4382.148312,4285.956304,0.975425102,-0.035896996,
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",0.619193487,2.00E+00,0.998556814,2.00E+00,6606.608455,6426.224463,0.969894346,-0.044100497,
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",0.937982888,2.00E+00,0.998556814,2.00E+00,4356.108312,4349.392303,0.9952069,-0.006931607,
C12:0,0.108727369,2.00E+00,0.677177512,2.00E+00,18732.06532,17030.53723,0.906502727,-0.141616736,FFA
C12:1,0.881424413,2.00E+00,0.998556814,2.00E+00,15279.23309,15190.44109,0.990909853,-0.01317428,FFA
C14:0,0.305866517,2.00E+00,0.998556814,2.00E+00,44271.29107,41719.53097,0.939367948,-0.090237727,FFA
C14:1,0.768684355,2.00E+00,0.998556814,2.00E+00,59181.68822,58264.61617,0.982202454,-0.025907668,FFA
C15:0,0.928821178,2.00E+00,0.998556814,2.00E+00,49708.45971,50112.14347,1.005470218,0.00787035,FFA
C15:1,0.013720513,1.00E+00,0.133730453,2.00E+00,96088.96288,111881.8359,1.162409844,0.217118826,FFA
C16:0,0.40019751,2.00E+00,0.998556814,2.00E+00,397493.648,378582.9302,0.949963734,-0.074055657,FFA
C16:1,0.492630753,2.00E+00,0.998556814,2.00E+00,43468.7232,41813.86706,0.95895463,-0.060465534,FFA
C17:0,0.670034572,2.00E+00,0.998556814,2.00E+00,45137.73115,44118.43503,0.974309923,-0.037547336,FFA
C17:1,0.576394741,2.00E+00,0.998556814,2.00E+00,22756.87761,22059.71758,0.966413739,-0.049287131,FFA
C18:0,0.366887547,2.00E+00,0.998556814,2.00E+00,348999.0482,331074.4434,0.946430172,-0.079432028,FFA
C18:1,0.940844241,2.00E+00,0.998556814,2.00E+00,85135.6461,85753.82196,1.004540223,0.006535333,FFA
C18:2,0.043447445,1.00E+00,0.339659452,2.00E+00,28626.49404,25365.12983,0.883842477,-0.178138828,FFA
C18:3,0.082280745,2.00E+00,0.546475211,2.00E+00,16327.40117,14725.86107,0.899070909,-0.153493191,FFA
C18:4,0.815721185,2.00E+00,0.998556814,2.00E+00,19581.84938,19926.5414,1.014358016,0.020566938,FFA
C19:0,0.12566388,2.00E+00,0.739692092,2.00E+00,87382.55421,96199.35504,1.098006538,0.134886645,FFA
C20:0,0.056177567,2.00E+00,0.409332657,2.00E+00,126198.3929,142135.706,1.123645256,0.168186637,FFA
C20:1,0.243519668,2.00E+00,0.998556814,2.00E+00,25639.28582,23942.9177,0.931175576,-0.102874877,FFA
C20:3,0.50578392,2.00E+00,0.998556814,2.00E+00,40064.37079,41841.28295,1.041485706,0.058643039,FFA
C20:4,0.081042429,2.00E+00,0.540643046,2.00E+00,21693.21756,19551.57339,0.89876334,-0.153986816,FFA
C20:5,0.506554422,2.00E+00,0.998556814,2.00E+00,24271.36975,23379.78566,0.960200903,-0.058591803,FFA
C22:0,0.916090865,2.00E+00,0.998556814,2.00E+00,58814.25624,59332.95625,1.006454003,0.00928124,FFA
C22:1,0.109874129,2.00E+00,0.678687523,2.00E+00,23540.32168,21406.0655,0.906844419,-0.141073037,FFA
C22:4,0.931466593,2.00E+00,0.998556814,2.00E+00,37622.00665,37923.4586,1.005267684,0.007579716,FFA
C22:5,0.376786333,2.00E+00,0.998556814,2.00E+00,22940.68163,21802.53753,0.947384168,-0.077978532,FFA
C22:6,0.629327632,2.00E+00,0.998556814,2.00E+00,29409.05406,30370.98212,1.02993819,0.04255776,FFA
C24:0,0.417948996,2.00E+00,0.998556814,2.00E+00,42423.61509,40502.88284,0.951724687,-0.071383801,FFA
C24:1,0.822618158,2.00E+00,0.998556814,2.00E+00,21223.1855,20999.54146,0.9863828,-0.019780452,FFA
C24:5,0.070755668,2.00E+00,0.493973289,2.00E+00,30230.65008,27141.20192,0.895410714,-0.159378513,FFA
C24:6,0.209259237,2.00E+00,0.998556814,2.00E+00,25534.68584,23721.86563,0.926098906,-0.110761816,FFA
C26:0,0.360385875,2.00E+00,0.998556814,2.00E+00,23711.85371,22496.16956,0.945605331,-0.080689926,FFA
C26:1,0.217750229,2.00E+00,0.998556814,2.00E+00,25048.71775,23301.64962,0.927403813,-0.108730436,FFA
C28:0,0.754882534,2.00E+00,0.998556814,2.00E+00,20875.59349,20549.00947,0.981085548,-0.027549153,FFA
C30:0,0.133509304,2.00E+00,0.767806379,2.00E+00,13831.94897,12657.36891,0.912179486,-0.132610369,FFA
C32:0,0.171517013,2.00E+00,0.91870831,2.00E+00,15301.99708,14120.40899,0.919678821,-0.120797978,FFA
C34:0,0.943818765,2.00E+00,0.998556814,2.00E+00,12246.78885,12227.89286,0.99569143,-0.006229382,FFA
Cer(d14:1(4E)/20:0(2OH)),0.476030451,2.00E+00,0.998556814,2.00E+00,2917.420204,2800.824193,0.956678348,-0.063894148,
Cer(d14:1(4E)/20:1(11Z)(2OH)),0.60716671,2.00E+00,0.998556814,2.00E+00,2525.512178,2615.936178,1.032530099,0.046183838,
Cer(d14:1(4E)/22:0(2OH)),0.829523064,2.00E+00,0.998556814,2.00E+00,2522.080174,2496.060181,0.986676597,-0.019350806,
Cer(d14:1(4E)/22:1(13Z)(2OH)),0.803979619,2.00E+00,0.998556814,2.00E+00,2486.868174,2533.332173,1.015581693,0.022306294,
Cer(d14:1(4E)/24:0(2OH)),0.537761608,2.00E+00,0.998556814,2.00E+00,3505.036244,3651.988254,1.038888789,0.055041225,
Cer(d14:1(4E)/26:0(2OH)),0.942881557,2.00E+00,0.998556814,2.00E+00,2412.788171,2430.944174,1.004476623,0.006443988,
"Cer(d14:2(4E,6E)/16:0)",0.219794036,2.00E+00,0.998556814,2.00E+00,3109.700217,3364.884234,1.079067811,0.109785529,
"Cer(d14:2(4E,6E)/18:0(2OH))",0.83783467,2.00E+00,0.998556814,2.00E+00,2409.824166,2447.876175,1.01283992,0.018406173,
"Cer(d14:2(4E,6E)/18:1(9Z)(2OH))",0.798134041,2.00E+00,0.998556814,2.00E+00,2522.428178,2570.772182,1.016055514,0.022979229,
"Cer(d14:2(4E,6E)/18:1(9Z))",0.72282523,2.00E+00,0.998556814,2.00E+00,2433.984172,2388.316167,0.978129028,-0.031903307,
"Cer(d14:2(4E,6E)/20:1(11Z)(2OH))",0.875882419,2.00E+00,0.998556814,2.00E+00,2478.076176,2461.736177,0.990314138,-0.01404186,
"Cer(d14:2(4E,6E)/20:1(11Z))",0.743715572,2.00E+00,0.998556814,2.00E+00,2408.588177,2465.760176,1.02058807,0.029400683,
"Cer(d14:2(4E,6E)/22:1(13Z)(2OH))",0.989076592,2.00E+00,0.998556814,2.00E+00,2487.440175,2497.396175,1.000853352,0.001230602,
"Cer(d14:2(4E,6E)/24:0(2OH))",0.882793577,2.00E+00,0.998556814,2.00E+00,2467.880166,2453.144171,0.990854298,-0.013255166,
"Cer(d16:2(4E,6E)/22:1(13Z)(2OH))",0.757962312,2.00E+00,0.998556814,2.00E+00,2449.348177,2409.988171,0.980973691,-0.02771365,
"Cer(d16:2(4E,6E)/24:0(2OH))",0.956110402,2.00E+00,0.998556814,2.00E+00,2423.464172,2422.492171,0.996574973,-0.00494975,
Cer(d18:0/14:0),0.859093751,2.00E+00,0.998556814,2.00E+00,2486.208178,2466.052176,0.988998848,-0.015959255,
Cer(d18:0/16:0(2OH)),0.780582456,2.00E+00,0.998556814,2.00E+00,2723.024187,2779.068188,1.01747257,0.024989902,
Cer(d18:0/16:0),0.601838471,2.00E+00,0.998556814,2.00E+00,3351.37224,3470.564254,1.032855271,0.046638111,
Cer(d18:0/18:0(2OH)),0.770655829,2.00E+00,0.998556814,2.00E+00,2403.032167,2454.980176,1.018338547,0.026217266,
Cer(d18:0/18:0),0.364584522,2.00E+00,0.998556814,2.00E+00,2885.464202,2736.468195,0.945198718,-0.081310423,
Cer(d18:0/20:0(2OH)),0.015866412,1.00E+00,0.151690983,2.00E+00,5545.188375,6454.872463,1.160120031,0.214274081,
Cer(d18:0/20:0),0.967969672,2.00E+00,0.998556814,2.00E+00,2765.1442,2780.624199,1.002499678,0.003601774,
Cer(d18:0/22:0(2OH)),0.924325806,2.00E+00,0.998556814,2.00E+00,2473.432174,2495.888179,1.005935893,0.008538367,
Cer(d18:0/22:0),0.429352278,2.00E+00,0.998556814,2.00E+00,2718.152185,2863.3562,1.050359538,0.070883247,
Cer(d18:0/24:0),0.339930994,2.00E+00,0.998556814,2.00E+00,2524.792175,2687.732185,1.061207705,0.085707055,
Cer(d18:0/26:0),0.710692816,2.00E+00,0.998556814,2.00E+00,2508.096175,2574.676183,1.023369937,0.033327758,
Cer(d18:0/h24:0),0.825717437,2.00E+00,0.998556814,2.00E+00,2540.188178,2582.944176,1.013805897,0.01978146,
Cer(d18:0/h26:0),0.686565671,2.00E+00,0.998556814,2.00E+00,2432.928165,2502.704176,1.025465049,0.036278322,
Cer(d18:1/12:0),0.870229559,2.00E+00,0.998556814,2.00E+00,2393.976167,2425.94418,1.010237563,0.01469459,
Cer(d18:1/16:0),0.379326897,2.00E+00,0.998556814,2.00E+00,43308.58705,45851.25531,1.055167428,0.077471936,
Cer(d18:1/18:0),5.44E-08,1.00E+00,1.41E-06,1.00E+00,20035.81748,14402.58503,0.71644558,-0.48107097,
Cer(d18:1/18:1(9Z)),5.36E-09,1.00E+00,1.87E-07,1.00E+00,7603.36853,5320.252383,0.69771334,-0.519293678,
Cer(d18:1/2:0),0.866475398,2.00E+00,0.998556814,2.00E+00,2446.364177,2428.236162,0.989574313,-0.015120043,
Cer(d18:1/20:0),0.002418387,1.00E+00,0.029754095,1.00E+00,4795.324344,3988.728277,0.82907726,-0.270421546,
Cer(d18:1/22:0),0.499888654,2.00E+00,0.998556814,2.00E+00,3918.580267,3769.988261,0.959129128,-0.060203036,
Cer(d18:1/24:0),0.313125176,2.00E+00,0.998556814,2.00E+00,4099.648286,3862.928265,0.939541411,-0.089971345,
Cer(d18:1/24:1(15Z)),0.613599196,2.00E+00,0.998556814,2.00E+00,19140.0854,19803.40145,1.03137136,0.044563889,
Cer(d18:1/26:0),0.802112868,2.00E+00,0.998556814,2.00E+00,2469.652174,2516.672176,1.015736606,0.022526341,
Cer(d18:1/26:1(17Z)),0.762938947,2.00E+00,0.998556814,2.00E+00,2607.752187,2665.148186,1.018948437,0.027081046,
Cer(d18:2/14:0),0.748013463,2.00E+00,0.998556814,2.00E+00,2530.24418,2488.064178,0.98018594,-0.028872642,
Cer(d18:2/16:0),0.048708189,1.00E+00,0.363736276,2.00E+00,4268.212305,4835.428355,1.129412551,0.175572569,
Cer(d18:2/18:1),0.993602491,2.00E+00,0.998556814,2.00E+00,2643.37219,2653.132181,1.000499077,7.20E-04,
Cer(d18:2/20:0),0.754460063,2.00E+00,0.998556814,2.00E+00,2786.76419,2741.368197,0.980741001,-0.028055902,
Cer(d18:2/20:1),0.828900222,2.00E+00,0.998556814,2.00E+00,2618.79218,2591.952176,0.986637551,-0.019407898,
Cer(d18:2/22:0),0.319383223,2.00E+00,0.998556814,2.00E+00,2682.728188,2863.240207,1.063869908,0.089321746,
Cer(d20:0/26:0(2OH)),0.917772404,2.00E+00,0.998556814,2.00E+00,2432.516166,2455.508171,1.006455588,0.009283512,
Cer(d20:0/26:0),0.680957397,2.00E+00,0.998556814,2.00E+00,2368.804167,2437.548173,1.02596793,0.036985635,
Cer(t18:0/16:0(2OH)),0.983703461,2.00E+00,0.998556814,2.00E+00,2522.212183,2526.548177,0.998728527,-0.001835516,
Cer(t18:0/18:0(2OH)),0.806729655,2.00E+00,0.998556814,2.00E+00,2450.984173,2496.388174,1.015361604,0.021993611,
Cer(t18:0/20:0(2OH)),0.405471357,2.00E+00,0.998556814,2.00E+00,3473.652257,3670.748264,1.052858227,0.074311183,
Cer(t18:0/22:0(2OH)),0.818446834,2.00E+00,0.998556814,2.00E+00,2529.84018,2501.628179,0.985803106,-0.020628568,
Cer(t18:0/24:0(2OH)),0.769879331,2.00E+00,0.998556814,2.00E+00,4601.184322,4537.764321,0.982107754,-0.026046773,
Cer(t18:0/26:0(2OH)),0.980769134,2.00E+00,0.998556814,2.00E+00,2429.228175,2440.400171,1.001503663,0.002167697,
Cer(t20:0/26:0(2OH)),0.992892517,2.00E+00,0.998556814,2.00E+00,2431.772176,2440.420177,1.000555419,8.01E-04,
CerP(d18:0/16:0),0.53668584,2.00E+00,0.998556814,2.00E+00,2505.260181,2611.672193,1.039223614,0.055506118,
CerP(d18:1/12:0),0.315448607,2.00E+00,0.998556814,2.00E+00,2951.948207,2782.064194,0.939525537,-0.08999572,
CerP(d18:1/14:0),0.181430447,2.00E+00,0.948874918,2.00E+00,2774.200202,2560.884183,0.920203636,-0.119974938,
CerP(d18:1/16:0),0.974445853,2.00E+00,0.998556814,2.00E+00,2648.032185,2661.860195,1.001995221,0.002875628,
CerP(d18:1/18:0),0.677378618,2.00E+00,0.998556814,2.00E+00,3124.484221,3216.816228,1.026142564,0.037231181,
CerP(d18:1/2:0),0.888156064,2.00E+00,0.998556814,2.00E+00,2377.360168,2405.736167,1.008808413,0.012652212,
CerP(d18:1/20:0),0.896904234,2.00E+00,0.998556814,2.00E+00,2521.192175,2508.28418,0.991961118,-0.011644523,
CerP(d18:1/22:0),0.832427759,2.00E+00,0.998556814,2.00E+00,2420.924171,2460.508165,1.013275869,0.019027007,
CerP(d18:1/24:0),0.708708761,2.00E+00,0.998556814,2.00E+00,2497.59618,2447.640175,0.976988806,-0.033586062,
CerP(d18:1/24:1(15Z)),0.784233024,2.00E+00,0.998556814,2.00E+00,2546.112177,2597.856181,1.01719448,0.024595538,
CerP(d18:1/26:0),0.967548888,2.00E+00,0.998556814,2.00E+00,2452.28418,2466.108173,1.002538589,0.00365777,
CerP(d18:1/26:1(17Z)),0.765582174,2.00E+00,0.998556814,2.00E+00,2408.636175,2461.020178,1.018759283,0.026813205,
CerP(d18:1/8:0),0.854475593,2.00E+00,0.998556814,2.00E+00,2395.276164,2375.172169,0.988627429,-0.016501161,
"Cholesteryl 11-hydroperoxy-eicosatetraenoate, 22:2 Cholesteryl ester, 20:1 Stigmasteryl ester, 20:2 Sitosteryl ester",0.84090884,2.00E+00,0.998556814,2.00E+00,3427.888235,3481.128249,1.012511864,0.017938813,
Cholesteryl nitrolinoleate,0.898897305,2.00E+00,0.998556814,2.00E+00,3375.248244,3359.06424,0.992157506,-0.011358927,
cis-5-Tetradecenoylcarnitine,0.763440899,2.00E+00,0.998556814,2.00E+00,5568.208382,5689.484408,1.018707416,0.026739754,
"Docosa-4,7,10,13,16-pentaenoyl carnitine, Clupanodonyl carnitine",0.560231521,2.00E+00,0.998556814,2.00E+00,3994.456272,3865.804285,0.964623151,-0.05196266,
"ecdysone palmitate, 22:3 Cholesteryl ester, 20:2 Stigmasteryl ester, 20:3 Sitosteryl ester",0.964878223,2.00E+00,0.998556814,2.00E+00,3404.856236,3424.136235,1.0027318,0.00393578,
Hexacosanoyl carnitine,0.43277401,2.00E+00,0.998556814,2.00E+00,4000.580284,4211.612305,1.049673318,0.069940399,
"lanosteryl oleate, 20:2 Campesteryl ester",0.678599285,2.00E+00,0.998556814,2.00E+00,3497.764243,3600.208251,1.025990396,0.037017227,
"lanosteryl palmitoleate, 18:2 Campesteryl ester",0.700483299,2.00E+00,0.998556814,2.00E+00,3357.22823,3448.624237,1.024120134,0.03438496,
"Linoelaidyl carnitine, O-linoleoylcarnitine, 9,12-Hexadecadienylcarnitine",0.674679068,2.00E+00,0.998556814,2.00E+00,5689.120412,5559.784398,0.974482008,-0.037292546,
Lyso_C17 sphingosine-1-phosphocholine,0.580541718,2.00E+00,0.998556814,2.00E+00,976.8560684,945.8560646,0.965082165,-0.051276319,PC_SM
Lyso_PC(10:0),0.03892173,1.00E+00,0.307481667,2.00E+00,1662.29612,1894.720138,1.138567828,0.18722024,PC_SM
