lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,EKO_average,WT_average,EKO_R1_Cells_r1,EKO_R1_Cells_r2,EKO_R1_Cells_r3,EKO_R2_Cells_r1,EKO_R2_Cells_r2,EKO_R2_Cells_r3,EKO_R3_Cells_r1,EKO_R3_Cells_r2,EKO_R3_Cells_r3,WT_R1_Cells_r1,WT_R1_Cells_r2,WT_R1_Cells_r3,WT_R2_Cells_r1,WT_R2_Cells_r2,WT_R2_Cells_r3,WT_R3_Cells_r1,WT_R3_Cells_r2,WT_R3_Cells_r3,blank
C20:0,-2.133722163,15.48895015,535.6450066,1.67E-118,3.57E-116,311.3 -> 311.3,FFA,154513.0619,574848.1198,159329.6513,139158.53,131400.4292,141457.0898,129478.2088,133151.6894,194005.7526,177612.9525,185023.2535,756895.5954,760878.5984,759871.7148,859817.2253,861429.0592,824173.46,117718.1882,116208.1479,116641.0889,62300.2045
C22:0,-1.061402627,14.13341953,140.8597319,1.73E-32,1.85E-30,339.3 -> 339.3,FFA,103562.1895,184343.7978,122915.2885,104808.3477,102537.8874,94044.96643,90360.54637,85215.38568,112468.7482,107876.6674,111831.8681,240901.1579,242651.0576,236745.457,227100.4363,222305.7763,217180.776,92298.52704,89342.04614,90568.94618,51079.54359
C22:6,-0.978823768,12.7735457,120.1015381,6.01E-28,4.29E-26,327.3 -> 327.3,FFA,41140.63848,69660.34947,43546.9229,41428.02292,39700.54286,40347.683,37460.0827,36607.18265,43260.64313,44215.40311,43699.26306,80000.92574,81047.24631,84449.34549,90225.38695,85530.16611,89177.72641,39886.68291,39362.16282,37263.50253,31051.16212
C19:0,-0.943430154,14.68385006,111.8082845,3.94E-26,2.11E-24,297.3 -> 297.3,FFA,159835.0224,264791.143,166876.591,158389.3306,153961.3303,134773.5692,155436.3316,179823.4335,154209.9119,159505.1113,175539.5926,306208.6004,305565.2805,304460.643,353329.1442,357974.106,355717.1646,126632.8288,132376.4294,140856.0905,67751.44473
Lyso_PC(20:3),-0.86040937,9.41201164,92.30199257,7.44E-22,3.18E-20,546.3481 -> 184.1,PC,4278.889202,6858.611611,4919.260403,5165.180378,5301.48032,3823.740231,3355.400253,3600.900246,4484.020378,4278.660309,3581.360298,2802.440216,2903.300182,3233.100224,13569.54099,14029.18104,13760.48103,4486.980328,3317.340229,3625.140259,2050.540115
PC (32:3),0.709534004,11.05502615,63.51746191,1.59E-15,5.67E-14,728.5 -> 184.1,PC,23934.37046,12790.80977,28295.76195,23701.56168,22679.06165,23635.06155,22835.66148,20938.62138,23801.00149,25089.98129,24432.6217,10234.62072,11803.86073,10548.40084,13809.58096,13293.34076,13972.68102,13881.36089,14135.98099,13437.46103,1750.700115
C15:1,0.632576175,13.21028352,50.72175926,1.06E-12,3.25E-11,239.3 -> 239.3,FFA,98012.82239,56402.04616,49063.92321,88472.12602,92858.14672,51068.32346,178693.9335,244222.9964,40241.12277,53780.46368,83714.36573,43247.56309,55840.26393,75384.60541,43639.32304,50835.24342,79884.78558,37210.16262,47112.6431,74463.82529,37924.22267
PCo(32:3),-0.633868378,8.747277175,50.09416877,1.47E-12,3.92E-11,714.5 -> 184.1,PC,2859.349085,3908.809173,2589.720146,3177.460228,2986.360191,2819.340176,2466.460171,2773.060211,3005.100243,3189.980232,2726.660172,2395.460182,2138.440151,2377.240173,5949.420464,6772.020515,6638.920441,3375.940224,2556.2202,2975.620209,2886.220222
C20:1,-0.608466853,12.25310182,46.9248671,7.38E-12,1.75E-10,309.3 -> 309.3,FFA,34179.12461,45069.70325,38875.32286,35436.88232,32900.50237,30249.38208,29743.64205,30679.04229,36542.98254,35621.86235,37562.5026,43073.40333,45241.14313,45713.82317,62091.06452,57531.66411,57086.66438,31779.52221,32612.58203,30497.46234,16399.52112
Lyso_PC(19:3),-0.573500985,7.692859575,40.32810177,2.15E-10,4.59E-09,532.3325 -> 184.1,PC,1417.686774,1850.529029,1666.280125,1568.340122,1633.540131,1183.100094,1365.720093,1285.640095,1259.160095,1430.280098,1367.12011,1356.280098,1334.160107,1339.980103,2936.580254,2804.400215,2422.740196,1533.400089,1632.420116,1294.800079,1310.060097
SM (d18:1/18:1)9Z)),0.552498403,10.67469037,38.62498265,5.14E-10,9.99E-09,729.6 -> 184.1,PC,17479.76118,10426.48071,19987.92138,17443.96095,17252.48146,16387.68109,15224.12088,15425.00102,19257.7213,19569.98134,16768.98117,9499.640522,8528.640663,7636.180561,11163.64074,11046.02069,10249.74076,12051.00066,12039.48094,11623.98085,2693.760216
C24:5,-0.503994399,12.70735198,32.28117405,1.33E-08,2.38E-07,353.3 -> 353.3,FFA,48490.15896,59379.6286,53278.42377,49230.44346,46371.18329,45999.98333,42975.14301,42216.30305,53085.28359,51243.50352,52011.16362,61886.56427,63310.10448,64406.92445,71318.32478,69706.06503,65616.78452,46157.06342,47460.58331,44554.24318,27545.16193
C16:1,-0.487582826,12.15333549,30.20775913,3.88E-08,6.39E-07,253.3 -> 253.3,FFA,33373.51349,40666.38724,42579.403,33137.96221,33086.36228,31237.08217,27619.28199,26940.52194,35748.74274,33353.32237,36658.94268,29955.1621,32604.48219,34302.94243,60012.88414,62427.24408,61507.28434,29064.16214,27932.06184,28191.26191,17972.82134
PC (32:2),0.481485012,13.81952502,29.49262104,5.61E-08,8.01E-07,730.5 -> 184.1,PC,153448.5111,96151.13327,181678.1341,152100.0305,144377.2505,149638.4105,139283.3484,134614.7291,161308.7322,162869.0545,155166.9099,79666.02629,78409.78464,77716.64523,101275.8665,100916.1659,98694.26825,112041.1282,112373.1479,104267.1665,6489.460491
SM (d18:1/18:0),0.481658258,13.25865251,29.50666025,5.57E-08,8.01E-07,731.6 -> 184.1,PC,103099.7567,64639.82459,116955.5487,104153.589,99906.04602,96049.1673,93090.12714,91977.54756,110237.9094,112404.627,103123.248,52433.44353,52517.56358,52030.08419,70753.92477,68529.32455,67896.58528,77937.56537,71586.46516,68073.46483,12491.04087
